problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,12,3698.5041695931013,308.2086807994251,0.21020650000718888,7,joint_route,124,12,0,0,2905.5041695931013,113.0,620.0,36.0,24.0,312,12,4,21,12,13,14,False,0,0,0,0,integrated,original,off,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3480000,12,1.0,950.0,fixed,0
3,True,11,3455.9109156827762,314.17371960752513,0.1667616999911843,7,joint_route,118,11,0,0,2700.9109156827762,110.0,590.0,33.0,22.0,252,11,0,13,10,3,16,False,0,0,0,0,integrated,original,off,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3480001,11,1.0,950.0,fixed,0
3,True,14,3488.1295755273777,249.15211253766984,0.18465769999602344,7,joint_route,110,14,0,0,2765.1295755273777,103.0,550.0,42.0,28.0,317,14,0,18,13,3,19,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480002,14,1.0,950.0,fixed,0
3,True,14,3740.9089862685896,267.2077847334707,0.20139849999395665,7,joint_route,112,14,0,0,3007.90898626859,103.0,560.0,42.0,28.0,308,14,3,27,13,4,17,False,0,0,0,0,integrated,original,off,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3480003,14,1.0,950.0,fixed,0
3,True,16,3680.154517486431,230.00965734290193,0.2530849000031594,6,joint_route,102,16,0,0,3000.1545174864304,90.0,510.0,48.0,32.0,423,16,0,23,15,4,21,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480004,16,1.0,950.0,fixed,0
3,True,15,3653.4479659780204,243.56319773186803,0.22973590000765398,7,joint_route,115,15,0,0,2898.44796597802,105.0,575.0,45.0,30.0,366,15,1,13,13,2,18,False,0,0,0,0,integrated,original,off,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3480005,15,1.0,950.0,fixed,0
3,True,11,3595.423606886375,326.85669153512504,0.1548938000050839,7,joint_route,122,11,0,0,2817.4236068863756,113.0,610.0,33.0,22.0,251,11,0,16,11,3,16,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480006,11,1.0,950.0,fixed,0
3,True,11,3830.352821627526,348.21389287522965,0.16749259999778587,7,joint_route,120,11,0,0,3064.352821627526,111.0,600.0,33.0,22.0,284,11,0,17,11,3,16,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480007,11,1.0,950.0,fixed,0
3,True,16,3809.081612905238,238.0676008065774,0.22014070001023356,7,joint_route,113,16,0,0,3059.0816129052378,105.0,565.0,48.0,32.0,342,16,2,21,15,3,20,False,0,0,0,0,integrated,original,off,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3480008,16,1.0,950.0,fixed,0
3,True,10,3212.3498908545857,321.23498908545855,0.15168029999767896,7,joint_route,112,10,0,0,2497.3498908545857,105.0,560.0,30.0,20.0,230,10,0,12,10,2,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480009,10,1.0,950.0,fixed,0
3,True,10,3070.633019794317,307.0633019794317,0.1393176000128733,7,joint_route,116,10,0,0,2329.633019794317,111.0,580.0,30.0,20.0,206,10,0,15,10,3,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480010,10,1.0,950.0,fixed,0
3,True,13,3646.144269908502,280.4726361468078,0.19267620000755414,7,joint_route,114,13,0,0,2905.1442699085023,106.0,570.0,39.0,26.0,297,13,3,15,13,7,16,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480011,13,1.0,950.0,fixed,0
3,True,10,3305.926583833879,330.59265838338786,0.1491282999922987,7,joint_route,126,10,0,0,2508.926583833878,117.0,630.0,30.0,20.0,251,10,0,10,10,2,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480012,10,1.0,950.0,fixed,0
3,True,15,3793.393671783496,252.89291145223305,0.23278009999194182,7,joint_route,115,15,0,0,3036.3936717834963,107.0,575.0,45.0,30.0,364,15,0,29,15,4,20,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480013,15,1.0,950.0,fixed,0
3,True,13,3569.267301699082,274.5590232076217,0.19446839999000076,7,joint_route,129,13,0,0,2740.267301699082,119.0,645.0,39.0,26.0,330,13,3,11,13,1,16,False,0,0,0,0,integrated,original,off,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3480014,13,1.0,950.0,fixed,0
3,True,11,3381.3727036494947,307.39751851359046,0.16472439999051858,7,joint_route,120,11,0,0,2615.3727036494956,111.0,600.0,33.0,22.0,273,11,0,16,11,3,16,False,0,0,0,0,integrated,original,off,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3480015,11,1.0,950.0,fixed,0
3,True,16,3610.520212102793,225.65751325642455,0.23831549999886192,6,joint_route,99,16,0,0,2945.520212102793,90.0,495.0,48.0,32.0,386,16,0,15,16,6,20,False,0,0,0,0,integrated,original,off,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3480016,16,1.0,950.0,fixed,0
3,True,16,4002.6610742536504,250.16631714085315,0.23343950000707991,7,joint_route,120,16,0,0,3208.6610742536504,114.0,600.0,48.0,32.0,341,16,4,22,16,4,18,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480017,16,1.0,950.0,fixed,0
3,True,12,3333.51755456761,277.79312954730085,0.1548305999895092,7,joint_route,113,12,0,0,2600.51755456761,108.0,565.0,36.0,24.0,250,12,0,15,11,2,16,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480018,12,1.0,950.0,fixed,0
3,True,12,3675.7903790943897,306.3158649245325,0.46697920000588056,7,joint_route,121,12,0,0,2896.79037909439,114.0,605.0,36.0,24.0,258,12,3,4,12,1,11,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3480019,12,1.0,950.0,fixed,0
