problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,15,3638.127555108293,242.54183700721953,0.23018639998917934,7,joint_route,104,15,0,0,2949.127555108293,94.0,520.0,45.0,30.0,373,15,0,15,15,0,18,False,0,0,0,0,integrated,original,off,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482000,15,1.0,950.0,fixed,0
3,True,13,3811.1151976255505,293.1627075096577,0.1777661999949487,7,joint_route,123,13,0,0,3014.1151976255505,117.0,615.0,39.0,26.0,273,13,1,14,13,1,17,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482001,13,1.0,950.0,fixed,0
3,True,16,3539.0206482892017,221.1887905180751,0.2442622999951709,7,joint_route,115,16,0,0,2779.0206482892017,105.0,575.0,48.0,32.0,388,16,1,18,16,6,20,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482002,16,1.0,950.0,fixed,0
3,True,12,3642.96807819289,303.58067318274084,0.1877496999950381,7,joint_route,118,12,0,0,2882.9680781928905,110.0,590.0,36.0,24.0,274,12,2,21,12,5,16,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482003,12,1.0,950.0,fixed,0
3,True,10,3234.0579445331823,323.4057944533182,0.12882189999800175,7,joint_route,113,10,0,0,2511.0579445331814,108.0,565.0,30.0,20.0,203,10,0,10,10,6,14,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482004,10,1.0,950.0,fixed,0
3,True,16,3766.732209688073,235.42076310550456,0.22855520001030527,6,joint_route,96,16,0,0,3116.732209688073,90.0,480.0,48.0,32.0,332,16,0,17,14,9,21,False,0,0,0,0,integrated,original,off,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3482005,16,1.0,950.0,fixed,0
3,True,16,3728.973931641638,233.06087072760238,0.2954454999999143,6,joint_route,98,16,0,0,3070.973931641638,88.0,490.0,48.0,32.0,401,16,0,24,16,13,21,False,0,0,0,0,integrated,original,off,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3482006,16,1.0,950.0,fixed,0
3,True,10,3489.5250977158275,348.95250977158275,0.152079200008302,7,joint_route,125,10,0,0,2699.525097715828,115.0,625.0,30.0,20.0,252,10,1,8,9,2,14,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482007,10,1.0,950.0,fixed,0
3,True,10,3547.861657590301,354.7861657590301,0.1560408999939682,7,joint_route,114,10,0,0,2821.861657590302,106.0,570.0,30.0,20.0,241,10,0,10,10,1,14,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482008,10,1.0,950.0,fixed,0
3,True,12,3702.2312987698847,308.5192748974904,0.17702180000196677,7,joint_route,119,12,0,0,2940.231298769884,107.0,595.0,36.0,24.0,308,12,1,4,10,0,13,False,0,0,0,0,integrated,original,off,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3482009,12,1.0,950.0,fixed,0
3,True,12,3489.6044267879756,290.800368898998,0.1874175999982981,7,joint_route,124,12,0,0,2694.604426787975,115.0,620.0,36.0,24.0,276,12,1,22,11,6,17,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482010,12,1.0,950.0,fixed,0
3,True,15,3502.685164966853,233.51234433112353,0.22533829999156296,7,joint_route,103,15,0,0,2815.685164966852,97.0,515.0,45.0,30.0,331,15,0,20,14,10,20,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482011,15,1.0,950.0,fixed,0
3,True,13,3418.347751022014,262.9498270016934,0.19833509999443777,7,joint_route,115,13,0,0,2671.347751022014,107.0,575.0,39.0,26.0,297,13,1,14,13,13,17,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482012,13,1.0,950.0,fixed,0
