problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,extra_probe_attempts,extra_probe_successes,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,q3_probe_radius,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,13,3246.374693247738,249.721130249826,0.13853979999839794,7,joint_route,103,14,1,0,2567.374693247737,96.0,515.0,42.0,26.0,171,13,0,8,10,12,18,False,0,0,4,3,1,0,integrated,original,aggressive,60.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3484000,13,1.0,950.0,fixed,0
3,True,16,2894.536197153719,180.90851232210744,0.1995390999945812,7,joint_route,95,16,0,0,2256.536197153718,83.0,475.0,48.0,32.0,286,16,1,9,9,12,20,False,0,0,5,5,1,0,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484001,16,1.0,950.0,fixed,0
3,True,12,3290.796842596111,274.2330702163426,0.1340137999941362,7,joint_route,111,12,0,0,2572.796842596111,103.0,555.0,36.0,24.0,160,12,3,9,8,16,15,False,0,0,4,4,1,0,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484002,12,1.0,950.0,fixed,0
3,True,16,3325.5008530086775,207.84380331304234,0.18549230000644457,7,joint_route,94,17,1,0,2690.500853008678,82.0,470.0,51.0,32.0,207,16,1,13,12,19,20,False,0,0,5,4,1,0,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484003,16,1.0,950.0,fixed,0
3,True,11,2997.1840892127475,272.4712808375225,0.13670999999158084,7,joint_route,114,11,0,0,2267.184089212748,105.0,570.0,33.0,22.0,215,11,1,4,9,7,16,False,0,0,1,1,1,0,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484004,11,1.0,950.0,fixed,0
3,True,16,2843.300500771182,177.7062812981989,0.19099000000278465,5,joint_route,79,16,0,0,2301.300500771182,67.0,395.0,48.0,32.0,241,16,2,11,9,12,18,False,0,0,7,7,1,2,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484005,16,1.0,950.0,fixed,0
3,True,16,3135.746374257646,195.98414839110288,0.20733710000058636,6,joint_route,99,17,1,0,2469.746374257646,88.0,495.0,51.0,32.0,297,16,3,10,11,8,18,False,0,0,6,5,1,1,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484006,16,1.0,950.0,fixed,0
3,True,14,3221.7257295303007,230.1232663950215,0.16010149999056011,7,joint_route,96,14,0,0,2585.7257295303007,86.0,480.0,42.0,28.0,260,14,1,6,10,9,19,False,0,0,4,4,1,0,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484007,14,1.0,950.0,fixed,0
3,True,10,2627.649144252338,262.76491442523377,0.09528680000221357,7,joint_route,97,11,1,0,1998.6491442523377,91.0,485.0,33.0,20.0,80,10,1,9,6,22,15,False,0,0,5,4,1,0,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484008,10,1.0,950.0,fixed,0
3,True,14,3339.9567025780098,238.56833589842927,0.17355200000747573,7,joint_route,98,14,0,0,2689.9567025780093,90.0,490.0,42.0,28.0,238,14,0,7,12,11,19,False,0,0,2,2,1,0,integrated,original,aggressive,60.0,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3484009,14,1.0,950.0,fixed,0
3,True,16,3192.5878894474718,199.53674309046698,0.2024834999901941,6,joint_route,95,17,1,0,2549.5878894474727,85.0,475.0,51.0,32.0,318,16,4,7,13,16,17,False,0,0,4,3,1,1,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484010,16,1.0,950.0,fixed,0
3,True,15,3104.174278822283,206.94495192148554,0.15817080000124406,7,joint_route,96,16,1,0,2459.1742788222828,87.0,480.0,48.0,30.0,193,15,1,11,11,11,20,False,0,0,4,3,1,0,integrated,original,aggressive,60.0,True,0.0,LOCAL_SYNTHETIC,3484011,15,1.0,950.0,fixed,0
