problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,extra_probe_attempts,extra_probe_successes,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,q3_probe_radius,q4_probe_radius,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,12,3453.727997797722,287.8106664831435,0.15530939999734983,7,joint_route,106,14,2,0,2760.727997797722,97.0,530.0,42.0,24.0,184,12,0,11,12,5,17,False,0,0,2,0,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486000,12,1.0,950.0,fixed,0
3,True,14,3985.117518213213,284.6512513009438,0.19209120000596158,7,joint_route,116,14,0,0,3231.117518213213,104.0,580.0,42.0,28.0,329,14,0,3,13,2,18,False,0,0,1,1,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486001,14,1.0,950.0,fixed,0
3,True,12,2836.986247263929,236.4155206053274,0.12990240000362974,7,joint_route,102,12,0,0,2172.9862472639297,94.0,510.0,36.0,24.0,182,12,0,6,8,6,17,False,0,0,3,3,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486002,12,1.0,950.0,fixed,0
3,True,14,2957.287819414148,211.2348442438677,0.17477679999137763,7,joint_route,96,14,0,0,2322.287819414149,85.0,480.0,42.0,28.0,239,14,0,10,9,7,19,False,0,0,5,5,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486003,14,1.0,950.0,fixed,0
3,True,15,3410.046748691018,227.33644991273454,0.21202020000782795,7,joint_route,109,15,0,0,2693.046748691018,97.0,545.0,45.0,30.0,319,15,2,6,13,14,19,False,0,0,2,2,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486004,15,1.0,950.0,fixed,0
3,True,11,2780.198259898897,252.74529635444517,0.10899110000173096,7,joint_route,98,11,0,0,2143.1982598988966,92.0,490.0,33.0,22.0,124,11,1,7,5,17,16,False,0,0,6,6,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486005,11,1.0,950.0,fixed,0
3,True,16,3343.582515839203,208.9739072399502,0.19394140000804327,6,joint_route,87,18,2,0,2744.582515839203,78.0,435.0,54.0,32.0,241,16,7,13,13,20,14,False,0,0,5,3,1,1,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486006,16,1.0,950.0,fixed,0
3,True,10,2561.0637476853576,256.1063747685358,0.07559579999360722,7,joint_route,95,10,0,0,1946.0637476853576,90.0,475.0,30.0,20.0,45,10,0,10,4,17,15,False,0,0,6,6,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486007,10,1.0,950.0,fixed,0
3,True,14,3323.767221665767,237.41194440469764,0.1470848000026308,7,joint_route,99,14,0,0,2666.7672216657675,92.0,495.0,42.0,28.0,182,14,1,10,8,16,19,False,0,0,5,5,1,0,integrated,original,aggressive,60.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486008,14,1.0,950.0,fixed,0
3,True,11,2908.1079767822816,264.3734524347529,0.09879129999899305,7,joint_route,99,11,0,0,2265.1079767822825,93.0,495.0,33.0,22.0,81,11,1,10,4,10,16,False,0,0,7,7,1,0,integrated,original,aggressive,60.0,40.0,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3486009,11,1.0,950.0,fixed,0
3,True,16,2993.4117503430853,187.08823439644283,0.18544969998765737,6,joint_route,89,16,0,0,2390.411750343085,78.0,445.0,48.0,32.0,263,16,3,8,8,14,18,False,0,0,7,7,1,1,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486010,16,1.0,950.0,fixed,0
3,True,14,3566.436395819642,254.74545684426013,0.16073609999148175,7,joint_route,102,14,0,0,2893.436395819642,93.0,510.0,42.0,28.0,227,14,4,6,10,16,16,False,0,0,4,4,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486011,14,1.0,950.0,fixed,0
3,True,13,2901.5574543014673,223.196727253959,0.1393955000094138,7,joint_route,95,14,1,0,2270.557454301468,88.0,475.0,42.0,26.0,160,13,1,10,8,20,18,False,0,0,5,4,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486012,13,1.0,950.0,fixed,0
