problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,extra_probe_attempts,extra_probe_successes,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,q3_probe_radius,q4_probe_radius,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,12,3614.298501983789,301.1915418319824,0.16047110001090914,7,joint_route,117,12,0,0,2860.298501983789,109.0,585.0,36.0,24.0,269,12,1,17,12,5,15,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486000,12,1.0,950.0,fixed,0
3,True,14,4244.104801808079,303.1503429862914,0.23392850000527687,7,joint_route,135,14,0,0,3377.1048018080787,122.0,675.0,42.0,28.0,386,14,3,6,13,0,16,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3486001,14,1.0,950.0,fixed,0
3,True,12,3398.295285634475,283.1912738028729,0.17503389999910723,7,joint_route,115,12,0,0,2656.2952856344755,107.0,575.0,36.0,24.0,263,12,0,14,11,2,16,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486002,12,1.0,950.0,fixed,0
3,True,14,3866.635467611271,276.18824768651933,0.1909209000004921,7,joint_route,113,14,0,0,3127.6354676112705,104.0,565.0,42.0,28.0,328,14,1,13,14,2,18,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486003,14,1.0,950.0,fixed,0
3,True,15,3765.898338602122,251.05988924014144,0.21949540000059642,7,joint_route,113,15,0,0,3020.8983386021227,105.0,565.0,45.0,30.0,342,15,2,12,15,5,19,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486004,15,1.0,950.0,fixed,0
3,True,11,3148.6409229274595,286.24008390249634,0.1460642000020016,7,joint_route,115,11,0,0,2406.640922927459,112.0,575.0,33.0,22.0,195,11,1,19,11,5,16,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3486005,11,1.0,950.0,fixed,0
3,True,16,3237.7151630723533,202.35719769202208,0.23887380000087433,6,joint_route,102,16,0,0,2555.715163072353,92.0,510.0,48.0,32.0,398,16,0,21,16,9,21,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486006,16,1.0,950.0,fixed,0
3,True,10,3411.9279803751256,341.19279803751255,0.16625950000889134,7,joint_route,121,10,0,0,2642.9279803751256,114.0,605.0,30.0,20.0,231,10,0,20,10,5,15,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486007,10,1.0,950.0,fixed,0
3,True,14,3665.9938843629784,261.85670602592705,0.2271591000026092,7,joint_route,117,14,0,0,2903.993884362978,107.0,585.0,42.0,28.0,344,14,3,18,13,7,17,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486008,14,1.0,950.0,fixed,0
3,True,11,3892.75526298439,353.88684208949,0.16064230000483803,7,joint_route,112,11,0,0,3174.7552629843894,103.0,560.0,33.0,22.0,283,11,0,12,11,3,16,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486009,11,1.0,950.0,fixed,0
3,True,16,3809.230127364428,238.07688296027675,0.2567591000115499,7,joint_route,117,16,0,0,3036.2301273644275,108.0,585.0,48.0,32.0,377,16,1,20,16,4,20,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486010,16,1.0,950.0,fixed,0
