arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,sources,stations_visited,switch_s,virtual_time_s,wall_s
default,410,16,16,True,16,0,0,1,32.0,257.02331420202836,103,515.0,3425.3730272324538,0,0,0,True,20,48.0,3,0.297858100006124,20,14,joint_route,3000000,4,16,7,92.0,4112.373027232454,0.301226299998234
negative,398,16,16,True,16,0,0,1,32.0,251.58738063001715,102,510.0,3343.3980900802744,56,55,0,True,20,48.0,3,0.29023030000098515,20,15,joint_route,3000000,4,16,7,92.0,4025.3980900802744,0.29031149999354966
default,304,13,13,True,13,0,0,0,26.0,263.6245837673747,112,560.0,2699.1195889758715,0,0,0,True,9,39.0,3,0.21354250000149477,17,12,joint_route,3000001,3,13,7,103.0,3427.1195889758715,0.2136019000026863
negative,304,13,13,True,13,0,0,0,26.0,263.38809615839125,112,560.0,2696.0452500590864,60,79,0,True,9,39.0,3,0.22907530001248233,17,12,joint_route,3000001,3,13,7,103.0,3424.0452500590864,0.22915070000453852
default,319,15,15,True,15,0,0,2,30.0,280.2994445022169,121,605.0,3409.4916675332533,0,0,0,True,24,45.0,3,0.25795970000035595,18,15,joint_route,3000002,5,15,7,115.0,4204.491667533253,0.2580286000011256
negative,331,15,15,True,15,0,0,2,30.0,277.04231207150275,122,610.0,3355.634681072541,91,80,0,True,24,45.0,3,0.2498522999958368,18,15,joint_route,3000002,5,15,7,115.0,4155.634681072541,0.24998770000820514
default,299,14,14,True,14,0,0,3,28.0,279.7172423379855,116,580.0,3156.041392731797,0,0,0,True,22,42.0,3,0.2550422000058461,17,14,joint_route,3000003,5,14,7,110.0,3916.041392731797,0.2551134999957867
negative,311,14,14,True,14,0,0,3,28.0,279.88228345785586,117,585.0,3153.351968409982,81,73,0,True,22,42.0,3,0.2589270000025863,17,14,joint_route,3000003,5,14,7,110.0,3918.351968409982,0.2590020000061486
default,297,14,14,True,14,0,0,2,28.0,243.40127676893283,118,590.0,2635.617874765061,0,0,0,True,23,42.0,3,0.22075919999042526,17,13,joint_route,3000004,4,14,7,112.0,3407.6178747650597,0.22082570000202395
negative,309,14,14,True,14,0,0,2,28.0,242.39574315439128,119,595.0,2616.540404161478,81,79,0,True,23,42.0,3,0.23215549999440555,17,13,joint_route,3000004,4,14,7,112.0,3393.540404161478,0.23223049999796785
default,350,15,15,True,15,0,0,1,30.0,239.85710853168803,110,550.0,2871.856627975321,0,0,0,True,11,45.0,3,0.2515849000046728,19,15,joint_route,3000005,2,15,7,101.0,3597.8566279753204,0.2516465000080643
negative,362,15,15,True,15,0,0,1,30.0,239.37029606379545,111,555.0,2859.5544409569316,82,70,0,True,11,45.0,3,0.26166820000798907,19,15,joint_route,3000005,2,15,7,101.0,3590.5544409569316,0.2617465000075754
default,236,10,10,True,10,0,0,1,20.0,376.02499137870836,121,605.0,2991.2499137870846,0,0,0,True,13,30.0,3,0.17115530000592116,14,10,joint_route,3000006,3,10,7,114.0,3760.2499137870836,0.17122000000381377
negative,215,10,10,True,10,0,0,1,20.0,367.99870583678745,120,600.0,2915.987058367875,40,93,0,True,13,30.0,3,0.15671549999387935,14,10,joint_route,3000006,3,10,7,114.0,3679.9870583678744,0.15678980000666343
default,285,12,12,True,12,0,0,1,24.0,315.01281136719496,123,615.0,2992.1537364063392,0,0,0,True,6,36.0,3,0.20092379998823162,15,11,joint_route,3000007,1,12,7,113.0,3780.1537364063397,0.20098720000532921
