absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,sources,stations_visited,switch_s,virtual_time_s,wall_s
0,default,27,0,11,10,True,0,10,0,0,1,1,0,20.0,671.1496034274352,367,1835.0,4484.4960342743525,True,0,33.0,0,4,0.23553379999066237,0,0,0,0,35,3,3100000,19,6,6,10,25,339.0,6711.496034274352,0.25374790000205394
0,noclosure,27,0,11,10,True,0,10,0,0,1,1,0,20.0,671.1496034274352,367,1835.0,4484.4960342743525,True,0,33.0,0,4,0.24134649999905378,0,0,0,0,35,3,3100000,19,6,6,10,25,339.0,6711.496034274352,0.2575351999985287
0,step,14,0,11,10,True,0,10,0,0,1,1,0,20.0,670.554752154799,367,1835.0,4478.54752154799,True,0,33.0,0,4,0.23595899999781977,0,1,7,3,37,3,3100000,19,6,6,10,25,339.0,6705.547521547989,0.2523713999980828
0,default,25,0,12,12,True,0,12,0,0,0,0,0,24.0,518.3019077113918,310,1550.0,4323.6228925367,True,0,36.0,0,4,0.1330048999952851,0,0,0,0,37,5,3100001,31,7,7,12,25,286.0,6219.622892536701,0.15122400000109337
0,noclosure,25,0,12,12,True,0,12,0,0,0,0,0,24.0,518.3019077113918,310,1550.0,4323.6228925367,True,0,36.0,0,4,0.1316515999933472,0,0,0,0,37,5,3100001,31,7,7,12,25,286.0,6219.622892536701,0.14794379999511875
0,step,41,0,12,12,True,0,12,0,0,0,0,0,24.0,496.6691999210644,293,1465.0,4165.030399052773,True,0,36.0,0,4,0.15763800000422634,0,0,12,7,44,5,3100001,20,7,7,12,25,270.0,5960.030399052773,0.17424579999351408
0,default,75,0,11,10,True,0,10,0,0,1,0,0,20.0,642.9341855470755,355,1775.0,4268.341855470754,True,0,33.0,0,4,0.15706409999984317,0,0,0,0,35,6,3100002,47,5,4,10,25,333.0,6429.341855470755,0.17343919999257196
0,noclosure,75,0,11,10,True,0,10,0,0,1,0,0,20.0,642.9341855470755,355,1775.0,4268.341855470754,True,0,33.0,0,4,0.15674779999244493,0,0,0,0,35,6,3100002,47,5,4,10,25,333.0,6429.341855470755,0.17295630001171958
0,step,49,0,11,10,True,0,10,0,0,1,0,0,20.0,633.494365906533,354,1770.0,4178.943659065329,True,0,33.0,0,4,0.14277449999644887,0,0,14,8,43,6,3100002,47,5,4,10,25,333.0,6334.9436590653295,0.1588493000017479
0,default,0,0,11,11,True,0,11,0,0,0,0,0,22.0,578.9623131150879,329,1645.0,4362.585444265967,True,0,33.0,0,4,0.10221730000921525,0,0,0,0,36,6,3100003,32,5,5,11,25,306.0,6368.585444265967,0.11856879999686498
0,noclosure,0,0,11,11,True,0,11,0,0,0,0,0,22.0,578.9623131150879,329,1645.0,4362.585444265967,True,0,33.0,0,4,0.1059116999967955,0,0,0,0,36,6,3100003,32,5,5,11,25,306.0,6368.585444265967,0.12266310000268277
0,step,11,0,49,11,True,0,11,0,0,38,1,0,22.0,624.4996411893276,375,1875.0,4479.496053082618,True,0,147.0,0,4,0.25751160000800155,0,1,10,4,40,5,3100003,21,6,5,11,25,346.0,6869.496053082603,0.27370979999250267
0,default,51,0,13,12,True,0,12,0,0,1,0,0,24.0,534.520704669676,332,1660.0,4383.248456036112,True,0,39.0,0,4,0.15173899999354035,0,0,0,0,37,7,3100004,39,6,5,12,25,308.0,6414.248456036112,0.16784510000434238
0,noclosure,51,0,13,12,True,0,12,0,0,1,0,0,24.0,534.520704669676,332,1660.0,4383.248456036112,True,0,39.0,0,4,0.1513587999943411,0,0,0,0,37,7,3100004,39,6,5,12,25,308.0,6414.248456036112,0.16864040000655223
0,step,37,0,14,12,True,0,12,0,0,2,0,0,24.0,534.3125529472495,332,1660.0,4377.750635366993,True,0,42.0,0,4,0.1457024000119418,0,0,14,7,44,7,3100004,39,7,5,12,25,308.0,6411.750635366994,0.1628878000046825
0,default,127,0,14,12,True,0,12,0,0,2,0,0,24.0,533.0766765751655,340,1700.0,4315.920118901988,True,0,42.0,1,4,0.24484679999295622,0,0,0,0,37,9,3100005,75,5,3,12,25,315.0,6396.920118901986,0.26147060000221245
0,noclosure,127,0,14,12,True,0,12,0,0,2,0,0,24.0,533.0766765751655,340,1700.0,4315.920118901988,True,0,42.0,1,4,0.24537029999191873,0,0,0,0,37,9,3100005,75,5,3,12,25,315.0,6396.920118901986,0.26164280000375584
