candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
109,31,14,True,0,,17,1,0,28.0,centered,paper,0.0,727.2833180180766,274,1370.0,8461.966452253075,True,True,0,93.0,0,4,1.0638850999966962,13,random,1400000,31,31,229.0,4691.607677247485,14,10181.966452253071,1.0640086999919731
109,31,14,True,0,,17,1,0,28.0,compressed,paper,0.0,652.0266035642753,274,1370.0,7408.3724498998545,True,True,0,93.0,0,4,1.9264670000120532,13,random,1400000,31,31,229.0,3638.0136748942687,14,9128.372449899854,1.926563700006227
201,20,16,True,0,,4,1,0,32.0,centered,paper,0.0,288.12544127030964,121,605.0,3820.0070603249537,True,True,0,60.0,3,4,1.6294188999891048,15,random,1400001,31,8,93.0,0.0,16,4610.007060324954,1.6295140000001993
201,20,16,True,0,,4,1,0,32.0,compressed,paper,0.0,288.12544127030964,121,605.0,3820.0070603249537,True,True,0,60.0,3,4,1.3737553000100888,15,random,1400001,31,8,93.0,0.0,16,4610.007060324954,1.373823000001721
158,21,16,True,0,,5,1,0,32.0,centered,paper,0.0,418.2704678225228,165,825.0,5645.327485160365,True,True,0,63.0,2,4,0.8790640999941388,15,random,1400002,31,13,127.0,0.0,16,6692.327485160365,0.8791689000063343
158,21,16,True,0,,5,1,0,32.0,compressed,paper,0.0,418.2704678225228,165,825.0,5645.327485160365,True,True,0,63.0,2,4,0.7679855000023963,15,random,1400002,31,13,127.0,0.0,16,6692.327485160365,0.7680648999958066
132,11,11,True,0,,0,0,0,22.0,centered,paper,0.0,906.0331682914596,360,1800.0,7791.364851206056,True,True,0,33.0,1,4,0.31138270000519697,11,random,1400003,31,31,320.0,4583.979397163787,11,9966.364851206055,0.3114552999904845
132,11,11,True,0,,0,0,0,22.0,compressed,paper,0.0,820.9731857210631,360,1800.0,6855.705042931693,True,True,0,33.0,1,4,0.3225399999937508,11,random,1400003,31,31,320.0,3648.319588889427,11,9030.705042931695,0.32263439999951515
187,67,14,True,0,,53,2,0,28.0,centered,paper,0.0,747.419839012128,295,1475.0,8511.87774616979,True,True,0,201.0,1,4,0.8215059000067413,12,random,1400004,31,31,248.0,3817.7002352975223,14,10463.877746169792,0.8216132999950787
187,67,14,True,0,,53,2,0,28.0,compressed,paper,0.0,678.9124114994856,295,1475.0,7552.773760992799,True,True,0,201.0,1,4,0.7807242999988375,12,random,1400004,31,31,248.0,2858.5962501205295,14,9504.773760992799,0.7808478999941144
181,18,15,True,0,,3,1,0,30.0,centered,paper,1.1368683772161603e-13,655.9640028972182,248,1240.0,8313.46004345827,True,True,0,54.0,0,4,0.5749555999937002,14,random,1400005,31,31,202.0,2493.4314097125853,15,9839.460043458272,0.5750232999998843
