candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
0,185,15,True,0,,170,12,0,30.0,centered,paper,0.0,863.2750185276415,515,2575.0,9304.125277914576,True,True,0,555.0,0,4,0.942676599996048,3,boundary_outward,1600000,31,31,485.0,0.0,15,12949.125277914622,0.9427680999942822
36,127,15,True,0,,112,8,0,30.0,compressed,paper,0.0,744.5901231685059,503,2515.0,7774.851847527591,True,True,0,381.0,5,4,1.4316741999937221,7,boundary_outward,1600000,31,31,468.0,220.07148365538706,15,11168.851847527589,1.431795799988322
12,156,13,True,0,,143,7,0,26.0,centered,paper,0.0,982.7226755100396,520,2600.0,9197.394781630479,True,True,0,468.0,2,4,0.814040199998999,6,boundary_outward,1600001,31,31,484.0,416.3598947515111,13,12775.394781630515,0.8142215999978362
16,101,13,True,0,,88,6,0,26.0,compressed,paper,0.0,801.6585477650101,527,2635.0,6961.561120945126,True,True,0,303.0,3,4,1.2653569000103744,7,boundary_outward,1600001,31,31,496.0,78.83364052942306,13,10421.56112094513,1.2655200000008335
8,95,11,True,0,,84,7,0,22.0,centered,paper,0.0,1068.2544135887638,540,2700.0,8233.798549476425,True,True,0,285.0,1,4,0.5362535000022035,4,boundary_outward,1600002,31,31,510.0,210.94781570673695,11,11750.798549476402,0.5364258000045083
7,66,11,True,0,,55,4,0,22.0,compressed,paper,0.0,913.4310121491413,534,2670.0,6656.741133640559,True,True,0,198.0,1,4,0.910860899995896,7,boundary_outward,1600002,31,31,501.0,265.29321319742667,11,10047.741133640555,0.9110198999987915
0,106,10,True,0,,96,8,0,20.0,centered,paper,0.0,1171.0391502398656,549,2745.0,8110.3915023986965,True,True,0,318.0,0,4,0.7402451999951154,2,boundary_outward,1600003,31,31,517.0,228.9985254493895,10,11710.391502398657,0.7404242000047816
9,88,10,True,0,,78,6,0,20.0,compressed,paper,0.0,1017.2609209339669,546,2730.0,6644.609209339653,True,True,0,264.0,1,4,1.2198960999958217,4,boundary_outward,1600003,31,31,514.0,154.7559031816727,10,10172.60920933967,1.2200622999953339
0,195,15,True,0,,180,12,0,30.0,centered,paper,0.0,875.9941325993108,511,2555.0,9491.911988989705,True,True,0,585.0,0,4,1.3073812999937218,3,boundary_outward,1600004,31,31,478.0,201.33728032428735,15,13139.911988989661,1.307597100007115
0,220,15,True,0,,205,10,0,30.0,compressed,paper,0.0,777.4081654129517,513,2565.0,7926.122481194218,True,True,0,660.0,0,4,1.8843114000046626,5,boundary_outward,1600004,31,31,480.0,65.33268175875673,15,11661.122481194276,1.884539799997583
5,61,11,True,0,,50,7,0,22.0,centered,paper,0.0,1040.1660258803583,542,2710.0,8015.826284683919,True,True,0,183.0,1,4,0.8338517000083812,4,boundary_outward,1600005,31,31,511.0,206.29022199470091,11,11441.826284683943,0.8340271999913966
12,136,11,True,0,,125,4,0,22.0,compressed,paper,0.0,978.658209284965,533,2665.0,7171.240302134607,True,True,0,408.0,2,4,0.9162725000060163,7,boundary_outward,1600005,31,31,499.0,281.1775049106018,11,10765.240302134614,0.9165173999936087
0,32,12,True,0,,20,5,0,24.0,centered,paper,0.0,914.7611078274473,523,2615.0,7750.133293929376,True,True,0,96.0,0,4,0.49230899999383837,7,boundary_outward,1600006,31,31,492.0,431.12117343487444,12,10977.133293929368,0.492468700002064
0,103,12,True,0,,91,6,0,24.0,compressed,paper,0.0,862.243716405896,533,2665.0,6844.924596870734,True,True,0,309.0,0,4,1.3805420999997295,6,boundary_outward,1600006,31,31,504.0,90.7341548318418,12,10346.924596870751,1.380689199999324
0,201,11,True,0,,190,8,0,22.0,centered,paper,0.0,1146.3093606174175,542,2710.0,8760.402966791582,True,True,0,603.0,0,4,0.7145522000064375,3,boundary_outward,1600007,31,31,514.0,203.04271750536827,11,12609.402966791593,0.7147578000003705
13,63,11,True,0,,52,4,0,22.0,compressed,paper,0.0,899.7301161512013,530,2650.0,6538.031277663209,True,True,0,189.0,0,4,0.7904137000004994,7,boundary_outward,1600007,31,31,498.0,294.50289221612184,11,9897.031277663214,0.7905916000017896
7,114,10,True,0,,104,6,0,20.0,centered,paper,0.0,1182.9035600939667,544,2720.0,8231.035600939715,True,True,0,342.0,1,4,0.7062708000012208,4,boundary_outward,1600008,31,31,516.0,248.12562725926546,10,11829.035600939667,0.7064440999965882
7,64,10,True,0,,54,4,0,20.0,compressed,paper,9.094947017729282e-13,975.6286563892891,544,2720.0,6308.2865638929115,True,True,0,192.0,1,4,0.9138425999990432,6,boundary_outward,1600008,31,31,516.0,141.9913418256583,10,9756.28656389289,0.91403870000795
6,182,11,True,0,,171,7,0,22.0,centered,paper,0.0,1142.4812441717265,545,2725.0,8761.293685888975,True,True,0,546.0,1,4,0.6971007000101963,4,boundary_outward,1600009,31,31,513.0,0.0,11,12567.293685888992,0.6973288000008324
21,72,11,True,0,,61,4,0,22.0,compressed,paper,0.0,918.1261953829585,532,2660.0,6704.388149212537,True,True,0,216.0,3,4,0.8822452000022167,7,boundary_outward,1600009,31,31,497.0,309.3071001145381,11,10099.388149212544,0.88241669999843
11,115,13,True,0,,102,8,0,26.0,centered,paper,1.8189894035458565e-12,946.9531905530101,528,2640.0,8803.391477189149,True,True,0,345.0,2,4,1.0203876000014134,5,boundary_outward,1600010,31,31,496.0,193.95103450500574,13,12310.391477189132,1.0205672000010964
32,102,13,True,0,,89,6,0,26.0,compressed,paper,0.0,825.0000872407146,523,2615.0,7290.001134129327,True,True,0,306.0,4,4,1.3792515999957686,7,boundary_outward,1600010,31,31,488.0,232.04307908449482,13,10725.00113412929,1.3794281000009505
32,39,15,True,0,,24,5,0,30.0,centered,paper,0.0,794.9409684688882,506,2530.0,8777.114527033322,True,True,0,117.0,5,4,0.6393030999897746,10,boundary_outward,1600011,31,31,470.0,234.9545660265594,15,11924.114527033322,0.6394758999958867
31,125,15,True,0,,110,7,0,30.0,compressed,paper,0.0,743.9283582729853,511,2555.0,7722.9253740948225,True,True,0,375.0,4,4,1.6661970999994082,8,boundary_outward,1600011,31,31,476.0,99.57935935611931,15,11158.925374094779,1.6663907000038307
0,55,11,True,0,,44,8,0,22.0,centered,paper,0.0,1054.1130299108106,546,2730.0,8163.243329018922,True,True,0,165.0,0,4,0.8674568999995245,3,boundary_outward,1600012,31,31,515.0,0.0,11,11595.243329018916,0.8676951999950688
10,76,11,True,0,,65,5,0,22.0,compressed,paper,0.0,913.4599275503216,528,2640.0,6662.0592030535545,True,True,0,228.0,2,4,1.0988768999959575,6,boundary_outward,1600012,31,31,496.0,324.2080109458457,11,10048.059203053537,1.0990397999994457
0,96,12,True,0,,84,6,0,24.0,centered,paper,0.0,1018.5817565000234,535,2675.0,8731.981078000266,True,True,0,288.0,0,4,1.3390344999934314,6,boundary_outward,1600013,31,31,504.0,192.36856743769022,12,12222.98107800028,1.3392251000041142
23,130,12,True,0,,118,9,0,24.0,compressed,paper,0.0,917.1748144933055,536,2680.0,7407.0977739196405,True,True,0,390.0,3,4,1.9410480999940773,3,boundary_outward,1600013,31,31,505.0,95.28064983430158,12,11006.097773919666,1.9413587000017287
32,125,16,True,0,,109,10,0,32.0,centered,paper,0.0,791.5506203596857,511,2555.0,9226.809925754958,True,True,0,375.0,4,4,1.3751868000108516,6,boundary_outward,1600014,31,31,476.0,0.0,16,12664.809925754971,1.3753847999905702
6,202,16,True,0,,186,9,0,32.0,compressed,paper,0.0,716.5574310848997,486,2430.0,7943.9188973584,True,True,0,606.0,1,4,1.8602482999995118,7,boundary_outward,1600014,31,29,453.0,0.0,16,11464.918897358395,1.8604307000059634
0,55,10,True,0,,45,8,0,20.0,centered,paper,0.0,1149.7530481658875,550,2750.0,8042.530481658895,True,True,0,165.0,0,4,0.9533762000064598,2,boundary_outward,1600015,31,31,520.0,222.4946004558351,10,11497.530481658876,0.9540841000125511
21,112,10,True,0,,102,7,0,20.0,compressed,paper,0.0,1069.1977624165706,554,2770.0,7043.977624165724,True,True,0,336.0,3,4,1.778017800010275,3,boundary_outward,1600015,31,31,522.0,99.61114313128382,10,10691.977624165705,1.778208400006406
0,183,15,True,0,,168,12,0,30.0,centered,paper,9.094947017729282e-13,868.4867218080398,518,2590.0,9373.300827120596,True,True,0,549.0,0,4,1.2872168000030797,3,boundary_outward,1600016,31,31,485.0,0.0,15,13027.300827120596,1.2879338000057032
6,118,15,True,0,,103,8,0,30.0,compressed,paper,0.0,717.175941307922,505,2525.0,7377.6391196188215,True,True,0,354.0,1,4,1.6727129999926547,7,boundary_outward,1600016,31,31,471.0,129.73136910941503,15,10757.63911961883,1.6729163999989396
8,35,10,True,0,,25,5,0,20.0,centered,paper,0.0,1118.579061764827,549,2745.0,7796.790617648268,True,True,0,105.0,1,4,0.6063659000064945,5,boundary_outward,1600017,31,31,519.0,212.87568608576112,10,11185.79061764827,0.6065371000004234
9,45,10,True,0,,35,3,0,20.0,compressed,paper,0.0,960.4263923581844,539,2695.0,6248.26392358185,True,True,0,135.0,2,4,0.7042536000080872,7,boundary_outward,1600017,31,31,506.0,310.9189270066636,10,9604.263923581844,0.7044167999993078
19,292,14,True,0,,278,8,0,28.0,centered,paper,0.0,1004.192017542737,514,2570.0,10104.68824559832,True,True,0,876.0,3,4,0.6475519999949029,6,boundary_outward,1600018,31,31,480.0,252.9288853266462,14,14058.688245598318,0.64777110000432
31,188,14,True,0,,174,7,0,28.0,compressed,paper,0.0,832.5025902919546,523,2615.0,7962.036264087341,True,True,0,564.0,4,4,1.4450294999987818,7,boundary_outward,1600018,31,31,486.0,96.77389129147741,14,11655.036264087365,1.4452148999989731
0,183,15,True,0,,168,9,0,30.0,centered,paper,9.094947017729282e-13,870.9202477520198,511,2555.0,9449.803716280276,True,True,0,549.0,0,4,1.1317042000009678,6,boundary_outward,1600019,31,31,480.0,176.50859288222455,15,13063.803716280298,1.1319031000020914
0,81,15,True,0,,66,5,0,30.0,compressed,paper,0.0,679.2206786370657,498,2490.0,6959.3101795560015,True,True,0,243.0,0,4,1.0916087000077823,10,boundary_outward,1600019,31,31,466.0,207.33330875851243,15,10188.310179555985,1.0918965000018943
