candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
305,15,15,True,0,,0,0,0,30.0,centered,paper,0.0,595.5838194775104,303,1515.0,7082.757292162656,True,True,0,45.0,0,4,0.5120719999977155,15,boundary_tangent,1600000,31,31,261.0,3859.7908248105805,15,8933.757292162656,0.5121220000000903
305,15,15,True,0,,0,0,0,30.0,compressed,paper,0.0,527.2372550529809,303,1515.0,6057.558825794711,True,True,0,45.0,0,4,0.5388224000053015,15,boundary_tangent,1600000,31,31,261.0,2834.5923584426373,15,7908.558825794713,0.5390388999949209
140,13,13,True,0,,0,0,0,26.0,centered,paper,0.0,714.0204818501431,373,1865.0,7012.266264051859,True,True,0,39.0,2,4,0.314216500002658,13,boundary_tangent,1600001,31,31,340.0,430.93186417066863,13,9282.266264051861,0.314305299994885
140,13,13,True,0,,0,0,0,26.0,compressed,paper,0.0,636.328369257259,373,1865.0,6002.268800344369,True,True,0,39.0,2,4,0.31372750000446104,13,boundary_tangent,1600001,31,31,340.0,295.6140694800997,13,8272.268800344367,0.3138242999993963
205,11,11,True,0,,0,0,0,22.0,centered,paper,0.0,909.5149330712007,413,2065.0,7508.664263783209,True,True,0,33.0,2,4,0.3944098999927519,11,boundary_tangent,1600002,31,31,376.0,443.22885322021284,11,10004.664263783208,0.39450439999927767
205,11,11,True,0,,0,0,0,22.0,compressed,paper,0.0,814.8204964848005,427,2135.0,6383.025461332803,True,True,0,33.0,2,4,0.394257000007201,11,boundary_tangent,1600002,31,31,390.0,121.91925390836332,11,8963.025461332805,0.39437379999435507
215,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,954.8427423407231,439,2195.0,6903.427423407231,True,True,0,30.0,1,4,0.4835602000093786,10,boundary_tangent,1600003,31,31,400.0,469.11768710594333,10,9548.42742340723,0.48368699999991804
215,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,844.8963311705513,441,2205.0,5791.963311705514,True,True,0,30.0,1,4,0.5138412999949651,10,boundary_tangent,1600003,31,31,402.0,129.3653655151229,10,8448.963311705513,0.5139785000064876
263,15,15,True,0,,0,0,0,30.0,centered,paper,0.0,643.1432000186566,345,1725.0,7546.148000279846,True,True,0,45.0,1,4,0.6853682000073604,15,boundary_tangent,1600004,31,31,301.0,1063.1748415206202,15,9647.148000279849,0.6854920000041602
263,15,15,True,0,,0,0,0,30.0,compressed,paper,0.0,567.8216877120922,348,1740.0,6398.325315681381,True,True,0,45.0,1,4,0.6471202000102494,15,boundary_tangent,1600004,31,31,304.0,585.5107033504255,15,8517.325315681383,0.647232699993765
193,11,11,True,0,,0,0,0,22.0,centered,paper,9.094947017729282e-13,862.5629765497772,405,2025.0,7038.192742047548,True,True,0,33.0,0,4,0.4815402999956859,11,boundary_tangent,1600005,31,31,370.0,449.80176439987736,11,9488.19274204755,0.4816945000056876
193,11,11,True,0,,0,0,0,22.0,compressed,paper,9.094947017729282e-13,774.0417792360673,405,2025.0,6064.459571596741,True,True,0,33.0,0,4,0.4626964000053704,11,boundary_tangent,1600005,31,31,370.0,307.3075762320768,11,8514.45957159674,0.4628377999906661
177,12,12,True,0,,0,0,0,24.0,centered,paper,0.0,744.5024498491047,364,1820.0,6724.029398189253,True,True,0,36.0,1,4,0.45957560000533704,12,boundary_tangent,1600006,31,31,330.0,4184.728074862612,12,8934.029398189256,0.45977239999047015
177,12,12,True,0,,0,0,0,24.0,compressed,paper,0.0,658.957027864191,364,1820.0,5697.4843343702905,True,True,0,36.0,1,4,0.4461503000056837,12,boundary_tangent,1600006,31,31,330.0,3158.1830110436485,12,7907.484334370292,0.44627630000468343
203,11,11,True,0,,0,0,0,22.0,centered,paper,1.1368683772161603e-13,876.4515586981942,412,2060.0,7152.967145680135,True,True,0,33.0,1,4,0.4798688000009861,11,boundary_tangent,1600007,31,31,373.0,444.7723646098475,11,9640.967145680135,0.48000719999254216
203,11,11,True,0,,0,0,0,22.0,compressed,paper,1.1368683772161603e-13,785.0906835611382,412,2060.0,6147.997519172521,True,True,0,33.0,1,4,0.45370460000413004,11,boundary_tangent,1600007,31,31,373.0,297.6564428407164,11,8635.99751917252,0.45384659999399446
148,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,1027.7745634693674,447,2235.0,7585.745634693679,True,True,0,30.0,1,4,0.39464650000445545,10,boundary_tangent,1600008,31,31,407.0,960.0982404093538,10,10277.745634693674,0.39481299999170005
183,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,898.1964282369383,448,2240.0,6284.964282369385,True,True,0,30.0,0,4,0.4316432000050554,10,boundary_tangent,1600008,31,31,407.0,682.9893864476853,10,8981.964282369383,0.4317819999996573
182,11,11,True,0,,0,0,0,22.0,centered,paper,1.1368683772161603e-13,860.3070730725667,393,1965.0,7089.377803798237,True,True,0,33.0,1,4,0.4462125999998534,11,boundary_tangent,1600009,31,31,354.0,3142.528505079308,11,9463.377803798234,0.44633109999995213
203,11,11,True,0,,0,0,0,22.0,compressed,paper,1.1368683772161603e-13,762.6707072612859,403,2015.0,5956.377779874145,True,True,0,33.0,0,4,0.43840529999579303,11,boundary_tangent,1600009,31,31,363.0,676.2335704383404,11,8389.377779874145,0.4385288000048604
259,13,13,True,0,,0,0,0,26.0,centered,paper,5.684341886080802e-14,753.7512991361174,374,1870.0,7530.766888769524,True,True,0,39.0,1,4,0.5958973999950103,13,boundary_tangent,1600010,31,31,333.0,430.28993643114154,13,9798.766888769525,0.5960264000023017
