candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
118,32,15,True,0,,17,2,0,30.0,centered,paper,1.1368683772161603e-13,650.592990277378,315,1575.0,7780.8948541606715,True,True,0,96.0,1,4,0.9087854000099469,13,minus,1600000,31,31,277.0,1133.7491023815637,15,9758.89485416067,0.9088422000058927
150,31,15,True,0,,16,1,0,30.0,compressed,paper,1.1368683772161603e-13,578.2246255762938,317,1585.0,6687.369383644409,True,True,0,93.0,2,4,0.7174622000020463,14,minus,1600000,31,31,278.0,786.5893822062462,15,8673.369383644407,0.7175713000033284
150,13,13,True,0,,0,0,0,26.0,centered,paper,9.094947017729282e-13,762.8076920625361,357,1785.0,7748.499996812971,True,True,0,39.0,1,4,0.3810550000052899,13,minus,1600001,31,31,318.0,679.2370341161677,13,9916.49999681297,0.38122239999938756
150,13,13,True,0,,0,0,0,26.0,compressed,paper,9.094947017729282e-13,674.2506785610027,355,1775.0,6609.258821293037,True,True,0,39.0,1,4,0.36223009999957867,13,minus,1600001,31,31,316.0,631.3121857304523,13,8765.258821293035,0.36235550000856165
83,95,11,True,0,,84,3,0,22.0,centered,paper,0.0,969.9157050578694,350,1750.0,8304.072755636567,True,True,0,285.0,0,4,0.9612323999899672,8,minus,1600002,31,31,308.0,3630.364665310838,11,10669.072755636564,0.9613518999976804
83,105,11,True,0,,94,4,0,22.0,compressed,paper,0.0,898.7349331868797,351,1755.0,7486.084265055679,True,True,0,315.0,0,4,1.1788165000034496,7,minus,1600002,31,31,308.0,2863.9050346815975,11,9886.084265055677,1.1789242999948328
40,112,10,True,0,,102,5,0,20.0,centered,paper,1.1368683772161603e-13,1098.2197471082309,430,2150.0,8082.197471082309,True,True,0,336.0,1,4,1.2308583999983966,5,minus,1600003,31,31,394.0,1991.1950803003056,10,10982.197471082309,1.2309975999960443
47,32,10,True,0,,22,4,0,20.0,compressed,paper,1.1368683772161603e-13,924.9078063917153,432,2160.0,6577.0780639171535,True,True,0,96.0,2,4,1.209731399998418,6,minus,1600003,31,31,396.0,1288.25031994032,10,9249.078063917153,1.2098907000035979
111,57,15,True,0,,42,3,0,30.0,centered,paper,4.547473508864641e-13,667.9289076363943,271,1355.0,8231.933614545915,True,True,0,171.0,1,4,1.064453400002094,12,minus,1600004,31,31,231.0,3870.4177721334245,15,10018.933614545915,1.0645840000070166
111,57,15,True,0,,42,3,0,30.0,compressed,paper,4.547473508864641e-13,601.4885841696482,271,1355.0,7235.328762544721,True,True,0,171.0,1,4,1.057778899994446,12,minus,1600004,31,31,231.0,2873.8129201322326,15,9022.328762544723,1.0579087999940384
