candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
101,12,10,True,0,,2,1,0,20.0,centered,paper,0.0,1054.1543906157463,399,1995.0,8132.543906157463,True,True,0,36.0,1,4,0.6499196999939159,9,n10,1600000,31,31,358.0,1345.9193582409698,10,10541.543906157463,0.6500018999940949
101,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,929.8235576510612,395,1975.0,6918.235576510611,True,True,0,30.0,1,4,0.3177882000018144,10,n10,1600000,31,31,355.0,1516.2545469543356,10,9298.235576510611,0.3179149000061443
124,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,973.8876397113825,362,1810.0,7558.876397113828,True,True,0,30.0,1,4,0.3551443000033032,10,n10,1600001,31,31,320.0,5670.100130679137,10,9738.876397113825,0.3552362000045832
124,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,880.3216588839465,362,1810.0,6623.216588839465,True,True,0,30.0,1,4,0.38271209999220446,10,n10,1600001,31,31,320.0,4734.440322404776,10,8803.216588839465,0.3827753999939887
81,16,10,True,0,,6,1,0,20.0,centered,paper,0.0,954.7310859515928,377,1885.0,7254.3108595159265,True,True,0,48.0,0,4,0.34831149999808986,9,n10,1600002,31,31,340.0,5384.786193480744,10,9547.310859515928,0.3483845000009751
81,16,10,True,0,,6,1,0,20.0,compressed,paper,0.0,849.3716857162535,377,1885.0,6200.716857162535,True,True,0,48.0,0,4,0.3456640999938827,9,n10,1600002,31,31,340.0,4331.192191127351,10,8493.716857162535,0.3458280999911949
104,15,10,True,0,,5,1,0,20.0,centered,paper,0.0,914.0542096183665,375,1875.0,6862.54209618366,True,True,0,45.0,3,4,0.6411558000108926,9,n10,1600003,31,31,338.0,5664.254212942871,10,9140.542096183664,0.64126099999703
104,15,10,True,0,,5,1,0,20.0,compressed,paper,0.0,808.6948093830308,375,1875.0,5808.948093830306,True,True,0,45.0,3,4,0.6552471000031801,9,n10,1600003,31,31,338.0,4610.6602105895145,10,8086.948093830308,0.6553477999987081
55,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,945.017214804136,372,1860.0,7206.172148041356,True,True,0,30.0,1,4,0.275097600009758,10,n10,1600004,31,31,334.0,5164.079076292701,10,9450.17214804136,0.2752349999936996
55,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,839.6578145688003,372,1860.0,6152.578145688001,True,True,0,30.0,1,4,0.2866035000042757,10,n10,1600004,31,31,334.0,4110.485073939344,10,8396.578145688003,0.286727399987285
68,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,922.7709097710256,377,1885.0,6950.709097710256,True,True,0,30.0,0,4,0.26654389999748673,10,n10,1600005,31,31,342.0,4611.8496932488615,10,9227.709097710256,0.26670480000029784
68,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,829.2049289435894,377,1885.0,6015.049289435894,True,True,0,30.0,0,4,0.2817003000091063,10,n10,1600005,31,31,342.0,3676.1898849744994,10,8292.049289435894,0.28189040000142995
133,14,10,True,0,,4,1,0,20.0,centered,paper,0.0,1048.4125370014383,382,1910.0,8175.125370014383,True,True,0,42.0,1,4,0.7040446999890264,9,n10,1600006,31,31,337.0,4991.224749729077,10,10484.125370014382,0.7041611000022385
133,14,10,True,0,,4,1,0,20.0,compressed,paper,0.0,943.0531367661166,382,1910.0,7121.531367661164,True,True,0,42.0,1,4,0.6659318000019994,9,n10,1600006,31,31,337.0,3937.6307473758607,10,9430.531367661166,0.6660479999991367
164,19,10,True,0,,9,1,0,20.0,centered,paper,1.1368683772161603e-13,991.7608210834803,378,1890.0,7619.608210834805,True,True,0,57.0,1,4,0.6989069000119343,9,n10,1600007,31,31,331.0,4856.534100137586,10,9917.608210834804,0.6990285999927437
164,19,10,True,0,,9,1,0,20.0,compressed,paper,1.1368683772161603e-13,886.4014208481591,378,1890.0,6566.014208481591,True,True,0,57.0,1,4,0.7337728999991668,9,n10,1600007,31,31,331.0,3802.9400977843734,10,8864.01420848159,0.7338951999990968
60,31,10,True,0,,21,3,0,20.0,centered,paper,0.0,947.4596526397494,368,1840.0,7192.596526397494,True,True,0,93.0,2,4,1.056121899993741,7,n10,1600008,31,31,329.0,5405.488345934816,10,9474.596526397494,1.0562402000068687
60,31,10,True,0,,21,3,0,20.0,compressed,paper,0.0,853.8936718123132,368,1840.0,6256.936718123132,True,True,0,93.0,2,4,1.0384339000011096,7,n10,1600008,31,31,329.0,4469.828537660454,10,8538.936718123132,1.0385528999904636
97,10,10,True,0,,0,0,0,20.0,centered,paper,4.547473508864641e-13,966.2733014219845,411,2055.0,7186.733014219848,True,True,0,30.0,1,4,0.32932760000403505,10,n10,1600009,31,31,371.0,1710.2707535432519,10,9662.733014219844,0.329468399999314
76,18,10,True,0,,8,1,0,20.0,compressed,paper,4.547473508864641e-13,854.2490316731904,418,2090.0,5999.490316731907,True,True,0,54.0,2,4,0.5143507000029786,9,n10,1600009,31,31,379.0,527.3174781910375,10,8542.490316731904,0.5144749999890337
86,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,969.8258676181928,378,1890.0,7424.258676181927,True,True,0,30.0,1,4,0.31874519999837503,10,n10,1600010,31,31,334.0,5474.728864513689,10,9698.258676181928,0.31887480001023505
86,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,864.4664673828535,378,1890.0,6370.664673828534,True,True,0,30.0,1,4,0.3076100000034785,10,n10,1600010,31,31,334.0,4421.134862160296,10,8644.664673828534,0.3077237999968929
109,28,10,True,0,,18,2,0,20.0,centered,paper,0.0,1030.0524628661155,403,2015.0,7819.524628661157,True,True,0,84.0,3,4,0.8434028000046965,8,n10,1600011,31,31,362.0,1989.1281940048684,10,10300.524628661155,0.8435227000009036
123,18,10,True,0,,8,1,0,20.0,compressed,paper,0.0,909.4186637964227,403,2015.0,6643.186637964228,True,True,0,54.0,3,4,0.6424304999964079,9,n10,1600011,31,31,362.0,1473.0845635085143,10,9094.186637964227,0.642561000000569
114,20,10,True,0,,10,1,0,20.0,centered,paper,0.0,952.8156363944652,363,1815.0,7311.156363944653,True,True,0,60.0,3,4,0.6583169999939855,9,n10,1600012,31,31,322.0,5738.128777832468,10,9528.156363944652,0.6584442000021227
114,20,10,True,0,,10,1,0,20.0,compressed,paper,0.0,847.4562361591436,363,1815.0,6257.562361591436,True,True,0,60.0,3,4,0.6825262999918777,9,n10,1600012,31,31,322.0,4684.534775479251,10,8474.562361591436,0.6826335000077961
120,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,992.1424618783694,382,1910.0,7621.424618783697,True,True,0,30.0,0,4,0.3327504000044428,10,n10,1600013,31,31,340.0,5478.8183652981415,10,9921.424618783694,0.33286609999777284
120,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,886.7830616430477,382,1910.0,6567.830616430478,True,True,0,30.0,0,4,0.335823999994318,10,n10,1600013,31,31,340.0,4425.224362944925,10,8867.830616430478,0.3360088000044925
161,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,945.5074839348875,381,1905.0,7160.074839348877,True,True,0,30.0,2,4,0.44934709998779,10,n10,1600014,31,31,340.0,4452.54365782122,10,9455.074839348876,0.4494737999921199
161,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,844.9871568769022,381,1905.0,6154.871568769022,True,True,0,30.0,2,4,0.44729470000311267,10,n10,1600014,31,31,340.0,3447.3403872413664,10,8449.871568769022,0.4475520999985747
61,10,10,True,0,,0,0,0,20.0,centered,paper,1.1368683772161603e-13,982.4972315032285,375,1875.0,7564.9723150322825,True,True,0,30.0,1,4,0.2972411000082502,10,n10,1600015,31,31,335.0,4364.192778002289,10,9824.972315032284,0.2973472000012407
61,10,10,True,0,,0,0,0,20.0,compressed,paper,1.1368683772161603e-13,888.9312506757826,375,1875.0,6629.312506757824,True,True,0,30.0,1,4,0.29799269999784883,10,n10,1600015,31,31,335.0,3428.5329697278303,10,8889.312506757826,0.29815039999084547
164,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,1009.5976856190085,386,1930.0,7774.9768561900855,True,True,0,30.0,1,4,0.43263729999307543,10,n10,1600016,31,31,341.0,4963.944958083376,10,10095.976856190086,0.4327693000086583
164,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,904.2382853836868,386,1930.0,6721.382853836867,True,True,0,30.0,1,4,0.41297400000621565,10,n10,1600016,31,31,341.0,3910.3509557301595,10,9042.382853836869,0.4130676000058884
109,10,10,True,0,,0,0,0,20.0,centered,paper,4.547473508864641e-13,979.5401045605535,371,1855.0,7560.401045605535,True,True,0,30.0,1,4,0.33304309999221005,10,n10,1600017,31,31,330.0,5738.676864704322,10,9795.401045605535,0.33314669999526814
109,10,10,True,0,,0,0,0,20.0,compressed,paper,4.547473508864641e-13,874.1807043252318,371,1855.0,6506.807043252316,True,True,0,30.0,1,4,0.33396459999494255,10,n10,1600017,31,31,330.0,4685.082862351105,10,8741.807043252318,0.3340542999940226
134,10,10,True,0,,0,0,0,20.0,centered,paper,1.1368683772161603e-13,950.3201848991641,380,1900.0,7214.201848991642,True,True,0,30.0,0,4,0.36727060000703204,10,n10,1600018,31,31,339.0,5769.991207081049,10,9503.20184899164,0.36756210000021383
134,10,10,True,0,,0,0,0,20.0,compressed,paper,1.1368683772161603e-13,844.9607846638422,380,1900.0,6160.607846638422,True,True,0,30.0,0,4,0.42077660000359174,10,n10,1600018,31,31,339.0,4716.39720472783,10,8449.607846638422,0.4210823000030359
74,18,10,True,0,,8,1,0,20.0,centered,paper,0.0,945.1701948995376,378,1890.0,7150.701948995376,True,True,0,54.0,4,4,0.5859381000045687,9,n10,1600019,31,31,337.0,5048.205802669366,10,9451.701948995376,0.586068200005684
