candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
145,18,13,True,0,,5,1,0,26.0,centered,paper,4.547473508864641e-13,790.9884377370497,293,1465.0,8489.849690581648,True,True,0,54.0,1,4,0.4445687999977963,12,random,1100000,31,31,248.0,4544.3857237565035,13,10282.849690581646,0.4446186999994097
168,13,13,True,0,,0,0,0,26.0,shifted,paper,0.0,668.4591553655962,270,1350.0,7042.969019752752,True,True,0,39.0,2,4,0.30078180000418797,13,random,1100000,27,27,232.0,4634.827082931024,13,8689.96901975275,0.3008560000016587
144,13,13,True,0,,0,0,0,26.0,shifted_origin,paper,0.0,673.1446455561486,268,1340.0,7117.880392229932,True,True,0,39.0,1,4,0.256776299997,13,random,1100000,28,28,228.0,3894.5510391090274,13,8750.880392229932,0.25689730000158306
162,15,15,True,0,,0,1,0,30.0,centered,paper,4.547473508864641e-13,622.5658446704986,285,1425.0,7598.487670057478,True,True,0,45.0,6,4,0.39348539999627974,14,random,1100001,31,31,240.0,3931.459353699677,15,9338.487670057479,0.39358180000272114
220,15,15,True,0,,0,0,0,30.0,shifted,paper,0.0,567.9515546124325,244,1220.0,7022.2733191864845,True,True,0,45.0,4,4,0.369331299996702,15,random,1100001,27,27,202.0,3204.42580049145,15,8519.273319186486,0.369412400003057
197,15,15,True,0,,0,0,0,30.0,shifted_origin,paper,2.842170943040401e-14,584.9196419930208,250,1250.0,7246.79462989531,True,True,0,45.0,5,4,0.3567256999958772,15,random,1100001,28,28,202.0,3494.9940590387905,15,8773.794629895312,0.35681080000358634
130,19,15,True,0,,4,1,0,30.0,centered,paper,0.0,731.4350536829755,236,1180.0,9523.525805244633,True,True,0,57.0,4,4,0.4675974999991013,14,random,1100002,31,31,181.0,5031.541454290802,15,10971.525805244633,0.46765269999741577
196,15,15,True,0,,0,0,0,30.0,shifted,paper,5.684341886080802e-14,567.2440768110745,235,1175.0,7064.661152166117,True,True,0,45.0,4,4,0.3418115999957081,15,random,1100002,27,27,194.0,1753.268540704551,15,8508.661152166118,0.3418839000078151
115,22,15,True,0,,7,1,0,30.0,shifted_origin,paper,2.2737367544323206e-13,594.9175816178172,233,1165.0,7470.7637242672545,True,True,0,66.0,2,4,0.40692459999991115,14,random,1100002,28,28,192.0,1315.4572368276322,15,8923.763724267257,0.4069993000011891
158,14,14,True,0,,0,0,0,28.0,centered,paper,0.0,713.0096761062885,277,1385.0,8292.135465488038,True,True,0,42.0,2,4,0.2790072999923723,14,random,1100003,31,31,235.0,5162.886644321511,14,9982.135465488038,0.2791814000083832
110,79,14,True,0,,65,3,0,28.0,shifted,paper,0.0,699.444270766713,242,1210.0,8119.21979073398,True,True,0,237.0,3,4,0.6802515000017593,11,random,1100003,27,27,198.0,3143.717101251772,14,9792.219790733981,0.680299699990428
119,56,14,True,0,,42,1,0,28.0,shifted_origin,paper,0.0,644.4407511891535,278,1390.0,7195.170516648147,True,True,0,168.0,1,4,0.38970569999946747,13,random,1100003,28,28,241.0,997.2555994681788,14,9022.17051664815,0.38979030000336934
177,13,13,True,0,,0,0,0,26.0,centered,paper,0.0,793.5934894588007,301,1505.0,8494.715362964409,True,True,0,39.0,4,4,0.333939799995278,13,random,1100004,31,31,252.0,5035.407631613272,13,10316.715362964409,0.33399140000983607
116,13,13,True,0,,0,0,0,26.0,shifted,paper,0.0,715.4167888349991,276,1380.0,7620.418254854988,True,True,0,39.0,2,4,0.22812620000331663,13,random,1100004,27,27,235.0,4186.27077361786,13,9300.418254854989,0.22815310000441968
156,13,13,True,0,,0,0,0,26.0,shifted_origin,paper,0.0,735.8712621366657,284,1420.0,7842.326407776654,True,True,0,39.0,3,4,0.29463389999000356,13,random,1100004,28,28,239.0,3370.553840989359,13,9566.326407776654,0.29471919999923557
95,24,13,True,0,,11,1,0,26.0,centered,paper,0.0,797.1743358787801,302,1510.0,8494.26636642414,True,True,0,72.0,3,4,0.4072086000087438,12,random,1100005,31,31,261.0,4125.928466882352,13,10363.26636642414,0.4072650999878533
105,20,13,True,0,,7,2,0,26.0,shifted,paper,2.2737367544323206e-13,682.0715826772349,276,1380.0,7167.930574804053,True,True,0,60.0,1,4,0.48166289999790024,11,random,1100005,27,27,233.0,3197.5634780300215,13,8866.930574804053,0.48169110000890214
