candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
13,258,15,True,0,,243,12,0,30.0,centered,paper,0.0,908.8510621650408,518,2590.0,9752.765932475611,True,True,0,774.0,0,4,0.8196518999902764,3,boundary_outward,1300000,31,31,486.0,0.0,15,13632.765932475613,0.8197561999986647
0,249,15,True,0,,234,15,0,30.0,shifted,paper,0.0,820.5746445199889,452,2260.0,8849.619667799843,True,True,0,747.0,0,4,1.2680563000030816,0,boundary_outward,1300000,27,27,422.0,185.15122685407914,15,12308.619667799832,1.2681649000005564
12,98,13,True,0,,85,6,0,26.0,centered,paper,0.0,922.064196515074,530,2650.0,8517.834554695966,True,True,0,294.0,2,4,0.4617679999937536,7,boundary_outward,1300001,31,31,499.0,0.0,13,11986.83455469596,0.462195400003111
8,209,13,True,0,,196,8,0,26.0,shifted,paper,0.0,892.3986660943966,469,2345.0,8163.182659227224,True,True,0,627.0,2,4,0.8379111999965971,5,boundary_outward,1300001,27,27,440.0,160.30692137687765,13,11601.182659227155,0.8385001000133343
20,96,13,True,0,,83,5,0,26.0,centered,paper,0.0,929.1173979404332,523,2615.0,8661.526173225619,True,True,0,288.0,3,4,0.4677469000016572,8,boundary_outward,1300002,31,31,488.0,240.1548361209825,13,12078.526173225631,0.4682695999945281
11,194,13,True,0,,181,8,0,26.0,shifted,paper,0.0,868.1542747946955,466,2330.0,7908.005572331024,True,True,0,582.0,2,4,0.8402649000054225,5,boundary_outward,1300002,27,27,440.0,161.69396024076923,13,11286.005572331042,0.8404136000026483
5,147,14,True,0,,133,10,0,28.0,centered,paper,0.0,908.0076666206011,517,2585.0,9174.107332688423,True,True,0,441.0,1,4,0.9457303999952273,4,boundary_outward,1300003,31,31,484.0,215.0039535410815,14,12712.107332688414,0.9463131000084104
19,98,14,True,0,,84,8,0,28.0,shifted,paper,0.0,782.609391462547,456,2280.0,7928.5314804756545,True,True,0,294.0,3,4,0.9672055000119144,6,boundary_outward,1300003,27,27,426.0,218.89010745075757,14,10956.531480475658,0.9677220000012312
0,203,15,True,0,,188,12,0,30.0,centered,paper,0.0,880.478858866248,511,2555.0,9537.182882993744,True,True,0,609.0,0,4,0.941433899992262,3,boundary_outward,1300004,31,31,476.0,201.11082690348667,15,13207.182882993719,0.9416144999995595
7,244,15,True,0,,229,12,0,30.0,shifted,paper,0.0,797.8622889557872,451,2255.0,8530.934334336871,True,True,0,732.0,1,4,0.7665978000004543,3,boundary_outward,1300004,27,27,420.0,168.37038567314085,15,11967.93433433681,0.7667868999997154
