candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
319,15,15,True,0,,0,0,0,30.0,centered,paper,0.0,587.5638503771723,301,1505.0,6972.457755657584,True,True,0,45.0,0,4,0.4808147000003373,15,boundary_tangent,1300000,31,31,261.0,3858.6924668318798,15,8813.457755657586,0.48106420000840444
213,15,15,True,0,,0,0,0,30.0,shifted,paper,0.0,577.8373319627987,265,1325.0,7043.559979441976,True,True,0,45.0,2,4,0.4061916999926325,15,boundary_tangent,1300000,27,27,224.0,4076.7203807657897,15,8667.55997944198,0.4064783000067109
229,13,13,True,0,,0,0,0,26.0,centered,paper,0.0,724.4174327929995,369,1845.0,7177.426626308997,True,True,0,39.0,0,4,0.37273740000091493,13,boundary_tangent,1300001,31,31,330.0,2498.4047167289173,13,9417.426626308994,0.37282459999551065
146,33,13,True,0,,20,3,0,26.0,shifted,paper,0.0,723.436613835739,352,1760.0,7195.675979864597,True,True,0,99.0,0,4,0.4973953000007896,10,boundary_tangent,1300001,27,27,324.0,170.05352832120116,13,9404.675979864607,0.4975198000029195
278,13,13,True,0,,0,0,0,26.0,centered,paper,0.0,722.4011189977118,369,1845.0,7154.214546970257,True,True,0,39.0,0,4,0.4374981999862939,13,boundary_tangent,1300002,31,31,327.0,910.3179607857091,13,9391.214546970254,0.43759859999408945
238,75,13,True,0,,62,2,0,26.0,shifted,paper,0.0,741.9606246356702,340,1700.0,7390.488120263712,True,True,0,225.0,0,4,0.46539860000484623,11,boundary_tangent,1300002,27,27,304.0,173.9989636062237,13,9645.488120263713,0.46560429999954067
296,14,14,True,0,,0,0,0,28.0,centered,paper,0.0,667.0837104679838,361,1805.0,7147.17194655177,True,True,0,42.0,0,4,0.46251610000035726,14,boundary_tangent,1300003,31,31,317.0,410.55574332826836,14,9339.171946551773,0.4626839000120526
229,29,14,True,0,,15,2,0,28.0,shifted,paper,0.0,655.225400122947,317,1585.0,7196.155601721261,True,True,0,87.0,1,4,0.5565519999945536,12,boundary_tangent,1300003,27,27,277.0,838.0673668110394,14,9173.155601721259,0.5566541000007419
311,15,15,True,0,,0,0,0,30.0,centered,paper,9.094947017729282e-13,645.1263587545058,349,1745.0,7556.895381317593,True,True,0,45.0,0,4,0.47710649999498855,15,boundary_tangent,1300004,31,31,300.0,1063.399740895591,15,9676.895381317587,0.47740499999781605
216,46,15,True,0,,31,3,0,30.0,shifted,paper,0.0,604.5283914929697,298,1490.0,7148.925872394538,True,True,0,138.0,1,4,0.6789255000039702,12,boundary_tangent,1300004,27,27,261.0,795.7604006023139,15,9067.925872394546,0.6791171000077156
277,14,14,True,0,,0,0,0,28.0,centered,paper,0.0,653.2175233161632,355,1775.0,6982.045326426287,True,True,0,42.0,0,4,0.4356260999920778,14,boundary_tangent,1300005,31,31,318.0,407.90638691705135,14,9145.045326426285,0.4359145000053104
234,27,14,True,0,,13,1,0,28.0,shifted,paper,1.1368683772161603e-13,638.1941485837352,300,1500.0,7063.718080172291,True,True,0,81.0,1,4,0.5239720999961719,13,boundary_tangent,1300005,27,27,262.0,2194.910826149794,14,8934.718080172293,0.5240757999999914
158,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,984.5930571623542,433,2165.0,7233.93057162354,True,True,0,30.0,2,4,0.30675390000396874,10,boundary_tangent,1300006,31,31,397.0,1471.4188179194534,10,9845.930571623541,0.30713279999326915
154,21,10,True,0,,11,2,0,20.0,shifted,paper,0.0,885.9428669346332,397,1985.0,6427.42866934633,True,True,0,63.0,0,4,0.39486820000456646,8,boundary_tangent,1300006,27,27,364.0,181.7847655792084,10,8859.428669346333,0.3952648999984376
183,12,12,True,0,,0,0,0,24.0,centered,paper,0.0,745.4201827679176,365,1825.0,6730.04219321501,True,True,0,36.0,1,4,0.3068750000093132,12,boundary_tangent,1300007,31,31,330.0,4190.712136651727,12,8945.042193215011,0.3069961000001058
213,12,12,True,0,,0,0,0,24.0,shifted,paper,0.0,727.2557806277088,333,1665.0,6706.0693675325065,True,True,0,36.0,0,4,0.36267669999506325,12,boundary_tangent,1300007,27,27,296.0,3494.4985480642617,12,8727.069367532506,0.36277150000387337
120,10,10,True,0,,0,0,0,20.0,centered,paper,2.2737367544323206e-13,974.7015179241777,437,2185.0,7110.01517924178,True,True,0,30.0,2,4,0.24484930001199245,10,boundary_tangent,1300008,31,31,402.0,958.9866969646137,10,9747.015179241776,0.24504169999272563
113,30,10,True,0,,20,3,0,20.0,shifted,paper,0.0,904.6668967023907,407,2035.0,6523.668967023896,True,True,0,90.0,0,4,0.4234079000016209,7,boundary_tangent,1300008,27,27,378.0,185.93925558432238,10,9046.668967023907,0.4235244000010425
309,15,15,True,0,,0,0,0,30.0,centered,paper,0.0,589.1297830918419,308,1540.0,6953.946746377629,True,True,0,45.0,0,4,0.4795233999902848,15,boundary_tangent,1300009,31,31,268.0,3775.131647775768,15,8836.94674637763,0.4797767999989446
157,58,15,True,0,,43,3,0,30.0,shifted,paper,0.0,624.0055087800272,297,1485.0,7409.082631700419,True,True,0,174.0,0,4,0.5805361999955494,12,boundary_tangent,1300009,27,27,262.0,827.6960147479112,15,9360.082631700408,0.5806455999991158
235,10,10,True,0,,0,0,0,20.0,centered,paper,1.1368683772161603e-13,918.3701977275911,411,2055.0,6707.7019772759095,True,True,0,30.0,0,4,0.35414379999565426,10,boundary_tangent,1300010,31,31,371.0,4447.068195731405,10,9183.70197727591,0.3542466999933822
176,66,10,True,0,,56,1,0,20.0,shifted,paper,0.0,923.3438821142424,392,1960.0,6696.438821142437,True,True,0,198.0,0,4,0.29484400000364985,9,boundary_tangent,1300010,27,27,359.0,934.0221438951285,10,9233.438821142425,0.29497270000865683
193,13,13,True,0,,0,0,0,26.0,centered,paper,0.0,709.8079998401546,367,1835.0,6999.503997922007,True,True,0,39.0,2,4,0.3410262999968836,13,boundary_tangent,1300011,31,31,328.0,428.61861095024324,13,9227.50399792201,0.3412423999980092
190,36,13,True,0,,23,3,0,26.0,shifted,paper,0.0,707.7108662188222,364,1820.0,6916.241260844691,True,True,0,108.0,0,4,0.5184346000023652,10,boundary_tangent,1300011,27,27,330.0,167.71387042702736,13,9200.241260844688,0.5185514000040712
230,13,13,True,0,,0,0,0,26.0,centered,paper,0.0,710.8019601238892,369,1845.0,7001.425481610557,True,True,0,39.0,0,4,0.36169270001119,13,boundary_tangent,1300012,31,31,329.0,424.64890705400467,13,9240.42548161056,0.36180109999259
144,18,13,True,0,,5,1,0,26.0,shifted,paper,0.0,667.318849969948,329,1645.0,6650.145049609324,True,True,0,54.0,1,4,0.33338490000460297,12,boundary_tangent,1300012,27,27,300.0,1314.7762802284587,13,8675.145049609324,0.333484300004784
165,11,11,True,0,,0,0,0,22.0,centered,paper,0.0,851.8608036653044,412,2060.0,6878.468840318349,True,True,0,33.0,1,4,0.30474999999569263,11,boundary_tangent,1300013,31,31,377.0,3372.433056490373,11,9370.468840318348,0.3050405999965733
163,23,11,True,0,,12,1,0,22.0,shifted,paper,0.0,869.7148394229251,372,1860.0,7276.86323365218,True,True,0,69.0,2,4,0.4487437000061618,10,boundary_tangent,1300013,27,27,339.0,693.2204892761729,11,9566.863233652177,0.4489365000044927
271,13,13,True,0,,0,0,0,26.0,centered,paper,0.0,733.8794444712074,371,1855.0,7290.4327781257025,True,True,0,39.0,0,4,0.3939760000066599,13,boundary_tangent,1300014,31,31,330.0,431.8282962381327,13,9540.432778125696,0.39408509999339003
195,23,13,True,0,,10,1,0,26.0,shifted,paper,4.547473508864641e-13,659.3198120659358,331,1655.0,6522.157556857165,True,True,0,69.0,0,4,0.42381720000412315,12,boundary_tangent,1300014,27,27,299.0,376.0517113259921,13,8571.157556857166,0.4239291999983834
223,11,11,True,0,,0,0,0,22.0,centered,paper,0.0,848.590946690751,405,2025.0,6887.500413598263,True,True,0,33.0,0,4,0.3459929000091506,11,boundary_tangent,1300015,31,31,367.0,3366.888670364009,11,9334.500413598262,0.34607990000222344
177,15,11,True,0,,4,1,0,22.0,shifted,paper,0.0,784.9799723264318,365,1825.0,6408.779695590749,True,True,0,45.0,0,4,0.3464706999948248,10,boundary_tangent,1300015,27,27,334.0,1385.8713296361811,11,8634.77969559075,0.34676200000103563
266,13,13,True,0,,0,0,0,26.0,centered,paper,0.0,724.4776124877221,356,1780.0,7258.208962340389,True,True,0,39.0,2,4,0.4239621000015177,13,boundary_tangent,1300016,31,31,315.0,3446.9204604565202,13,9418.208962340388,0.4241416000004392
148,23,13,True,0,,10,1,0,26.0,shifted,paper,1.8189894035458565e-12,665.2579807517837,332,1660.0,6597.353749773185,True,True,0,69.0,0,4,0.39849120000144467,12,boundary_tangent,1300016,27,27,296.0,385.12929342930147,13,8648.353749773189,0.39866729998902883
208,12,12,True,0,,0,0,0,24.0,centered,paper,0.0,744.3967883050678,332,1660.0,6916.761459660814,True,True,0,36.0,0,4,0.3184085000102641,12,boundary_tangent,1300017,31,31,296.0,5485.130419711026,12,8932.761459660815,0.3186200999916764
126,27,12,True,0,,15,3,0,24.0,shifted,paper,2.2737367544323206e-13,754.3395254549854,368,1840.0,6772.074305459824,True,True,0,81.0,0,4,0.3812176999927033,9,boundary_tangent,1300017,27,27,335.0,167.83446020731026,12,9052.074305459824,0.3813281000038842
240,11,11,True,0,,0,0,0,22.0,centered,paper,0.0,922.7403747103382,433,2165.0,7537.144121813719,True,True,0,33.0,1,4,0.3896099999983562,11,boundary_tangent,1300018,31,31,393.0,943.7409491468698,11,10150.14412181372,0.3897609000123339
109,25,11,True,0,,14,3,0,22.0,shifted,paper,0.0,790.2327766308036,378,1890.0,6355.560542938843,True,True,0,75.0,0,4,0.3740283999941312,8,boundary_tangent,1300018,27,27,350.0,1146.616685249579,11,8692.56054293884,0.3744908999942709
249,15,15,True,0,,0,0,0,30.0,centered,paper,0.0,637.8384060362077,343,1715.0,7471.576090543116,True,True,0,45.0,0,4,0.4134896000032313,15,boundary_tangent,1300019,31,31,306.0,398.56543334292473,15,9567.576090543116,0.4135935999947833
184,125,15,True,0,,110,6,0,30.0,shifted,paper,0.0,685.6301417382572,354,1770.0,7793.452126073866,True,True,0,375.0,0,4,0.4612679999991087,9,boundary_tangent,1300019,27,27,316.0,152.28663810874787,15,10284.452126073858,0.46141409999108873
