candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
114,25,15,True,0,,10,1,0,30.0,centered,paper,0.0,641.4494818546907,288,1440.0,7831.742227820364,True,True,0,75.0,4,4,0.4839609000046039,14,minus,1300000,31,31,245.0,2401.1553267075997,15,9621.742227820361,0.484034299995983
55,58,15,True,0,,43,6,0,30.0,shifted,paper,4.547473508864641e-13,618.5754169993128,298,1490.0,7318.631254989691,True,True,0,174.0,0,4,1.250618600010057,9,minus,1300000,27,27,266.0,0.0,15,9278.631254989692,1.2507000000041444
100,22,13,True,0,,9,2,0,26.0,centered,paper,0.0,717.5951082181285,308,1540.0,7428.736406835674,True,True,0,66.0,2,4,0.4653327999985777,11,minus,1300001,31,31,268.0,3961.997254307921,13,9328.736406835671,0.4654049999953713
106,22,13,True,0,,9,1,0,26.0,shifted,paper,0.0,732.1843724911021,290,1450.0,7730.396842384327,True,True,0,66.0,0,4,0.3596462999994401,12,minus,1300001,27,27,246.0,2533.0467718888985,13,9518.396842384327,0.35978300000715535
124,82,13,True,0,,69,4,0,26.0,centered,paper,2.2737367544323206e-13,840.9154900475525,384,1920.0,8391.901370618225,True,True,0,246.0,0,4,0.6601760000048671,9,minus,1300002,31,31,348.0,601.5778779876036,13,10931.901370618181,0.6602679999923566
42,29,13,True,0,,16,2,0,26.0,shifted,paper,0.0,683.0254214013273,333,1665.0,6802.330478217253,True,True,0,87.0,3,4,0.462882299994817,11,minus,1300002,27,27,299.0,462.4364348655854,13,8879.330478217254,0.4629640000057407
132,74,14,True,0,,60,3,0,28.0,centered,paper,0.0,725.3963015551363,355,1775.0,7814.548221771909,True,True,0,222.0,3,4,0.7147284999955446,11,minus,1300003,31,31,316.0,1244.462018918457,14,10155.548221771909,0.7148193000030005
150,22,14,True,0,,8,2,0,28.0,shifted,paper,0.0,618.0049352352686,301,1505.0,6793.0690932937605,True,True,0,66.0,3,4,0.5865915000031237,12,minus,1300003,27,27,260.0,2919.5567213302566,14,8652.06909329376,0.5867658000061056
106,69,15,True,0,,54,3,0,30.0,centered,paper,0.0,638.7265866808199,251,1255.0,7882.898800212286,True,True,0,207.0,4,4,0.8742162999988068,12,minus,1300004,31,31,206.0,4951.4615516721615,15,9580.898800212299,0.8744458000001032
63,64,15,True,0,,49,4,0,30.0,shifted,paper,0.0,612.6578916206578,274,1370.0,7356.868374309888,True,True,0,192.0,2,4,0.7642887999973027,11,minus,1300004,27,27,241.0,213.03942765125612,15,9189.868374309866,0.7645513999887044
67,85,14,True,0,,71,5,0,28.0,centered,paper,0.0,762.509562395141,330,1650.0,8447.133873531977,True,True,0,255.0,0,4,0.9422099999937927,9,minus,1300005,31,31,295.0,1755.5432327326307,14,10675.133873531973,0.9423908000026131
149,89,14,True,0,,75,4,0,28.0,shifted,paper,0.0,716.3355641387545,309,1545.0,7917.697897942564,True,True,0,267.0,2,4,0.8796848000056343,10,minus,1300005,27,27,271.0,2062.245605310436,14,10028.697897942564,0.8797858000034466
108,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,949.5728157243053,389,1945.0,7148.728157243056,True,True,0,30.0,0,4,0.2249738999962574,10,minus,1300006,31,31,352.0,5180.994942709116,10,9495.728157243053,0.22508810000726953
82,60,10,True,0,,50,2,0,20.0,shifted,paper,0.0,884.3184372746775,346,1730.0,6596.184372746778,True,True,0,180.0,0,4,0.5380454999976791,8,minus,1300006,27,27,317.0,3933.781342167158,10,8843.184372746775,0.5383392999938224
91,153,12,True,0,,141,6,0,24.0,centered,paper,0.0,920.2277268091494,348,1740.0,8512.732721709775,True,True,0,459.0,1,4,1.2200929000100587,6,minus,1300007,31,31,307.0,4012.572907894789,12,11042.732721709794,1.220348799994099
136,50,12,True,0,,38,2,0,24.0,shifted,paper,0.0,758.3167443572165,293,1465.0,7213.800932286599,True,True,0,150.0,0,4,0.6302255000045989,10,minus,1300007,27,27,247.0,3440.2985785420633,12,9099.800932286598,0.6303655999945477
57,21,10,True,0,,11,2,0,20.0,centered,paper,0.0,922.723702064517,386,1930.0,6861.23702064517,True,True,0,63.0,1,4,0.5252705000020796,8,minus,1300008,31,31,353.0,4808.499503597592,10,9227.23702064517,0.5254705999977887
74,17,10,True,0,,7,2,0,20.0,shifted,paper,0.0,896.6880792831619,364,1820.0,6741.8807928316155,True,True,0,51.0,1,4,0.5442016000015428,8,minus,1300008,27,27,334.0,0.0,10,8966.880792831618,0.5445233999926131
101,67,15,True,0,,52,2,0,30.0,centered,paper,0.0,699.1872456914755,270,1350.0,8682.808685372127,True,True,0,201.0,1,4,0.6117952000058722,13,minus,1300009,31,31,224.0,4329.697734148242,15,10487.808685372132,0.6120283999916865
131,40,15,True,0,,25,2,0,30.0,shifted,paper,0.0,582.8855226651793,259,1295.0,7077.282839977692,True,True,0,120.0,3,4,0.667577700005495,13,minus,1300009,27,27,221.0,3070.9306340104195,15,8743.28283997769,0.6676588999980595
124,10,10,True,0,,0,0,0,20.0,centered,paper,4.547473508864641e-13,951.0097227570413,396,1980.0,7121.097227570414,True,True,0,30.0,1,4,0.23309850000077859,10,minus,1300010,31,31,359.0,4673.451321113841,10,9510.097227570413,0.2332050000113668
82,10,10,True,0,,0,0,0,20.0,shifted,paper,1.1368683772161603e-13,817.9630488096763,341,1705.0,6116.630488096762,True,True,0,30.0,3,4,0.20429529999091756,10,minus,1300010,27,27,308.0,3621.67730533725,10,8179.630488096763,0.20437720000336412
115,59,13,True,0,,46,5,0,26.0,centered,paper,0.0,786.4786359111288,368,1840.0,7852.222266844675,True,True,0,177.0,1,4,0.9451020000124117,8,minus,1300011,31,31,329.0,1265.243111028538,13,10224.222266844674,0.9454458999971393
82,87,13,True,0,,74,3,0,26.0,shifted,paper,0.0,701.1012960289875,310,1550.0,7006.316848376837,True,True,0,261.0,3,4,0.7192645000031916,10,minus,1300011,27,27,271.0,2025.8968931955305,13,9114.316848376837,0.719566500003566
123,34,13,True,0,,21,4,0,26.0,centered,paper,9.094947017729282e-13,767.7073297846564,362,1810.0,7719.195287200533,True,True,0,102.0,1,4,0.9302227000007406,9,minus,1300012,31,31,323.0,1270.6004808313373,13,9980.195287200533,0.9304899999988265
54,34,13,True,0,,21,1,0,26.0,shifted,paper,1.8189894035458565e-12,684.2297619632216,328,1640.0,6829.986905521881,True,True,0,102.0,3,4,0.33087479999812786,12,minus,1300012,27,27,297.0,692.5854060359434,13,8894.98690552188,0.3309682000108296
103,14,11,True,0,,3,1,0,22.0,centered,paper,1.1368683772161603e-13,862.3113678671975,413,2065.0,6981.42504653917,True,True,0,42.0,1,4,0.4339246000017738,10,minus,1300013,31,31,375.0,1928.2189142686066,11,9485.425046539172,0.43404750000627246
81,20,11,True,0,,9,1,0,22.0,shifted,paper,5.684341886080802e-14,780.3887417165207,340,1700.0,6495.276158881732,True,True,0,60.0,1,4,0.3382133999984944,10,minus,1300013,27,27,307.0,2198.616335497367,11,8584.276158881728,0.3383424999919953
159,33,13,True,0,,20,2,0,26.0,centered,paper,2.2737367544323206e-13,758.3373697562663,357,1785.0,7634.385806831464,True,True,0,99.0,2,4,0.6617920999997295,11,minus,1300014,31,31,314.0,2101.6601127329395,13,9858.385806831462,0.6620523000019602
127,27,13,True,0,,14,1,0,26.0,shifted,paper,0.0,674.1149291916655,278,1390.0,7025.494079491652,True,True,0,81.0,2,4,0.46206309999979567,12,minus,1300014,27,27,241.0,1812.8278168031693,13,8763.494079491651,0.4623111999972025
42,22,11,True,0,,11,3,0,22.0,centered,paper,0.0,892.5189259823404,392,1960.0,7412.7081858057445,True,True,0,66.0,0,4,0.6076146999985212,8,minus,1300015,31,31,357.0,1203.5821087939348,11,9817.708185805745,0.6079481000051601
87,13,11,True,0,,2,1,0,22.0,shifted,paper,0.0,821.8857478029353,342,1710.0,6967.743225832286,True,True,0,39.0,2,4,0.33078740000200924,10,minus,1300015,27,27,302.0,154.77797539972016,11,9040.743225832288,0.3310894000023836
121,23,13,True,0,,10,2,0,26.0,centered,paper,0.0,705.5965071336769,329,1645.0,7142.7545927378,True,True,0,69.0,0,4,0.6570065999985673,11,minus,1300016,31,31,290.0,3481.8446190739996,13,9172.7545927378,0.6571378999942681
151,57,13,True,0,,44,2,0,26.0,shifted,paper,0.0,706.8143416233153,306,1530.0,7202.586441103098,True,True,0,171.0,0,4,0.4732769999973243,11,minus,1300016,27,27,259.0,3406.1618806695215,13,9188.586441103098,0.4734141999942949
141,15,12,True,0,,3,2,0,24.0,centered,paper,0.0,784.011772420239,342,1710.0,7331.141269042869,True,True,0,45.0,1,4,0.530000899991137,10,minus,1300017,31,31,298.0,4157.271059714614,12,9408.141269042868,0.5300857999973232
128,12,12,True,0,,0,1,0,24.0,shifted,paper,0.0,762.3786767029356,331,1655.0,7140.544120435229,True,True,0,36.0,2,4,0.4045495000027586,11,minus,1300017,27,27,293.0,0.0,12,9148.544120435228,0.4046572999941418
176,18,11,True,0,,7,1,0,22.0,centered,paper,0.0,858.5133266182897,371,1855.0,7184.6465928011885,True,True,0,54.0,1,4,0.4859413999947719,10,minus,1300018,31,31,328.0,4551.5820714759575,11,9443.646592801188,0.4860573000041768
67,58,11,True,0,,47,4,0,22.0,shifted,paper,0.0,869.4186818109739,341,1705.0,7353.605499920687,True,True,0,174.0,0,4,0.8857328000012785,7,minus,1300018,27,27,309.0,1128.9198627967326,11,9563.605499920714,0.8860624999942956
186,58,15,True,0,,43,3,0,30.0,centered,paper,0.0,682.5426743852057,281,1405.0,8396.14011577809,True,True,0,174.0,1,4,0.80492989999766,12,minus,1300019,31,31,233.0,3201.4143302614466,15,10238.140115778086,0.8052431000105571
116,20,15,True,0,,5,1,0,30.0,shifted,paper,0.0,636.6044052314811,251,1255.0,7995.066078472216,True,True,0,60.0,1,4,0.4659430000028806,14,minus,1300019,27,27,209.0,3070.4705858671114,15,9549.066078472217,0.46601550000195857
