candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
168,16,16,True,0,,0,0,0,32.0,centered,paper,0.0,356.28987819247544,173,865.0,4616.638051079607,True,True,0,48.0,6,4,0.39395969999895897,16,n16,1300000,31,11,139.0,0.0,16,5700.638051079607,0.3940976000012597
164,21,16,True,0,,5,1,0,32.0,shifted,paper,2.2737367544323206e-13,502.7090361147583,201,1005.0,6781.344577836135,True,True,0,63.0,3,4,0.5887881999951787,15,n16,1300000,27,20,162.0,0.0,16,8043.344577836133,0.5889039000030607
229,62,16,True,0,,46,2,0,32.0,centered,paper,0.0,345.87031116612513,141,705.0,4501.924978658002,True,True,0,186.0,4,4,0.6288098999939393,14,n16,1300001,31,11,109.0,0.0,16,5533.924978658002,0.6289983000024222
207,16,16,True,0,,0,1,0,32.0,shifted,paper,0.0,507.0384364864288,230,1150.0,6690.614983782861,True,True,0,48.0,2,4,0.5794618999934755,15,n16,1300001,27,24,192.0,0.0,16,8112.614983782861,0.5795491000026232
168,16,16,True,0,,0,0,0,32.0,centered,paper,2.2737367544323206e-13,339.25785545348066,140,700.0,4538.1256872556905,True,True,0,48.0,3,4,0.3667739999946207,16,n16,1300002,31,10,110.0,0.0,16,5428.1256872556905,0.36692179999954533
185,28,16,True,0,,12,1,0,32.0,shifted,paper,0.0,343.90927214587265,125,625.0,4669.548354333962,True,True,0,84.0,2,4,0.4780079000047408,15,n16,1300002,27,9,92.0,0.0,16,5502.548354333962,0.4781571000057738
201,22,16,True,0,,6,1,0,32.0,centered,paper,0.0,319.3263923666493,164,820.0,4058.2222778663877,True,True,0,66.0,1,4,0.527808200000436,15,n16,1300003,31,9,133.0,0.0,16,5109.222277866389,0.527875400002813
269,17,16,True,0,,1,1,0,32.0,shifted,paper,1.1368683772161603e-13,345.3498131647299,159,795.0,4520.597010635676,True,True,0,51.0,2,4,0.4544899000029545,15,n16,1300003,27,12,127.0,0.0,16,5525.597010635678,0.45474109999486245
231,58,16,True,0,,42,1,0,32.0,centered,paper,2.842170943040401e-14,364.07049930576585,148,740.0,4767.127988892253,True,True,0,174.0,3,4,0.6176514000108,15,n16,1300004,31,10,112.0,0.0,16,5825.127988892254,0.6178400999924634
102,24,16,True,0,,8,1,0,32.0,shifted,paper,0.0,332.4171728545502,137,685.0,4422.674765672803,True,True,0,72.0,2,4,0.46284979999472853,15,n16,1300004,27,10,107.0,0.0,16,5318.674765672803,0.46301340000354685
179,16,16,True,0,,0,0,0,32.0,centered,paper,2.842170943040401e-14,317.59172594119997,148,740.0,4139.467615059201,True,True,0,48.0,2,4,0.35485950000293087,16,n16,1300005,31,9,122.0,0.0,16,5081.4676150591995,0.35502479999559
236,16,16,True,0,,0,0,0,32.0,shifted,paper,1.1368683772161603e-13,311.0993440189433,147,735.0,4045.589504303095,True,True,0,48.0,1,4,0.3838229999964824,16,n16,1300005,27,9,117.0,0.0,16,4977.589504303093,0.3839832999947248
135,19,16,True,0,,3,1,0,32.0,centered,paper,1.1368683772161603e-13,410.2280307607569,190,950.0,5365.64849217211,True,True,0,57.0,2,4,0.34748739999486133,15,n16,1300006,31,18,159.0,0.0,16,6563.64849217211,0.3476851000013994
238,86,16,True,0,,70,2,0,32.0,shifted,paper,0.0,573.5543839814982,233,1165.0,7531.870143703973,True,True,0,258.0,1,4,0.5739837000000989,14,n16,1300006,27,23,190.0,0.0,16,9176.87014370397,0.5741417999961413
