candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
82,87,15,True,0,,72,2,0,30.0,centered,paper,4.547473508864641e-13,685.9345781024678,286,1430.0,8319.018671537016,True,True,0,261.0,2,4,0.6356790999998339,13,plus,1300000,31,31,249.0,1911.8913971026886,15,10289.018671537016,0.6357770000031451
65,124,15,True,0,,109,6,0,30.0,shifted,paper,4.547473508864641e-13,651.9014220007931,298,1490.0,7620.521330011895,True,True,0,372.0,2,4,1.2774856000032742,9,plus,1300000,27,27,266.0,0.0,15,9778.521330011896,1.2778386999998474
109,23,13,True,0,,10,2,0,26.0,centered,paper,0.0,717.199770481941,307,1535.0,7425.597016265231,True,True,0,69.0,1,4,0.48361670000304,11,plus,1300001,31,31,268.0,3964.3206557969215,13,9323.597016265232,0.4836558000097284
149,51,13,True,0,,38,2,0,26.0,shifted,paper,0.0,741.7895685568377,291,1455.0,7763.26439123889,True,True,0,153.0,1,4,0.5769729000021471,11,plus,1300001,27,27,246.0,2534.507683769335,13,9643.26439123889,0.5772285999992164
96,104,13,True,0,,91,4,0,26.0,centered,paper,1.1368683772161603e-13,859.477916181477,385,1925.0,8562.21291035924,True,True,0,312.0,1,4,0.6455977000005078,9,plus,1300002,31,31,348.0,604.537821946562,13,11173.212910359201,0.6456946000107564
77,28,13,True,0,,15,2,0,26.0,shifted,paper,9.094947017729282e-13,683.2014551758634,335,1675.0,6797.618917286219,True,True,0,84.0,4,4,0.5116618000029121,11,plus,1300002,27,27,299.0,467.2029947927658,13,8881.618917286225,0.5117519000050379
110,68,14,True,0,,54,3,0,28.0,centered,paper,9.094947017729282e-13,732.7386487694966,357,1785.0,7925.341082772954,True,True,0,204.0,3,4,0.8219190999952843,11,plus,1300003,31,31,316.0,1240.2348764415146,14,10258.341082772953,0.8220847000047797
142,45,14,True,0,,31,3,0,28.0,shifted,paper,0.0,625.643096496468,298,1490.0,6846.003350950562,True,True,0,135.0,2,4,0.6144324000051711,11,plus,1300003,27,27,260.0,2923.4920372962124,14,8759.003350950552,0.6145357999921544
93,61,15,True,0,,46,2,0,30.0,centered,paper,4.547473508864641e-13,631.282976833949,250,1250.0,7800.24465250924,True,True,0,183.0,4,4,0.6810637000016868,13,plus,1300004,31,31,206.0,4950.82559000776,15,9469.244652509235,0.6811488000093959
76,74,15,True,0,,59,4,0,30.0,shifted,paper,0.0,614.295093274004,273,1365.0,7356.426399110061,True,True,0,222.0,1,4,0.8389295999950264,11,plus,1300004,27,27,241.0,214.31055283163187,15,9214.42639911006,0.8390367000101833
