problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,15,9836.199217955907,655.7466145303938,0.16720559999521356,True,31,253,23,8,1,baseline,310000,15,8257.199217955907,215.0,1265.0,69.0,30.0,,,,,
4,15,10252.237560763295,683.4825040508863,0.11696660000598058,True,31,286,15,0,0,directional_tour,310000,15,8502.237560763298,245.0,1430.0,45.0,30.0,0,0,0,0,0
4,15,10239.239782779445,682.6159855186296,0.11522420000983402,True,31,287,15,0,0,directional_tour_safe,310000,15,8484.239782779448,245.0,1435.0,45.0,30.0,0,0,0,0,15
4,10,11005.864219077204,1100.5864219077205,0.11066779999237042,True,31,412,27,17,2,baseline,310001,10,8469.864219077204,375.0,2060.0,81.0,20.0,,,,,
4,10,10481.718027746027,1048.1718027746026,0.07387239999661688,True,31,387,22,12,1,directional_tour,310001,10,8109.718027746032,351.0,1935.0,66.0,20.0,0,0,0,0,0
4,10,10323.305233239218,1032.3305233239219,0.23626639999565668,True,31,387,19,9,1,directional_tour_safe,310001,10,7960.305233239222,351.0,1935.0,57.0,20.0,0,0,0,0,9
4,10,11183.602438111942,1118.3602438111943,0.128853700007312,True,31,416,10,0,0,baseline,310002,10,8678.602438111944,375.0,2080.0,30.0,20.0,,,,,
4,10,10444.87358497515,1044.487358497515,0.07358100000419654,True,31,362,23,13,1,directional_tour,310002,10,8221.873584975154,324.0,1810.0,69.0,20.0,0,0,0,0,0
4,10,10257.17928936869,1025.7179289368692,0.24235770000086632,True,31,362,15,5,1,directional_tour_safe,310002,10,8058.1792893686925,324.0,1810.0,45.0,20.0,0,0,0,0,9
4,14,11136.38642025635,795.4561728754536,0.18365799999446608,True,31,304,14,0,0,baseline,310003,14,9292.38642025635,254.0,1520.0,42.0,28.0,,,,,
4,14,10378.763424195744,741.3402445854102,0.09609210000780877,True,31,359,14,0,0,directional_tour,310003,14,8194.76342419575,319.0,1795.0,42.0,28.0,0,0,0,0,0
4,14,10360.500370471502,740.0357407479644,0.09774520000792108,True,31,360,14,0,0,directional_tour_safe,310003,14,8171.500370471506,319.0,1800.0,42.0,28.0,0,0,0,0,14
4,14,9557.371098825095,682.6693642017925,0.16094739999971353,True,31,269,14,0,0,baseline,310004,14,7910.371098825099,232.0,1345.0,42.0,28.0,,,,,
4,14,11549.722412273439,824.9801723052457,0.10734689999662805,True,31,342,125,111,2,directional_tour,310004,14,9139.72241227344,297.0,1710.0,375.0,28.0,0,0,0,0,0
4,14,10700.74571121884,764.3389793727744,0.4266209000052186,True,31,341,55,41,2,directional_tour_safe,310004,14,8505.745711218848,297.0,1705.0,165.0,28.0,0,0,0,0,12
4,12,10227.654940176406,852.3045783480338,0.12650299999222625,True,31,359,12,0,0,baseline,310005,12,8045.654940176408,327.0,1795.0,36.0,24.0,,,,,
4,12,10141.732371656602,845.1443643047169,0.09389350000128616,True,31,394,12,0,0,directional_tour,310005,12,7756.732371656607,355.0,1970.0,36.0,24.0,0,0,0,0,0
4,12,10089.53723573589,840.7947696446575,0.09212950000073761,True,31,393,12,0,0,directional_tour_safe,310005,12,7709.537235735894,355.0,1965.0,36.0,24.0,0,0,0,0,12
4,16,7870.420217615495,491.90126360096843,0.22059150000859518,True,20,219,16,0,0,baseline,310006,16,6513.420217615493,182.0,1095.0,48.0,32.0,,,,,
4,16,8808.17558757972,550.5109742237325,0.14202470000600442,True,21,235,33,17,1,directional_tour,310006,16,7308.175587579718,194.0,1175.0,99.0,32.0,0,0,0,0,0
4,16,8629.009294234105,539.3130808896316,0.28807080000115093,True,21,237,16,0,1,directional_tour_safe,310006,16,7170.0092942341025,194.0,1185.0,48.0,32.0,0,0,0,0,15
4,10,10864.82207164014,1086.482207164014,0.12609999999403954,True,31,391,13,3,1,baseline,310007,10,8499.82207164014,351.0,1955.0,39.0,20.0,,,,,
4,10,10214.466361730003,1021.4466361730003,0.07911239999521058,True,31,423,13,3,1,directional_tour,310007,10,7653.466361730009,387.0,2115.0,39.0,20.0,0,0,0,0,0
4,10,10207.023618800438,1020.7023618800438,0.24395670001104008,True,31,423,26,16,1,directional_tour_safe,310007,10,7607.023618800442,387.0,2115.0,78.0,20.0,0,0,0,0,9
4,13,9556.930551828622,735.1485039868171,0.15860560000874102,True,31,309,13,0,0,baseline,310008,13,7674.930551828621,272.0,1545.0,39.0,26.0,,,,,
4,13,9821.298994220831,755.484538016987,0.11050939999404363,True,31,305,13,0,0,directional_tour,310008,13,7968.298994220833,263.0,1525.0,39.0,26.0,0,0,0,0,0
4,13,9789.899770605914,753.0692131235319,0.10562950000166893,True,31,305,13,0,0,directional_tour_safe,310008,13,7936.8997706059145,263.0,1525.0,39.0,26.0,0,0,0,0,13
4,10,10297.29938155892,1029.729938155892,0.14942419998988044,True,31,419,10,0,0,baseline,310009,10,7775.299381558922,377.0,2095.0,30.0,20.0,,,,,
4,10,10462.670891684078,1046.267089168408,0.08080409999820404,True,31,397,10,0,0,directional_tour,310009,10,8072.6708916840835,355.0,1985.0,30.0,20.0,0,0,0,0,0
4,10,10437.220728312432,1043.7220728312432,0.08009350000065751,True,31,397,10,0,0,directional_tour_safe,310009,10,8047.220728312439,355.0,1985.0,30.0,20.0,0,0,0,0,10
4,11,10701.885850010507,972.8987136373188,0.11375289999705274,True,31,400,31,20,2,baseline,310010,11,8220.885850010505,366.0,2000.0,93.0,22.0,,,,,
4,11,10347.805998735013,940.7096362486376,0.09489469999971334,True,31,409,11,0,0,directional_tour,310010,11,7876.805998735016,371.0,2045.0,33.0,22.0,0,0,0,0,0
4,11,10385.838546323694,944.1671405748813,0.0944003999902634,True,31,411,11,0,0,directional_tour_safe,310010,11,7904.838546323697,371.0,2055.0,33.0,22.0,0,0,0,0,11
4,10,10166.867520150932,1016.6867520150932,0.13409859999956097,True,31,387,10,0,0,baseline,310011,10,7835.867520150929,346.0,1935.0,30.0,20.0,,,,,
4,10,10430.113915961414,1043.0113915961415,0.07854250000673346,True,31,407,10,0,0,directional_tour,310011,10,7974.113915961417,371.0,2035.0,30.0,20.0,0,0,0,0,0
4,10,10384.481624871169,1038.4481624871169,0.0750592999975197,True,31,406,10,0,0,directional_tour_safe,310011,10,7933.481624871174,371.0,2030.0,30.0,20.0,0,0,0,0,10
4,13,11242.56475047206,864.8126731132354,0.20457680000981782,True,31,300,21,8,1,baseline,310012,13,9401.564750472065,252.0,1500.0,63.0,26.0,,,,,
4,13,9854.80288923316,758.0617607102431,0.09922679999726824,True,31,299,21,8,1,directional_tour,310012,13,8018.802889233162,252.0,1495.0,63.0,26.0,0,0,0,0,0
4,13,9740.391599777087,749.2608922905451,0.27211029999307357,True,31,299,24,11,1,directional_tour_safe,310012,13,7895.391599777088,252.0,1495.0,72.0,26.0,0,0,0,0,12
4,15,10839.401552353904,722.6267701569269,0.20492369998828508,True,31,300,15,0,0,baseline,310013,15,9009.4015523539,255.0,1500.0,45.0,30.0,,,,,
4,15,10753.146427082516,716.8764284721677,0.11360320000676438,True,31,314,26,11,2,directional_tour,310013,15,8807.146427082518,268.0,1570.0,78.0,30.0,0,0,0,0,0
4,15,10606.273465954186,707.0848977302791,0.23703679999744054,True,31,315,19,4,2,directional_tour_safe,310013,15,8676.273465954187,268.0,1575.0,57.0,30.0,0,0,0,0,13
4,10,10299.313560803676,1029.9313560803676,0.12042300000030082,True,31,360,10,0,0,baseline,310014,10,8126.3135608036755,323.0,1800.0,30.0,20.0,,,,,
4,10,9853.005407968107,985.3005407968107,0.07969549999688752,True,31,386,10,0,0,directional_tour,310014,10,7524.00540796811,349.0,1930.0,30.0,20.0,0,0,0,0,0
4,10,9735.740735591466,973.5740735591465,0.07664790000126231,True,31,385,10,0,0,directional_tour_safe,310014,10,7411.740735591468,349.0,1925.0,30.0,20.0,0,0,0,0,10
4,15,10514.253448197103,700.9502298798069,0.2396281999972416,True,31,288,15,0,0,baseline,310015,15,8754.253448197103,245.0,1440.0,45.0,30.0,,,,,
4,15,10384.347632651188,692.2898421767459,0.14380869999877177,True,31,269,15,0,0,directional_tour,310015,15,8746.347632651194,218.0,1345.0,45.0,30.0,0,0,0,0,0
4,15,10389.74960741977,692.6499738279847,0.13998910000373144,True,31,271,15,0,0,directional_tour_safe,310015,15,8741.749607419777,218.0,1355.0,45.0,30.0,0,0,0,0,15
4,10,10438.69617019177,1043.869617019177,0.1288019999919925,True,31,394,10,0,0,baseline,310016,10,8064.696170191769,354.0,1970.0,30.0,20.0,,,,,
4,10,10397.876162215696,1039.7876162215696,0.08610410000255797,True,31,446,10,0,0,directional_tour,310016,10,7711.876162215703,406.0,2230.0,30.0,20.0,0,0,0,0,0
4,10,10333.127334067474,1033.3127334067474,0.08740960000432096,True,31,445,10,0,0,directional_tour_safe,310016,10,7652.12733406748,406.0,2225.0,30.0,20.0,0,0,0,0,10
4,10,10288.21737088935,1028.821737088935,0.12177360001078341,True,31,365,10,0,0,baseline,310017,10,8084.217370889347,329.0,1825.0,30.0,20.0,,,,,
4,10,9925.432982035236,992.5432982035236,0.09374219999881461,True,31,356,10,0,0,directional_tour,310017,10,7779.432982035237,316.0,1780.0,30.0,20.0,0,0,0,0,0
4,10,9915.630067553282,991.5630067553282,0.08495240000775084,True,31,357,10,0,0,directional_tour_safe,310017,10,7764.630067553283,316.0,1785.0,30.0,20.0,0,0,0,0,10
4,14,10717.452329445163,765.5323092460831,0.22155349999957252,True,31,281,14,0,0,baseline,310018,14,9006.452329445166,236.0,1405.0,42.0,28.0,,,,,
4,14,10629.922975916917,759.2802125654941,0.12400199999683537,True,31,289,14,0,0,directional_tour,310018,14,8867.92297591692,247.0,1445.0,42.0,28.0,0,0,0,0,0
4,14,10610.206919495,757.8719228210714,0.12719440000364557,True,31,290,14,0,0,directional_tour_safe,310018,14,8843.206919495002,247.0,1450.0,42.0,28.0,0,0,0,0,14
4,12,10451.360410936373,870.9467009113645,0.18412950000492856,True,31,324,12,0,0,baseline,310019,12,8492.360410936375,279.0,1620.0,36.0,24.0,,,,,
4,12,10510.996958774069,875.9164132311724,0.11066900000150781,True,31,336,30,18,1,directional_tour,310019,12,8422.99695877407,294.0,1680.0,90.0,24.0,0,0,0,0,0
4,12,10254.811943940702,854.5676619950585,0.2669458000018494,True,31,337,13,1,1,directional_tour_safe,310019,12,8212.811943940702,294.0,1685.0,39.0,24.0,0,0,0,0,11
4,16,6538.940314422001,408.6837696513751,0.21116719998826738,True,18,202,16,0,0,baseline,310020,16,5275.940314422002,173.0,1010.0,48.0,32.0,,,,,
4,16,7691.641315129425,480.72758219558904,0.12483850000717212,True,20,234,16,0,0,directional_tour,310020,16,6238.641315129424,203.0,1170.0,48.0,32.0,0,0,0,0,0
4,16,7697.74806872929,481.1092542955806,0.12733639999350999,True,20,235,16,0,0,directional_tour_safe,310020,16,6239.74806872929,203.0,1175.0,48.0,32.0,0,0,0,0,16
4,11,10526.286896705004,956.9351724277276,0.15186050000193063,True,31,362,11,0,0,baseline,310021,11,8338.286896705007,323.0,1810.0,33.0,22.0,,,,,
