problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,15,5536.744973860594,369.11633159070624,0.27647450000222307,True,7,94,15,0,0,baseline,310000,15,4920.744973860593,71.0,470.0,45.0,30.0,,,,,
3,15,4661.312098070201,310.7541398713467,0.25882329999876674,True,7,90,15,0,0,local,310000,15,4065.3120980702015,71.0,450.0,45.0,30.0,478,0,0,0,0
3,15,4843.35677074141,322.8904513827607,0.24424859999271575,True,7,94,15,0,0,route,310000,15,4221.356770741411,77.0,470.0,45.0,30.0,443,0,0,0,0
3,15,4800.414161513452,320.0276107675635,0.2433203999971738,True,7,95,15,0,0,safe,310000,15,4173.414161513454,77.0,475.0,45.0,30.0,455,0,0,0,14
3,15,4183.912207470979,278.9274804980653,0.2845514000073308,True,7,117,15,0,0,joint,310000,15,3421.9122074709785,102.0,585.0,45.0,30.0,443,15,7,28,0
3,15,4152.840420497862,276.85602803319085,0.2513409999955911,True,7,117,15,0,0,joint_safe,310000,15,3390.8404204978615,102.0,585.0,45.0,30.0,443,15,7,28,14
3,10,4169.337602070421,416.9337602070421,0.12576109998917673,True,7,115,10,0,0,baseline,310001,10,3443.337602070421,101.0,575.0,30.0,20.0,,,,,
3,10,4113.4281103528265,411.34281103528264,0.14420660000178032,True,7,113,10,0,0,local,310001,10,3397.4281103528265,101.0,565.0,30.0,20.0,272,0,0,0,0
3,10,3773.606673472862,377.3606673472862,0.13347459999204148,True,7,116,10,0,0,route,310001,10,3036.606673472862,107.0,580.0,30.0,20.0,237,0,0,0,0
3,10,3754.4427850917677,375.4442785091768,0.13567740000144113,True,7,116,10,0,0,safe,310001,10,3017.4427850917673,107.0,580.0,30.0,20.0,237,0,0,0,10
3,10,3354.9422710685662,335.4942271068566,0.14734140000655316,True,7,114,10,0,0,joint,310001,10,2630.9422710685667,104.0,570.0,30.0,20.0,260,10,1,3,0
3,10,3344.060064990464,334.4060064990464,0.1463517999945907,True,7,114,10,0,0,joint_safe,310001,10,2620.060064990464,104.0,570.0,30.0,20.0,260,10,1,3,9
3,10,4207.679614741937,420.7679614741937,0.1299970999971265,True,7,123,10,0,0,baseline,310002,10,3437.6796147419373,105.0,615.0,30.0,20.0,,,,,
3,10,3675.510213475772,367.5510213475772,0.1493172000045888,True,7,117,10,0,0,local,310002,10,2935.510213475772,105.0,585.0,30.0,20.0,273,0,0,0,0
3,10,3572.461498284134,357.2461498284134,0.12885500000265893,True,7,116,10,0,0,route,310002,10,2833.461498284135,109.0,580.0,30.0,20.0,226,0,0,0,0
3,10,3561.4842380695204,356.14842380695205,0.15809130000707228,True,7,116,10,0,0,safe,310002,10,2822.484238069521,109.0,580.0,30.0,20.0,226,0,0,0,10
3,10,3612.01826729716,361.201826729716,0.1885331999947084,True,7,128,10,0,0,joint,310002,10,2801.0182672971605,121.0,640.0,30.0,20.0,226,10,4,12,0
3,10,3660.276121626099,366.0276121626099,0.18805260000226554,True,7,128,10,0,0,joint_safe,310002,10,2849.276121626099,121.0,640.0,30.0,20.0,226,10,4,12,10
3,14,4546.8480894732775,324.77486353380556,0.22685539998929016,True,7,109,14,0,0,baseline,310003,14,3841.848089473279,90.0,545.0,42.0,28.0,,,,,
3,14,4021.8514885864797,287.27510632760567,0.2982740000006743,True,7,104,14,0,0,local,310003,14,3341.8514885864793,90.0,520.0,42.0,28.0,374,0,0,0,0
3,14,4817.093639818073,344.07811712986233,0.29419729999790434,True,7,108,14,0,0,route,310003,14,4113.093639818074,94.0,540.0,42.0,28.0,386,0,0,0,0
3,14,4783.446068218642,341.67471915847443,0.299006899993401,True,7,109,14,0,0,safe,310003,14,4074.4460682186423,94.0,545.0,42.0,28.0,398,0,0,0,13
3,14,4470.372781174907,319.31234151249333,0.30800010000530165,True,7,118,14,0,0,joint,310003,14,3707.3727811749063,103.0,590.0,42.0,28.0,351,14,5,13,0
3,14,4467.013963155675,319.0724259396911,0.27029919999768026,True,7,118,14,0,0,joint_safe,310003,14,3704.0139631556744,103.0,590.0,42.0,28.0,351,14,5,13,14
3,14,4470.24576869473,319.30326919248074,0.23312069999519736,True,7,100,14,0,0,baseline,310004,14,3813.2457686947287,87.0,500.0,42.0,28.0,,,,,
3,14,4194.8876579942535,299.63483271387526,0.21249439999519382,True,7,99,14,0,0,local,310004,14,3542.8876579942535,87.0,495.0,42.0,28.0,373,0,0,0,0
3,14,4134.711344770758,295.3365246264827,0.21994579999591224,True,7,102,14,0,0,route,310004,14,3463.711344770757,91.0,510.0,42.0,28.0,362,0,0,0,0
3,14,4103.181805468446,293.0844146763176,0.22907099999429192,True,7,102,14,0,0,safe,310004,14,3432.1818054684463,91.0,510.0,42.0,28.0,362,0,0,0,12
