problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,15,9836.199217955907,655.7466145303938,0.16131080000195652,True,31,253,23,8,1,baseline,310000,15,8257.199217955907,215.0,1265.0,69.0,30.0,,,,,
4,15,9592.825112839942,639.5216741893295,0.11041729999124072,True,31,255,15,0,0,directional,310000,15,8027.825112839941,215.0,1275.0,45.0,30.0,0,0,0,0,0
4,15,10289.664523257323,685.9776348838216,0.29776940000010654,True,31,305,15,0,0,directional_route,310000,15,8427.664523257326,262.0,1525.0,45.0,30.0,0,0,0,0,0
4,15,10282.168805116584,685.4779203411056,0.30309079999278765,True,31,307,15,0,0,directional_safe,310000,15,8410.16880511659,262.0,1535.0,45.0,30.0,0,0,0,0,15
4,10,11005.864219077204,1100.5864219077205,0.10982510000758339,True,31,412,27,17,2,baseline,310001,10,8469.864219077204,375.0,2060.0,81.0,20.0,,,,,
4,10,10903.988416203301,1090.3988416203301,0.06872020001173951,True,31,411,22,12,1,directional,310001,10,8387.988416203301,375.0,2055.0,66.0,20.0,0,0,0,0,0
4,10,10134.302057965611,1013.4302057965612,0.18717710000055376,True,31,403,27,17,2,directional_route,310001,10,7655.302057965615,363.0,2015.0,81.0,20.0,0,0,0,0,0
4,10,9992.938595856494,999.2938595856494,0.517215900006704,True,31,404,35,25,2,directional_safe,310001,10,7484.938595856497,363.0,2020.0,105.0,20.0,0,0,0,0,8
4,10,11183.602438111942,1118.3602438111943,0.12559589999727905,True,31,416,10,0,0,baseline,310002,10,8678.602438111944,375.0,2080.0,30.0,20.0,,,,,
4,10,11093.894607027856,1109.3894607027855,0.08422089999658056,True,31,419,10,0,0,directional,310002,10,8573.894607027858,375.0,2095.0,30.0,20.0,0,0,0,0,0
4,10,10848.671549217119,1084.867154921712,0.2544254000094952,True,31,371,10,0,0,directional_route,310002,10,8613.67154921712,330.0,1855.0,30.0,20.0,0,0,0,0,0
4,10,10786.322681357493,1078.6322681357492,0.25920960000075866,True,31,371,10,0,0,directional_safe,310002,10,8551.322681357495,330.0,1855.0,30.0,20.0,0,0,0,0,10
4,14,11136.38642025635,795.4561728754536,0.18634309999470133,True,31,304,14,0,0,baseline,310003,14,9292.38642025635,254.0,1520.0,42.0,28.0,,,,,
4,14,10457.390083821838,746.9564345587027,0.10623029999260325,True,31,299,14,0,0,directional,310003,14,8638.390083821838,254.0,1495.0,42.0,28.0,0,0,0,0,0
4,14,10300.040718337106,735.7171941669361,0.30725209999945946,True,31,296,14,0,0,directional_route,310003,14,8501.040718337104,249.0,1480.0,42.0,28.0,0,0,0,0,0
4,14,10255.58441221775,732.5417437298393,0.32424770000216085,True,31,296,14,0,0,directional_safe,310003,14,8456.58441221775,249.0,1480.0,42.0,28.0,0,0,0,0,14
4,14,9557.371098825095,682.6693642017925,0.1762940000044182,True,31,269,14,0,0,baseline,310004,14,7910.371098825099,232.0,1345.0,42.0,28.0,,,,,
4,14,9708.929450168707,693.4949607263362,0.11002690000168514,True,31,275,32,18,1,directional,310004,14,7977.929450168709,232.0,1375.0,96.0,28.0,0,0,0,0,0
4,14,11132.67938850675,795.1913848933392,0.32318850001320243,True,31,290,107,93,1,directional_route,310004,14,9085.679388506751,248.0,1450.0,321.0,28.0,0,0,0,0,0
4,14,10132.641145452966,723.760081818069,0.5115758000029018,True,31,291,53,39,1,directional_safe,310004,14,8247.641145452968,243.0,1455.0,159.0,28.0,0,0,0,0,13
4,12,10227.654940176406,852.3045783480338,0.1252148999919882,True,31,359,12,0,0,baseline,310005,12,8045.654940176408,327.0,1795.0,36.0,24.0,,,,,
4,12,10510.932099283451,875.911008273621,0.08670430000347551,True,31,365,28,16,1,directional,310005,12,8250.932099283453,327.0,1825.0,84.0,24.0,0,0,0,0,0
4,12,9904.438236270471,825.3698530225392,0.22146519999660086,True,31,372,28,16,1,directional_route,310005,12,7603.438236270475,333.0,1860.0,84.0,24.0,0,0,0,0,0
4,12,9628.361477366283,802.3634564471903,0.36157039999670815,True,31,370,13,1,1,directional_safe,310005,12,7382.361477366282,333.0,1850.0,39.0,24.0,0,0,0,0,11
4,16,7870.420217615495,491.90126360096843,0.2174583000014536,True,20,219,16,0,0,baseline,310006,16,6513.420217615493,182.0,1095.0,48.0,32.0,,,,,
4,16,7655.027289553211,478.43920559707567,0.13413100001343992,True,20,223,16,0,0,directional,310006,16,6278.02728955321,182.0,1115.0,48.0,32.0,0,0,0,0,0
4,16,8726.115081872551,545.3821926170344,0.34262650000164285,True,23,263,16,0,0,directional_route,310006,16,7103.115081872554,228.0,1315.0,48.0,32.0,0,0,0,0,0
4,16,8745.192620377167,546.574538773573,0.3550070999917807,True,23,264,16,0,0,directional_safe,310006,16,7117.192620377168,228.0,1320.0,48.0,32.0,0,0,0,0,16
4,10,10864.82207164014,1086.482207164014,0.12073680000321474,True,31,391,13,3,1,baseline,310007,10,8499.82207164014,351.0,1955.0,39.0,20.0,,,,,
4,10,10964.317244302589,1096.4317244302588,0.08233539998764172,True,31,390,29,19,2,directional,310007,10,8556.31724430259,351.0,1950.0,87.0,20.0,0,0,0,0,0
4,10,10562.109986543257,1056.2109986543257,0.24304689999553375,True,31,397,26,16,1,directional_route,310007,10,8123.109986543259,356.0,1985.0,78.0,20.0,0,0,0,0,0
4,10,10195.9048399406,1019.59048399406,0.4280442999879597,True,31,405,13,3,1,directional_safe,310007,10,7743.904839940599,368.0,2025.0,39.0,20.0,0,0,0,0,9
4,13,9556.930551828622,735.1485039868171,0.1579236999968998,True,31,309,13,0,0,baseline,310008,13,7674.930551828621,272.0,1545.0,39.0,26.0,,,,,
4,13,9501.944488420168,730.9188068015513,0.09811740000441205,True,31,309,13,0,0,directional,310008,13,7619.944488420165,272.0,1545.0,39.0,26.0,0,0,0,0,0
4,13,10019.821369188181,770.7554899375524,0.31567229999927804,True,31,295,13,0,0,directional_route,310008,13,8229.821369188183,250.0,1475.0,39.0,26.0,0,0,0,0,0
4,13,9980.399087418964,767.7230067245357,0.3266776999953436,True,31,295,13,0,0,directional_safe,310008,13,8190.399087418967,250.0,1475.0,39.0,26.0,0,0,0,0,13
4,10,10297.29938155892,1029.729938155892,0.13920970000617672,True,31,419,10,0,0,baseline,310009,10,7775.299381558922,377.0,2095.0,30.0,20.0,,,,,
4,10,10089.691304874616,1008.9691304874616,0.08025030000135303,True,31,418,10,0,0,directional,310009,10,7572.691304874614,377.0,2090.0,30.0,20.0,0,0,0,0,0
4,10,10673.558149864099,1067.3558149864098,0.25812020000012126,True,31,403,21,11,1,directional_route,310009,10,8216.558149864093,359.0,2015.0,63.0,20.0,0,0,0,0,0
4,10,10537.349637389521,1053.734963738952,0.43638510000891984,True,31,403,19,9,1,directional_safe,310009,10,8086.349637389517,359.0,2015.0,57.0,20.0,0,0,0,0,9
4,11,10701.885850010507,972.8987136373188,0.12413029999879654,True,31,400,31,20,2,baseline,310010,11,8220.885850010505,366.0,2000.0,93.0,22.0,,,,,
4,11,11642.580270648952,1058.4163882408138,0.0761659999989206,True,31,402,113,102,3,directional,310010,11,8905.580270648954,366.0,2010.0,339.0,22.0,0,0,0,0,0
4,11,11207.764379067208,1018.8876708242916,0.2457055999984732,True,31,389,113,102,3,directional_route,310010,11,8550.764379067246,351.0,1945.0,339.0,22.0,0,0,0,0,0
4,11,10885.45123864151,989.5864762401372,0.5034095999872079,True,31,391,90,79,3,directional_safe,310010,11,8287.451238641537,351.0,1955.0,270.0,22.0,0,0,0,0,8
4,10,10166.867520150932,1016.6867520150932,0.1370318999979645,True,31,387,10,0,0,baseline,310011,10,7835.867520150929,346.0,1935.0,30.0,20.0,,,,,
4,10,9941.927242729054,994.1927242729055,0.07678099999611732,True,31,384,10,0,0,directional,310011,10,7625.92724272905,346.0,1920.0,30.0,20.0,0,0,0,0,0
4,10,9992.688146519631,999.2688146519631,0.27268829999957234,True,31,379,10,0,0,directional_route,310011,10,7705.688146519635,342.0,1895.0,30.0,20.0,0,0,0,0,0
4,10,9976.451279549685,997.6451279549685,0.25636250000388827,True,31,379,10,0,0,directional_safe,310011,10,7689.451279549687,342.0,1895.0,30.0,20.0,0,0,0,0,10
4,13,11242.56475047206,864.8126731132354,0.20762739999918267,True,31,300,21,8,1,baseline,310012,13,9401.564750472065,252.0,1500.0,63.0,26.0,,,,,
4,13,10430.673983056507,802.3595371581929,0.11703379999380559,True,31,298,13,0,0,directional,310012,13,8623.673983056507,252.0,1490.0,39.0,26.0,0,0,0,0,0
4,13,10443.706622831203,803.3620479100925,0.32749900000635535,True,31,316,20,7,1,directional_route,310012,13,8509.706622831203,268.0,1580.0,60.0,26.0,0,0,0,0,0
4,13,10321.050425555894,793.9269558119918,0.5167436999909114,True,31,315,26,13,1,directional_safe,310012,13,8374.050425555895,268.0,1575.0,78.0,26.0,0,0,0,0,12
4,15,10839.401552353904,722.6267701569269,0.21121630001289304,True,31,300,15,0,0,baseline,310013,15,9009.4015523539,255.0,1500.0,45.0,30.0,,,,,
4,15,10809.09121526853,720.606081017902,0.15165630000410601,True,31,306,45,30,1,directional,310013,15,8859.091215268529,255.0,1530.0,135.0,30.0,0,0,0,0,0
4,15,10814.441388580923,720.9627592387282,0.34853190000285394,True,31,288,16,1,1,directional_route,310013,15,9056.441388580923,240.0,1440.0,48.0,30.0,0,0,0,0,0
4,15,10719.13171040871,714.608780693914,0.30163860000902787,True,31,266,15,0,1,directional_safe,310013,15,9093.131710408714,221.0,1330.0,45.0,30.0,0,0,0,0,14
4,10,10299.313560803676,1029.9313560803676,0.12056599999777973,True,31,360,10,0,0,baseline,310014,10,8126.3135608036755,323.0,1800.0,30.0,20.0,,,,,
4,10,10057.465984680162,1005.7465984680163,0.08003769999777433,True,31,360,10,0,0,directional,310014,10,7884.465984680162,323.0,1800.0,30.0,20.0,0,0,0,0,0
4,10,9842.047919867191,984.2047919867191,0.262804199999664,True,31,361,10,0,0,directional_route,310014,10,7664.047919867193,323.0,1805.0,30.0,20.0,0,0,0,0,0
4,10,9721.571386713687,972.1571386713688,0.258609600001364,True,31,361,10,0,0,directional_safe,310014,10,7543.571386713689,323.0,1805.0,30.0,20.0,0,0,0,0,10
4,15,10514.253448197103,700.9502298798069,0.23640359999262728,True,31,288,15,0,0,baseline,310015,15,8754.253448197103,245.0,1440.0,45.0,30.0,,,,,
4,15,10145.243041345926,676.3495360897284,0.11334370000986382,True,31,288,15,0,0,directional,310015,15,8385.24304134593,245.0,1440.0,45.0,30.0,0,0,0,0,0
4,15,11274.703377751819,751.6468918501213,0.34445079999568406,True,31,310,15,0,0,directional_route,310015,15,9395.703377751819,254.0,1550.0,45.0,30.0,0,0,0,0,0
4,15,11213.120649481602,747.5413766321068,0.3308880999975372,True,31,309,15,0,0,directional_safe,310015,15,9339.120649481602,254.0,1545.0,45.0,30.0,0,0,0,0,15
4,10,10438.69617019177,1043.869617019177,0.1331577999953879,True,31,394,10,0,0,baseline,310016,10,8064.696170191769,354.0,1970.0,30.0,20.0,,,,,
4,10,10242.345042740528,1024.2345042740528,0.08002639999904204,True,31,392,10,0,0,directional,310016,10,7878.345042740529,354.0,1960.0,30.0,20.0,0,0,0,0,0
