problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,max_step_error_s,normal_exit,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,15,9836.199217955907,655.7466145303938,0.1682987999956822,True,31,253,23,8,1,baseline,310000,15,8257.199217955907,215.0,1265.0,69.0,30.0,4.547473508864641e-13,True,,,,,
4,15,9633.445067447263,642.2296711631509,0.14383939999970607,True,31,275,15,0,0,directional_layers_safe,310000,15,7953.445067447265,230.0,1375.0,45.0,30.0,0.0,True,0,0,0,0,15
4,10,11005.864219077204,1100.5864219077205,0.11355040001217276,True,31,412,27,17,2,baseline,310001,10,8469.864219077204,375.0,2060.0,81.0,20.0,0.0,True,,,,,
4,10,10236.811770011476,1023.6811770011476,0.4427564999932656,True,31,378,33,23,2,directional_layers_safe,310001,10,7892.811770011477,335.0,1890.0,99.0,20.0,4.547473508864641e-13,True,0,0,0,0,8
4,10,11183.602438111942,1118.3602438111943,0.13234809999994468,True,31,416,10,0,0,baseline,310002,10,8678.602438111944,375.0,2080.0,30.0,20.0,1.1368683772161603e-13,True,,,,,
4,10,9396.029518962834,939.6029518962835,0.10919070000818465,True,31,362,10,0,0,directional_layers_safe,310002,10,7213.029518962834,323.0,1810.0,30.0,20.0,0.0,True,0,0,0,0,10
4,14,11136.38642025635,795.4561728754536,0.19217560000834055,True,31,304,14,0,0,baseline,310003,14,9292.38642025635,254.0,1520.0,42.0,28.0,0.0,True,,,,,
4,14,9925.965266942228,708.997519067302,0.13829649999388494,True,31,271,14,0,0,directional_layers_safe,310003,14,8276.965266942232,224.0,1355.0,42.0,28.0,0.0,True,0,0,0,0,14
4,14,9557.371098825095,682.6693642017925,0.1672309999994468,True,31,269,14,0,0,baseline,310004,14,7910.371098825099,232.0,1345.0,42.0,28.0,0.0,True,,,,,
4,14,9513.671178524988,679.5479413232134,0.30086420000588987,True,31,304,16,2,1,directional_layers_safe,310004,14,7658.67117852499,259.0,1520.0,48.0,28.0,0.0,True,0,0,0,0,13
4,12,10227.654940176406,852.3045783480338,0.122543699995731,True,31,359,12,0,0,baseline,310005,12,8045.654940176408,327.0,1795.0,36.0,24.0,1.1368683772161603e-13,True,,,,,
4,12,9684.756865161282,807.0630720967735,0.11603810000815429,True,31,348,12,0,0,directional_layers_safe,310005,12,7574.756865161283,310.0,1740.0,36.0,24.0,0.0,True,0,0,0,0,12
4,16,7870.420217615495,491.90126360096843,0.21211190000758506,True,20,219,16,0,0,baseline,310006,16,6513.420217615493,182.0,1095.0,48.0,32.0,1.1368683772161603e-13,True,,,,,
4,16,5735.80817055874,358.48801065992126,0.14341560000320897,True,13,177,16,0,0,directional_layers_safe,310006,16,4625.808170558738,145.0,885.0,48.0,32.0,0.0,True,0,0,0,0,16
4,10,10864.82207164014,1086.482207164014,0.13707359999534674,True,31,391,13,3,1,baseline,310007,10,8499.82207164014,351.0,1955.0,39.0,20.0,0.0,True,,,,,
4,10,9745.669184956992,974.5669184956993,0.45375739999872167,True,31,375,29,19,2,directional_layers_safe,310007,10,7425.669184956995,338.0,1875.0,87.0,20.0,0.0,True,0,0,0,0,8
4,13,9556.930551828622,735.1485039868171,0.16517140000360087,True,31,309,13,0,0,baseline,310008,13,7674.930551828621,272.0,1545.0,39.0,26.0,0.0,True,,,,,
4,13,8975.464948625633,690.4203806635103,0.13833279999380466,True,31,274,13,0,0,directional_layers_safe,310008,13,7304.464948625631,236.0,1370.0,39.0,26.0,1.1368683772161603e-13,True,0,0,0,0,13
4,10,10297.29938155892,1029.729938155892,0.14679489999252837,True,31,419,10,0,0,baseline,310009,10,7775.299381558922,377.0,2095.0,30.0,20.0,0.0,True,,,,,
4,10,9888.235576922161,988.8235576922161,0.4452082000061637,True,31,385,29,19,2,directional_layers_safe,310009,10,7512.23557692216,344.0,1925.0,87.0,20.0,0.0,True,0,0,0,0,8
