problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,15,9836.199217955907,655.7466145303938,0.16345160000491887,True,31,253,23,8,1,baseline,310000,15,8257.199217955907,215.0,1265.0,69.0,30.0,,,,,
4,15,11201.320238408847,746.7546825605898,0.3580378000042401,True,31,342,15,0,0,directional_opportunistic_safe,310000,15,9125.320238408849,291.0,1710.0,45.0,30.0,0,0,0,80,15
4,10,11005.864219077204,1100.5864219077205,0.11166989999765065,True,31,412,27,17,2,baseline,310001,10,8469.864219077204,375.0,2060.0,81.0,20.0,,,,,
4,10,10267.499851019515,1026.7499851019516,0.5327594999980647,True,31,426,33,23,2,directional_opportunistic_safe,310001,10,7634.499851019517,384.0,2130.0,99.0,20.0,0,0,0,40,8
4,10,11183.602438111942,1118.3602438111943,0.13084840000374243,True,31,416,10,0,0,baseline,310002,10,8678.602438111944,375.0,2080.0,30.0,20.0,,,,,
4,10,10727.464899878409,1072.746489987841,0.7636270999937551,True,31,435,31,21,3,directional_opportunistic_safe,310002,10,8046.464899878412,393.0,2175.0,93.0,20.0,0,0,0,57,7
4,14,11136.38642025635,795.4561728754536,0.18945150000217836,True,31,304,14,0,0,baseline,310003,14,9292.38642025635,254.0,1520.0,42.0,28.0,,,,,
4,14,10644.470102359122,760.3192930256516,0.4395934999920428,True,31,339,19,5,1,directional_opportunistic_safe,310003,14,8573.470102359122,291.0,1695.0,57.0,28.0,0,0,0,75,13
4,14,9557.371098825095,682.6693642017925,0.17488820001017302,True,31,269,14,0,0,baseline,310004,14,7910.371098825099,232.0,1345.0,42.0,28.0,,,,,
4,14,10921.235429882396,780.0882449915997,0.6910564999998314,True,31,323,55,41,2,directional_opportunistic_safe,310004,14,8843.235429882403,270.0,1615.0,165.0,28.0,0,0,0,73,12
4,12,10227.654940176406,852.3045783480338,0.1307136000104947,True,31,359,12,0,0,baseline,310005,12,8045.654940176408,327.0,1795.0,36.0,24.0,,,,,
4,12,10564.671244475769,880.3892703729807,0.4560076000052504,True,31,426,18,6,1,directional_opportunistic_safe,310005,12,7971.671244475768,385.0,2130.0,54.0,24.0,0,0,0,88,11
4,16,7870.420217615495,491.90126360096843,0.22760030000063125,True,20,219,16,0,0,baseline,310006,16,6513.420217615493,182.0,1095.0,48.0,32.0,,,,,
4,16,5877.359764252269,367.3349852657668,0.34268129999691155,True,10,171,16,0,0,directional_opportunistic_safe,310006,16,4802.359764252269,140.0,855.0,48.0,32.0,0,0,0,54,16
4,10,10864.82207164014,1086.482207164014,0.12096059999021236,True,31,391,13,3,1,baseline,310007,10,8499.82207164014,351.0,1955.0,39.0,20.0,,,,,
4,10,10972.730728009408,1097.2730728009408,0.42995649999647867,True,31,487,13,3,1,directional_opportunistic_safe,310007,10,8034.730728009413,444.0,2435.0,39.0,20.0,0,0,0,95,9
4,13,9556.930551828622,735.1485039868171,0.16582170000765473,True,31,309,13,0,0,baseline,310008,13,7674.930551828621,272.0,1545.0,39.0,26.0,,,,,
4,13,11483.413422199754,883.3394940153656,0.33472400000027847,True,31,365,13,0,0,directional_opportunistic_safe,310008,13,9275.413422199757,318.0,1825.0,39.0,26.0,0,0,0,69,13
4,10,10297.29938155892,1029.729938155892,0.1410152000025846,True,31,419,10,0,0,baseline,310009,10,7775.299381558922,377.0,2095.0,30.0,20.0,,,,,
4,10,10507.100767685146,1050.7100767685147,0.27004909999959636,True,31,444,10,0,0,directional_opportunistic_safe,310009,10,7835.100767685146,402.0,2220.0,30.0,20.0,0,0,0,90,10
4,11,10701.885850010507,972.8987136373188,0.12938619998749346,True,31,400,31,20,2,baseline,310010,11,8220.885850010505,366.0,2000.0,93.0,22.0,,,,,
4,11,11847.624758166807,1077.0567961969825,0.33802660000219475,True,31,495,85,74,2,directional_opportunistic_safe,310010,11,8643.62475816681,452.0,2475.0,255.0,22.0,0,0,0,105,9
4,10,10166.867520150932,1016.6867520150932,0.1337444999953732,True,31,387,10,0,0,baseline,310011,10,7835.867520150929,346.0,1935.0,30.0,20.0,,,,,
4,10,10599.608208844344,1059.9608208844343,0.38561789999948815,True,31,418,16,6,1,directional_opportunistic_safe,310011,10,8068.608208844346,373.0,2090.0,48.0,20.0,0,0,0,74,9
4,13,11242.56475047206,864.8126731132354,0.21285009999701288,True,31,300,21,8,1,baseline,310012,13,9401.564750472065,252.0,1500.0,63.0,26.0,,,,,
4,13,10622.394780683397,817.1072908217998,0.5011387999984436,True,31,373,26,13,1,directional_opportunistic_safe,310012,13,8327.394780683404,326.0,1865.0,78.0,26.0,0,0,0,72,12
4,15,10839.401552353904,722.6267701569269,0.21331320000172127,True,31,300,15,0,0,baseline,310013,15,9009.4015523539,255.0,1500.0,45.0,30.0,,,,,
4,15,11176.001992317766,745.0667994878511,0.3839877999998862,True,31,362,15,0,1,directional_opportunistic_safe,310013,15,8982.001992317773,309.0,1810.0,45.0,30.0,0,0,0,89,14
4,10,10299.313560803676,1029.9313560803676,0.1265265999973053,True,31,360,10,0,0,baseline,310014,10,8126.3135608036755,323.0,1800.0,30.0,20.0,,,,,
4,10,10453.385882757135,1045.3385882757134,0.28037369999219663,True,31,404,10,0,0,directional_opportunistic_safe,310014,10,8023.385882757137,360.0,2020.0,30.0,20.0,0,0,0,52,10
4,15,10514.253448197103,700.9502298798069,0.2588296000030823,True,31,288,15,0,0,baseline,310015,15,8754.253448197103,245.0,1440.0,45.0,30.0,,,,,
4,15,12314.156343820548,820.9437562547032,0.38985810001031496,True,31,291,15,0,0,directional_opportunistic_safe,310015,15,10551.156343820554,233.0,1455.0,45.0,30.0,0,0,0,70,15
4,10,10438.69617019177,1043.869617019177,0.12886769999749959,True,31,394,10,0,0,baseline,310016,10,8064.696170191769,354.0,1970.0,30.0,20.0,,,,,
4,10,11065.236168101956,1106.5236168101956,0.25766920000023674,True,31,484,10,0,0,directional_opportunistic_safe,310016,10,8156.236168101959,439.0,2420.0,30.0,20.0,0,0,0,78,10
4,10,10288.21737088935,1028.821737088935,0.13789009999891277,True,31,365,10,0,0,baseline,310017,10,8084.217370889347,329.0,1825.0,30.0,20.0,,,,,
4,10,10078.215897882326,1007.8215897882326,0.2601974999997765,True,31,441,10,0,0,directional_opportunistic_safe,310017,10,7424.215897882326,399.0,2205.0,30.0,20.0,0,0,0,54,10
4,14,10717.452329445163,765.5323092460831,0.21016889999737032,True,31,281,14,0,0,baseline,310018,14,9006.452329445166,236.0,1405.0,42.0,28.0,,,,,
4,14,11241.693469756943,802.9781049826388,0.3738861000019824,True,31,338,14,0,0,directional_opportunistic_safe,310018,14,9190.693469756941,291.0,1690.0,42.0,28.0,0,0,0,92,14
4,12,10451.360410936373,870.9467009113645,0.19638880000275094,True,31,324,12,0,0,baseline,310019,12,8492.360410936375,279.0,1620.0,36.0,24.0,,,,,
4,12,11178.004638637347,931.5003865531122,0.48736729999654926,True,31,386,13,1,1,directional_opportunistic_safe,310019,12,8845.00463863735,340.0,1930.0,39.0,24.0,0,0,0,76,11
4,16,6538.940314422001,408.6837696513751,0.23026369999570306,True,18,202,16,0,0,baseline,310020,16,5275.940314422002,173.0,1010.0,48.0,32.0,,,,,
4,16,5390.342614233634,336.8964133896021,0.32541930000297725,True,1,114,16,0,0,directional_opportunistic_safe,310020,16,4649.342614233634,91.0,570.0,48.0,32.0,0,0,0,56,16
4,11,10526.286896705004,956.9351724277276,0.15427670000644866,True,31,362,11,0,0,baseline,310021,11,8338.286896705007,323.0,1810.0,33.0,22.0,,,,,
4,11,10552.737447291289,959.3397679355717,0.2765380000055302,True,31,392,11,0,0,directional_opportunistic_safe,310021,11,8193.737447291289,344.0,1960.0,33.0,22.0,0,0,0,62,11
4,10,11016.388673748286,1101.6388673748286,0.14550729999609757,True,31,362,10,0,0,baseline,310022,10,8834.38867374829,322.0,1810.0,30.0,20.0,,,,,
4,10,10834.021383805619,1083.4021383805618,0.41805330000352114,True,31,420,15,5,1,directional_opportunistic_safe,310022,10,8298.021383805624,371.0,2100.0,45.0,20.0,0,0,0,72,9
4,14,10126.665518257982,723.3332513041415,0.17429379999521188,True,31,273,31,17,3,baseline,310023,14,8407.665518257987,233.0,1365.0,93.0,28.0,,,,,
4,14,10929.2425408457,780.6601814889785,0.6324692000052892,True,31,367,36,22,2,directional_opportunistic_safe,310023,14,8637.242540845698,321.0,1835.0,108.0,28.0,0,0,0,63,12
4,15,9937.397553052711,662.4931702035141,0.23811989999376237,True,31,271,15,0,0,baseline,310024,15,8281.397553052713,226.0,1355.0,45.0,30.0,,,,,
4,15,10484.452093931375,698.9634729287584,0.5188322000030894,True,31,284,15,0,1,directional_opportunistic_safe,310024,15,8763.452093931375,226.0,1420.0,45.0,30.0,0,0,0,53,14
4,16,6485.587200701021,405.3492000438138,0.21751610000501387,True,14,189,16,0,0,baseline,310025,16,5299.587200701019,161.0,945.0,48.0,32.0,,,,,
4,16,8853.19599555658,553.3247497222862,0.37211950001074,True,23,227,16,0,0,directional_opportunistic_safe,310025,16,7457.195995556582,181.0,1135.0,48.0,32.0,0,0,0,56,16
4,16,8586.331953337236,536.6457470835772,0.22926549999101553,True,19,193,31,15,1,baseline,310026,16,7341.33195333724,155.0,965.0,93.0,32.0,,,,,
4,16,5178.527713911704,323.6579821194815,0.5171211999986554,True,3,141,19,3,1,directional_opportunistic_safe,310026,16,4269.527713911706,115.0,705.0,57.0,32.0,0,0,0,73,15
4,11,9878.257435685813,898.0234032441648,0.14126889999897685,True,31,351,22,11,1,baseline,310027,11,7724.257435685815,311.0,1755.0,66.0,22.0,,,,,
4,11,10247.123734755738,931.5567031596125,0.27785309999308083,True,31,399,11,0,0,directional_opportunistic_safe,310027,11,7840.1237347557435,357.0,1995.0,33.0,22.0,0,0,0,63,11
4,13,10815.201894458789,831.9386072660607,0.1929394000035245,True,31,378,13,0,0,baseline,310028,13,8528.201894458793,332.0,1890.0,39.0,26.0,,,,,
4,13,10573.897288900422,813.3767145308017,0.318915099996957,True,31,401,13,0,0,directional_opportunistic_safe,310028,13,8157.897288900423,346.0,2005.0,39.0,26.0,0,0,0,92,13
4,15,11061.354288117598,737.4236192078399,0.1788698000018485,True,31,367,36,21,2,baseline,310029,15,8763.354288117598,325.0,1835.0,108.0,30.0,,,,,
4,15,11439.924295349092,762.6616196899395,0.4033767000073567,True,31,322,22,7,1,directional_opportunistic_safe,310029,15,9458.924295349092,275.0,1610.0,66.0,30.0,0,0,0,97,14
4,14,10805.337519371831,771.8098228122736,0.2351141999970423,True,31,282,25,11,1,baseline,310030,14,9053.337519371828,239.0,1410.0,75.0,28.0,,,,,
4,14,11592.824911951027,828.0589222822163,0.5560095999971963,True,31,312,55,41,1,directional_opportunistic_safe,310030,14,9579.824911951035,260.0,1560.0,165.0,28.0,0,0,0,64,13
4,14,10975.452112186955,783.9608651562111,0.2076809999998659,True,31,316,27,13,1,baseline,310031,14,9015.452112186955,271.0,1580.0,81.0,28.0,,,,,
4,14,10290.023748872578,735.0016963480413,0.5371088000101736,True,31,361,21,7,1,directional_opportunistic_safe,310031,14,8079.023748872577,315.0,1805.0,63.0,28.0,0,0,0,48,13
4,15,10181.476728864056,678.7651152576037,0.2585255000012694,True,31,254,15,0,0,baseline,310032,15,8626.476728864054,210.0,1270.0,45.0,30.0,,,,,
4,15,10274.905868634884,684.9937245756589,0.35140339999634307,True,31,290,15,0,0,directional_opportunistic_safe,310032,15,8516.905868634887,233.0,1450.0,45.0,30.0,0,0,0,42,15
4,10,10430.336798639757,1043.0336798639757,0.13377939999918453,True,31,411,10,0,0,baseline,310033,10,7955.336798639759,370.0,2055.0,30.0,20.0,,,,,
4,10,11165.089052790214,1116.5089052790213,0.2276036999974167,True,31,451,10,0,0,directional_opportunistic_safe,310033,10,8458.089052790216,402.0,2255.0,30.0,20.0,0,0,0,66,10
4,16,10558.701938153241,659.9188711345776,0.22594840000965632,True,29,294,16,0,0,baseline,310034,16,8758.701938153241,250.0,1470.0,48.0,32.0,,,,,
4,16,3789.4069514322437,236.83793446451523,0.34777049999684095,True,1,139,16,0,0,directional_opportunistic_safe,310034,16,2900.4069514322427,114.0,695.0,48.0,32.0,0,0,0,79,16
4,14,10397.117168270055,742.6512263050039,0.19638609999674372,True,31,263,14,0,0,baseline,310035,14,8793.117168270055,219.0,1315.0,42.0,28.0,,,,,
4,14,10317.964449527946,736.9974606805675,0.6115896999981487,True,31,321,28,14,2,directional_opportunistic_safe,310035,14,8327.964449527946,273.0,1605.0,84.0,28.0,0,0,0,59,12
4,11,10627.84528517392,966.1677531976292,0.13324509999074508,True,31,396,17,6,1,baseline,310036,11,8217.84528517392,357.0,1980.0,51.0,22.0,,,,,
4,11,10660.813635171962,969.1648759247238,0.6167198999901302,True,31,410,49,38,2,directional_opportunistic_safe,310036,11,8077.813635171965,364.0,2050.0,147.0,22.0,0,0,0,71,9
4,15,10385.038981033187,692.3359320688792,0.24853939999593422,True,31,278,20,5,1,baseline,310037,15,8674.038981033189,231.0,1390.0,60.0,30.0,,,,,
4,15,10350.547628119455,690.036508541297,0.802545899990946,True,31,289,69,54,3,directional_opportunistic_safe,310037,15,8427.547628119455,241.0,1445.0,207.0,30.0,0,0,0,69,12
4,10,10695.568677893498,1069.5568677893498,0.11149690000456758,True,31,410,21,11,1,baseline,310038,10,8188.568677893496,374.0,2050.0,63.0,20.0,,,,,
4,10,9991.507140348867,999.1507140348867,0.589816299994709,True,31,417,29,19,2,directional_opportunistic_safe,310038,10,7423.507140348866,376.0,2085.0,87.0,20.0,0,0,0,46,8
4,11,10789.655204082463,980.8777458256784,0.13777010000194423,True,31,356,19,8,1,baseline,310039,11,8617.655204082463,313.0,1780.0,57.0,22.0,,,,,
4,11,11026.093434631552,1002.3721304210502,0.3102595999953337,True,31,396,11,0,0,directional_opportunistic_safe,310039,11,8641.093434631559,350.0,1980.0,33.0,22.0,0,0,0,65,11
