problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,15,9836.199217955907,655.7466145303938,0.16670439999143127,True,31,253,23,8,1,baseline,310000,15,8257.199217955907,215.0,1265.0,69.0,30.0,,,,,
4,15,9666.633199565436,644.4422133043624,0.30746179999550804,True,31,260,31,16,2,local,310000,15,8028.633199565435,215.0,1300.0,93.0,30.0,511,0,0,0,0
4,15,10144.044992855443,676.2696661903628,0.5572526000032667,True,31,311,26,11,2,route,310000,15,8219.044992855446,262.0,1555.0,78.0,30.0,576,0,0,0,0
4,15,10112.425235392031,674.1616823594687,0.5683143000060227,True,31,310,27,12,2,safe,310000,15,8189.4252353920365,262.0,1550.0,81.0,30.0,564,0,0,0,13
4,10,11005.864219077204,1100.5864219077205,0.1138137999951141,True,31,412,27,17,2,baseline,310001,10,8469.864219077204,375.0,2060.0,81.0,20.0,,,,,
4,10,10482.97502470858,1048.297502470858,0.21459840000898112,True,31,414,10,0,0,local,310001,10,7987.9750247085785,375.0,2070.0,30.0,20.0,332,0,0,0,0
4,10,9678.909780728787,967.8909780728787,0.424043699997128,True,31,405,22,12,1,route,310001,10,7204.909780728791,363.0,2025.0,66.0,20.0,354,0,0,0,0
4,10,9508.298500963016,950.8298500963016,0.6773007000010693,True,31,405,13,3,1,safe,310001,10,7061.298500963019,363.0,2025.0,39.0,20.0,354,0,0,0,9
4,10,11183.602438111942,1118.3602438111943,0.17297910001070704,True,31,416,10,0,0,baseline,310002,10,8678.602438111944,375.0,2080.0,30.0,20.0,,,,,
4,10,10825.0082703268,1082.50082703268,0.28713620000053197,True,31,421,10,0,0,local,310002,10,8295.008270326802,375.0,2105.0,30.0,20.0,406,0,0,0,0
4,10,10631.43483070321,1063.143483070321,0.5446322000061627,True,31,374,10,0,0,route,310002,10,8381.434830703214,330.0,1870.0,30.0,20.0,382,0,0,0,0
4,10,10617.009218122592,1061.7009218122591,0.5379479000112042,True,31,374,10,0,0,safe,310002,10,8367.009218122592,330.0,1870.0,30.0,20.0,382,0,0,0,10
4,14,11136.38642025635,795.4561728754536,0.23468250001315027,True,31,304,14,0,0,baseline,310003,14,9292.38642025635,254.0,1520.0,42.0,28.0,,,,,
4,14,10679.268026539372,762.8048590385266,0.34283390000928193,True,31,303,43,29,2,local,310003,14,8753.268026539365,254.0,1515.0,129.0,28.0,524,0,0,0,0
4,14,10436.636868153475,745.4740620109625,0.6761540999868885,True,31,300,40,26,1,route,310003,14,8539.636868153475,249.0,1500.0,120.0,28.0,538,0,0,0,0
4,14,10522.23168238721,751.5879773133721,0.8215693999954965,True,31,300,66,52,1,safe,310003,14,8547.23168238721,249.0,1500.0,198.0,28.0,538,0,0,0,13
4,14,9557.371098825095,682.6693642017925,0.20251329999882728,True,31,269,14,0,0,baseline,310004,14,7910.371098825099,232.0,1345.0,42.0,28.0,,,,,
4,14,9389.37353729043,670.6695383778879,0.36148900000262074,True,31,277,32,18,1,local,310004,14,7648.37353729043,232.0,1385.0,96.0,28.0,480,0,0,0,0
4,14,10018.637390890197,715.6169564921569,0.6631670000060694,True,31,292,14,0,0,route,310004,14,8240.637390890195,248.0,1460.0,42.0,28.0,459,0,0,0,0
4,14,10002.95342436294,714.4966731687815,0.7472355000063544,True,31,287,94,80,2,safe,310004,14,8014.953424362954,243.0,1435.0,282.0,28.0,487,0,0,0,12
4,12,10227.654940176406,852.3045783480338,0.16279000000213273,True,31,359,12,0,0,baseline,310005,12,8045.654940176408,327.0,1795.0,36.0,24.0,,,,,
4,12,10796.758524559908,899.729877046659,0.386023800005205,True,31,368,107,95,1,local,310005,12,8284.75852455991,327.0,1840.0,321.0,24.0,401,0,0,0,0
4,12,9328.312062465413,777.3593385387844,0.48597729999164585,True,31,373,12,0,0,route,310005,12,7070.312062465414,333.0,1865.0,36.0,24.0,380,0,0,0,0
4,12,9310.459123592469,775.8715936327058,0.5156809000036446,True,31,374,12,0,0,safe,310005,12,7047.459123592469,333.0,1870.0,36.0,24.0,392,0,0,0,12
4,16,7870.420217615495,491.90126360096843,0.26444340001035016,True,20,219,16,0,0,baseline,310006,16,6513.420217615493,182.0,1095.0,48.0,32.0,,,,,
4,16,8022.729302209406,501.4205813880879,0.5414343000011286,True,20,225,112,96,2,local,310006,16,6347.729302209407,182.0,1125.0,336.0,32.0,649,0,0,0,0
4,16,9465.675452520472,591.6047157825295,0.7210783000045922,True,23,266,140,124,3,route,310006,16,7455.675452520448,228.0,1330.0,420.0,32.0,554,0,0,0,0
4,16,9375.032143597055,585.9395089748159,1.1477319999976316,True,23,268,148,132,4,safe,310006,16,7331.032143597036,228.0,1340.0,444.0,32.0,587,0,0,0,12
4,10,10864.82207164014,1086.482207164014,0.1595965000014985,True,31,391,13,3,1,baseline,310007,10,8499.82207164014,351.0,1955.0,39.0,20.0,,,,,
4,10,10468.716665470105,1046.8716665470106,0.2925857000082033,True,31,391,13,3,1,local,310007,10,8103.716665470108,351.0,1955.0,39.0,20.0,342,0,0,0,0
4,10,10040.870394433172,1004.0870394433172,0.4697347999899648,True,31,407,10,0,0,route,310007,10,7587.870394433172,368.0,2035.0,30.0,20.0,323,0,0,0,0
4,10,10026.918843212943,1002.6918843212943,0.48495980000006966,True,31,407,10,0,0,safe,310007,10,7573.918843212943,368.0,2035.0,30.0,20.0,323,0,0,0,10
4,13,9556.930551828622,735.1485039868171,0.2253082999959588,True,31,309,13,0,0,baseline,310008,13,7674.930551828621,272.0,1545.0,39.0,26.0,,,,,
4,13,9428.433881398234,725.2641447229411,0.32752929998969194,True,31,314,13,0,0,local,310008,13,7521.433881398231,272.0,1570.0,39.0,26.0,425,0,0,0,0
4,13,10102.59922842098,777.1230175708447,0.6099931999924593,True,31,293,55,42,1,route,310008,13,8196.599228420982,250.0,1465.0,165.0,26.0,443,0,0,0,0
