problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,scenario,seed,strategy,total,normal_exit,max_step_time_error_s,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,11,4171.408083654741,379.2189166958855,0.11391129999537952,True,7,124,11,0,0,plus_r1000,510000,baseline,11,True,5.684341886080802e-14,,,,,,,,,,
3,11,4781.921827128162,434.72016610256014,0.185173499994562,True,7,127,11,0,0,plus_r1000,510000,joint_safe,11,True,5.684341886080802e-14,3975.9218271281607,116.0,635.0,33.0,22.0,304,11,3,6,11
3,13,4665.994212000189,358.9226316923222,0.18075490000774153,True,7,113,13,0,0,plus_r1000,510001,baseline,13,True,0.0,,,,,,,,,,
3,13,3881.662125845422,298.5893942958017,0.18107160000363365,True,7,116,13,0,0,plus_r1000,510001,joint_safe,13,True,0.0,3128.662125845422,108.0,580.0,39.0,26.0,304,13,5,16,13
3,13,4363.691429293919,335.6685714841476,0.15776079999341164,True,7,128,13,0,0,plus_r1000,510002,baseline,13,True,0.0,,,,,,,,,,
3,13,4778.9341337259675,367.6103179789206,0.21319979999680072,True,7,137,13,0,0,plus_r1000,510002,joint_safe,13,True,0.0,3903.9341337259657,125.0,685.0,39.0,26.0,352,13,4,13,13
3,13,4018.8586616892903,309.14297397609926,0.15779789999942295,True,7,105,13,0,0,plus_r1000,510003,baseline,13,True,2.842170943040401e-14,,,,,,,,,,
3,13,4152.39870680037,319.41528513849,0.1895267999934731,True,7,121,13,0,0,plus_r1000,510003,joint_safe,13,True,5.684341886080802e-14,3371.39870680037,111.0,605.0,39.0,26.0,327,13,7,21,13
3,15,4715.7902352203855,314.386015681359,0.2161545999988448,True,7,91,15,0,0,plus_r1000,510004,baseline,15,True,0.0,,,,,,,,,,
3,15,4116.9912518150295,274.4660834543353,0.19481679999444168,True,7,104,15,0,0,plus_r1000,510004,joint_safe,15,True,0.0,3426.991251815029,95.0,520.0,45.0,30.0,358,15,4,9,15
3,15,4337.214303522884,289.1476202348589,0.16468079999322072,True,7,115,15,0,0,plus_r1000,510005,baseline,15,True,2.2737367544323206e-13,,,,,,,,,,
3,15,4303.042702102647,286.8695134735098,0.19836410001153126,True,7,114,15,0,0,plus_r1000,510005,joint_safe,15,True,0.0,3553.042702102647,105.0,570.0,45.0,30.0,347,15,3,5,15
3,13,4857.956317867502,373.68894752826935,0.13026400000671856,True,7,123,13,0,0,plus_r1000,510006,baseline,13,True,0.0,,,,,,,,,,
3,13,3924.697785535396,301.89982965656895,0.17893840000033379,True,7,124,13,0,0,plus_r1000,510006,joint_safe,13,True,0.0,3123.697785535396,116.0,620.0,39.0,26.0,302,13,1,3,13
3,15,4248.539166335041,283.23594442233605,0.20736430000397377,True,7,100,15,0,0,plus_r1000,510007,baseline,15,True,0.0,,,,,,,,,,
3,15,4009.534269666363,267.3022846444242,0.21435490000294521,True,7,117,15,0,0,plus_r1000,510007,joint_safe,15,True,0.0,3242.5342696663633,107.0,585.0,45.0,30.0,361,15,7,18,15
3,12,4222.547062355521,351.8789218629601,0.18020010000327602,True,7,105,12,0,0,plus_r1000,510008,baseline,12,True,2.842170943040401e-14,,,,,,,,,,
3,12,3992.1781289428973,332.68151074524144,0.20309969999652822,True,7,120,12,0,0,plus_r1000,510008,joint_safe,12,True,2.842170943040401e-14,3223.178128942898,109.0,600.0,36.0,24.0,336,12,4,12,12
