problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,11,3658.28792867609,332.57162987964455,0.15030189999379218,True,7,120,11,0,0,2890.2879286760895,113.0,600.0,33.0,22.0,247,11,1,7,11,True,0.0,LOCAL_SYNTHETIC,20260910,11,1.0,950.0,fixed,0
3,10,3729.9550599768004,372.99550599768,0.1692551000014646,True,7,128,10,0,0,2923.9550599768004,116.0,640.0,30.0,20.0,282,10,5,17,9,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,20260911,10,1.0,950.0,fixed,0
3,16,4607.056409978916,287.94102562368226,0.2695057000091765,True,7,110,16,0,0,3880.0564099789153,97.0,550.0,48.0,32.0,418,16,7,20,15,True,0.0,LOCAL_SYNTHETIC,20260912,16,1.0,950.0,fixed,0
3,10,3299.537656814187,329.9537656814187,0.14199340000050142,True,7,118,10,0,0,2548.537656814188,111.0,590.0,30.0,20.0,227,10,3,9,9,True,5.684341886080802e-14,LOCAL_SYNTHETIC,20260913,10,1.0,950.0,fixed,0
3,14,4822.077948450937,344.4341391750669,0.25135159998899326,True,7,124,14,0,0,4021.0779484509358,111.0,620.0,42.0,28.0,388,14,7,22,14,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,20260914,14,1.0,950.0,fixed,0
3,13,4331.105548971589,333.16196530550684,0.22056610000436194,True,7,116,13,0,0,3579.1055489715886,107.0,580.0,39.0,26.0,309,13,5,23,12,True,0.0,LOCAL_SYNTHETIC,20260915,13,1.0,950.0,fixed,0
3,14,4259.789203474061,304.27065739100436,0.21358549999422394,True,7,126,14,0,0,3443.7892034740607,116.0,630.0,42.0,28.0,334,14,5,15,14,True,5.684341886080802e-14,LOCAL_SYNTHETIC,20260916,14,1.0,950.0,fixed,0
3,13,4347.42081952523,334.4169861173254,0.21306059999915306,True,7,121,13,0,0,3566.4208195252304,111.0,605.0,39.0,26.0,320,13,7,24,13,True,0.0,LOCAL_SYNTHETIC,20260917,13,1.0,950.0,fixed,0
3,15,4263.785221561669,284.25234810411126,0.24023409999790601,True,7,125,15,0,0,3452.785221561668,111.0,625.0,45.0,30.0,407,15,5,11,14,True,9.094947017729282e-13,LOCAL_SYNTHETIC,20260918,15,1.0,950.0,fixed,0
3,11,3780.539016162362,343.68536510566923,0.1683432999998331,True,7,129,11,0,0,2960.5390161623627,120.0,645.0,33.0,22.0,272,11,3,9,11,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,20260919,11,1.0,950.0,fixed,0
3,13,4442.160120952877,341.7046246886829,0.22200059999886435,True,7,113,13,0,0,3712.1601209528785,100.0,565.0,39.0,26.0,353,13,4,9,12,True,0.0,LOCAL_SYNTHETIC,20260920,13,1.0,950.0,fixed,0
3,10,3425.100378873241,342.5100378873241,0.16221439999935683,True,7,113,10,0,0,2707.1003788732414,103.0,565.0,30.0,20.0,260,10,0,0,10,True,0.0,LOCAL_SYNTHETIC,20260921,10,1.0,950.0,fixed,0
3,14,3727.705870899001,266.26470506421435,0.21687089999613818,True,7,107,14,0,0,3025.7058708990007,97.0,535.0,42.0,28.0,360,14,3,10,14,True,0.0,LOCAL_SYNTHETIC,20260922,14,1.0,950.0,fixed,0
3,10,3495.5512645196777,349.5551264519678,0.16376369999488816,True,7,121,10,0,0,2727.5512645196777,113.0,605.0,30.0,20.0,240,10,0,5,10,True,0.0,LOCAL_SYNTHETIC,20260923,10,1.0,950.0,fixed,0
3,12,3724.27314336917,310.3560952807642,0.18413779999536928,True,7,108,12,0,0,3027.2731433691706,97.0,540.0,36.0,24.0,327,12,2,8,10,True,0.0,LOCAL_SYNTHETIC,20260924,12,1.0,950.0,fixed,0
3,15,4751.549407302309,316.7699604868206,0.27097240000148304,True,7,116,15,0,0,3994.5494073023083,102.0,580.0,45.0,30.0,409,15,9,24,14,True,0.0,LOCAL_SYNTHETIC,20260925,15,1.0,950.0,fixed,0
3,15,4045.114230638699,269.67428204257993,0.23859510000329465,True,7,114,15,0,0,3296.114230638699,104.0,570.0,45.0,30.0,365,15,8,30,15,True,0.0,LOCAL_SYNTHETIC,20260926,15,1.0,950.0,fixed,0
3,13,4093.2570844550546,314.86592957346573,0.20116500000585802,True,7,122,13,0,0,3305.2570844550537,113.0,610.0,39.0,26.0,329,13,4,18,13,True,0.0,LOCAL_SYNTHETIC,20260927,13,1.0,950.0,fixed,0
3,11,3624.2269499457825,329.4751772677984,0.168017999996664,True,7,120,11,0,0,2860.2269499457825,109.0,600.0,33.0,22.0,294,11,1,3,10,True,0.0,LOCAL_SYNTHETIC,20260928,11,1.0,950.0,fixed,0
3,11,3561.0056914856773,323.7277901350616,0.1385693999909563,True,7,125,11,0,0,2762.0056914856764,119.0,625.0,33.0,22.0,225,11,2,0,10,True,0.0,LOCAL_SYNTHETIC,20260929,11,1.0,950.0,fixed,0
