problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,mode,seed,total,normal_exit,strategy,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,belief_decisions,belief_unavailable,route_decisions,planning_time_s
4,10,10028.058375110431,1002.8058375110431,0.14598000000114553,True,31,386,10,0,0,original,720000,10,True,,,,,,,,,,,,,,,
4,10,9405.092095890031,940.5092095890031,0.11893700000655372,True,31,378,10,0,0,reference,720000,10,True,directional_layers_safe,7129.092095890032,336.0,1890.0,30.0,20.0,0,0,0,0,10,,,,
4,10,9405.092095890164,940.5092095890165,0.573143199988408,True,31,378,10,0,0,route,720000,10,True,directional_layers_safe,7129.092095890169,336.0,1890.0,30.0,20.0,0,0,0,0,10,0,0,30,0.0
4,10,9463.266922329181,946.3266922329182,0.4666323000128614,True,31,376,10,0,0,belief,720000,10,True,directional_layers_safe,7197.2669223291805,336.0,1880.0,30.0,20.0,0,0,0,0,10,24,0,0,0.35609149996889755
4,10,9405.092095890031,940.5092095890031,0.10722940000414383,True,31,378,10,0,0,scan,720000,10,True,directional_layers_safe,7129.092095890032,336.0,1890.0,30.0,20.0,0,0,0,0,10,0,0,0,0.0
4,10,9463.266922329314,946.3266922329315,0.9175038000103086,True,31,376,10,0,0,combined,720000,10,True,directional_layers_safe,7197.266922329316,336.0,1880.0,30.0,20.0,0,0,0,0,10,24,0,30,0.34734049999678973
4,14,10265.103474611034,733.221676757931,0.18697579999570735,True,31,268,14,0,0,original,720001,14,True,,,,,,,,,,,,,,,
4,14,9658.731157918155,689.9093684227254,0.3230221999983769,True,31,268,16,2,1,reference,720001,14,True,directional_layers_safe,8015.731157918154,227.0,1340.0,48.0,28.0,0,0,0,0,13,,,,
4,14,9759.548625001895,697.1106160715639,0.7142118000047049,True,31,266,16,2,1,route,720001,14,True,directional_layers_safe,8130.5486250019,223.0,1330.0,48.0,28.0,0,0,0,0,13,0,0,30,0.0
4,14,9632.347750955081,688.0248393539343,0.5902853000006871,True,31,268,14,0,0,belief,720001,14,True,directional_layers_safe,7995.34775095508,227.0,1340.0,42.0,28.0,0,0,0,0,14,31,0,0,0.4430376000527758
4,14,9658.731157918155,689.9093684227254,0.3458801999950083,True,31,268,16,2,1,scan,720001,14,True,directional_layers_safe,8015.731157918154,227.0,1340.0,48.0,28.0,0,0,0,0,13,0,0,0,0.0
