problem,seed,reference_mean,candidate_mean,ratio
4,820068,323.60665143048914,510.7729519759814,1.57837593794235
4,820070,446.81053849808626,650.7675263601423,1.456473091587408
3,820100,256.53746094910156,335.79011526245944,1.3089320913216727
3,820185,326.61762949147635,420.9585045935782,1.288841956415472
4,820103,364.79286941828985,464.37598423271805,1.2729853655671137
3,820176,319.0753030017914,403.6944215845289,1.265201091362005
3,820070,249.57434541785904,302.55013884198263,1.2122645792596467
3,820064,343.76304475185367,406.1304144561098,1.1814254634301258
3,820013,253.90847977416664,296.11065372865016,1.1662101793213813
3,820059,356.10373323505786,414.6200288713153,1.164323735403335
4,820036,346.2833071922458,394.9740651705856,1.1406096019272112
3,820119,273.9404612356813,312.1244327548508,1.1393878485380746
3,820008,314.4544107095855,358.0419039501235,1.1386130763508142
3,820006,251.98071972658337,285.1216820632981,1.131521817910017
3,820068,242.9993857126301,272.67540548090864,1.1221238468617911
3,820164,293.86075893480364,324.9119722227516,1.105666416300371
3,820175,247.97550388930748,271.81293726068986,1.0961281779752852
3,820184,274.9491143542313,300.3363700247573,1.0923343787818798
3,820121,277.607573568289,302.9243966973881,1.0911964425310297
3,820063,331.9041011081724,361.5253415445726,1.089246382727721
3,820062,258.5770884908678,280.4727450885162,1.084677481386452
3,820090,328.1005614618447,355.4939342317997,1.083490782971856
3,820082,277.11911577611056,299.2403142066655,1.079825595461365
3,820024,326.16757283102964,351.46984847156784,1.077574467078142
3,820044,265.80100257102816,286.0373096937243,1.0761332986969774
3,820018,285.9647080118512,306.30813452593776,1.0711396404665552
3,820110,280.42523451853555,299.4159526525787,1.0677211455903692
3,820165,266.67765891978263,284.60582367886013,1.06722784665089
3,820198,257.6487337805539,274.2301282591989,1.064356592152973
4,820198,380.5631201973207,404.9188987259495,1.063999313743277
3,820196,307.751349555785,327.3978022029961,1.0638387213429583
3,820069,299.4777078556684,318.0080756356405,1.0618756164278602
4,820100,697.1531792840508,740.1132212559338,1.0616220986268776
3,820145,328.6136690517847,348.7774886313789,1.0613602581955186
4,820144,901.9806005175099,954.6900579673111,1.0584374624238695
3,820099,260.4112701525614,275.4038450506174,1.0575726806649828
3,820027,343.44530123361113,363.14796876836385,1.0573677015349556
3,820178,335.39544308148686,354.4208905636994,1.0567254203200076
3,820084,273.32815351073407,288.8183977330586,1.0566726991836068
4,820022,739.5625107689472,780.7365595256496,1.0556735207060353
3,820029,291.99742557993306,307.9880773679401,1.0547629889415915
4,820078,696.613966296559,733.8777704510047,1.0534927606354965
3,820111,265.7244323096705,278.9519455021221,1.0497790627586572
4,820032,763.5680242311986,801.367668631159,1.0495039645459474
3,820058,276.2141772928211,289.8163630168602,1.049245067206015
3,820065,260.0888938854731,272.7443958720238,1.0486583713648434
3,820095,298.7616751662107,313.1845184330994,1.0482754130323604
3,820050,304.8630888462678,319.5525261328154,1.0481837186067318
4,820154,965.2799549068184,1011.7752219243566,1.0481676499974835
3,820157,298.66325580301884,312.0922412761051,1.0449636345019397
3,820075,346.91259082567126,362.5106432169019,1.0449624856627613
3,820031,364.61796201220034,380.9455129864206,1.0447798865533509
4,820188,761.2915100903233,793.899421262517,1.0428323588796162
4,820081,645.496373110271,672.3784644898672,1.0416456118104382
4,820041,679.353186816088,707.5925748741753,1.0415680512082917
4,820148,790.8037316184217,823.5670926621028,1.0414304583219773
4,820140,736.394151176439,764.9093369394774,1.038722721680344
3,820109,319.53575917213095,331.82808354175285,1.0384693231251159
3,820071,324.52197574147254,336.76355078116524,1.0377218677155005
3,820160,287.2006391506341,297.5848602578995,1.0361566782649776
3,820158,392.12420977630575,406.1878417747515,1.0358652479184303
3,820101,287.2526528378664,297.45962717997435,1.035533089916733
3,820195,369.5209310729729,382.3088236266772,1.0346066798342715
3,820118,315.1113765918642,325.52036206761346,1.0330327187432242
3,820028,352.2612717714475,363.586429263944,1.0321498796491158
4,820141,466.26487058102873,480.71916404208025,1.0310001768802344
3,820142,259.2051876655821,267.1833823265255,1.0307794559699806
4,820034,1023.8027874668214,1054.874348774277,1.0303491665463576
3,820000,325.2995757851092,335.0944092297411,1.0301101943369957
4,820018,733.8046131854717,755.1247731690868,1.0290542735770813
4,820076,1002.6923131125665,1031.2983899040494,1.028529267071654
4,820002,921.8980840005937,947.1875048542676,1.0274319052100964
3,820037,312.3900231905525,320.83146796196655,1.0270221330540539
4,820149,740.8172824750761,760.7624726801213,1.0269232247638826
4,820135,740.0185908093285,759.5594629669857,1.0264059206084082
4,820099,626.1442802868984,642.638953089929,1.0263432459935158
3,820134,259.58572394588475,266.1786588049273,1.0253979100191848
4,820151,768.9650344396962,786.9752930095303,1.0234214271952655
4,820142,664.043030153551,679.4926196682956,1.0232659463516576
4,820098,967.3376274193273,989.1777417652041,1.0225775507194341
4,820176,865.9672469605619,884.5801281345374,1.021493747297377
3,820041,231.1979813507945,235.8812302220932,1.020256443607061
4,820133,973.1232290762073,992.4868654398614,1.0198984422374093
3,820074,250.42739850907915,255.39583379676648,1.0198398231074832
4,820072,796.842067252052,812.5660116255136,1.019732824131244
4,820191,704.8205860113618,718.4956717458995,1.0194022223611914
4,820105,706.4015385028499,720.0155793078392,1.0192723827213668
3,820004,290.30923770755174,295.86561542213184,1.0191395139832835
4,820162,972.3561529775054,990.7276027670614,1.0188937456026783
4,820033,882.4097600637261,898.9632836225309,1.0187594520232972
4,820075,792.6669048615395,806.7577093147083,1.017776451075159
4,820005,859.7926790087471,874.8550385674102,1.0175185948036083
4,820057,887.5032012039045,902.3499358509797,1.0167286547552004
4,820170,739.1803371903083,751.0543459397076,1.0160637508223413
4,820197,664.1380998185276,674.0026922694138,1.014853224733804
4,820051,786.8360331186063,798.4465827214166,1.0147559963119535
4,820011,806.6593882848484,818.2501927380321,1.014368895498543
3,820183,260.3876951595981,264.0977850584107,1.0142483303465573
4,820196,820.2415404146215,831.8323448678051,1.014130964943966
4,820109,925.0896356640849,937.7986010078788,1.0137380907253064
4,820093,755.2662917357151,765.2829162724295,1.0132623746701241
4,820115,877.8162003176526,889.3548229816308,1.0131446909498854
4,820192,687.6036599522249,695.3497129744585,1.0112652876553505
4,820045,516.8740080923264,522.5991601806151,1.0110764944621977
4,820182,829.7720518447248,838.7920362072045,1.010870436455924
4,820073,662.522597517567,669.5201662162887,1.0105620075827468
4,820015,757.4062649223761,765.2562055514198,1.0103642404249829
4,820181,989.8873263557585,1000.0958028505078,1.0103127661330218
3,820192,278.95622700171157,281.7287852457817,1.0099390441069205
3,820073,334.9686086397201,337.8759959270066,1.0086795813467213
4,820117,740.3075164839634,746.3773870749066,1.0081991205759622
3,820039,245.6494080598034,247.61988248337744,1.008021490624127
3,820138,289.76089820546497,291.88709612101206,1.0073377668578298
4,820020,688.1566353295536,692.9624307776896,1.0069835778679
4,820049,852.2296839266373,858.1353553127796,1.006929671070517
3,820001,290.2558572982559,292.18704133472187,1.0066533852389465
4,820007,644.7627040907981,648.9616339896434,1.006512364738538
4,820136,786.3791143377008,791.1031247175805,1.0060072938023772
3,820107,264.76371689462616,266.21391899930194,1.005477344560973
3,820057,324.23732504007603,325.7310062782025,1.0046067529021894
4,820171,981.5924522933062,985.9566577375648,1.0044460462527625
4,820028,858.823672402695,862.1171713832915,1.0038348954348015
3,820143,269.72002481915405,270.7252193313902,1.0037268071323593
4,820059,1012.4506452189247,1015.87666665133,1.0033838898207867
3,820042,297.1919087504254,297.8728061955857,1.0022911035768882
3,820097,264.9566323816581,265.4484049835692,1.0018560494126554
3,820087,272.2180641310612,272.66846617875314,1.0016545634072067
4,820177,847.7090583993746,848.6535890080318,1.0011142155428192
4,820077,917.5516413901724,918.0970959356146,1.0005944674074319
4,820124,692.511030289376,692.6878662389382,1.0002553547045863
4,820114,793.6239862463734,793.6239862463844,1.000000000000014
4,820116,869.8529452000838,869.8529452000952,1.000000000000013
4,820145,784.4290018680113,784.429001868014,1.0000000000000036
