candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,no_signal,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s,wall_s
0,28,11,True,0,,17,1,0,22.0,2.842170943040401e-14,944.6164699547639,361,1805.0,reference,8165.781169502405,329,True,True,0,84.0,4,0.29303499999514315,10,930000,31,314.0,11,10390.781169502403,0.29304509999928996
77,28,11,True,0,,17,1,0,22.0,1.1368683772161603e-13,930.0004524472516,358,1790.0,paper,8020.004976919772,326,True,True,0,84.0,4,0.37408809999760706,10,930000,31,314.0,11,10230.004976919769,0.3740987000055611
0,15,15,True,0,,0,0,0,30.0,2.2737367544323206e-13,672.4249175840133,261,1305.0,reference,8496.373763760199,213,True,True,0,45.0,4,0.17149069999868516,15,930001,31,210.0,15,10086.373763760199,0.1714988000021549
187,15,15,True,0,,0,0,0,30.0,2.842170943040401e-14,663.5867181188731,260,1300.0,paper,8368.800771783097,212,True,True,0,45.0,4,0.36787900001218077,15,930001,31,210.0,15,9953.800771783097,0.36788769999111537
0,29,13,True,0,,16,2,0,26.0,0.0,807.1086654293083,318,1590.0,reference,8520.412650581009,281,True,True,0,87.0,4,0.4811374999990221,11,930002,31,269.0,13,10492.412650581007,0.481147400001646
61,29,13,True,0,,16,2,0,26.0,0.0,797.9868769240541,316,1580.0,paper,8411.829400012704,279,True,True,0,87.0,4,0.570863000000827,11,930002,31,269.0,13,10373.829400012703,0.5708725000004051
0,18,10,True,0,,8,2,0,20.0,2.842170943040401e-14,1010.1660336714989,367,1835.0,reference,7865.660336714994,342,True,True,0,54.0,4,0.4282346999971196,8,930003,31,327.0,10,10101.66033671499,0.42824409999593627
28,18,10,True,0,,8,2,0,20.0,2.842170943040401e-14,1003.6937017990288,366,1830.0,paper,7805.937017990291,341,True,True,0,54.0,4,0.7150611999968532,8,930003,31,327.0,10,10036.937017990287,0.7150719000055688
0,13,13,True,0,,0,0,0,26.0,0.0,750.7829455489868,297,1485.0,reference,7955.17829213683,260,True,True,0,39.0,4,0.21244040000601672,13,930004,31,255.0,13,9760.178292136829,0.21245570000610314
106,13,13,True,0,,0,0,0,26.0,1.1368683772161603e-13,741.1997327424574,296,1480.0,paper,7835.596525651949,258,True,True,0,39.0,4,0.3531393999874126,13,930004,31,255.0,13,9635.596525651947,0.35315140000602696
0,13,13,True,0,,0,0,0,26.0,0.0,800.3063521655602,300,1500.0,reference,8583.982578152283,262,True,True,0,39.0,4,0.1972786999976961,13,930005,31,255.0,13,10403.982578152281,0.19729009999718983
123,13,13,True,0,,0,0,0,26.0,0.0,759.6249616347545,287,1435.0,paper,8130.124501251808,249,True,True,0,39.0,4,0.3618049999931827,13,930005,31,245.0,13,9875.124501251808,0.3618155000003753
0,23,16,True,0,,7,2,0,32.0,0.0,372.10630663565126,144,720.0,reference,5020.700906170418,97,True,True,0,69.0,4,0.7502842999965651,14,930006,11,112.0,16,5953.70090617042,0.7502934999938589
244,23,16,True,0,,7,2,0,32.0,0.0,362.8434775135573,148,740.0,paper,4852.495640216916,96,True,True,0,69.0,4,1.1457071999902837,14,930006,11,112.0,16,5805.495640216916,1.145718500003568
0,52,12,True,0,,40,1,0,24.0,2.2737367544323206e-13,859.1236625276956,321,1605.0,reference,8245.48395033235,286,True,True,0,156.0,4,0.47285249999549706,11,930007,31,279.0,12,10309.483950332347,0.47286399999575224
120,52,12,True,0,,40,1,0,24.0,0.0,849.4280459439716,320,1600.0,paper,8134.136551327661,284,True,True,0,156.0,4,0.6661711000051582,11,930007,31,279.0,12,10193.13655132766,0.6661822000023676
0,37,15,True,0,,22,3,0,30.0,2.2737367544323206e-13,666.6270705535942,252,1260.0,reference,8398.406058303915,213,True,True,0,111.0,4,0.9757170999946538,12,930008,31,200.0,15,9999.406058303914,0.9757281999918632
122,37,15,True,0,,22,3,0,30.0,0.0,660.9762931820716,255,1275.0,paper,8298.644397731074,214,True,True,0,111.0,4,1.1294537999929162,12,930008,31,200.0,15,9914.644397731074,1.1294638000108534
0,28,11,True,0,,17,2,0,22.0,0.0,922.5606884364829,346,1730.0,reference,8005.167572801314,317,True,True,0,84.0,4,0.650013200007379,9,930009,31,307.0,11,10148.167572801312,0.6500228000077186
117,28,11,True,0,,17,2,0,22.0,0.0,920.0247990319411,352,1760.0,paper,7947.272789351356,319,True,True,0,84.0,4,0.8676444999873638,9,930009,31,307.0,11,10120.272789351353,0.8676560000021709
0,25,14,True,0,,11,1,0,28.0,0.0,736.4383800217463,306,1530.0,reference,8413.137320304442,267,True,True,0,75.0,4,0.43279610000899993,13,930010,31,264.0,14,10310.137320304448,0.43281100000604056
163,25,14,True,0,,11,1,0,28.0,0.0,727.3688749675904,307,1535.0,paper,8281.16424954626,265,True,True,0,75.0,4,0.658284499993897,13,930010,31,264.0,14,10183.164249546266,0.6582969000010053
0,10,10,True,0,,0,0,0,20.0,0.0,989.3849797799409,392,1960.0,reference,7531.849797799409,361,True,True,0,30.0,4,0.1800264000048628,10,930011,31,352.0,10,9893.849797799408,0.1800370999990264
97,10,10,True,0,,0,0,0,20.0,0.0,984.2367766769515,391,1955.0,paper,7485.367766769516,361,True,True,0,30.0,4,0.3235700000077486,10,930011,31,352.0,10,9842.367766769516,0.32358799999929033
0,16,16,True,0,,0,0,0,32.0,9.094947017729282e-13,396.1664815269847,166,830.0,reference,5285.663704431754,124,True,True,0,48.0,4,0.21431009999650996,16,930012,16,143.0,16,6338.663704431755,0.21432020000065677
157,16,16,True,0,,0,0,0,32.0,9.094947017729282e-13,393.76793319883035,168,840.0,paper,5237.286931181285,124,True,True,0,48.0,4,0.42990170000121,16,930012,16,143.0,16,6300.286931181286,0.42991729998902883
0,16,13,True,0,,3,1,0,26.0,0.0,795.9675128967227,290,1450.0,reference,8579.577667657393,251,True,True,0,48.0,4,0.4474781000026269,12,930013,31,244.0,13,10347.577667657395,0.44749599999340717
149,16,13,True,0,,3,1,0,26.0,0.0,788.300851522218,291,1455.0,paper,8474.911069788835,250,True,True,0,48.0,4,0.6720662999869091,12,930013,31,244.0,13,10247.911069788834,0.672077299997909
0,11,11,True,0,,0,0,0,22.0,5.684341886080802e-14,832.8042086521309,330,1650.0,reference,7164.846295173438,299,True,True,0,33.0,4,0.171606799995061,11,930014,31,291.0,11,9160.84629517344,0.1716203999967547
88,11,11,True,0,,0,0,0,22.0,5.684341886080802e-14,827.8884507005619,332,1660.0,paper,7100.77295770618,299,True,True,0,33.0,4,0.3531819999916479,11,930014,31,291.0,11,9106.77295770618,0.3531924999988405
0,11,11,True,0,,0,0,0,22.0,0.0,848.0142039467879,365,1825.0,reference,7122.156243414667,332,True,True,0,33.0,4,0.18431680000503547,11,930015,31,326.0,11,9328.156243414667,0.18432869999378454
157,11,11,True,0,,0,0,0,22.0,0.0,841.5495422990382,369,1845.0,paper,7031.044965289421,332,True,True,0,33.0,4,0.43808150000404567,11,930015,31,326.0,11,9257.04496528942,0.438094800003455
0,16,11,True,0,,5,1,0,22.0,9.094947017729282e-13,897.1600231908506,347,1735.0,reference,7757.760255099358,315,True,True,0,48.0,4,0.19943169999169186,10,930016,31,306.0,11,9868.760255099356,0.19944830000167713
121,16,11,True,0,,5,1,0,22.0,9.094947017729282e-13,890.7189527549596,348,1740.0,paper,7681.908480304557,314,True,True,0,48.0,4,0.3960229999938747,10,930016,31,306.0,11,9797.908480304555,0.39603550000174437
0,13,12,True,0,,1,1,0,24.0,0.0,800.7413306973399,324,1620.0,reference,7641.895968368077,288,True,True,0,39.0,4,0.41257309999491554,11,930017,31,284.0,12,9608.895968368079,0.4125880000065081
193,13,12,True,0,,1,1,0,24.0,0.0,792.2700672411271,326,1630.0,paper,7530.240806893524,287,True,True,0,39.0,4,0.657464500007336,11,930017,31,284.0,12,9507.240806893526,0.6574761999945622
0,15,13,True,0,,2,1,0,26.0,1.1368683772161603e-13,726.9600834197385,314,1570.0,reference,7537.481084456601,278,True,True,0,45.0,4,0.44086600000446197,12,930018,31,272.0,13,9450.4810844566,0.4408772000024328
115,15,13,True,0,,2,1,0,26.0,1.1368683772161603e-13,725.5648850229317,316,1580.0,paper,7509.343505298112,279,True,True,0,45.0,4,0.5573769000038737,12,930018,31,272.0,13,9432.343505298111,0.5573870999942301
0,10,10,True,0,,0,0,0,20.0,0.0,1000.2048443521651,365,1825.0,reference,7808.048443521653,334,True,True,0,30.0,4,0.17283739999402314,10,930019,31,319.0,10,10002.048443521651,0.17284799998742528
114,10,10,True,0,,0,0,0,20.0,0.0,994.5764260697317,369,1845.0,paper,7731.76426069732,335,True,True,0,30.0,4,0.39131379999162164,10,930019,31,319.0,10,9945.764260697317,0.39132799999788404
0,15,15,True,0,,0,0,0,30.0,4.547473508864641e-13,636.2385021291325,249,1245.0,reference,8016.57753193699,204,True,True,0,45.0,4,0.20040140001219697,15,930020,31,207.0,15,9543.577531936988,0.20041019999189302
80,15,15,True,0,,0,0,0,30.0,0.0,627.634501121604,248,1240.0,paper,7892.517516824061,202,True,True,0,45.0,4,0.3804634999978589,15,930020,31,207.0,15,9414.51751682406,0.38047389998973813
0,16,16,True,0,,0,0,0,32.0,4.547473508864641e-13,322.8431851947862,139,695.0,reference,4272.490963116578,94,True,True,0,48.0,4,0.21448009999585338,16,930021,10,118.0,16,5165.490963116579,0.21450089999416377
136,16,16,True,0,,0,0,0,32.0,2.2737367544323206e-13,317.6162028662921,139,695.0,paper,4188.859245860674,93,True,True,0,48.0,4,0.414749399991706,16,930021,10,118.0,16,5081.859245860674,0.41475790001277346
0,49,13,True,0,,36,1,0,26.0,0.0,721.4753049563309,309,1545.0,reference,7392.178964432299,272,True,True,0,147.0,4,0.4374668000091333,12,930022,31,269.0,13,9379.178964432302,0.43747869999788236
124,49,13,True,0,,36,1,0,26.0,5.684341886080802e-14,714.4290485893845,310,1550.0,paper,7295.577631661997,271,True,True,0,147.0,4,0.6238271000038367,12,930022,31,269.0,13,9287.577631661998,0.623839499996393
0,15,15,True,0,,0,0,0,30.0,5.684341886080802e-14,669.0203969132232,231,1155.0,reference,8619.305953698347,185,True,True,0,45.0,4,0.21822519999113865,15,930023,31,186.0,15,10035.305953698347,0.21823769999900833
225,15,15,True,0,,0,0,0,30.0,1.1368683772161603e-13,672.7150748430537,236,1180.0,paper,8645.726122645807,187,True,True,0,45.0,4,0.5769805000018096,15,930023,31,190.0,15,10090.726122645805,0.5769926000066334
0,16,16,True,0,,0,0,0,32.0,0.0,335.21400872949846,133,665.0,reference,4509.424139671974,87,True,True,0,48.0,4,0.22095029999036342,16,930024,11,109.0,16,5363.424139671975,0.22096189999138005
185,16,16,True,0,,0,1,0,32.0,1.1368683772161603e-13,331.72252352907805,138,690.0,paper,4428.560376465247,90,True,True,0,48.0,4,0.5206878000026336,15,930024,11,109.0,16,5307.560376465249,0.5206982000090647
0,15,15,True,0,,0,0,0,30.0,0.0,632.3944209888527,244,1220.0,reference,7987.91631483279,202,True,True,0,45.0,4,0.22888130000501405,15,930025,31,203.0,15,9485.916314832792,0.2288957999990089
150,15,15,True,0,,0,0,0,30.0,0.0,630.8115133018723,249,1245.0,paper,7939.172699528085,203,True,True,0,45.0,4,0.46750620000238996,15,930025,31,203.0,15,9462.172699528084,0.46751729999959935
0,82,16,True,0,,66,3,0,32.0,2.842170943040401e-14,428.1704383720689,157,785.0,reference,5660.727013953101,113,True,True,0,246.0,4,0.9615310999943176,13,930026,10,127.0,16,6850.727013953102,0.9615468999982113
134,82,16,True,0,,66,3,0,32.0,1.1368683772161603e-13,422.5508358998258,160,800.0,paper,5555.813374397212,113,True,True,0,246.0,4,1.15667620000022,13,930026,10,127.0,16,6760.813374397213,1.1566929999971762
0,14,14,True,0,,0,0,0,28.0,4.547473508864641e-13,676.5665530062734,265,1325.0,reference,7849.931742087828,225,True,True,0,42.0,4,0.1766436000034446,14,930027,31,227.0,14,9471.931742087827,0.17665250001300592
210,14,14,True,0,,0,0,0,28.0,0.0,672.8157287333325,270,1350.0,paper,7772.420202266658,225,True,True,0,42.0,4,0.5179983999987599,14,930027,31,227.0,14,9419.420202266656,0.5180099999997765
0,95,13,True,0,,82,3,0,26.0,2.2737367544323206e-13,803.2900724887373,289,1445.0,reference,8438.770942353574,260,True,True,0,285.0,4,0.9798883000039496,10,930028,31,248.0,13,10442.770942353585,0.9799048999993829
86,95,13,True,0,,82,3,0,26.0,0.0,802.5073151289313,292,1460.0,paper,8413.595096676094,260,True,True,0,285.0,4,1.1145493000076385,10,930028,31,248.0,13,10432.595096676107,1.1145598000002792
0,21,14,True,0,,7,1,0,28.0,0.0,712.400963176416,262,1310.0,reference,8356.613484469826,222,True,True,0,63.0,4,0.48722490000363905,13,930029,31,216.0,14,9973.613484469824,0.48723350001091603
78,21,14,True,0,,7,1,0,28.0,0.0,709.4119839256585,262,1310.0,paper,8314.767774959222,222,True,True,0,63.0,4,0.5623062999948161,13,930029,31,216.0,14,9931.76777495922,0.5623221999994712
0,10,10,True,0,,0,0,0,20.0,0.0,1028.5387357109028,369,1845.0,reference,8064.38735710903,337,True,True,0,30.0,4,0.18095439999888185,10,930030,31,326.0,10,10285.387357109028,0.18096690000675153
128,10,10,True,0,,0,0,0,20.0,0.0,1021.1354002278224,370,1850.0,paper,7985.354002278224,336,True,True,0,30.0,4,0.3893111999932444,10,930030,31,326.0,10,10211.354002278224,0.3893214999989141
0,19,16,True,0,,3,1,0,32.0,0.0,451.61200936536335,198,990.0,reference,5987.7921498458145,149,True,True,0,57.0,4,0.37224359999527223,15,930031,17,159.0,16,7225.792149845814,0.3722602000052575
221,19,16,True,0,,3,1,0,32.0,0.0,430.49844622756564,178,890.0,paper,5764.975139641051,129,True,True,0,57.0,4,0.6904322000045795,15,930031,17,144.0,16,6887.97513964105,0.6904433000017889
0,50,16,True,0,,34,2,0,32.0,0.0,421.79625297159333,161,805.0,reference,5633.740047545483,116,True,True,0,150.0,4,0.7768915000051493,14,930032,12,128.0,16,6748.740047545493,0.7769238000037149
174,50,16,True,0,,34,2,0,32.0,0.0,412.9812696381143,164,820.0,paper,5477.700314209824,115,True,True,0,150.0,4,1.0817129999923054,14,930032,12,128.0,16,6607.700314209829,1.0817326000105822
0,19,10,True,0,,9,1,0,20.0,0.0,1017.1198777134878,382,1910.0,reference,7847.198777134878,353,True,True,0,57.0,4,0.42166499998711515,9,930033,31,337.0,10,10171.198777134878,0.42167670000344515
132,19,10,True,0,,9,1,0,20.0,0.0,1005.8727491461153,382,1910.0,paper,7734.7274914611535,351,True,True,0,57.0,4,0.6158882000017911,9,930033,31,337.0,10,10058.727491461153,0.6159012999996776
0,32,13,True,0,,19,2,0,26.0,4.547473508864641e-13,789.9321198085867,311,1555.0,reference,8321.117557511625,280,True,True,0,96.0,4,0.4738753999990877,11,930034,31,271.0,13,10269.117557511627,0.47388830001000315
83,32,13,True,0,,19,2,0,26.0,4.547473508864641e-13,781.8694288001478,311,1555.0,paper,8216.30257440192,278,True,True,0,96.0,4,0.5636798999912571,11,930034,31,271.0,13,10164.302574401921,0.5636966000020038
0,14,14,True,0,,0,0,0,28.0,5.684341886080802e-14,684.3374773079944,312,1560.0,reference,7684.724682311924,269,True,True,0,42.0,4,0.2327040000091074,14,930035,31,266.0,14,9580.724682311922,0.23271670000394806
216,14,14,True,0,,0,0,0,28.0,2.2737367544323206e-13,670.9264189813586,314,1570.0,paper,7486.969865739022,267,True,True,0,42.0,4,0.5665171000000555,14,930035,31,266.0,14,9392.96986573902,0.5665273000049638
0,17,11,True,0,,6,1,0,22.0,0.0,873.543911981656,354,1770.0,reference,7454.983031798216,321,True,True,0,51.0,4,0.46654630001285113,10,930036,31,311.0,11,9608.983031798216,0.46656599998823367
86,17,11,True,0,,6,1,0,22.0,1.1368683772161603e-13,867.8362088344068,354,1770.0,paper,7392.1982971784755,320,True,True,0,51.0,4,0.5177983999892604,10,930036,31,311.0,11,9546.198297178475,0.5178107999963686
0,14,14,True,0,,0,0,0,28.0,0.0,660.0022515192362,274,1370.0,reference,7564.031521269308,235,True,True,0,42.0,4,0.15066400000068825,14,930037,31,236.0,14,9240.031521269308,0.150707799999509
92,14,14,True,0,,0,0,0,28.0,2.2737367544323206e-13,656.1190303025165,275,1375.0,paper,7504.666424235229,236,True,True,0,42.0,4,0.25630989999626763,14,930037,31,236.0,14,9185.66642423523,0.2563183000020217
0,37,13,True,0,,24,2,0,26.0,0.0,751.8255794464918,306,1530.0,reference,7841.732532804392,273,True,True,0,111.0,4,0.5466441000025952,11,930038,31,265.0,13,9773.732532804393,0.5466563000081806
143,37,13,True,0,,24,2,0,26.0,0.0,746.1398113619714,310,1550.0,paper,7747.8175477056275,272,True,True,0,111.0,4,0.6770097999979043,11,930038,31,265.0,13,9699.817547705628,0.6770184000051813
0,14,14,True,0,,0,0,0,28.0,0.0,684.1420340195542,269,1345.0,reference,7937.9884762737565,227,True,True,0,42.0,4,0.16784530000586528,14,930039,31,225.0,14,9577.988476273758,0.16785510000772774
122,14,14,True,0,,0,0,0,28.0,0.0,676.0558786695171,269,1345.0,paper,7824.782301373239,225,True,True,0,42.0,4,0.33232020000286866,14,930039,31,225.0,14,9464.78230137324,0.3323284999933094
