candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,no_signal,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s,wall_s
283,11,11,True,11,,0,0,1,22.0,0.0,342.14426368071355,114,570.0,reference,3033.586900487849,83,True,True,4,33.0,3,0.1662295999994967,11,930000,7,105.0,11,3763.586900487849,0.16624700000102166
233,11,11,True,11,,0,0,1,22.0,0.0,362.010754772886,115,575.0,paper,3247.1183025017453,83,True,True,4,33.0,3,0.4327398000023095,11,930000,7,105.0,11,3982.1183025017463,0.43274899999960326
399,15,15,True,15,,0,0,6,30.0,4.547473508864641e-13,288.98243766980784,113,565.0,reference,3594.7365650471174,68,True,True,14,45.0,3,0.2551504000002751,15,930001,7,100.0,15,4334.736565047117,0.2551613000105135
215,15,15,True,15,,0,0,6,30.0,4.547473508864641e-13,293.36816536497713,107,535.0,paper,3690.522480474657,68,True,True,14,45.0,3,0.4351588999998057,15,930001,7,100.0,15,4400.522480474657,0.43516599999566097
317,13,13,True,13,,0,0,4,26.0,0.0,290.11969363189405,108,540.0,reference,3067.556017214623,73,True,True,16,39.0,3,0.20374460000311956,12,930002,7,99.0,13,3771.556017214623,0.20375349999812897
193,13,13,True,13,,0,0,4,26.0,1.1368683772161603e-13,299.0809959998536,106,530.0,paper,3194.052947998097,73,True,True,16,39.0,3,0.38363090000348166,13,930002,7,99.0,13,3888.0529479980964,0.38363850000314415
234,10,10,True,10,,0,0,3,20.0,0.0,383.29297977546423,129,645.0,reference,3016.9297977546425,104,True,True,6,30.0,3,0.15920850000111386,10,930003,7,121.0,10,3832.9297977546425,0.15921670000534505
212,10,10,True,10,,0,0,3,20.0,2.2737367544323206e-13,409.28758010091633,133,665.0,paper,3256.8758010091624,104,True,True,6,30.0,3,0.37949760000628885,10,930003,7,121.0,10,4092.8758010091633,0.37950859998818487
296,13,13,True,13,,0,0,3,26.0,0.0,331.6563312608075,117,585.0,reference,3552.532306390498,76,True,True,18,39.0,3,0.2175101999891922,13,930004,7,109.0,13,4311.532306390498,0.21751909999875352
214,13,13,True,13,,0,0,1,26.0,4.547473508864641e-13,296.1467243837688,105,525.0,paper,3163.9074169889946,69,True,True,4,39.0,3,0.41729170001053717,13,930004,7,96.0,13,3849.9074169889946,0.4172995999979321
320,13,13,True,13,,0,0,6,26.0,0.0,319.5914895255137,125,625.0,reference,3351.6893638316787,87,True,True,21,39.0,3,0.1950222000014037,12,930005,7,113.0,13,4154.689363831678,0.19503030000487342
249,13,13,True,13,,0,0,6,26.0,0.0,345.4501676516005,126,630.0,paper,3682.8521794708063,87,True,True,21,39.0,3,0.49092390001169406,13,930005,7,113.0,13,4490.852179470807,0.4909322000021348
431,16,16,True,16,,0,0,6,32.0,0.0,325.6462832328193,120,600.0,reference,4423.340531725109,74,True,True,22,48.0,3,0.26720650000788737,16,930006,7,107.0,16,5210.340531725109,0.26721430000907276
306,16,16,True,16,,0,0,6,32.0,0.0,333.40810390210385,120,600.0,paper,4547.529662433662,74,True,True,22,48.0,3,0.5801639999990584,16,930006,7,107.0,16,5334.5296624336615,0.5801709999941522
340,12,12,True,12,,0,0,6,24.0,9.094947017729282e-13,354.6208411048042,121,605.0,reference,3482.45009325765,86,True,True,20,36.0,3,0.21070749999489635,11,930007,7,108.0,12,4255.45009325765,0.21071490000758786
239,12,12,True,12,,0,0,6,24.0,9.094947017729282e-13,393.58392854480553,120,600.0,paper,3955.007142537667,86,True,True,20,36.0,3,0.4406294000073103,12,930007,7,108.0,12,4723.007142537666,0.4406371999939438
350,15,15,True,15,,0,0,7,30.0,0.0,276.40516766058875,104,520.0,reference,3458.077514908831,63,True,True,22,45.0,3,0.2167695999960415,15,930008,7,93.0,15,4146.077514908831,0.21678140001313295
238,15,15,True,15,,0,0,7,30.0,0.0,289.59511971418146,104,520.0,paper,3655.9267957127217,63,True,True,22,45.0,3,0.46774969999387395,15,930008,7,93.0,15,4343.926795712722,0.4677569999912521
250,11,11,True,11,,0,0,4,22.0,5.684341886080802e-14,339.0371322882424,115,575.0,reference,2991.4084551706665,84,True,True,12,33.0,3,0.15634529999806546,9,930009,7,108.0,11,3729.4084551706665,0.15635330000077374
184,11,11,True,11,,0,0,4,22.0,4.547473508864641e-13,375.2157986543197,115,575.0,paper,3389.373785197517,84,True,True,12,33.0,3,0.35829210000520106,11,930009,7,108.0,11,4127.373785197517,0.35830630001146346
338,14,14,True,14,,0,0,2,28.0,0.0,287.144926156417,103,515.0,reference,3341.028966189838,66,True,True,11,42.0,3,0.20748060000187252,14,930010,7,94.0,14,4020.028966189838,0.207494799993583
253,14,14,True,14,,0,0,2,28.0,1.1368683772161603e-13,315.1783572838871,106,530.0,paper,3718.49700197442,66,True,True,11,42.0,3,0.4887577000044985,14,930010,7,94.0,14,4412.49700197442,0.48876529998960905
227,10,10,True,10,,0,0,0,20.0,2.842170943040401e-14,330.4736858355558,115,575.0,reference,2572.7368583555576,88,True,True,2,30.0,3,0.14914669998688623,10,930011,7,107.0,10,3304.736858355558,0.14915749999636319
193,10,10,True,10,,0,0,0,20.0,4.547473508864641e-13,330.4255967758737,117,585.0,paper,2562.2559677587365,88,True,True,2,30.0,3,0.36523310000484344,10,930011,7,107.0,10,3304.255967758737,0.3652403000014601
