candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,no_signal,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s,wall_s
0,24,11,True,0,,13,2,0,22.0,0.0,872.1074352453634,370,1850.0,reference,7319.1817876989935,343,True,True,0,72.0,4,0.4655633999936981,9,950020,31,330.0,11,9593.181787698997,0.4655765000061365
105,24,11,True,0,,13,2,0,22.0,0.0,863.481890899462,370,1850.0,paper,7224.300799894079,342,True,True,0,72.0,4,0.5331151999998838,9,950020,31,330.0,11,9498.300799894081,0.5331245999987004
0,29,11,True,0,,18,4,0,22.0,0.0,911.1688010759914,371,1855.0,reference,7726.856811835906,347,True,True,0,87.0,4,0.6615887000079965,7,950021,31,332.0,11,10022.856811835905,0.6616165000014007
70,29,11,True,0,,18,4,0,22.0,9.094947017729282e-13,905.2405022749244,371,1855.0,paper,7661.64552502417,346,True,True,0,87.0,4,0.7972843000025023,7,950021,31,332.0,11,9957.645525024169,0.7972934000135865
0,17,12,True,0,,5,2,0,24.0,2.2737367544323206e-13,835.3864998164331,412,2060.0,reference,7516.637997797198,384,True,True,0,51.0,4,0.3609366000018781,10,950022,31,373.0,12,10024.637997797197,0.3609470999945188
82,17,12,True,0,,5,2,0,24.0,0.0,829.1450778945162,413,2065.0,paper,7436.740934734193,383,True,True,0,51.0,4,0.6428028999944218,10,950022,31,373.0,12,9949.740934734195,0.6428129999985686
0,52,12,True,0,,40,3,0,24.0,0.0,850.9105576532612,375,1875.0,reference,7812.926691839146,348,True,True,0,156.0,4,0.883821600000374,9,950023,31,343.0,12,10210.926691839135,0.8838388999865856
83,52,12,True,0,,40,3,0,24.0,5.684341886080802e-14,845.7325740102095,374,1870.0,paper,7755.790888122526,347,True,True,0,156.0,4,0.9159901999955764,9,950023,31,343.0,12,10148.790888122514,0.9160032999934629
0,65,14,True,0,,51,3,0,28.0,0.0,726.5973286503112,293,1465.0,reference,8233.362601104362,260,True,True,0,195.0,4,0.9295916999981273,11,950024,31,251.0,14,10172.362601104356,0.9296035000006668
101,65,14,True,0,,51,3,0,28.0,0.0,714.9236581104661,290,1450.0,paper,8084.931213546531,257,True,True,0,195.0,4,1.040853700003936,11,950024,31,251.0,14,10008.931213546526,1.0408750000060536
0,70,14,True,0,,56,5,0,28.0,0.0,750.0058220937245,360,1800.0,reference,8139.0815093121455,329,True,True,0,210.0,4,0.8997914999927161,9,950025,31,323.0,14,10500.081509312144,0.8998048999928869
105,70,14,True,0,,56,5,0,28.0,2.2737367544323206e-13,736.9269114228401,357,1785.0,paper,7970.976759919765,325,True,True,0,210.0,4,0.9894444000092335,9,950025,31,323.0,14,10316.976759919762,0.9894551999896066
0,21,10,True,0,,11,1,0,20.0,0.0,939.8308510453144,441,2205.0,reference,6703.308510453145,416,True,True,0,63.0,4,0.3723848000081489,9,950026,31,407.0,10,9398.308510453144,0.37239960000442807
94,21,10,True,0,,11,1,0,20.0,0.0,933.4298698100636,442,2210.0,paper,6634.298698100634,415,True,True,0,63.0,4,0.5208872000075644,9,950026,31,407.0,10,9334.298698100636,0.5208964999910677
0,20,10,True,0,,10,1,0,20.0,0.0,1001.610376685108,420,2100.0,reference,7453.103766851081,395,True,True,0,60.0,4,0.3262998999998672,9,950027,31,383.0,10,10016.10376685108,0.32631669999682344
124,20,10,True,0,,10,1,0,20.0,0.0,999.6827398045604,424,2120.0,paper,7413.827398045604,396,True,True,0,60.0,4,0.45986529999936465,9,950027,31,383.0,10,9996.827398045603,0.459878599998774
0,61,12,True,0,,49,3,0,24.0,1.1368683772161603e-13,831.0097489767168,347,1735.0,reference,7720.116987720601,318,True,True,0,183.0,4,0.7413921000115806,9,950028,31,310.0,12,9972.116987720601,0.7414044000033755
79,61,12,True,0,,49,3,0,24.0,1.1368683772161603e-13,821.7606130943494,345,1725.0,paper,7619.127357132193,316,True,True,0,183.0,4,0.9058101000118768,9,950028,31,310.0,12,9861.127357132193,0.9058229999936884
0,17,15,True,0,,2,1,0,30.0,0.0,648.9723602562099,269,1345.0,reference,8073.585403843152,231,True,True,0,51.0,4,0.4309659999998985,14,950029,31,235.0,15,9734.585403843148,0.4309765999933006
141,17,15,True,0,,2,1,0,30.0,0.0,648.3798307772831,273,1365.0,paper,8044.697461659251,232,True,True,0,51.0,4,0.6208577999932459,14,950029,31,235.0,15,9725.697461659247,0.6208689000050072
0,84,15,True,0,,69,5,0,30.0,5.684341886080802e-14,695.9418893117006,282,1410.0,reference,8511.12833967551,248,True,True,0,252.0,4,1.199666200001957,10,950030,31,236.0,15,10439.12833967551,1.1996784000075422
119,84,15,True,0,,69,5,0,30.0,0.0,686.0102676406779,280,1400.0,paper,8372.154014610169,245,True,True,0,252.0,4,1.3800491000001784,10,950030,31,236.0,15,10290.154014610167,1.3800612000050023
0,21,15,True,0,,6,2,0,30.0,0.0,626.6373860656163,288,1440.0,reference,7620.560790984243,251,True,True,0,63.0,4,0.5174965999904089,13,950031,31,246.0,15,9399.560790984244,0.5175083000067389
123,21,15,True,0,,6,2,0,30.0,0.0,618.662776265945,287,1435.0,paper,7505.941643989174,249,True,True,0,63.0,4,0.6581819999992149,13,950031,31,246.0,15,9279.941643989176,0.6581941000040388
0,90,10,True,0,,80,5,0,20.0,0.0,1061.0666320233317,431,2155.0,reference,7775.666320233319,410,True,True,0,270.0,4,1.282419299997855,5,950032,31,390.0,10,10610.666320233317,1.2824274000013247
79,90,10,True,0,,80,5,0,20.0,2.2737367544323206e-13,1044.6272654128445,429,2145.0,paper,7621.272654128447,407,True,True,0,270.0,4,1.410467299996526,5,950032,31,390.0,10,10446.272654128445,1.4104782000067644
0,70,13,True,0,,57,3,0,26.0,0.0,833.9158743687074,349,1745.0,reference,8553.9063667932,318,True,True,0,210.0,4,0.8683783000014955,10,950033,31,306.0,13,10840.906366793195,0.8683904000063194
109,70,13,True,0,,57,3,0,26.0,0.0,826.0802814222377,350,1750.0,paper,8447.043658489094,317,True,True,0,210.0,4,1.0291050000087125,10,950033,31,306.0,13,10739.04365848909,1.029112600008375
0,24,14,True,0,,10,1,0,28.0,4.547473508864641e-13,688.4298869048309,288,1440.0,reference,7844.018416667636,254,True,True,0,72.0,4,0.39331090000632685,13,950034,31,254.0,14,9638.018416667634,0.39331980000133626
