candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,no_signal,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s,wall_s
259,11,11,True,11,,0,0,0,22.0,0.0,318.84276022603063,113,565.0,reference,2783.2703624863375,85,True,True,0,33.0,3,0.1777390000061132,11,950000,7,104.0,11,3507.270362486337,0.17774800000188407
279,11,11,True,11,,0,0,0,22.0,5.684341886080802e-14,316.7313247522062,113,565.0,paper,2760.044572274269,85,True,True,0,33.0,3,0.3805752000043867,11,950000,7,104.0,11,3484.0445722742684,0.38058739999542013
214,10,10,True,10,,0,0,1,20.0,0.0,345.7238819029496,118,590.0,reference,2706.238819029495,93,True,True,0,30.0,3,0.14435259999299888,10,950001,7,111.0,10,3457.238819029496,0.14437969999562483
227,10,10,True,10,,0,0,1,20.0,0.0,344.98932913845204,118,590.0,paper,2698.893291384519,93,True,True,0,30.0,3,0.3506624000001466,10,950001,7,111.0,10,3449.89329138452,0.35067220000200905
249,11,11,True,11,,0,0,3,22.0,2.842170943040401e-14,348.2529220581842,126,630.0,reference,3027.7821426400264,97,True,True,8,33.0,3,0.18159039999591187,11,950002,7,118.0,11,3830.782142640026,0.18160170000919607
269,11,11,True,11,,0,0,3,22.0,2.842170943040401e-14,350.25872875096144,126,630.0,paper,3049.8460162605766,97,True,True,8,33.0,3,0.3838520999997854,11,950002,7,118.0,11,3852.846016260576,0.383861700000125
360,14,14,True,14,,0,0,6,28.0,0.0,357.604898890892,127,635.0,reference,4184.468584472485,89,True,True,15,42.0,3,0.24730070000805426,14,950003,7,117.0,14,5006.468584472488,0.24730920000001788
389,14,14,True,14,,0,0,6,28.0,1.1368683772161603e-13,357.53007203082444,127,635.0,paper,4183.421008431541,89,True,True,15,42.0,3,0.521484099997906,14,950003,7,117.0,14,5005.421008431542,0.5214946999913082
271,10,10,True,10,,0,0,1,20.0,4.547473508864641e-13,354.62126972373073,127,635.0,reference,2744.2126972373076,99,True,True,3,30.0,3,0.16593439999269322,10,950004,7,117.0,10,3546.212697237307,0.16595140000572428
285,10,10,True,10,,0,0,1,20.0,0.0,353.3786939029807,127,635.0,paper,2731.786939029807,99,True,True,3,30.0,3,0.4398646999907214,10,950004,7,117.0,10,3533.786939029807,0.4398749000101816
