arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,paired_total_sources,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,stations_visited,switch_s,virtual_time_s,wall_s
baseline,363,16,16,True,16,0,0,0,32.0,1.1368683772161603e-13,226.88574917626073,97,485.0,2976.171986820172,0,0,0,True,15,48.0,16,3,0.2892901999875903,21,13,joint_route,990025,2,6,89.0,3630.1719868201717,0.2893766999914078
guard,354,16,16,True,16,0,0,2,32.0,1.1368683772161603e-13,244.5384617227431,110,550.0,3182.615387563889,126,62,0,True,24,48.0,16,3,0.3317505000013625,20,14,joint_route,990025,9,7,100.0,3912.6153875638897,0.3318448000063654
tight,354,16,16,True,16,0,0,2,32.0,1.1368683772161603e-13,244.5384617227431,110,550.0,3182.615387563889,223,62,0,True,24,48.0,16,3,0.33814810001058504,20,14,joint_route,990025,9,7,100.0,3912.6153875638897,0.33823530000518076
measure,363,16,16,True,16,0,0,0,32.0,1.1368683772161603e-13,223.89942397069626,97,485.0,2928.39078353114,59,54,0,True,15,48.0,16,3,0.316208899996127,21,13,joint_route,990025,2,6,89.0,3582.39078353114,0.3162919000023976
baseline,272,12,12,True,12,0,0,1,24.0,0.0,288.52481814144653,119,595.0,2696.2978176973593,0,0,0,True,10,36.0,12,3,0.2315655999991577,15,12,joint_route,990000,2,7,111.0,3462.2978176973584,0.23164230000111274
guard,260,12,12,True,12,0,0,1,24.0,2.2737367544323206e-13,278.7440575587471,118,590.0,2583.928690704966,70,87,0,True,10,36.0,12,3,0.2242670999985421,15,12,joint_route,990000,2,7,111.0,3344.928690704965,0.2243490999971982
tight,260,12,12,True,12,0,0,1,24.0,2.2737367544323206e-13,278.7440575587471,118,590.0,2583.928690704966,147,87,0,True,10,36.0,12,3,0.2183634999964852,15,12,joint_route,990000,2,7,111.0,3344.928690704965,0.2184486000041943
measure,260,12,12,True,12,0,0,1,24.0,0.0,279.1830716868918,118,590.0,2589.1968602427028,58,87,0,True,10,36.0,12,3,0.21611500000290107,15,12,joint_route,990000,2,7,111.0,3350.196860242702,0.21620149999216665
baseline,375,16,16,True,16,0,0,4,32.0,4.547473508864641e-13,250.1209518240142,122,610.0,3197.9352291842256,0,0,0,True,22,48.0,16,3,0.32494029999361373,18,15,joint_route,990001,3,7,114.0,4001.9352291842274,0.32502029999159276
guard,364,16,16,True,16,0,0,1,32.0,5.684341886080802e-14,236.72438992438356,117,585.0,3013.590238790137,124,72,0,True,21,48.0,16,3,0.331571000002441,20,15,joint_route,990001,1,7,109.0,3787.590238790137,0.3317801000084728
tight,364,16,16,True,16,0,0,1,32.0,5.684341886080802e-14,236.72438992438356,117,585.0,3013.590238790137,236,72,0,True,21,48.0,16,3,0.3560250000009546,20,15,joint_route,990001,1,7,109.0,3787.590238790137,0.3561211999913212
