arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,paired_total_sources,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,stations_visited,switch_s,virtual_time_s,wall_s
baseline,339,15,15,True,15,0,0,1,30.0,5.684341886080802e-14,268.18198673727113,119,595.0,3241.729801059068,0,0,0,True,11,45.0,15,3,0.26957050000783056,19,14,joint_route,995000,2,7,111.0,4022.729801059067,0.2696589999977732
guard,327,15,15,True,15,0,0,1,30.0,5.684341886080802e-14,243.57578037624697,118,590.0,2877.6367056437043,99,80,0,True,11,45.0,15,3,0.2640957999974489,19,14,joint_route,995000,2,7,111.0,3653.6367056437043,0.26418090000515804
measure,339,15,15,True,15,0,0,1,30.0,5.684341886080802e-14,261.5165532761514,119,595.0,3141.7482991422708,85,80,0,True,11,45.0,15,3,0.2800933999969857,19,14,joint_route,995000,2,7,111.0,3922.7482991422708,0.28017300000647083
baseline,296,13,13,True,13,0,0,1,26.0,5.684341886080802e-14,257.6474297032391,114,570.0,2608.416586142108,0,0,0,True,4,39.0,13,3,0.24739180000324268,13,12,joint_route,995001,0,7,106.0,3349.416586142108,0.24745500000426546
guard,308,13,13,True,13,0,0,1,26.0,5.684341886080802e-14,256.44338689132513,115,575.0,2587.7640295872266,71,78,0,True,4,39.0,13,3,0.25950110000849236,13,10,joint_route,995001,0,7,106.0,3333.764029587227,0.2595930999959819
measure,308,13,13,True,13,0,0,1,26.0,5.684341886080802e-14,256.44338689132513,115,575.0,2587.7640295872266,71,78,0,True,4,39.0,13,3,0.25534309999784455,13,10,joint_route,995001,0,7,106.0,3333.764029587227,0.255428500007838
baseline,332,14,14,True,14,0,0,1,28.0,2.842170943040401e-14,295.75226288876155,121,605.0,3355.531680442662,0,0,0,True,17,42.0,14,3,0.2893045999953756,19,13,joint_route,995002,1,7,110.0,4140.531680442662,0.2893726000038441
guard,332,14,14,True,14,0,0,1,28.0,2.842170943040401e-14,295.75226288876155,121,605.0,3355.531680442662,123,78,0,True,17,42.0,14,3,0.2998772999999346,19,13,joint_route,995002,1,7,110.0,4140.531680442662,0.29996550000214484
measure,332,14,14,True,14,0,0,1,28.0,2.842170943040401e-14,295.75226288876155,121,605.0,3355.531680442662,96,78,0,True,17,42.0,14,3,0.29954650001309346,19,13,joint_route,995002,1,7,110.0,4140.531680442662,0.29962790000718087
baseline,298,12,12,True,12,0,0,0,24.0,1.1368683772161603e-13,305.96709007691544,116,580.0,2925.6050809229846,0,0,0,True,15,36.0,12,3,0.26666379999369383,15,12,joint_route,995003,1,7,106.0,3671.605080922985,0.2667232000094373
guard,298,12,12,True,12,0,0,0,24.0,1.1368683772161603e-13,305.96709007691544,116,580.0,2925.6050809229846,61,78,0,True,15,36.0,12,3,0.2742435999971349,15,12,joint_route,995003,1,7,106.0,3671.605080922985,0.27431789999536704
measure,298,12,12,True,12,0,0,0,24.0,1.1368683772161603e-13,305.96709007691544,116,580.0,2925.6050809229846,53,78,0,True,15,36.0,12,3,0.2714606000081403,15,12,joint_route,995003,1,7,106.0,3671.605080922985,0.27153300000645686
baseline,342,14,14,True,14,0,0,0,28.0,0.0,249.92321689983183,108,540.0,2790.925036597645,0,0,0,True,15,42.0,14,3,0.2936891999997897,18,13,joint_route,995004,2,7,98.0,3498.9250365976454,0.29375049998634495
guard,342,14,14,True,14,0,0,0,28.0,0.0,238.23302588106557,108,540.0,2627.2623623349177,76,68,0,True,15,42.0,14,3,0.29240849999769125,18,12,joint_route,995004,2,7,98.0,3335.262362334918,0.2924823999928776
measure,330,14,14,True,14,0,0,0,28.0,0.0,248.42875690776827,107,535.0,2775.002596708755,52,68,0,True,15,42.0,14,3,0.2841234999941662,18,13,joint_route,995004,2,7,98.0,3478.002596708756,0.2841982999962056
baseline,319,13,13,True,13,0,0,0,26.0,4.547473508864641e-13,280.31218213835524,107,535.0,2946.058367798617,0,0,0,True,12,39.0,13,3,0.2700108000135515,17,11,joint_route,995005,2,7,98.0,3644.058367798618,0.2700722000008682
guard,319,13,13,True,13,0,0,0,26.0,5.684341886080802e-14,273.7965729420816,107,535.0,2861.35544824706,57,69,0,True,12,39.0,13,3,0.2729108999919845,17,10,joint_route,995005,2,7,98.0,3559.3554482470604,0.272984200011706
measure,319,13,13,True,13,0,0,0,26.0,5.684341886080802e-14,273.7965729420816,107,535.0,2861.35544824706,48,69,0,True,12,39.0,13,3,0.32396050001261756,17,10,joint_route,995005,2,7,98.0,3559.3554482470604,0.3240354000008665
baseline,206,10,10,True,10,0,0,1,20.0,0.0,332.5618102582962,120,600.0,2562.6181025829615,0,0,0,True,14,30.0,10,3,0.1809254000108922,14,10,joint_route,995006,5,7,113.0,3325.618102582962,0.1809852000005776
guard,218,10,10,True,10,0,0,1,20.0,0.0,329.3454877741682,121,605.0,2525.4548777416812,62,92,0,True,14,30.0,10,3,0.1995700000115903,14,10,joint_route,995006,5,7,113.0,3293.4548777416817,0.19973839999875054
measure,218,10,10,True,10,0,0,1,20.0,0.0,329.3454877741682,121,605.0,2525.4548777416812,45,92,0,True,14,30.0,10,3,0.23897540000325534,14,10,joint_route,995006,5,7,113.0,3293.4548777416817,0.23905309999827296
baseline,285,13,13,True,13,0,0,2,26.0,0.0,299.74147278738116,118,590.0,3129.6391462359547,0,0,0,True,14,39.0,13,3,0.2546121000050334,17,12,joint_route,995007,3,7,112.0,3896.6391462359547,0.25467270000081044
guard,297,13,13,True,13,0,0,1,26.0,0.0,292.89505660326927,118,590.0,3041.6357358425016,79,80,0,True,13,39.0,13,3,0.2693031999951927,18,12,joint_route,995007,2,7,111.0,3807.6357358425007,0.2693810000055237
measure,297,13,13,True,13,0,0,2,26.0,0.0,300.0501455376899,119,595.0,3128.65189198997,69,81,0,True,14,39.0,13,3,0.24775249999947846,17,12,joint_route,995007,3,7,112.0,3900.651891989969,0.24783120000211056
baseline,319,14,14,True,14,0,0,1,28.0,0.0,246.19011918473782,111,555.0,2719.6616685863296,0,0,0,True,11,42.0,14,3,0.26806639999267645,17,14,joint_route,995008,2,7,102.0,3446.6616685863296,0.2681299000105355
guard,319,14,14,True,14,0,0,1,28.0,0.0,238.42240609628746,111,555.0,2610.9136853480245,83,72,0,True,11,42.0,14,3,0.2858103999897139,17,14,joint_route,995008,2,7,102.0,3337.9136853480245,0.28589220000139903
measure,319,14,14,True,14,0,0,1,28.0,0.0,238.42240609628746,111,555.0,2610.9136853480245,73,72,0,True,11,42.0,14,3,0.2782540999905905,17,14,joint_route,995008,2,7,102.0,3337.9136853480245,0.27833249999093823
baseline,251,10,10,True,10,0,0,0,20.0,2.842170943040401e-14,325.8010613186228,125,625.0,2468.0106131862285,0,0,0,True,7,30.0,10,3,0.2215472999960184,15,10,joint_route,995009,2,7,115.0,3258.0106131862285,0.22160739998798817
guard,251,10,10,True,10,0,0,0,20.0,2.842170943040401e-14,317.9735016616576,125,625.0,2389.735016616577,85,96,0,True,7,30.0,10,3,0.21488910001062322,15,10,joint_route,995009,2,7,115.0,3179.735016616576,0.21496060000208672
measure,251,10,10,True,10,0,0,0,20.0,2.842170943040401e-14,317.9735016616576,125,625.0,2389.735016616577,76,96,0,True,7,30.0,10,3,0.21466939999663737,15,10,joint_route,995009,2,7,115.0,3179.735016616576,0.21474550000857562
baseline,356,15,15,True,15,0,0,0,30.0,0.0,241.09733354039443,113,565.0,2872.4600031059167,0,0,0,True,26,45.0,15,3,0.32239380000100937,20,15,joint_route,995010,4,7,104.0,3616.4600031059163,0.3224577000073623
guard,368,15,15,True,15,0,0,0,30.0,0.0,240.76989630596228,114,570.0,2861.5484445894344,115,67,0,True,26,45.0,15,3,0.3419634000019869,20,15,joint_route,995010,4,7,105.0,3611.548444589434,0.34204139999928884
measure,368,15,15,True,15,0,0,0,30.0,0.0,240.91222560218014,114,570.0,2864.6833840327026,81,67,0,True,26,45.0,15,3,0.34122869999555405,20,15,joint_route,995010,4,7,104.0,3613.683384032702,0.3413035999983549
baseline,263,11,11,True,11,0,0,0,22.0,0.0,298.99205504870906,118,590.0,2533.9126055358,0,0,0,True,13,33.0,11,3,0.23978479999641422,15,11,joint_route,995011,3,7,110.0,3288.9126055357997,0.23985019999963697
guard,263,11,11,True,11,0,0,0,22.0,0.0,290.5443944740293,118,590.0,2440.988339214323,70,86,0,True,13,33.0,11,3,0.24867359999916516,15,11,joint_route,995011,3,7,110.0,3195.988339214322,0.24875500000780448
measure,263,11,11,True,11,0,0,0,22.0,0.0,290.5443944740293,118,590.0,2440.988339214323,59,86,0,True,13,33.0,11,3,0.23151750001125038,15,11,joint_route,995011,3,7,110.0,3195.988339214322,0.23159310000482947
baseline,318,13,13,True,13,0,0,1,26.0,0.0,289.42783638423094,129,645.0,2932.5618729950024,0,0,0,True,21,39.0,13,3,0.2804303000011714,17,13,joint_route,995012,3,7,120.0,3762.5618729950024,0.28049550000287127
guard,318,13,13,True,13,0,0,1,26.0,0.0,287.9618677640314,129,645.0,2913.5042809324073,132,90,0,True,21,39.0,13,3,0.289524399995571,17,13,joint_route,995012,3,7,120.0,3743.504280932408,0.28961310000158846
measure,318,13,13,True,13,0,0,1,26.0,0.0,287.9618677640314,129,645.0,2913.5042809324073,98,90,0,True,21,39.0,13,3,0.2715677000087453,17,13,joint_route,995012,3,7,120.0,3743.504280932408,0.27164900000207126
baseline,319,13,13,True,13,0,0,1,26.0,4.547473508864641e-13,281.8024186262709,118,590.0,2900.431442141521,0,0,0,True,8,39.0,13,3,0.2506911999953445,17,13,joint_route,995013,1,7,108.0,3663.431442141521,0.25075829999696
guard,307,13,13,True,13,0,0,1,26.0,0.0,268.27936182270616,117,585.0,2729.63170369518,84,81,0,True,8,39.0,13,3,0.24955290000070818,17,13,joint_route,995013,1,7,108.0,3487.6317036951805,0.24964540000655688
measure,307,13,13,True,13,0,0,1,26.0,2.2737367544323206e-13,265.98873332451274,117,585.0,2699.8535332186657,75,81,0,True,8,39.0,13,3,0.2542511000065133,17,13,joint_route,995013,1,7,108.0,3457.8535332186657,0.2543271999893477
baseline,342,16,16,True,16,0,0,2,32.0,0.0,219.12649512963628,113,565.0,2754.0239220741805,0,0,0,True,20,48.0,16,3,0.2986436999926809,19,16,joint_route,995014,4,7,107.0,3506.0239220741805,0.2987377999961609
guard,354,16,16,True,16,0,0,2,32.0,0.0,218.31068257173087,114,570.0,2735.9709211476943,94,68,0,True,20,48.0,16,3,0.31802950000565033,19,16,joint_route,995014,4,7,107.0,3492.970921147694,0.3181498000049032
