candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,skipped_known_measurements,stations_visited,switch_s,total,virtual_time_s
298,10,10,True,10,,0,0,3,random,20.0,2.2737367544323206e-13,402.4688354822871,121,605.0,baseline,3261.6883548228707,True,True,15,30.0,3,0.2021318000042811,10,2200000,0,7,108.0,10,4024.6883548228707
266,10,10,True,10,,0,0,0,random,20.0,0.0,325.223861862067,123,615.0,free,2475.23861862067,True,True,18,30.0,3,0.18703060000552796,10,2200000,0,7,112.0,10,3252.23861862067
266,10,10,True,10,,0,0,0,random,20.0,0.0,325.223861862067,123,615.0,tour,2475.23861862067,True,True,18,30.0,3,0.18341179998242296,10,2200000,0,7,112.0,10,3252.23861862067
266,10,10,True,10,,0,0,0,random,20.0,0.0,323.423861862067,120,600.0,select,2475.23861862067,True,True,15,30.0,3,0.19583670000429265,10,2200000,3,7,109.0,10,3234.23861862067
266,10,10,True,10,,0,0,0,random,20.0,0.0,323.423861862067,120,600.0,tour_select,2475.23861862067,True,True,15,30.0,3,0.20718839997425675,10,2200000,3,7,109.0,10,3234.23861862067
254,10,10,True,10,,0,0,0,random,20.0,0.0,330.307845768147,122,610.0,priced,2531.0784576814704,True,True,10,30.0,3,0.1946759000129532,10,2200000,2,7,112.0,10,3303.07845768147
248,10,10,True,10,,0,0,1,random,20.0,2.2737367544323206e-13,428.98135454816054,115,575.0,baseline,3558.8135454816056,True,True,5,30.0,3,0.15393649999168701,10,2200001,0,7,106.0,10,4289.813545481606
227,10,10,True,10,,0,0,0,random,20.0,2.2737367544323206e-13,365.4582118856952,115,575.0,free,2922.582118856953,True,True,6,30.0,3,0.14959970000199974,10,2200001,0,7,107.0,10,3654.582118856952
205,10,10,True,10,,0,0,1,random,20.0,4.547473508864641e-13,344.9346880849773,121,605.0,tour,2680.346880849773,True,True,9,30.0,3,0.15294299999368377,10,2200001,0,7,114.0,10,3449.3468808497732
227,10,10,True,10,,0,0,0,random,20.0,2.2737367544323206e-13,364.8582118856952,114,570.0,select,2922.582118856953,True,True,5,30.0,3,0.16253380000125617,10,2200001,1,7,106.0,10,3648.582118856952
205,10,10,True,10,,0,0,1,random,20.0,4.547473508864641e-13,344.3346880849773,120,600.0,tour_select,2680.346880849773,True,True,8,30.0,3,0.1451781999785453,10,2200001,1,7,113.0,10,3443.3468808497732
216,10,10,True,10,,0,0,1,random,20.0,5.684341886080802e-14,349.2410157299102,121,605.0,priced,2724.4101572991026,True,True,9,30.0,3,0.15582730001187883,10,2200001,1,7,113.0,10,3492.410157299102
