seed,off_total,off_measures,off_certified_absent,off_absence_skips,on_total,on_measures,on_certified_absent,on_absence_skips,ratio
1910000,6320.167677933705,324,0,0,6320.167677933705,324,10,0,1.0
1910003,6957.434535046362,379,0,0,6957.434535046362,379,10,0,1.0
1910008,6192.430094465505,336,0,0,6192.430094465505,336,10,0,1.0
1910013,6286.977518034647,322,0,0,6286.977518034647,322,10,0,1.0
1910016,6035.265651753653,341,0,0,6035.265651753653,341,10,0,1.0
1910022,6962.197570887818,386,0,0,6962.197570887818,386,10,0,1.0
1910024,6392.306408037145,361,0,0,6392.306408037145,361,10,0,1.0
1910032,6392.512456009025,328,0,0,6392.512456009025,328,10,0,1.0
1910035,6411.606037189827,318,0,0,6411.606037189827,318,10,0,1.0
1910036,7025.113748735741,369,0,0,7025.113748735741,369,10,0,1.0
1910045,7194.72419152287,403,0,0,7194.72419152287,403,10,0,1.0
1900011,6860.200477805082,238,0,0,6860.200477805082,238,0,0,1.0
1900112,6208.25155369836,280,0,0,6208.25155369836,280,0,0,1.0
