candidate_evaluations,clear,cleared,complete,coverage_checks,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
56,25,15,True,0,15,,10,1,0,random,30.0,405.1854887948912,207,1035.0,capped,4751.7823319233685,True,True,0,75.0,1,4,0.345018699998036,37,7,2500000,34,7,7,0,22,186.0,15,6077.7823319233685
40,41,15,True,0,15,,26,2,0,random,30.0,439.14953914919556,279,1395.0,baseline_capped,4784.243087237935,True,True,0,123.0,0,4,0.4470409999776166,40,6,2500000,53,9,7,0,25,255.0,15,6587.243087237934
90,16,14,True,0,14,,2,0,0,random,28.0,448.99458682794904,263,1315.0,capped,4655.924215591285,True,True,0,48.0,2,4,0.24050029998761602,36,10,2500001,56,6,4,0,22,239.0,14,6285.924215591286
67,17,14,True,0,14,,3,0,0,random,28.0,439.70416130879624,289,1445.0,baseline_capped,4365.8582583231455,True,True,0,51.0,0,4,0.2033592999796383,39,10,2500001,47,7,4,0,25,266.0,14,6155.858258323147
69,15,14,True,0,14,,1,0,0,random,28.0,447.2749687989271,256,1280.0,capped,4676.849563184979,True,True,0,45.0,2,4,0.2215894999972079,36,11,2500002,35,4,3,0,22,232.0,14,6261.849563184979
67,14,14,True,0,14,,0,0,0,random,28.0,446.5875677009525,291,1455.0,baseline_capped,4462.225947813335,True,True,0,42.0,0,4,0.20248969999374822,39,6,2500002,30,8,8,0,25,265.0,14,6252.225947813335
58,39,16,True,0,16,,23,2,0,random,32.0,348.8933426742032,188,940.0,capped,4324.2934827872505,True,True,0,117.0,1,4,0.5006754999922123,35,8,2500003,22,6,6,0,19,169.0,16,5582.293482787251
59,20,16,True,0,16,,4,0,0,random,32.0,345.59779088249707,224,1120.0,baseline_capped,4117.564654119951,True,True,0,60.0,2,4,0.23731900000711903,35,13,2500003,47,7,3,0,19,200.0,16,5529.564654119953
41,30,16,True,0,16,,14,1,0,random,32.0,402.4824684521246,227,1135.0,capped,4975.719495233993,True,True,0,90.0,1,4,0.3517608000256587,35,9,2500004,69,8,6,0,19,207.0,16,6439.719495233993
103,72,16,True,0,16,,56,2,0,random,32.0,388.4792991220116,248,1240.0,baseline_capped,4504.668785952182,True,True,0,216.0,0,4,0.5466594000172336,35,8,2500004,52,6,6,0,19,223.0,16,6215.668785952185
