candidate_evaluations,clear,cleared,complete,coverage_checks,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
40,41,15,True,0,15,,26,2,0,random,30.0,439.14953914919556,279,1395.0,baseline,4784.243087237935,True,True,0,123.0,0,4,0.44805070001166314,40,6,2500000,53,9,7,0,25,255.0,15,6587.243087237934
56,25,15,True,0,15,,10,1,0,random,30.0,405.1854887948912,207,1035.0,rings,4751.7823319233685,True,True,0,75.0,1,4,0.3231554999947548,37,7,2500000,34,7,7,0,22,186.0,15,6077.7823319233685
61,15,15,True,0,15,,0,0,0,random,30.0,414.2132485679977,236,1180.0,tight,4747.198728519967,True,True,0,45.0,1,4,0.20597780001116917,37,7,2500000,71,8,8,0,22,211.0,15,6213.198728519966
88,15,15,True,0,15,,0,0,0,random,30.0,424.4275879186641,239,1195.0,mixed,4884.413818779963,True,True,0,45.0,1,4,0.23783860000548884,37,8,2500000,48,7,7,0,22,212.0,15,6366.413818779961
56,25,15,True,4,15,,10,1,0,random,30.0,405.1854887948912,207,1035.0,merge,4751.7823319233685,True,True,0,75.0,1,4,0.5657248999923468,37,7,2500000,34,7,7,0,22,186.0,15,6077.7823319233685
40,41,15,True,4,15,,26,2,0,random,30.0,439.14953914919556,279,1395.0,baseline_merge,4784.243087237935,True,True,0,123.0,0,4,0.5977498000138439,40,6,2500000,53,9,7,0,25,255.0,15,6587.243087237934
67,17,14,True,0,14,,3,0,0,random,28.0,439.70416130879624,289,1445.0,baseline,4365.8582583231455,True,True,0,51.0,0,4,0.20454810000956059,39,10,2500001,47,7,4,0,25,266.0,14,6155.858258323147
90,16,14,True,0,14,,2,0,0,random,28.0,448.99458682794904,263,1315.0,rings,4655.924215591285,True,True,0,48.0,2,4,0.24029719998361543,36,10,2500001,56,6,4,0,22,239.0,14,6285.924215591286
39,14,14,True,0,14,,0,0,0,random,28.0,448.3487035577021,242,1210.0,tight,4778.881849807829,True,True,0,42.0,0,4,0.15752849998534657,36,8,2500001,41,6,6,0,22,218.0,14,6276.881849807829
78,32,14,True,0,14,,18,1,0,random,28.0,447.26069377926376,274,1370.0,mixed,4516.6497129096915,True,True,0,96.0,1,4,0.3041477000224404,36,11,2500001,44,5,2,0,22,251.0,14,6261.649712909692
