candidate_evaluations,clear,cleared,complete,coverage_checks,coverage_sites_cancelled,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
56,25,15,True,0,0,15,,10,1,0,random,30.0,405.1854887948912,207,1035.0,info0.3,4751.7823319233685,True,True,0,75.0,1,4,0.44573240002500825,37,7,2500000,34,7,7,0,22,186.0,15,6077.7823319233685
31,15,15,True,0,0,15,,0,0,0,random,30.0,412.9310977434348,232,1160.0,info0.7,4747.966466151522,True,True,0,45.0,1,4,0.2930567000003066,37,9,2500000,35,6,6,0,22,211.0,15,6193.966466151522
31,15,15,True,0,0,15,,0,0,0,random,30.0,412.9310977434348,232,1160.0,info1.2,4747.966466151522,True,True,0,45.0,1,4,0.2946813000016846,37,9,2500000,35,6,6,0,22,211.0,15,6193.966466151522
57,15,14,True,0,0,14,,1,0,0,random,28.0,449.2163627935807,270,1350.0,info0.3,4620.02907911013,True,True,0,45.0,0,4,0.3182068000023719,36,8,2500001,27,7,6,0,22,246.0,14,6289.02907911013
46,15,14,True,0,0,14,,1,0,0,random,28.0,442.99987905309086,276,1380.0,info0.7,4493.998306743272,True,True,0,45.0,1,4,0.30598689999897033,36,8,2500001,27,7,6,0,22,255.0,14,6201.998306743272
98,15,14,True,0,0,14,,1,0,0,random,28.0,446.3839446659343,276,1380.0,info1.2,4543.375225323079,True,True,0,45.0,1,4,0.3569026000041049,36,8,2500001,39,7,6,0,22,253.0,14,6249.37522532308
55,15,14,True,0,0,14,,1,0,0,random,28.0,443.22696721838696,256,1280.0,info0.3,4619.177541057417,True,True,0,45.0,2,4,0.33086899999761954,36,11,2500002,35,4,3,0,22,233.0,14,6205.177541057417
54,15,14,True,0,0,14,,1,0,0,random,28.0,462.83640931743685,289,1445.0,info0.7,4697.7097304441195,True,True,0,45.0,0,4,0.278775399987353,36,8,2500002,36,7,6,0,22,264.0,14,6479.709730444116
57,14,14,True,0,0,14,,0,0,0,random,28.0,466.20048273199757,286,1430.0,info1.2,4766.806758247966,True,True,0,42.0,0,4,0.29654290000326,36,9,2500002,55,5,5,0,22,260.0,14,6526.806758247966
28,17,16,True,0,0,16,,1,0,0,random,32.0,352.67898701574336,204,1020.0,info0.3,4352.863792251896,True,True,0,51.0,1,4,0.33089539999491535,37,11,2500003,37,6,5,0,21,187.0,16,5642.863792251894
54,17,16,True,0,0,16,,1,0,0,random,32.0,324.1811579934825,204,1020.0,info0.7,3898.8985278957193,True,True,0,51.0,1,4,0.3344533999916166,34,11,2500003,50,6,5,0,18,185.0,16,5186.89852789572
54,17,16,True,0,0,16,,1,0,0,random,32.0,324.1811579934825,204,1020.0,info1.2,3898.8985278957193,True,True,0,51.0,1,4,0.353207799984375,34,11,2500003,50,6,5,0,18,185.0,16,5186.89852789572
63,41,16,True,0,0,16,,25,2,0,random,32.0,372.7709918039374,212,1060.0,info0.3,4558.335868863,True,True,0,123.0,0,4,0.6191133999964222,35,8,2500004,37,7,6,0,19,191.0,16,5964.335868862999
39,30,16,True,0,0,16,,14,1,0,random,32.0,354.3369943406415,211,1055.0,info0.7,4299.391909450264,True,True,0,90.0,0,4,0.4757691000122577,36,9,2500004,68,8,6,0,20,193.0,16,5669.391909450264
39,30,16,True,0,0,16,,14,1,0,random,32.0,354.3369943406415,211,1055.0,info1.2,4299.391909450264,True,True,0,90.0,0,4,0.47752919999766164,36,9,2500004,68,8,6,0,20,193.0,16,5669.391909450264
17,29,11,True,0,0,11,,18,1,0,random,22.0,535.5324420765136,267,1335.0,info0.3,4202.856862841649,True,True,0,87.0,2,4,0.42549330001929775,33,6,2500005,78,4,4,0,22,244.0,11,5890.85686284165
14,29,11,True,0,0,11,,18,1,0,random,22.0,530.7261393916434,258,1290.0,info0.7,4200.987533308077,True,True,0,87.0,0,4,0.4141158999991603,33,6,2500005,75,5,4,0,22,238.0,11,5837.987533308078
0,29,11,True,0,0,11,,18,1,0,random,22.0,533.2294575034007,257,1285.0,info1.2,4232.524032537407,True,True,0,87.0,0,4,0.39790520002134144,33,6,2500005,23,5,4,0,22,239.0,11,5865.524032537408
83,31,15,True,0,0,15,,16,1,0,random,30.0,413.0283939979908,223,1115.0,info0.3,4758.425909969862,True,True,0,93.0,1,4,0.5129738000105135,37,8,2500006,62,6,6,0,22,199.0,15,6195.425909969862
80,15,15,True,0,0,15,,0,0,0,random,30.0,418.0973302525596,237,1185.0,info0.7,4794.459953788394,True,True,0,45.0,1,4,0.370868199999677,37,8,2500006,51,7,7,0,22,217.0,15,6271.459953788393
37,15,15,True,0,0,15,,0,0,0,random,30.0,381.7844554837409,220,1100.0,info1.2,4353.766832256115,True,True,0,45.0,3,4,0.3565314000006765,37,3,2500006,90,12,12,0,22,198.0,15,5726.766832256113
55,53,15,True,0,0,15,,38,1,0,random,30.0,436.11732459826055,239,1195.0,info0.3,4943.759868973906,True,True,0,159.0,0,4,0.47943770000711083,37,11,2500007,58,5,3,0,22,214.0,15,6541.759868973908
