candidate_evaluations,clear,cleared,complete,coverage_checks,coverage_sites_cancelled,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
66,17,15,True,0,0,15,,2,0,0,random,30.0,401.72981711933346,210,1050.0,inner970,4705.947256790002,True,True,0,51.0,2,4,0.22301029998925515,37,10,2500000,34,7,5,0,22,189.0,15,6025.947256790002
65,15,15,True,0,0,15,,0,0,0,random,30.0,402.3431006406812,209,1045.0,inner980,4728.146509610219,True,True,0,45.0,2,4,0.21800130000337958,37,9,2500000,34,6,6,0,22,187.0,15,6035.146509610218
39,15,14,True,0,0,14,,1,0,0,random,28.0,446.4573417587852,243,1215.0,inner970,4742.402784622991,True,True,0,45.0,0,4,0.16134319998673163,36,9,2500001,41,6,5,0,22,220.0,14,6250.402784622993
62,14,14,True,0,0,14,,0,0,0,random,28.0,444.83427460984234,260,1300.0,inner980,4621.679844537791,True,True,0,42.0,2,4,0.2075388999946881,36,8,2500001,56,6,6,0,22,236.0,14,6227.679844537793
30,14,14,True,0,0,14,,0,0,0,random,28.0,427.819388412626,253,1265.0,inner970,4421.471437776765,True,True,0,42.0,2,4,0.1890166999946814,36,8,2500002,46,6,6,0,22,233.0,14,5989.471437776764
42,14,14,True,0,0,14,,0,0,0,random,28.0,435.7104741175455,255,1275.0,inner980,4523.946637645638,True,True,0,42.0,2,4,0.19871840000269003,36,10,2500002,35,4,4,0,22,231.0,14,6099.946637645638
44,62,16,True,0,0,16,,46,2,0,random,32.0,358.22978983812385,189,945.0,inner970,4396.676637409981,True,True,0,186.0,1,4,0.5040931999974418,35,11,2500003,22,4,3,0,19,172.0,16,5731.676637409982
44,65,16,True,0,0,16,,49,2,0,random,32.0,360.9116037651821,190,950.0,inner980,4425.585660242909,True,True,0,195.0,2,4,0.4129205000062939,35,11,2500003,22,4,3,0,19,172.0,16,5774.585660242914
66,32,16,True,0,0,16,,16,1,0,random,32.0,395.1935844992888,227,1135.0,inner970,4856.097351988622,True,True,0,96.0,0,4,0.36840080001275055,35,9,2500004,71,7,6,0,19,204.0,16,6323.097351988621
54,31,16,True,0,0,16,,15,1,0,random,32.0,399.4810380510704,230,1150.0,inner980,4909.696608817127,True,True,0,93.0,1,4,0.3589533000194933,35,8,2500004,66,8,7,0,19,207.0,16,6391.696608817127
35,14,11,True,0,0,11,,3,0,0,random,22.0,520.0488622077817,284,1420.0,inner970,3968.5374842855967,True,True,0,42.0,1,4,0.1580553000094369,33,9,2500005,51,5,2,0,22,268.0,11,5720.537484285598
36,13,11,True,0,0,11,,2,0,0,random,22.0,520.7392859071563,283,1415.0,inner980,3986.132144978719,True,True,0,39.0,1,4,0.15511150000384077,33,8,2500005,52,5,3,0,22,266.0,11,5728.132144978719
70,32,15,True,0,0,15,,17,1,0,random,30.0,402.00236795495135,225,1125.0,inner970,4579.035519324269,True,True,0,96.0,1,4,0.37994549999712035,37,9,2500006,61,6,5,0,22,200.0,15,6030.03551932427
71,31,15,True,0,0,15,,16,1,0,random,30.0,402.8557647478958,225,1125.0,inner980,4594.836471218441,True,True,0,93.0,1,4,0.3756215000175871,37,9,2500006,61,6,5,0,22,200.0,15,6042.8364712184375
85,15,15,True,0,0,15,,0,0,0,random,30.0,398.97684930593266,235,1175.0,inner970,4523.652739588989,True,True,0,45.0,1,4,0.24006189999636263,37,9,2500007,52,6,6,0,22,211.0,15,5984.65273958899
55,16,15,True,0,0,15,,1,0,0,random,30.0,402.00965794904357,233,1165.0,inner980,4577.1448692356535,True,True,0,48.0,1,4,0.20610160002252087,37,10,2500007,55,6,5,0,22,210.0,15,6030.1448692356535
48,18,11,True,0,0,11,,7,1,0,random,22.0,608.7244189170831,324,1620.0,inner970,4695.968608087909,True,True,0,54.0,2,4,0.30228010000428185,33,9,2500008,47,1,1,0,22,304.0,11,6695.968608087914
1,17,11,True,0,0,11,,6,1,0,random,22.0,553.1684991817752,303,1515.0,inner980,4213.853490999528,True,True,0,51.0,1,4,0.23082870000507683,33,5,2500008,18,5,5,0,22,283.0,11,6084.853490999528
91,12,11,True,0,0,11,,1,0,0,random,22.0,577.4163319313706,326,1630.0,inner970,4360.579651245078,True,True,0,36.0,0,4,0.1878668999997899,33,9,2500009,26,3,2,0,22,303.0,11,6351.579651245076
90,11,11,True,0,0,11,,0,0,0,random,22.0,578.6962828421762,289,1445.0,inner980,4602.659111263937,True,True,0,33.0,1,4,0.21111520001431927,33,10,2500009,27,1,1,0,22,263.0,11,6365.659111263938
27,32,11,True,0,0,11,,21,2,0,random,22.0,567.6856630291024,282,1410.0,inner970,4458.542293320126,True,True,0,96.0,0,4,0.35950900000170805,33,5,2500010,39,6,4,0,22,258.0,11,6244.542293320127
26,20,11,True,0,0,11,,9,1,0,random,22.0,526.2751604882701,255,1275.0,inner980,4197.026765370971,True,True,0,60.0,0,4,0.28711020000628196,33,5,2500010,45,5,5,0,22,235.0,11,5789.026765370972
82,10,10,True,0,0,10,,0,0,0,random,20.0,643.0927993585766,296,1480.0,inner970,4627.927993585765,True,True,0,30.0,2,4,0.22628190001705661,32,8,2500011,21,2,2,0,22,273.0,10,6430.927993585766
109,10,10,True,0,0,10,,0,0,0,random,20.0,643.461788692049,298,1490.0,inner980,4621.617886920491,True,True,0,30.0,2,4,0.2280523999943398,32,8,2500011,21,2,2,0,22,273.0,10,6434.6178869204905
97,27,12,True,0,0,12,,15,1,0,random,24.0,511.04411446749515,285,1425.0,inner970,4342.529373609948,True,True,0,81.0,0,4,0.3802593000000343,34,9,2500012,41,3,2,0,22,260.0,12,6132.529373609942
122,27,12,True,0,0,12,,15,1,0,random,24.0,499.3033448670458,286,1430.0,inner980,4197.640138404555,True,True,0,81.0,0,4,0.3971822999883443,34,8,2500012,42,4,3,0,22,259.0,12,5991.640138404549
57,14,13,True,0,0,13,,1,0,0,random,26.0,469.41653993553064,251,1255.0,inner970,4552.415019161899,True,True,0,42.0,1,4,0.18614579999120906,35,9,2500013,56,5,4,0,22,227.0,13,6102.415019161898
53,20,13,True,0,0,13,,7,1,0,random,26.0,449.7370264997202,243,1215.0,inner980,4325.581344496363,True,True,0,60.0,1,4,0.3303269000025466,35,6,2500013,75,6,6,0,22,220.0,13,5846.581344496362
151,15,15,True,0,0,15,,0,0,0,random,30.0,422.60567520949553,239,1195.0,inner970,4861.085128142434,True,True,0,45.0,2,4,0.2978807999752462,37,11,2500014,37,4,4,0,22,208.0,15,6339.085128142433
135,15,15,True,0,0,15,,0,0,0,random,30.0,423.5668391682198,238,1190.0,inner980,4880.502587523297,True,True,0,45.0,1,4,0.2808511000184808,37,11,2500014,37,4,4,0,22,208.0,15,6353.502587523297
84,16,15,True,0,0,15,,1,0,0,random,30.0,385.63615275587557,257,1285.0,inner970,4188.542291338134,True,True,0,48.0,1,4,0.216188799997326,37,9,2500015,40,7,6,0,22,233.0,15,5784.5422913381335
74,16,15,True,0,0,15,,1,0,0,random,30.0,380.6782856949832,254,1270.0,inner980,4129.174285424747,True,True,0,48.0,1,4,0.21239849997800775,37,9,2500015,40,7,6,0,22,233.0,15,5710.174285424748
84,13,13,True,0,0,13,,0,0,0,random,26.0,472.65997486077725,263,1315.0,inner970,4524.579673190104,True,True,0,39.0,0,4,0.19210729998303577,35,8,2500016,36,5,5,0,22,240.0,13,6144.579673190105
93,14,13,True,0,0,13,,1,0,0,random,26.0,476.68733697208194,277,1385.0,inner980,4490.9353806370655,True,True,0,42.0,0,4,0.20737150000059046,35,10,2500016,23,4,3,0,22,253.0,13,6196.9353806370655
87,13,12,True,0,0,12,,1,0,0,random,24.0,502.0641448375838,259,1295.0,inner970,4432.769738051006,True,True,0,39.0,1,4,0.20843329999479465,34,9,2500017,20,4,3,0,22,234.0,12,6024.769738051005
76,13,12,True,0,0,12,,1,0,0,random,24.0,500.99666989507705,258,1290.0,inner980,4424.960038740924,True,True,0,39.0,1,4,0.2043335000053048,34,9,2500017,20,4,3,0,22,234.0,12,6011.960038740925
158,18,16,True,0,0,16,,2,0,0,random,32.0,361.81874131411405,241,1205.0,inner970,4281.099861025827,True,True,0,54.0,1,4,0.3221594000060577,36,13,2500018,50,5,3,0,20,217.0,16,5789.099861025825
68,17,16,True,0,0,16,,1,0,0,random,32.0,357.9910708745288,233,1165.0,inner980,4267.857133992461,True,True,0,51.0,0,4,0.19806799999787472,34,9,2500018,34,8,7,0,18,212.0,16,5727.857133992461
9,11,11,True,0,0,11,,0,0,0,random,22.0,510.79891008879383,259,1295.0,inner970,4031.7880109767307,True,True,0,33.0,1,4,0.12112979998346418,33,5,2500019,14,6,6,0,22,237.0,11,5618.788010976732
41,12,11,True,0,0,11,,1,0,0,random,22.0,529.2682562928026,257,1285.0,inner980,4243.950819220827,True,True,0,36.0,0,4,0.15517559999716468,33,6,2500019,77,6,5,0,22,235.0,11,5821.950819220829
66,15,15,True,0,0,15,,0,0,0,random,30.0,414.5610622257594,295,1475.0,inner970,4394.41593338639,True,True,0,45.0,0,4,0.185030699998606,37,6,2500020,18,9,9,0,22,274.0,15,6218.415933386391
68,16,15,True,0,0,15,,1,0,0,random,30.0,408.7806481191484,222,1110.0,inner980,4744.709721787226,True,True,0,48.0,0,4,0.1930255000188481,37,9,2500020,37,7,6,0,22,199.0,15,6131.709721787226
40,49,12,True,0,0,12,,37,2,0,random,24.0,556.1471772750944,274,1370.0,inner970,4880.766127301133,True,True,0,147.0,0,4,0.4602228000003379,34,7,2500021,19,3,3,0,22,252.0,12,6673.766127301133
117,12,12,True,0,0,12,,0,0,0,random,24.0,537.1168467927985,297,1485.0,inner980,4630.402161513581,True,True,0,36.0,0,4,0.21516520000295714,34,8,2500021,37,4,4,0,22,270.0,12,6445.402161513582
83,10,10,True,0,0,10,,0,0,0,random,20.0,582.8280451127455,305,1525.0,inner970,3969.2804511274558,True,True,0,30.0,0,4,0.17811839998466894,32,7,2500022,37,3,3,0,22,284.0,10,5828.280451127454
110,11,10,True,0,0,10,,1,0,0,random,20.0,584.796330289018,307,1535.0,inner980,3973.9633028901785,True,True,0,33.0,0,4,0.20969859999604523,32,8,2500022,37,3,2,0,22,286.0,10,5847.96330289018
111,13,12,True,0,0,12,,1,0,0,random,24.0,508.8265713726535,288,1440.0,inner970,4338.918856471841,True,True,0,39.0,2,4,0.27026910000131465,34,10,2500023,66,3,2,0,22,264.0,12,6105.918856471842
95,13,12,True,0,0,12,,1,0,0,random,24.0,501.01200608810495,286,1430.0,inner980,4257.144073057256,True,True,0,39.0,2,4,0.2385696999845095,34,8,2500023,66,5,4,0,22,262.0,12,6012.144073057259
68,14,12,True,0,0,12,,2,0,0,random,24.0,475.69937395154057,253,1265.0,inner970,4151.392487418487,True,True,0,42.0,0,4,0.17819509998662397,34,8,2500024,30,6,4,0,22,226.0,12,5708.392487418487
82,12,12,True,0,0,12,,0,0,0,random,24.0,470.83558213930837,250,1250.0,inner980,4117.0269856717005,True,True,0,36.0,0,4,0.18447949999244884,34,6,2500024,30,6,6,0,22,223.0,12,5650.0269856717005
68,32,16,True,0,0,16,,16,1,0,random,32.0,329.0268112818652,177,885.0,inner970,4090.4289805098438,True,True,0,96.0,1,4,0.36335080000571907,31,9,2500025,68,8,6,0,15,161.0,16,5264.428980509843
143,103,16,True,0,0,16,,87,1,0,random,32.0,411.1461017876007,207,1035.0,inner980,5020.33762860161,True,True,0,309.0,0,4,0.3291795999975875,35,10,2500025,63,8,5,0,19,182.0,16,6578.337628601611
165,16,14,True,0,0,14,,2,0,0,random,28.0,432.6637706425416,239,1195.0,inner970,4573.292788995583,True,True,0,48.0,0,4,0.2866034999897238,36,11,2500026,46,5,3,0,22,213.0,14,6057.292788995582
53,41,14,True,0,0,14,,27,2,0,random,28.0,442.49004713387814,249,1245.0,inner980,4572.860659874294,True,True,0,123.0,0,4,0.5228476999909617,36,7,2500026,69,7,5,0,22,226.0,14,6194.860659874294
79,27,14,True,0,0,14,,13,2,0,random,28.0,461.4869200033749,243,1215.0,inner970,4915.81688004725,True,True,0,81.0,0,4,0.5211171999981161,36,8,2500027,56,5,4,0,22,221.0,14,6460.816880047249
77,26,14,True,0,0,14,,12,2,0,random,28.0,462.87366394988874,243,1215.0,inner980,4939.231295298443,True,True,0,78.0,0,4,0.5250980000128038,36,7,2500027,56,5,5,0,22,220.0,14,6480.231295298442
16,10,10,True,0,0,10,,0,0,0,random,20.0,597.1594006607872,307,1535.0,inner970,4102.594006607873,True,True,0,30.0,1,4,0.11493770001106896,32,7,2500028,34,3,3,0,22,284.0,10,5971.594006607872
18,11,10,True,0,0,10,,1,0,0,random,20.0,597.839843741757,308,1540.0,inner980,4100.398437417571,True,True,0,33.0,1,4,0.12786049998248927,32,7,2500028,33,4,3,0,22,285.0,10,5978.398437417571
33,12,12,True,0,0,12,,0,0,0,random,24.0,499.4813232208812,259,1295.0,inner970,4401.775878650573,True,True,0,36.0,1,4,0.15650419998564757,34,8,2500029,43,4,4,0,22,237.0,12,5993.775878650575
60,13,12,True,0,0,12,,1,0,0,random,24.0,497.1591930859934,260,1300.0,inner980,4363.910317031922,True,True,0,39.0,1,4,0.18775129999266937,34,9,2500029,43,4,3,0,22,239.0,12,5965.910317031921
27,97,14,True,0,0,14,,83,1,0,random,28.0,467.48885795173516,243,1215.0,inner970,4788.844011324301,True,True,0,291.0,0,4,0.20896770001854748,36,7,2500030,41,9,6,0,22,222.0,14,6544.844011324292
31,27,14,True,0,0,14,,13,1,0,random,28.0,427.39531075109113,242,1210.0,inner980,4446.534350515275,True,True,0,81.0,0,4,0.20654210000066087,36,5,2500030,39,8,8,0,22,218.0,14,5983.534350515276
98,20,11,True,0,0,11,,9,1,0,random,22.0,592.0282091089184,314,1570.0,inner970,4573.310300198097,True,True,0,60.0,1,4,0.3594442999747116,33,9,2500031,41,2,1,0,22,287.0,11,6512.310300198103
50,11,11,True,0,0,11,,0,0,0,random,22.0,535.9529853054156,273,1365.0,inner980,4226.482838359572,True,True,0,33.0,2,4,0.17285649999394082,33,7,2500031,18,4,4,0,22,249.0,11,5895.482838359572
