candidate_evaluations,clear,cleared,complete,coverage_checks,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
0,25,15,True,0,15,,10,1,0,random,30.0,443.4283194863646,218,1090.0,cross,5258.424792295469,True,True,0,75.0,0,4,0.2586197000055108,36,2,2500000,58,13,12,0,21,198.0,15,6651.424792295469
0,25,15,True,0,15,,10,1,0,random,30.0,443.4283194863646,218,1090.0,bounded,5258.424792295469,True,True,0,75.0,0,4,0.2551145000034012,36,2,2500000,58,13,12,0,21,198.0,15,6651.424792295469
22,16,15,True,0,15,,1,0,0,random,30.0,439.6457254680659,220,1100.0,cross22,5219.685882020987,True,True,0,48.0,1,4,0.16850889998022467,37,7,2500000,62,9,8,0,22,197.0,15,6594.685882020988
28,16,14,True,0,14,,2,0,0,random,28.0,445.8092842244035,267,1335.0,cross,4582.3299791416475,True,True,0,48.0,0,4,0.1454661000170745,35,5,2500001,48,11,9,0,21,248.0,14,6241.329979141648
28,16,14,True,0,14,,2,0,0,random,28.0,445.8092842244035,267,1335.0,bounded,4582.3299791416475,True,True,0,48.0,0,4,0.14472529999329709,35,5,2500001,48,11,9,0,21,248.0,14,6241.329979141648
15,15,14,True,0,14,,1,0,0,random,28.0,429.2827771491972,224,1120.0,cross22,4612.95888008876,True,True,0,45.0,0,4,0.12938679999206215,36,5,2500001,48,10,9,0,22,204.0,14,6009.958880088761
21,50,14,True,0,14,,36,1,0,random,28.0,470.8997819862903,241,1205.0,cross,4984.596947808063,True,True,0,150.0,1,4,0.31269310001516715,35,9,2500002,60,7,4,0,21,225.0,14,6592.596947808064
82,49,14,True,0,14,,35,1,0,random,28.0,520.8237696542961,282,1410.0,bounded,5445.532775160145,True,True,0,147.0,0,4,0.3478361000015866,35,7,2500002,41,8,6,0,21,261.0,14,7291.532775160145
40,16,14,True,0,14,,2,0,0,random,28.0,495.03134160448155,290,1450.0,cross22,5133.438782462743,True,True,0,48.0,2,4,0.17131849998258986,36,10,2500002,33,6,4,0,22,271.0,14,6930.438782462742
24,19,16,True,0,16,,3,0,0,random,32.0,374.2761683577246,205,1025.0,cross,4686.418693723595,True,True,0,57.0,2,4,0.1844009000051301,36,10,2500003,45,9,6,0,20,188.0,16,5988.418693723594
49,19,16,True,0,16,,3,0,0,random,32.0,384.8225181492895,213,1065.0,bounded,4808.16029038863,True,True,0,57.0,0,4,0.17420199999469332,37,11,2500003,38,8,5,0,21,195.0,16,6157.160290388632
21,18,16,True,0,16,,2,0,0,random,32.0,366.70585332752154,208,1040.0,cross22,4551.2936532403455,True,True,0,54.0,1,4,0.18691709998529404,38,10,2500003,108,8,6,0,22,190.0,16,5867.293653240345
24,18,16,True,0,16,,2,0,0,random,32.0,370.41081821927924,231,1155.0,cross,4469.573091508465,True,True,0,54.0,0,4,0.16884650001884438,37,10,2500004,91,8,6,0,21,216.0,16,5926.573091508468
24,18,16,True,0,16,,2,0,0,random,32.0,370.41081821927924,231,1155.0,bounded,4469.573091508465,True,True,0,54.0,0,4,0.16563669999595731,37,10,2500004,91,8,6,0,21,216.0,16,5926.573091508468
36,18,16,True,0,16,,2,0,0,random,32.0,373.4547757878713,228,1140.0,cross22,4537.276412605942,True,True,0,54.0,1,4,0.19433570001274347,37,10,2500004,67,8,6,0,21,212.0,16,5975.276412605941
12,13,11,True,0,11,,2,0,0,random,22.0,516.8713022793822,253,1265.0,cross,4121.584325073203,True,True,0,39.0,0,4,0.10762669998803176,32,7,2500005,22,6,4,0,21,238.0,11,5685.584325073204
12,13,11,True,0,11,,2,0,0,random,22.0,516.8713022793822,253,1265.0,bounded,4121.584325073203,True,True,0,39.0,0,4,0.10690730001078919,32,7,2500005,22,6,4,0,21,238.0,11,5685.584325073204
9,12,11,True,0,11,,1,0,0,random,22.0,528.7290455961961,259,1295.0,cross22,4224.019501558158,True,True,0,36.0,1,4,0.13020710001001135,33,6,2500005,33,6,5,0,22,239.0,11,5816.019501558157
21,32,15,True,0,15,,17,1,0,random,30.0,406.54604031361066,221,1105.0,cross,4665.190604704158,True,True,0,96.0,1,4,0.3088607999961823,36,10,2500006,40,7,4,0,21,202.0,15,6098.19060470416
8,30,15,True,0,15,,15,1,0,random,30.0,398.66460138438663,220,1100.0,bounded,4558.9690207657995,True,True,0,90.0,1,4,0.2977627000072971,36,8,2500006,62,7,6,0,21,201.0,15,5979.9690207657995
27,18,15,True,0,15,,3,0,0,random,30.0,384.42137334622987,210,1050.0,cross22,4442.320600193447,True,True,0,54.0,0,4,0.15299300002516247,37,8,2500006,52,10,7,0,22,190.0,15,5766.320600193448
0,16,15,True,0,15,,1,0,0,random,30.0,376.8983936447328,209,1045.0,cross,4339.475904670994,True,True,0,48.0,0,4,0.12890919999335892,36,7,2500007,40,9,8,0,21,191.0,15,5653.475904670991
0,16,15,True,0,15,,1,0,0,random,30.0,376.8983936447328,209,1045.0,bounded,4339.475904670994,True,True,0,48.0,0,4,0.12924259999999776,36,7,2500007,40,9,8,0,21,191.0,15,5653.475904670991
27,18,15,True,0,15,,3,1,0,random,30.0,429.61651822232193,212,1060.0,cross22,5110.247773334828,True,True,0,54.0,0,4,0.2973729000077583,37,7,2500007,62,7,7,0,22,190.0,15,6444.247773334829
0,11,11,True,0,11,,0,0,0,random,22.0,580.6797437138247,271,1355.0,cross,4728.47718085207,True,True,0,33.0,0,4,0.09234220001962967,32,4,2500008,39,7,7,0,21,249.0,11,6387.477180852071
0,11,11,True,0,11,,0,0,0,random,22.0,580.6797437138247,271,1355.0,bounded,4728.47718085207,True,True,0,33.0,0,4,0.09218279999913648,32,4,2500008,39,7,7,0,21,249.0,11,6387.477180852071
13,38,11,True,0,11,,27,2,0,random,22.0,638.7217163556002,316,1580.0,cross22,5016.938879911604,True,True,0,114.0,0,4,0.3957613999955356,33,7,2500008,38,2,2,0,22,293.0,11,7025.938879911602
15,21,11,True,0,11,,10,1,0,random,22.0,609.9205458372418,288,1440.0,cross,4916.12600420966,True,True,0,63.0,1,4,0.2415288000192959,32,4,2500009,45,7,6,0,21,268.0,11,6709.12600420966
15,21,11,True,0,11,,10,1,0,random,22.0,609.9205458372418,288,1440.0,bounded,4916.12600420966,True,True,0,63.0,1,4,0.24319080001441762,32,4,2500009,45,7,6,0,21,268.0,11,6709.12600420966
13,12,11,True,0,11,,1,0,0,random,22.0,593.4157805705818,312,1560.0,cross22,4616.5735862763995,True,True,0,36.0,0,4,0.11036639998201281,33,6,2500009,50,6,5,0,22,293.0,11,6527.5735862763995
5,12,11,True,0,11,,1,0,0,random,22.0,557.3448316460918,254,1270.0,cross,4567.793148107007,True,True,0,36.0,1,4,0.1080260000017006,32,4,2500010,40,8,7,0,21,235.0,11,6130.79314810701
5,12,11,True,0,11,,1,0,0,random,22.0,557.3448316460918,254,1270.0,bounded,4567.793148107007,True,True,0,36.0,1,4,0.10764679999556392,32,4,2500010,40,8,7,0,21,235.0,11,6130.79314810701
0,12,11,True,0,11,,1,0,0,random,22.0,530.7432840565506,266,1330.0,cross22,4202.176124622057,True,True,0,36.0,0,4,0.08998660001088865,33,5,2500010,31,7,6,0,22,248.0,11,5838.176124622057
0,11,10,True,0,10,,1,0,0,random,20.0,581.0995716827468,289,1445.0,cross,4042.995716827467,True,True,0,33.0,0,4,0.08457180002005771,31,5,2500011,17,6,5,0,21,270.0,10,5810.995716827469
0,10,10,True,0,10,,0,0,0,random,20.0,576.0613334010712,289,1445.0,bounded,3996.6133340107112,True,True,0,30.0,0,4,0.08042919999570586,31,1,2500011,32,9,9,0,21,269.0,10,5760.613334010713
39,10,10,True,0,10,,0,0,0,random,20.0,669.0370558535158,320,1600.0,cross22,4743.370558535154,True,True,0,30.0,0,4,0.11343300002044998,32,4,2500011,39,6,6,0,22,297.0,10,6690.370558535157
21,12,12,True,0,12,,0,0,0,random,24.0,586.5439021099447,270,1350.0,cross,5378.526825319336,True,True,0,36.0,1,4,0.1306297999981325,33,4,2500012,41,8,8,0,21,250.0,12,7038.526825319337
21,12,12,True,0,12,,0,0,0,random,24.0,586.5439021099447,270,1350.0,bounded,5378.526825319336,True,True,0,36.0,1,4,0.12803370002075098,33,4,2500012,41,8,8,0,21,250.0,12,7038.526825319337
5,13,12,True,0,12,,1,0,0,random,24.0,563.3856490646299,305,1525.0,cross22,4884.62778877556,True,True,0,39.0,1,4,0.12047990001155995,34,5,2500012,69,8,7,0,22,288.0,12,6760.627788775559
9,14,13,True,0,13,,1,0,0,random,26.0,479.228989666724,266,1330.0,cross,4583.9768656674105,True,True,0,42.0,1,4,0.13804459999664687,34,6,2500013,49,8,7,0,21,248.0,13,6229.976865667411
9,14,13,True,0,13,,1,0,0,random,26.0,479.228989666724,266,1330.0,bounded,4583.9768656674105,True,True,0,42.0,1,4,0.14055710000684485,34,6,2500013,49,8,7,0,21,248.0,13,6229.976865667411
13,14,13,True,0,13,,1,0,0,random,26.0,492.5227827300847,263,1315.0,cross22,4777.796175491101,True,True,0,42.0,0,4,0.11312369999359362,35,5,2500013,38,9,8,0,22,242.0,13,6402.796175491101
45,16,15,True,0,15,,1,0,0,random,30.0,434.51476987811446,235,1175.0,cross,5048.721548171716,True,True,0,48.0,2,4,0.1833498000050895,36,8,2500014,47,8,7,0,21,216.0,15,6517.721548171717
27,16,15,True,0,15,,1,0,0,random,30.0,396.16966391771246,237,1185.0,bounded,4461.544958765686,True,True,0,48.0,1,4,0.16350819999934174,36,7,2500014,64,9,8,0,21,218.0,15,5942.544958765687
52,15,15,True,0,15,,0,0,0,random,30.0,449.2374893534529,259,1295.0,cross22,5127.562340301794,True,True,0,45.0,0,4,0.16036980002536438,37,6,2500014,39,9,9,0,22,241.0,15,6738.5623403017935
43,24,15,True,0,15,,9,1,0,random,30.0,455.00571211877923,249,1245.0,cross,5245.085681781689,True,True,0,72.0,0,4,0.31651309999870136,36,10,2500015,43,4,4,0,21,233.0,15,6825.085681781688
43,24,15,True,0,15,,9,1,0,random,30.0,455.00571211877923,249,1245.0,bounded,5245.085681781689,True,True,0,72.0,0,4,0.3179541999998037,36,10,2500015,43,4,4,0,21,233.0,15,6825.085681781688
68,16,15,True,0,15,,1,0,0,random,30.0,428.7668197332001,260,1300.0,cross22,4815.5022959980015,True,True,0,48.0,2,4,0.22615689999656752,37,9,2500015,49,7,6,0,22,238.0,15,6431.5022959980015
16,14,13,True,0,13,,1,0,0,random,26.0,465.59415361221426,250,1250.0,cross,4502.723996958786,True,True,0,42.0,0,4,0.12649929997860454,34,5,2500016,71,9,8,0,21,232.0,13,6052.723996958785
16,14,13,True,0,13,,1,0,0,random,26.0,465.59415361221426,250,1250.0,bounded,4502.723996958786,True,True,0,42.0,0,4,0.12726070001372136,34,5,2500016,71,9,8,0,21,232.0,13,6052.723996958785
0,15,13,True,0,13,,2,1,0,random,26.0,469.8905126686458,258,1290.0,cross22,4509.576664692396,True,True,0,45.0,0,4,0.2168701000045985,35,4,2500016,58,9,8,0,22,238.0,13,6108.576664692395
0,14,12,True,0,12,,2,0,0,random,24.0,468.0829844977177,227,1135.0,cross,4206.99581397261,True,True,0,42.0,0,4,0.09496699998271652,33,2,2500017,40,12,10,0,21,209.0,12,5616.995813972612
0,14,12,True,0,12,,2,0,0,random,24.0,468.0829844977177,227,1135.0,bounded,4206.99581397261,True,True,0,42.0,0,4,0.09386280001490377,33,2,2500017,40,12,10,0,21,209.0,12,5616.995813972612
22,13,12,True,0,12,,1,0,0,random,24.0,520.0749736251977,256,1280.0,cross22,4661.899683502373,True,True,0,39.0,0,4,0.11657909999485128,34,6,2500017,52,7,6,0,22,236.0,12,6240.899683502372
15,17,16,True,0,16,,1,0,0,random,32.0,354.2342998354577,228,1140.0,cross,4233.748797367323,True,True,0,51.0,1,4,0.15582590000121854,36,8,2500018,76,9,8,0,20,211.0,16,5667.748797367323
15,17,16,True,0,16,,1,0,0,random,32.0,393.6103143719954,235,1175.0,bounded,4822.7650299519255,True,True,0,51.0,1,4,0.16072849999181926,37,8,2500018,89,9,8,0,21,217.0,16,6297.765029951926
29,17,16,True,0,16,,1,0,0,random,32.0,354.7823824586218,221,1105.0,cross22,4284.518119337948,True,True,0,51.0,0,4,0.15738469999632798,38,7,2500018,88,10,9,0,22,204.0,16,5676.5181193379485
12,12,11,True,0,11,,1,0,0,random,22.0,528.221150194198,253,1265.0,cross,4253.432652136175,True,True,0,36.0,0,4,0.1045635000045877,32,5,2500019,6,7,6,0,21,234.0,11,5810.432652136178
12,13,11,True,0,11,,2,0,0,random,22.0,512.5536377644422,248,1240.0,bounded,4105.090015408863,True,True,0,39.0,0,4,0.11762209999142215,32,6,2500019,70,7,5,0,21,232.0,11,5638.090015408865
0,12,11,True,0,11,,1,0,0,random,22.0,534.7523982582588,255,1275.0,cross22,4314.276380840847,True,True,0,36.0,0,4,0.08932320002350025,33,5,2500019,21,7,6,0,22,235.0,11,5882.276380840847
0,18,15,True,0,15,,3,0,0,random,30.0,440.6802117197637,239,1195.0,cross,5108.203175796456,True,True,0,54.0,0,4,0.1269802000024356,36,10,2500020,64,8,5,0,21,223.0,15,6610.203175796455
0,18,15,True,0,15,,3,0,0,random,30.0,440.6802117197637,239,1195.0,bounded,5108.203175796456,True,True,0,54.0,0,4,0.12746859999606386,36,10,2500020,64,8,5,0,21,223.0,15,6610.203175796455
15,17,15,True,0,15,,2,0,0,random,30.0,450.21980653723364,247,1235.0,cross22,5210.297098058505,True,True,0,51.0,1,4,0.1399682000046596,37,6,2500020,78,11,9,0,22,227.0,15,6753.297098058504
68,14,12,True,0,12,,2,0,0,random,24.0,524.8210428662456,290,1450.0,cross,4511.852514394947,True,True,0,42.0,0,4,0.17491099998005666,33,6,2500021,50,8,6,0,21,270.0,12,6297.852514394947
68,14,12,True,0,12,,2,0,0,random,24.0,531.1921096484076,292,1460.0,bounded,4576.305315780891,True,True,0,42.0,0,4,0.1764924000017345,33,5,2500021,52,9,7,0,21,272.0,12,6374.305315780892
26,12,12,True,0,12,,0,0,0,random,24.0,522.913886640533,282,1410.0,cross22,4543.966639686395,True,True,0,36.0,1,4,0.1169643999892287,34,3,2500021,35,9,9,0,22,261.0,12,6274.966639686395
0,14,10,True,0,10,,4,0,0,random,20.0,618.1304133757176,280,1400.0,cross,4456.304133757175,True,True,0,42.0,0,4,0.09426179999718443,31,7,2500022,21,7,3,0,21,263.0,10,6181.304133757176
0,14,10,True,0,10,,4,0,0,random,20.0,618.1304133757176,280,1400.0,bounded,4456.304133757175,True,True,0,42.0,0,4,0.09336900000926107,31,7,2500022,21,7,3,0,21,263.0,10,6181.304133757176
30,12,10,True,0,10,,2,0,0,random,20.0,618.3196357780326,285,1425.0,cross22,4437.196357780326,True,True,0,36.0,0,4,0.11615459999302402,32,4,2500022,25,8,6,0,22,265.0,10,6183.196357780326
15,28,12,True,0,12,,16,1,0,random,24.0,526.6325511265645,274,1370.0,cross,4588.590613518774,True,True,0,84.0,1,4,0.2576394000207074,33,5,2500023,74,8,6,0,21,253.0,12,6319.590613518774
15,28,12,True,0,12,,16,1,0,random,24.0,526.6325511265645,274,1370.0,bounded,4588.590613518774,True,True,0,84.0,1,4,0.25812369998311624,33,5,2500023,74,8,6,0,21,253.0,12,6319.590613518774
11,13,12,True,0,12,,1,0,0,random,24.0,488.633131389777,275,1375.0,cross22,4172.597576677324,True,True,0,39.0,2,4,0.1343979999946896,34,7,2500023,51,6,5,0,22,253.0,12,5863.5975766773245
12,13,12,True,0,12,,1,0,0,random,24.0,466.8362120133852,250,1250.0,cross,4055.0345441606228,True,True,0,39.0,0,4,0.11627100000623614,33,7,2500024,44,6,5,0,21,234.0,12,5602.034544160622
12,13,12,True,0,12,,1,0,0,random,24.0,466.8362120133852,250,1250.0,bounded,4055.0345441606228,True,True,0,39.0,0,4,0.11618569999700412,33,7,2500024,44,6,5,0,21,234.0,12,5602.034544160622
5,13,12,True,0,12,,1,0,0,random,24.0,496.2691910997146,253,1265.0,cross22,4393.230293196573,True,True,0,39.0,1,4,0.11717929999576882,34,6,2500024,45,7,6,0,22,234.0,12,5955.230293196575
14,17,16,True,0,16,,1,0,0,random,32.0,359.12470871449585,187,935.0,cross,4556.995339431932,True,True,0,51.0,0,4,0.14512940001441166,35,5,2500025,46,12,11,0,19,171.0,16,5745.995339431934
14,17,16,True,0,16,,1,0,0,random,32.0,359.12470871449585,187,935.0,bounded,4556.995339431932,True,True,0,51.0,0,4,0.14921909998520277,35,5,2500025,46,12,11,0,19,171.0,16,5745.995339431934
76,16,16,True,0,16,,0,0,0,random,32.0,387.96308260355056,233,1165.0,cross22,4749.409321656809,True,True,0,48.0,0,4,0.1955184999969788,38,7,2500025,109,9,9,0,22,213.0,16,6207.409321656809
39,14,14,True,0,14,,0,0,0,random,28.0,411.47033640600375,214,1070.0,cross,4426.5847096840525,True,True,0,42.0,0,4,0.14800889999605715,35,5,2500026,68,9,9,0,21,194.0,14,5760.5847096840525
39,14,14,True,0,14,,0,0,0,random,28.0,411.47033640600375,214,1070.0,bounded,4426.5847096840525,True,True,0,42.0,0,4,0.15014630000223406,35,5,2500026,68,9,9,0,21,194.0,14,5760.5847096840525
26,16,14,True,0,14,,2,0,0,random,28.0,455.4784594429663,258,1290.0,cross22,4770.6984322015305,True,True,0,48.0,0,4,0.14097189999301918,36,7,2500026,93,9,7,0,22,240.0,14,6376.698432201529
31,14,14,True,0,14,,0,0,0,random,28.0,415.6030219686562,225,1125.0,cross,4416.442307561188,True,True,0,42.0,1,4,0.1599831999919843,35,6,2500027,49,8,8,0,21,207.0,14,5818.442307561187
31,14,14,True,0,14,,0,0,0,random,28.0,415.6030219686562,225,1125.0,bounded,4416.442307561188,True,True,0,42.0,1,4,0.15914319999865256,35,6,2500027,49,8,8,0,21,207.0,14,5818.442307561187
31,15,14,True,0,14,,1,0,0,random,28.0,435.8159457564514,236,1180.0,cross22,4631.42324059032,True,True,0,45.0,0,4,0.16333559999475256,36,5,2500027,64,10,9,0,22,217.0,14,6101.423240590319
38,10,10,True,0,10,,0,0,0,random,20.0,647.9140313256605,317,1585.0,cross,4550.140313256603,True,True,0,30.0,0,4,0.10869619998265989,31,5,2500028,33,5,5,0,21,294.0,10,6479.140313256605
38,10,10,True,0,10,,0,0,0,random,20.0,647.9140313256605,317,1585.0,bounded,4550.140313256603,True,True,0,30.0,0,4,0.10785589998704381,31,5,2500028,33,5,5,0,21,294.0,10,6479.140313256605
