candidate_evaluations,clear,cleared,complete,coverage_checks,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
28,28,15,True,0,15,,13,1,0,random,30.0,401.91068855748534,203,1015.0,oriented,4716.660328362279,True,True,0,84.0,1,4,0.3264441999781411,37,6,2500000,31,9,8,0,22,183.0,15,6028.66032836228
0,16,15,True,0,15,,1,0,0,random,30.0,392.6993384803016,230,1150.0,oriented_cross,4451.490077204526,True,True,0,48.0,0,4,0.1503672000253573,37,5,2500000,52,11,10,0,22,211.0,15,5890.490077204524
38,16,14,True,0,14,,2,0,0,random,28.0,447.65887397256364,246,1230.0,oriented,4737.2242356158895,True,True,0,48.0,0,4,0.18638960001408122,36,11,2500001,41,5,3,0,22,224.0,14,6267.224235615891
7,15,14,True,0,14,,1,0,0,random,28.0,415.0722560706551,219,1095.0,oriented_cross,4442.01158498917,True,True,0,45.0,1,4,0.1707346999901347,36,6,2500001,40,9,8,0,22,201.0,14,5811.011584989172
79,24,14,True,0,14,,10,1,0,random,28.0,444.88828682577326,245,1225.0,oriented,4683.436015560826,True,True,0,72.0,0,4,0.37697439998737536,36,7,2500002,31,7,6,0,22,220.0,14,6228.436015560826
2,15,14,True,0,14,,1,0,0,random,28.0,460.52600326329565,276,1380.0,oriented_cross,4737.364045686139,True,True,0,45.0,1,4,0.15949150000233203,36,5,2500002,97,10,9,0,22,257.0,14,6447.364045686139
100,18,16,True,0,16,,2,0,0,random,32.0,360.425549010875,208,1040.0,oriented,4454.808784173999,True,True,0,54.0,2,4,0.2947060999867972,37,13,2500003,46,5,3,0,21,186.0,16,5766.808784174
18,19,16,True,0,16,,3,0,0,random,32.0,401.3947126242904,205,1025.0,oriented_cross,5122.315401988646,True,True,0,57.0,1,4,0.2193009000038728,38,10,2500003,74,9,6,0,22,186.0,16,6422.315401988646
116,16,16,True,0,16,,0,0,0,random,32.0,363.7270688265779,232,1160.0,oriented,4369.633101225245,True,True,0,48.0,0,4,0.265619699988747,36,10,2500004,12,6,6,0,20,210.0,16,5819.633101225247
0,17,16,True,0,16,,1,0,0,random,32.0,383.28208724659476,224,1120.0,oriented_cross,4723.513395945518,True,True,0,51.0,0,4,0.17996239999774843,38,8,2500004,120,9,8,0,22,206.0,16,6132.513395945516
23,11,11,True,0,11,,0,0,0,random,22.0,551.7157066764322,268,1340.0,oriented,4425.872773440756,True,True,0,33.0,1,4,0.17159979999996722,33,7,2500005,65,4,4,0,22,248.0,11,6068.872773440755
17,13,11,True,0,11,,2,0,0,random,22.0,530.9914168575423,261,1305.0,oriented_cross,4231.9055854329645,True,True,0,39.0,1,4,0.17422780001652427,33,6,2500005,38,7,5,0,22,243.0,11,5840.905585432965
92,17,15,True,0,15,,2,0,0,random,30.0,378.72019234931463,223,1115.0,oriented,4285.802885239718,True,True,0,51.0,2,4,0.2806742000102531,37,7,2500006,82,10,8,0,22,199.0,15,5680.802885239719
0,17,15,True,0,15,,2,0,0,random,30.0,358.2193492803111,196,980.0,oriented_cross,4134.29023920467,True,True,0,51.0,0,4,0.17450709998956881,37,6,2500006,71,11,9,0,22,178.0,15,5373.290239204667
85,19,15,True,0,15,,4,1,0,random,30.0,407.8489140332416,248,1240.0,oriented,4567.7337104986245,True,True,0,57.0,1,4,0.42199360000086017,37,12,2500007,43,3,2,0,22,223.0,15,6117.7337104986245
0,19,15,True,0,15,,4,1,0,random,30.0,414.07175876783367,227,1135.0,oriented_cross,4780.076381517504,True,True,0,57.0,0,4,0.32954479998443276,37,8,2500007,79,7,6,0,22,209.0,15,6211.076381517505
53,11,11,True,0,11,,0,0,0,random,22.0,553.7012103503233,308,1540.0,oriented,4207.713313853556,True,True,0,33.0,0,4,0.16922899999190122,33,7,2500008,21,4,4,0,22,288.0,11,6090.713313853556
14,11,11,True,0,11,,0,0,0,random,22.0,580.7730811607903,320,1600.0,oriented_cross,4432.503892768695,True,True,0,33.0,0,4,0.11848640002426691,33,7,2500008,40,4,4,0,22,301.0,11,6388.503892768694
50,12,11,True,0,11,,1,1,0,random,22.0,604.5560618244796,310,1550.0,oriented,4757.1166800692745,True,True,0,36.0,2,4,0.2428045000124257,33,5,2500009,21,5,5,0,22,285.0,11,6650.116680069275
0,13,11,True,0,11,,2,1,0,random,22.0,603.1022944235594,318,1590.0,oriented_cross,4685.125238659154,True,True,0,39.0,0,4,0.17354199997498654,33,4,2500009,52,7,6,0,22,298.0,11,6634.125238659154
47,15,11,True,0,11,,4,1,0,random,22.0,577.1444049166607,278,1390.0,oriented,4638.588454083267,True,True,0,45.0,1,4,0.3438278999819886,33,4,2500010,26,6,6,0,22,253.0,11,6348.588454083268
0,13,11,True,0,11,,2,0,0,random,22.0,548.5528494768581,262,1310.0,oriented_cross,4420.081344245439,True,True,0,39.0,0,4,0.11715199999161996,33,4,2500010,33,9,7,0,22,243.0,11,6034.081344245439
104,10,10,True,0,10,,0,0,0,random,20.0,634.7174270951364,322,1610.0,oriented,4390.174270951364,True,True,0,30.0,0,4,0.2097696000128053,32,7,2500011,32,3,3,0,22,297.0,10,6347.174270951364
0,11,10,True,0,10,,1,0,0,random,20.0,623.8832372058267,306,1530.0,oriented_cross,4367.8323720582675,True,True,0,33.0,0,4,0.11006750000524335,32,5,2500011,33,6,5,0,22,288.0,10,6238.8323720582675
106,39,12,True,0,12,,27,3,0,random,24.0,545.3313322751685,273,1365.0,oriented,4794.97598730203,True,True,0,117.0,1,4,0.6037102999980561,34,7,2500012,33,2,2,0,22,243.0,12,6543.975987302022
51,12,12,True,0,12,,0,0,0,random,24.0,575.0030606159306,330,1650.0,oriented_cross,4881.036727391168,True,True,0,36.0,0,4,0.16384989998186938,34,6,2500012,51,6,6,0,22,309.0,12,6900.036727391167
26,13,13,True,0,13,,0,0,0,random,26.0,472.55640151932374,262,1310.0,oriented,4527.233219751208,True,True,0,39.0,0,4,0.1641265999933239,35,6,2500013,89,7,7,0,22,241.0,13,6143.233219751209
0,14,13,True,0,13,,1,0,0,random,26.0,562.123627914161,282,1410.0,oriented_cross,5568.607162884093,True,True,0,42.0,0,4,0.1345048999937717,35,6,2500013,40,8,7,0,22,261.0,13,7307.607162884093
85,18,15,True,0,15,,3,0,0,random,30.0,402.32446307394616,250,1250.0,oriented,4469.866946109191,True,True,0,54.0,2,4,0.2644053999974858,37,11,2500014,50,7,4,0,22,231.0,15,6034.866946109192
37,17,15,True,0,15,,2,0,0,random,30.0,389.3635431707232,220,1100.0,oriented_cross,4457.453147560846,True,True,0,51.0,0,4,0.18943579998449422,37,6,2500014,86,11,9,0,22,202.0,15,5840.453147560847
95,52,15,True,0,15,,37,2,0,random,30.0,486.5812351652432,247,1235.0,oriented,5659.718527478649,True,True,0,156.0,1,4,0.5320725999772549,37,10,2500015,13,3,3,0,22,218.0,15,7298.718527478648
58,15,15,True,0,15,,0,0,0,random,30.0,447.3789697589007,266,1330.0,oriented_cross,5060.6845463835125,True,True,0,45.0,1,4,0.22628410000470467,37,11,2500015,73,4,4,0,22,245.0,15,6710.684546383511
47,25,13,True,0,13,,12,1,0,random,26.0,458.82332303106074,269,1345.0,oriented,4269.703199403788,True,True,0,75.0,1,4,0.345923099986976,35,8,2500016,56,8,4,0,22,249.0,13,5964.70319940379
15,13,13,True,0,13,,0,0,0,random,26.0,473.92058366154185,269,1345.0,oriented_cross,4501.967587600042,True,True,0,39.0,0,4,0.1526733999780845,35,6,2500016,60,7,7,0,22,249.0,13,6160.967587600044
109,22,12,True,0,12,,10,1,0,random,24.0,514.1565983898814,256,1280.0,oriented,4567.879180678579,True,True,0,66.0,0,4,0.37268780000158586,34,7,2500017,8,5,4,0,22,232.0,12,6169.8791806785775
27,15,12,True,0,12,,3,0,0,random,24.0,508.62439576532125,296,1480.0,oriented_cross,4274.492749183854,True,True,0,45.0,0,4,0.173246200021822,34,6,2500017,90,9,6,0,22,280.0,12,6103.492749183855
42,93,16,True,0,16,,77,1,0,random,32.0,403.32731938839737,257,1285.0,oriented,4618.237110214324,True,True,0,279.0,0,4,0.2532004000095185,37,10,2500018,14,7,5,0,21,239.0,16,6453.237110214358
28,16,16,True,0,16,,0,0,0,random,32.0,360.58803776656674,218,1090.0,oriented_cross,4398.408604265069,True,True,0,48.0,0,4,0.1702880999946501,38,6,2500018,96,10,10,0,22,201.0,16,5769.408604265068
7,16,11,True,0,11,,5,1,0,random,22.0,554.2697904834066,270,1350.0,oriented,4428.967695317471,True,True,0,48.0,1,4,0.2986751999997068,33,3,2500019,16,7,7,0,22,248.0,11,6096.967695317472
7,11,11,True,0,11,,0,0,0,random,22.0,530.5888201816734,254,1270.0,oriented_cross,4278.4770219984075,True,True,0,33.0,1,4,0.1461010999919381,33,2,2500019,20,9,9,0,22,233.0,11,5836.4770219984075
44,17,15,True,0,15,,2,1,0,random,30.0,418.49714040920367,300,1500.0,oriented,4416.457106138056,True,True,0,51.0,2,4,0.24582989999908023,37,7,2500020,17,8,7,0,22,280.0,15,6277.457106138055
27,17,15,True,0,15,,2,1,0,random,30.0,442.32704577839337,225,1125.0,oriented_cross,5224.905686675901,True,True,0,51.0,1,4,0.23382819999824278,37,8,2500020,44,7,6,0,22,204.0,15,6634.9056866759
26,13,12,True,0,12,,1,0,0,random,24.0,557.9648636156478,304,1520.0,oriented,4826.578363387774,True,True,0,39.0,2,4,0.18507739997585304,34,6,2500021,62,7,6,0,22,286.0,12,6695.578363387774
