candidate_evaluations,clear,cleared,complete,coverage_checks,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
70,39,15,True,0,15,,24,2,0,random,30.0,419.1067982580044,204,1020.0,compact21,4939.601973870062,True,True,0,117.0,1,4,0.48977169999852777,36,7,2500000,46,7,6,0,21,180.0,15,6286.601973870066
70,39,15,True,10,15,,24,2,0,random,30.0,419.1067982580044,204,1020.0,compact21_merge,4939.601973870062,True,True,0,117.0,1,4,0.9978344999835826,36,7,2500000,46,7,6,0,21,180.0,15,6286.601973870066
61,15,15,True,5,15,,0,0,0,random,30.0,414.2132485679977,236,1180.0,tight_merge,4747.198728519967,True,True,0,45.0,1,4,0.5118281000177376,37,7,2500000,71,8,8,0,22,211.0,15,6213.198728519966
90,14,14,True,0,14,,0,0,0,random,28.0,441.4803229355152,292,1460.0,compact21,4382.7245210972105,True,True,0,42.0,1,4,0.2300824999983888,35,11,2500001,28,3,3,0,21,268.0,14,6180.724521097212
90,14,14,True,4,14,,0,0,0,random,28.0,441.4803229355152,292,1460.0,compact21_merge,4382.7245210972105,True,True,0,42.0,1,4,0.4379590000025928,35,11,2500001,28,3,3,0,21,268.0,14,6180.724521097212
39,14,14,True,5,14,,0,0,0,random,28.0,448.3487035577021,242,1210.0,tight_merge,4778.881849807829,True,True,0,42.0,0,4,0.40634190000128,36,8,2500001,41,6,6,0,22,218.0,14,6276.881849807829
149,48,14,True,0,14,,34,1,0,random,28.0,469.7339073951853,232,1160.0,compact21,5037.274703532593,True,True,0,144.0,1,4,0.41270190000068396,35,8,2500002,32,6,5,0,21,207.0,14,6576.274703532595
149,48,14,True,7,14,,34,1,0,random,28.0,469.7339073951853,232,1160.0,compact21_merge,5037.274703532593,True,True,0,144.0,1,4,0.7639044999959879,35,8,2500002,32,6,5,0,21,207.0,14,6576.274703532595
77,60,14,True,2,14,,46,2,0,random,28.0,483.8215249819605,296,1480.0,tight_merge,4815.501349747448,True,True,0,180.0,1,4,0.6154640000022482,36,8,2500002,21,4,4,0,22,270.0,14,6773.501349747447
108,23,16,True,0,16,,7,2,0,random,32.0,369.5212368134898,218,1090.0,compact21,4527.339789015835,True,True,0,69.0,1,4,0.3943608999834396,36,10,2500003,35,6,4,0,20,194.0,16,5912.339789015837
108,23,16,True,7,16,,7,2,0,random,32.0,369.5212368134898,218,1090.0,compact21_merge,4527.339789015835,True,True,0,69.0,1,4,0.6814766000024974,36,10,2500003,35,6,4,0,20,194.0,16,5912.339789015837
39,17,16,True,6,16,,1,0,0,random,32.0,340.3222587610299,205,1025.0,tight_merge,4150.156140176479,True,True,0,51.0,0,4,0.5086887000070419,36,11,2500003,69,6,5,0,20,187.0,16,5445.156140176478
69,76,16,True,0,16,,60,2,0,random,32.0,360.2081176809559,208,1040.0,compact21,4274.329882895293,True,True,0,228.0,0,4,0.4184989999921527,34,7,2500004,26,7,7,0,18,189.0,16,5763.329882895295
69,76,16,True,8,16,,60,2,0,random,32.0,360.2081176809559,208,1040.0,compact21_merge,4274.329882895293,True,True,0,228.0,0,4,0.8410640000074636,34,7,2500004,26,7,7,0,18,189.0,16,5763.329882895295
66,29,16,True,6,16,,13,1,0,random,32.0,404.02606293718657,238,1190.0,tight_merge,4942.417006994985,True,True,0,87.0,0,4,0.5904089999967255,37,9,2500004,70,7,6,0,21,213.0,16,6464.417006994985
27,11,11,True,0,11,,0,0,0,random,22.0,546.0660775592731,279,1395.0,compact21,4296.726853152004,True,True,0,33.0,0,4,0.129853299993556,32,6,2500005,32,5,5,0,21,260.0,11,6006.726853152005
27,11,11,True,5,11,,0,0,0,random,22.0,546.0660775592731,279,1395.0,compact21_merge,4296.726853152004,True,True,0,33.0,0,4,0.3564699999988079,32,6,2500005,32,5,5,0,21,260.0,11,6006.726853152005
13,13,11,True,2,11,,2,0,0,random,22.0,509.60808743663205,253,1265.0,tight_merge,4046.688961802953,True,True,0,39.0,0,4,0.17488730000331998,33,7,2500005,45,6,4,1,22,233.0,11,5605.688961802953
45,16,15,True,0,15,,1,0,0,random,30.0,379.7573571880425,216,1080.0,compact21,4344.360357820639,True,True,0,48.0,1,4,0.20640049999929033,36,10,2500006,113,6,5,0,21,194.0,15,5696.360357820638
45,16,15,True,8,15,,1,0,0,random,30.0,379.7573571880425,216,1080.0,compact21_merge,4344.360357820639,True,True,0,48.0,1,4,0.5522288999927696,36,10,2500006,113,6,5,0,21,194.0,15,5696.360357820638
126,15,15,True,8,15,,0,0,0,random,30.0,403.5925648702569,222,1110.0,tight_merge,4671.888473053854,True,True,0,45.0,1,4,0.5698902999865822,37,8,2500006,44,7,7,0,22,197.0,15,6053.888473053854
61,51,15,True,0,15,,36,1,0,random,30.0,405.1040449710716,226,1130.0,compact21,4558.5606745660725,True,True,0,153.0,1,4,0.375611099996604,36,9,2500007,31,5,5,0,21,205.0,15,6076.560674566073
61,51,15,True,7,15,,36,1,0,random,30.0,405.1040449710716,226,1130.0,compact21_merge,4558.5606745660725,True,True,0,153.0,1,4,0.6828886000148486,36,9,2500007,31,5,5,0,21,205.0,15,6076.560674566073
95,52,15,True,8,15,,37,1,0,random,30.0,435.71816075868014,246,1230.0,tight_merge,4901.7724113802005,True,True,0,156.0,1,4,0.7616670999850612,37,9,2500007,58,6,5,1,22,218.0,15,6535.772411380202
0,11,11,True,0,11,,0,0,0,random,22.0,582.350027124654,296,1480.0,compact21,4596.850298371195,True,True,0,33.0,0,4,0.09640260000014678,32,7,2500008,17,4,4,0,21,274.0,11,6405.850298371195
0,11,11,True,5,11,,0,0,0,random,22.0,582.350027124654,296,1480.0,compact21_merge,4596.850298371195,True,True,0,33.0,0,4,0.3626562000135891,32,7,2500008,17,4,4,0,21,274.0,11,6405.850298371195
13,20,11,True,3,11,,9,2,0,random,22.0,587.7508034546092,322,1610.0,tight_merge,4473.258838000702,True,True,0,60.0,0,4,0.5913850000069942,33,7,2500008,29,4,2,0,22,300.0,11,6465.258838000702
65,20,11,True,0,11,,9,2,0,random,22.0,575.6593980771294,279,1395.0,compact21,4602.2533788484225,True,True,0,60.0,0,4,0.2790540999849327,32,5,2500009,23,4,4,0,21,253.0,11,6332.253378848423
65,20,11,True,4,11,,9,2,0,random,22.0,575.6593980771294,279,1395.0,compact21_merge,4602.2533788484225,True,True,0,60.0,0,4,0.4849153000104707,32,5,2500009,23,4,4,0,21,253.0,11,6332.253378848423
75,11,11,True,2,11,,0,0,0,random,22.0,559.2836553956225,283,1415.0,tight_merge,4421.120209351848,True,True,0,33.0,1,4,0.30239339999388903,33,10,2500009,30,1,1,0,22,261.0,11,6152.120209351848
0,25,11,True,0,11,,14,2,0,random,22.0,533.4781340749443,246,1230.0,compact21,4316.259474824386,True,True,0,75.0,0,4,0.40149670001119375,32,3,2500010,31,6,6,0,21,225.0,11,5868.259474824386
0,25,11,True,4,11,,14,2,0,random,22.0,533.4781340749443,246,1230.0,compact21_merge,4316.259474824386,True,True,0,75.0,0,4,0.6063859999994747,32,3,2500010,31,6,6,0,21,225.0,11,5868.259474824386
26,31,11,True,4,11,,20,2,0,random,22.0,562.2457302140241,277,1385.0,tight_merge,4431.703032354264,True,True,0,93.0,0,4,0.5544999999983702,33,4,2500010,35,6,5,0,22,253.0,11,6184.703032354265
41,11,10,True,0,10,,1,0,0,random,20.0,607.3300484769975,315,1575.0,compact21,4147.300484769978,True,True,0,33.0,0,4,0.13506900001084432,31,6,2500011,40,5,4,0,21,298.0,10,6073.300484769975
41,11,10,True,4,10,,1,0,0,random,20.0,607.3300484769975,315,1575.0,compact21_merge,4147.300484769978,True,True,0,33.0,0,4,0.3037829000095371,31,6,2500011,40,5,4,0,21,298.0,10,6073.300484769975
93,10,10,True,4,10,,0,0,0,random,20.0,643.6608783342253,297,1485.0,tight_merge,4628.608783342253,True,True,0,30.0,2,4,0.40206880000187084,32,8,2500011,21,2,2,0,22,273.0,10,6436.608783342253
