kind,seed,layout,ok,error,mean_time_s,normal_exit,cleared,total,measure,clear,failed_clear,fallback
ten,2700000,radial,True,,691.2440344018621,True,10,10,357,20,10,1
ten,2700000,rings,True,,677.9759655490844,True,10,10,327,25,15,2
ten,2700001,radial,True,,708.8181326875696,True,10,10,403,42,32,2
ten,2700001,rings,True,,636.96695568867,True,10,10,360,10,0,0
ten,2700002,radial,True,,703.6341925893714,True,10,10,378,12,2,1
ten,2700002,rings,True,,715.9749790020508,True,10,10,370,41,31,1
ten,2700003,radial,True,,670.8642703321327,True,10,10,412,10,0,0
ten,2700003,rings,True,,694.7059234780179,True,10,10,375,10,0,0
ten,2700004,radial,True,,705.4021609428398,True,10,10,387,63,53,2
ten,2700004,rings,True,,758.950402918087,True,10,10,333,99,89,2
ten,2700005,radial,True,,654.7752414388531,True,10,10,371,11,1,0
ten,2700005,rings,True,,673.9028527443791,True,10,10,316,19,9,1
ten,2700006,radial,True,,687.3772241603433,True,10,10,368,15,5,2
ten,2700006,rings,True,,653.9744545417321,True,10,10,327,10,0,0
ten,2700007,radial,True,,701.2609106179282,True,10,10,393,24,14,1
ten,2700007,rings,True,,707.7412228622486,True,10,10,357,47,37,6
ten,2700008,radial,True,,670.8741857058318,True,10,10,375,10,0,0
ten,2700008,rings,True,,690.1880593173757,True,10,10,348,41,31,2
ten,2700009,radial,True,,662.4477129659173,True,10,10,362,14,4,2
ten,2700009,rings,True,,672.1075856345676,True,10,10,324,25,15,3
sixteen,2700000,radial,True,,393.1514022138739,True,16,16,232,54,38,3
sixteen,2700000,rings,True,,442.31894509530383,True,16,16,219,133,117,3
sixteen,2700001,radial,True,,417.2061465636241,True,16,16,305,16,0,1
sixteen,2700001,rings,True,,492.20412778973156,True,16,16,335,71,55,2
sixteen,2700002,radial,True,,467.16306895645124,True,16,16,340,22,6,3
sixteen,2700002,rings,True,,455.7960504268529,True,16,16,314,24,8,3
sixteen,2700003,radial,True,,395.702029707929,True,16,16,284,19,3,1
sixteen,2700003,rings,True,,371.95778239446565,True,16,16,236,18,2,1
sixteen,2700004,radial,True,,457.36213354203494,True,16,16,336,50,34,5
sixteen,2700004,rings,True,,459.5216288599828,True,16,16,313,73,57,4
sixteen,2700005,radial,True,,454.8812543541614,True,16,16,304,57,41,1
sixteen,2700005,rings,True,,426.080635674877,True,16,16,301,58,42,1
sixteen,2700006,radial,True,,458.2821934141809,True,16,16,323,66,50,3
sixteen,2700006,rings,True,,405.4367105441439,True,16,16,265,25,9,1
sixteen,2700007,radial,True,,419.3866692197257,True,16,16,350,16,0,0
sixteen,2700007,rings,True,,532.3559595283238,True,16,16,300,148,132,6
sixteen,2700008,radial,True,,457.9181444025141,True,16,16,317,49,33,2
sixteen,2700008,rings,True,,407.26439640670185,True,16,16,238,30,14,2
