candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s
70,63,16,True,3,16,1,47,3,0,32.0,428.76252986281764,238,1190.0,5236.200477805083,0,189.0,1,4,0.783475099990028,0,0,0,38,8,1900011,40,5,5,22,213.0,6860.200477805082
113,19,16,True,5,16,1,3,1,0,32.0,388.0157221061475,280,1400.0,4464.251553698359,0,57.0,3,4,0.44324710000364576,0,0,0,36,9,1900112,62,6,6,20,255.0,6208.25155369836
52,11,10,True,0,10,0,1,0,0,20.0,632.0167677933705,324,1620.0,4349.167677933703,0,33.0,0,4,0.17917029999080114,0,0,0,35,7,1910000,35,4,3,25,298.0,6320.167677933705
67,17,15,True,0,15,0,2,0,0,30.0,425.9345834272998,279,1395.0,4661.018751409497,0,51.0,0,4,0.261041000005207,0,0,0,40,11,1910001,37,6,4,25,252.0,6389.018751409497
59,16,16,True,13,16,1,0,0,0,32.0,252.14103428953558,163,815.0,2996.256548632569,0,48.0,1,4,0.2520288999949116,0,0,0,28,10,1910002,24,6,6,12,143.0,4034.2565486325693
67,15,10,True,0,10,0,5,1,0,20.0,695.7434535046361,379,1895.0,4645.434535046363,0,45.0,0,4,0.29588930000318214,0,0,0,35,6,1910003,2,4,3,25,352.0,6957.434535046362
106,12,10,True,0,10,0,2,0,0,20.0,644.3092990609225,318,1590.0,4508.092990609224,0,36.0,1,4,0.2554574999958277,0,0,0,35,7,1910004,23,5,3,25,289.0,6443.092990609225
53,15,14,True,0,14,0,1,0,0,28.0,432.9794910634593,260,1300.0,4452.71287488843,0,45.0,0,4,0.23600119999900926,0,0,0,39,11,1910005,26,4,3,25,236.0,6061.712874888431
73,26,13,True,0,13,0,13,1,0,26.0,518.5758613156364,320,1600.0,4744.486197103272,0,78.0,0,4,0.4458634000038728,0,0,0,38,8,1910006,23,6,4,25,293.0,6741.486197103273
58,16,16,True,4,16,1,0,0,0,32.0,356.8849852683569,274,1370.0,4011.1597642937113,0,48.0,1,4,0.28054390000761487,0,0,0,37,7,1910007,69,9,9,21,249.0,5710.15976429371
