arm,candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
baseline,70,63,16,True,0,16,47,3,0,32.0,0.0,445.93609158554926,251,1255.0,5434.977465368789,True,0,189.0,16,1,4,0.6412811000045622,0,0,0,41,8,1900011,42,5,5,25,224.0,7134.977465368788,0.6578976999880979
stepskip,42,64,16,True,0,16,48,3,0,32.0,0.0,448.025056794728,296,1480.0,5191.400908715649,True,0,192.0,16,0,4,0.6227375000016764,3,31,21,60,7,1900011,95,7,6,25,273.0,7168.400908715648,0.6393105000024661
baseline,109,19,16,True,0,16,3,1,0,32.0,0.0,391.01705775566455,283,1415.0,4493.272924090632,True,0,57.0,16,2,4,0.3393159999977797,0,0,0,37,9,1900112,63,6,6,21,259.0,6256.272924090633,0.3555342000036035
stepskip,69,17,16,True,0,16,1,0,0,32.0,0.0,350.4424539878176,215,1075.0,4258.0792638050825,True,0,51.0,16,2,4,0.27212259999942034,0,35,28,66,7,1900112,97,10,9,22,191.0,5607.079263805082,0.2884000000049127
baseline,52,11,10,True,0,10,1,0,0,20.0,0.0,632.0167677933705,324,1620.0,4349.167677933703,True,0,33.0,10,0,4,0.14246010000351816,0,0,0,35,7,1910000,35,4,3,25,298.0,6320.167677933705,0.15928609999537002
stepskip,39,10,10,True,0,10,0,0,0,20.0,0.0,622.7193970276855,315,1575.0,4307.193970276854,True,0,30.0,10,0,4,0.14739849999023136,0,22,16,51,6,1910000,50,4,4,25,295.0,6227.193970276855,0.1638529999909224
baseline,67,17,15,True,0,15,2,0,0,30.0,9.094947017729282e-13,425.9345834272998,279,1395.0,4661.018751409497,True,0,51.0,15,0,4,0.21692350000375882,0,0,0,40,11,1910001,37,6,4,25,252.0,6389.018751409497,0.23377459999755956
stepskip,64,16,15,True,0,15,1,0,0,30.0,0.0,384.4571480053486,196,980.0,4536.857220080229,True,0,48.0,15,0,4,0.2559717999974964,0,36,26,66,10,1910001,133,6,5,25,172.0,5766.857220080229,0.2742872999951942
baseline,59,16,16,True,0,16,0,0,0,32.0,1.1368683772161603e-13,262.2735284263245,171,855.0,3111.3764548211916,True,0,48.0,16,1,4,0.2085083999991184,0,0,0,30,10,1910002,28,6,6,14,150.0,4196.376454821192,0.22559060000639874
stepskip,36,29,16,True,0,16,13,1,0,32.0,5.684341886080802e-14,384.7571832306448,220,1100.0,4741.114931690313,True,0,87.0,16,1,4,0.34365800001251046,1,32,22,59,9,1910002,95,6,6,25,196.0,6156.114931690317,0.36076609999872744
