arm,candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
step,68,47,16,True,0,16,31,1,0,32.0,0.0,466.00503101884203,331,1655.0,5324.080496301469,True,0,141.0,16,1,4,0.3901237000100082,1,30,18,56,11,1900011,40,5,4,25,304.0,7456.0804963014725,0.4067697000136832
step,66,19,16,True,0,16,3,1,0,32.0,9.094947017729282e-13,388.64082496606386,279,1395.0,4474.253199457022,True,0,57.0,16,0,4,0.30131849998724647,1,17,12,49,4,1900112,63,11,11,21,260.0,6218.253199457022,0.3181881000055
step,25,11,10,True,0,10,1,0,0,20.0,0.0,627.3003565950709,322,1610.0,4310.0035659507075,True,0,33.0,10,0,4,0.12521030000061728,0,15,9,44,6,1910000,36,5,4,25,300.0,6273.003565950708,0.141374500002712
step,62,15,15,True,0,15,0,0,0,30.0,0.0,398.21963514976716,236,1180.0,4507.294527246508,True,0,45.0,15,0,4,0.2289438000007067,0,20,13,53,7,1910001,75,8,8,25,211.0,5973.294527246508,0.245010500002536
step,52,16,16,True,0,16,0,0,0,32.0,1.1368683772161603e-13,261.8636135960705,170,850.0,3109.817817537127,True,0,48.0,16,0,4,0.19594900000083726,0,21,12,42,9,1910002,28,7,7,14,150.0,4189.817817537128,0.21323090000078082
step,13,15,10,True,0,10,5,1,0,20.0,0.0,681.6056808957745,376,1880.0,4519.056808957747,True,0,45.0,10,0,4,0.1967280000098981,1,11,6,41,4,1910003,2,6,5,25,352.0,6816.0568089577455,0.21350990000064485
step,60,16,10,True,0,10,6,1,0,20.0,0.0,647.4120123874848,345,1725.0,4363.120123874847,True,0,48.0,10,0,4,0.31624610000289977,1,15,9,44,5,1910004,26,6,4,25,318.0,6474.120123874848,0.33294049999676645
step,48,16,14,True,0,14,2,0,0,28.0,0.0,456.4177799888906,321,1605.0,4409.848919844468,True,0,48.0,14,0,4,0.1793967999983579,0,17,11,45,6,1910005,78,10,8,25,299.0,6389.848919844468,0.1975148000055924
step,59,27,13,True,0,13,14,1,0,26.0,0.0,514.9077643488989,322,1610.0,4681.800936535683,True,0,81.0,13,0,4,0.37563589999626856,1,20,12,47,7,1910006,22,8,5,25,295.0,6693.800936535687,0.39236650000384543
step,39,16,16,True,0,16,0,0,0,32.0,0.0,382.5657241810851,292,1460.0,4315.051586897362,True,0,48.0,16,0,4,0.2059702999977162,0,13,7,47,6,1910007,72,10,10,25,266.0,6121.051586897362,0.22276389999024104
