arm,candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
step,52,16,16,True,0,16,0,0,0,32.0,1.1368683772161603e-13,261.8636135960705,170,850.0,3109.817817537127,True,0,48.0,16,0,4,0.1990598999982467,0,21,12,42,9,1910002,28,7,7,14,150.0,4189.817817537128,0.21558679999725427
step,60,16,10,True,0,10,6,1,0,20.0,0.0,647.4120123874848,345,1725.0,4363.120123874847,True,0,48.0,10,0,4,0.31478230000357144,1,15,9,44,5,1910004,26,6,4,25,318.0,6474.120123874848,0.3310949000006076
step,13,39,15,True,0,15,24,1,0,30.0,0.0,422.7671149915161,224,1120.0,4871.506724872751,True,0,117.0,15,0,4,0.32602950000728015,1,13,7,47,5,1910011,140,12,9,25,203.0,6341.506724872742,0.3427928000019165
step,23,21,15,True,0,15,6,1,0,30.0,0.0,404.74682233876626,258,1290.0,4453.2023350814925,True,0,63.0,15,0,4,0.20520959999703337,1,28,17,55,10,1910012,93,10,4,25,235.0,6071.202335081494,0.22216740000294521
step,11,11,10,True,0,10,1,0,0,20.0,4.547473508864641e-13,602.6902716191096,340,1700.0,3957.9027161910963,True,0,33.0,10,1,4,0.13442220000433736,0,7,4,39,3,1910016,43,8,7,25,316.0,6026.902716191096,0.1515069000015501
step,42,16,15,True,0,15,1,0,0,30.0,4.547473508864641e-13,389.90739522921945,293,1465.0,4032.61092843829,True,0,48.0,15,0,4,0.20001059999049176,0,19,10,50,9,1910020,50,7,6,25,273.0,5848.610928438292,0.21658789999492
step,84,18,12,True,0,12,6,1,0,24.0,0.0,502.33549610041496,303,1515.0,4155.025953204982,True,0,54.0,12,0,4,0.25547720000031404,1,14,8,45,5,1910033,70,7,6,25,280.0,6028.0259532049795,0.27273659998900257
step,0,15,15,True,0,15,0,0,0,30.0,0.0,407.9904706815853,271,1355.0,4436.857060223779,True,0,45.0,15,0,4,0.142759099995601,0,10,5,44,5,1910046,70,10,10,25,253.0,6119.85706022378,0.15961989999050274
step,48,17,16,True,0,16,1,0,0,32.0,1.1368683772161603e-13,346.36829147307566,218,1090.0,4169.89266356921,True,0,51.0,16,1,4,0.23919270001351833,0,16,10,50,6,1910051,70,11,10,24,199.0,5541.8926635692105,0.2559832999977516
step,68,47,16,True,0,16,31,1,0,32.0,0.0,466.00503101884203,331,1655.0,5324.080496301469,True,0,141.0,16,1,4,0.3754098000063095,1,30,18,56,11,1900011,40,5,4,25,304.0,7456.0804963014725,0.3919212000037078
step,66,19,16,True,0,16,3,1,0,32.0,9.094947017729282e-13,388.64082496606386,279,1395.0,4474.253199457022,True,0,57.0,16,0,4,0.3036610999988625,1,17,12,49,4,1900112,63,11,11,21,260.0,6218.253199457022,0.32128229999216273
