absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
0,step,65,0,47,16,True,1,16,1,0,31,1,0,32.0,0.0,460.8616162101151,327,1635.0,5264.7858593618375,True,0,141.0,16,1,4,0.404264000011608,1,31,19,55,11,1900011,40,5,4,24,301.0,7373.785859361841,0.4216807000047993
0,step,105,0,19,16,True,5,16,1,0,3,1,0,32.0,0.0,390.3697697717306,278,1390.0,4511.9163163476915,True,0,57.0,16,0,4,0.35794639999221545,1,20,14,38,5,1900112,62,10,10,20,255.0,6245.91631634769,0.3782822999928612
0,step,25,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,627.3003565950709,322,1610.0,4310.0035659507075,True,0,33.0,10,0,4,0.1487390999973286,0,15,9,44,6,1910000,36,5,4,25,300.0,6273.003565950708,0.16561360000923742
0,step,62,0,15,15,True,0,15,0,0,0,0,0,30.0,0.0,398.21963514976716,236,1180.0,4507.294527246508,True,0,45.0,15,0,4,0.2557691999973031,0,20,13,53,7,1910001,75,8,8,25,211.0,5973.294527246508,0.2745965999929467
0,step,52,0,16,16,True,13,16,1,0,0,0,0,32.0,1.1368683772161603e-13,251.73111945928153,162,810.0,2994.6979113485045,True,0,48.0,16,0,4,0.18963280000025406,0,21,12,28,9,1910002,24,7,7,12,143.0,4027.6979113485045,0.20730309998907614
0,step,13,0,15,10,True,0,10,0,0,5,1,0,20.0,0.0,681.6056808957745,376,1880.0,4519.056808957747,True,0,45.0,10,0,4,0.21657950000371784,1,11,6,41,4,1910003,2,6,5,25,352.0,6816.0568089577455,0.23417140000674408
0,step,60,0,16,10,True,0,10,0,0,6,1,0,20.0,0.0,647.4120123874848,345,1725.0,4363.120123874847,True,0,48.0,10,0,4,0.3649578000040492,1,15,9,44,5,1910004,26,6,4,25,318.0,6474.120123874848,0.38507530000060797
0,step,48,0,16,14,True,0,14,0,0,2,0,0,28.0,0.0,456.4177799888906,321,1605.0,4409.848919844468,True,0,48.0,14,0,4,0.20660380000481382,0,17,11,45,6,1910005,78,10,8,25,299.0,6389.848919844468,0.22432740000658669
0,step,59,0,27,13,True,0,13,0,0,14,1,0,26.0,0.0,514.9077643488989,322,1610.0,4681.800936535683,True,0,81.0,13,0,4,0.4284734999964712,1,20,12,47,7,1910006,22,8,5,25,295.0,6693.800936535687,0.4474352999968687
0,step,39,0,16,16,True,4,16,1,0,0,0,0,32.0,0.0,357.6861075710661,273,1365.0,4027.9777211370574,True,0,48.0,16,0,4,0.24798969998664688,0,13,9,38,4,1910007,69,12,12,21,250.0,5722.977721137057,0.2657872999989195
