absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
0,step1,65,0,47,16,True,1,16,1,0,31,1,0,32.0,0.0,460.8616162101151,327,1635.0,5264.7858593618375,True,0,141.0,16,1,4,0.3978337000007741,11,1,31,13,51,11,1900011,40,5,4,24,301.0,7373.785859361841,0.4146182999975281
0,step2,65,0,47,16,True,1,16,1,0,31,1,0,32.0,0.0,460.8616162101151,327,1635.0,5264.7858593618375,True,0,141.0,16,1,4,0.3974493999994593,5,1,31,18,55,11,1900011,40,5,4,24,301.0,7373.785859361841,0.4148756000067806
0,step1,105,0,19,16,True,5,16,1,0,3,1,0,32.0,0.0,390.3697697717306,278,1390.0,4511.9163163476915,True,0,57.0,16,0,4,0.3473625000042375,5,1,20,9,36,5,1900112,62,10,10,20,255.0,6245.91631634769,0.36419459999888204
0,step2,105,0,19,16,True,5,16,1,0,3,1,0,32.0,0.0,390.3697697717306,278,1390.0,4511.9163163476915,True,0,57.0,16,0,4,0.3532489000062924,4,1,20,13,38,5,1900112,62,10,10,20,255.0,6245.91631634769,0.3730900999944424
0,step1,39,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,627.1185075702106,322,1610.0,4310.185075702104,True,0,33.0,10,0,4,0.1491130000067642,6,0,17,6,41,7,1910000,35,4,3,25,298.0,6271.185075702106,0.1665184000012232
0,step2,25,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,627.3003565950709,322,1610.0,4310.0035659507075,True,0,33.0,10,0,4,0.13529819999530446,2,0,15,9,44,6,1910000,36,5,4,25,300.0,6273.003565950708,0.15247329999692738
0,step1,62,0,15,15,True,0,15,0,0,0,0,0,30.0,0.0,398.21963514976716,236,1180.0,4507.294527246508,True,0,45.0,15,0,4,0.2368006000033347,6,0,20,9,49,7,1910001,75,8,8,25,211.0,5973.294527246508,0.2544736000127159
0,step2,62,0,15,15,True,0,15,0,0,0,0,0,30.0,0.0,398.21963514976716,236,1180.0,4507.294527246508,True,0,45.0,15,0,4,0.23774969999794848,4,0,20,13,53,7,1910001,75,8,8,25,211.0,5973.294527246508,0.2581090000021504
0,step1,52,0,16,16,True,13,16,1,0,0,0,0,32.0,1.1368683772161603e-13,251.73111945928153,162,810.0,2994.6979113485045,True,0,48.0,16,0,4,0.19303080000099726,7,0,21,8,28,9,1910002,24,7,7,12,143.0,4027.6979113485045,0.2121441000053892
0,step2,52,0,16,16,True,13,16,1,0,0,0,0,32.0,1.1368683772161603e-13,251.73111945928153,162,810.0,2994.6979113485045,True,0,48.0,16,0,4,0.1920964000019012,2,0,21,10,28,9,1910002,24,7,7,12,143.0,4027.6979113485045,0.2097442999947816
0,step1,13,0,15,10,True,0,10,0,0,5,1,0,20.0,0.0,681.6056808957745,376,1880.0,4519.056808957747,True,0,45.0,10,0,4,0.2030504000140354,4,1,11,6,41,4,1910003,2,6,5,25,352.0,6816.0568089577455,0.22036120000120718
