a_m,b_m,score_per_radian
775,625,2729.7821797669126
850,525,2744.764193300717
825,550,2753.553571014379
750,650,2753.584656874635
800,575,2764.624105561016
725,675,2778.4196804191547
775,600,2778.834064032908
750,625,2800.1738352625266
700,700,2804.2273284485063
875,475,2821.377575462177
850,500,2821.632400521248
725,650,2822.7466556308714
825,525,2825.1493222173954
675,725,2830.953282952034
800,550,2831.538058587956
775,575,2840.4768958834948
700,675,2846.469663869893
750,600,2852.5878874737177
650,750,2858.5480173436276
675,700,2871.2689923410762
725,625,2872.490022457638
625,775,2886.966138065028
700,650,2893.7649006014317
650,725,2897.078349051418
825,500,2906.8436069448803
800,525,2907.5596957058715
850,475,2909.7699710897664
775,550,2911.469794541293
675,675,2916.3126565544717
875,450,2916.8903286286786
750,575,2918.2048459088687
625,750,2923.8378786820167
725,600,2928.330739195088
900,425,2928.892076488356
650,700,2940.0449011570295
700,625,2946.7230203082327
600,775,2951.493239970172
625,725,2964.882878125688
675,650,2966.633150470511
575,800,2979.994852276664
650,675,2987.9436385845033
600,750,2990.7559836097953
775,525,2991.9711391700293
750,550,2993.328119357752
800,500,2994.136302419558
725,575,2997.790221230146
825,475,3000.3309156455234
700,600,3006.055028620833
550,825,3009.297275505465
625,700,3010.5510450688803
850,450,3011.179488244363
575,775,3017.6005673090335
675,625,3022.8667346748307
875,425,3027.4608874957653
600,725,3034.3636968535056
525,850,3039.3586959227587
650,650,3041.3465429054904
550,800,3045.3589539263644
900,400,3050.160545519807
575,750,3059.2998523595697
625,675,3061.358763258003
525,825,3073.9786384260146
725,550,3077.0953160164745
750,525,3078.363020897698
700,575,3079.2177430818874
925,375,3080.5452923183207
600,700,3082.78441582547
775,500,3083.48635811594
550,775,3085.286215788717
675,600,3085.754937621145
800,475,3093.0320685370352
650,625,3100.91657041331
575,725,3105.5184897799927
825,450,3107.6982553145294
525,800,3112.2567248941377
625,650,3117.9014881373646
850,425,3128.3559256757744
550,750,3129.467742208592
600,675,3136.5552680644223
500,825,3140.151554588991
525,775,3154.548916206033
875,400,3156.1073079453627
575,700,3156.742931977491
675,575,3162.474336951187
700,550,3162.7563001982835
725,525,3166.7178675629384
650,600,3167.4262718058944
750,500,3174.873452239862
550,725,3178.3457362173217
500,800,3180.6872873335487
625,625,3180.869308177562
775,475,3187.84970144844
900,375,3192.369358989876
600,650,3196.295566351043
525,750,3201.258594017432
800,450,3206.4188157786966
475,825,3207.815469328033
575,675,3213.5313888016976
500,775,3225.3879889831755
825,425,3231.5444632118215
550,700,3232.4253666682957
925,350,3238.996047756897
650,575,3247.54889940639
675,550,3250.298334066146
475,800,3250.6502733572042
625,600,3251.0663187353903
525,725,3252.84464927716
700,525,3257.0210105769506
600,625,3262.7229867510573
850,400,3264.4461771783367
725,500,3268.2806299562044
500,750,3274.6719805532302
575,650,3276.5274295385375
750,475,3284.764146493197
550,675,3292.2862773282795
475,775,3297.803300206913
875,375,3306.691484148145
775,450,3307.3182762084116
525,700,3309.8312784096893
450,800,3322.1457875129877
500,725,3329.015117372651
625,575,3334.4320830150205
600,600,3336.6737137246796
800,425,3336.9997663096824
650,550,3339.7107633020837
575,625,3346.4767914577315
675,525,3349.2602626426137
475,750,3349.7080568698034
550,650,3358.5967082624425
900,350,3360.3306714756186
700,500,3363.6939029643427
450,775,3371.7952193913893
525,675,3372.8199233135747
825,400,3375.145843284493
725,475,3383.7592970230135
500,700,3388.9609451379733
425,800,3395.1743707125934
475,725,3406.8576484298605
750,450,3410.3780368076614
600,575,3423.1160988914016
850,375,3423.4749054858617
575,600,3424.248313637127
450,750,3426.3675129397884
925,325,3428.0989877547327
625,550,3430.9847766657394
550,625,3432.1309489856885
525,650,3442.5039236083235
650,525,3443.4256233457245
775,425,3444.7003013029184
425,775,3447.364579123435
500,675,3455.1330802182333
675,500,3461.101886877833
475,700,3469.815301741669
875,350,3484.2336786632977
700,475,3484.822158169398
450,725,3486.3733169666657
800,400,3488.1813242131143
425,750,3504.6515286689005
575,575,3513.5945361819604
950,300,3513.7289590979635
550,600,3513.7910788404906
725,450,3515.583230561273
525,625,3519.6866287832268
600,550,3524.113187056528
400,775,3524.5126366974046
500,650,3528.250404467993
475,675,3539.2271956279055
625,525,3539.509012275577
825,375,3542.6905988706335
450,700,3552.3958811669936
750,425,3554.6290297669993
900,325,3560.4177740025775
650,500,3560.4954741614847
425,725,3567.563714129092
400,750,3584.5617313681355
675,475,3587.9424437445687
775,400,3603.533073117873
525,600,3605.3039633254075
550,575,3605.862197640869
500,625,3609.145851049371
850,350,3610.6713309316187
475,650,3615.8382101866114
575,550,3619.090232880713
700,450,3622.9222234271224
450,675,3625.1043459772372
425,700,3636.704759137728
600,525,3637.504027964288
400,725,3650.4309007194865
925,300,3656.1119792625545
625,500,3661.8675401628584
800,375,3664.3161387097985
375,750,3666.100155715034
725,425,3666.772784853614
650,475,3693.112215923211
875,325,3695.379198030405
500,600,3698.789812853517
525,575,3700.4527778644538
475,625,3700.5114012346776
450,650,3705.27005852099
425,675,3712.767175632021
550,550,3715.911398422194
750,400,3721.186194926297
400,700,3722.7445024705908
675,450,3732.386170324629
375,725,3734.977363206049
575,525,3737.4057308327256
825,350,3739.61793338868
600,500,3765.212679691338
950,275,3777.0332213835
700,425,3781.121721076363
775,375,3788.3347069402043
450,625,3793.786750887349
475,600,3794.2522709036593
425,650,3796.549258790685
500,575,3798.319558533404
625,475,3800.325564092341
900,300,3801.250343211327
400,675,3802.2188402437882
375,700,3810.518120923539
525,550,3814.5732518713935
350,725,3821.2059726675448
850,325,3832.953913755929
550,525,3839.2104483033972
725,400,3841.129760542351
650,450,3843.9686217464005
575,500,3870.5269716073394
800,350,3871.0545719726965
425,625,3888.975984620242
400,650,3889.6796500541686
450,600,3891.6956921132073
375,675,3893.462954250376
675,425,3897.6688300693054
475,575,3898.2392726172084
350,700,3900.0290224807327
600,475,3909.5783193380103
750,375,3914.7342330980723
500,550,3915.07329966484
925,275,3934.487883651784
525,525,3942.9156002655513
875,300,3949.1107378582697
625,450,3957.665176034025
700,400,3963.3562077653423
825,325,3973.1207980048503
550,500,3977.807768957202
375,650,3984.6655441066423
400,625,3986.0837329322435
350,675,3986.5035423658924
425,600,3991.1250628623757
325,700,3991.2809719526904
450,575,4000.217306582881
775,350,4004.96802858143
650,425,4016.409515290638
475,550,4017.409855816484
575,475,4020.867801193862
725,375,4043.5066493753457
500,525,4048.5195431387174
600,450,4073.473172656912
325,675,4081.3449948822235
350,650,4081.5116730714103
375,625,4085.1151105893564
525,500,4087.0535123038208
675,400,4087.8608188739277
400,600,4092.5459286179853
900,275,4094.775884711239
850,300,4099.669844932009
950,250,4104.034223318038
425,575,4104.259693710857
800,325,4115.865573518911
450,550,4121.581924971218
550,475,4134.192593478216
625,425,4137.341219179173
750,350,4141.349850034757
475,525,4156.0214308654295
700,375,4174.647246154068
300,675,4177.992026590182
325,650,4180.223141341129
350,625,4186.0756602539595
575,450,4191.391422175359
375,600,4195.96432763555
500,500,4198.263564042656
400,575,4210.373035905408
650,400,4214.641265754964
425,550,4229.870132414503
525,475,4249.552346272046
825,300,4252.912582921053
875,275,4257.871969748544
600,425,4260.463096839783
775,325,4261.179639594979
450,525,4265.421091262745
925,250,4279.580257619169
725,350,4280.19554973587
300,650,4280.8053816167785
325,625,4288.971301042625
350,600,4301.38673061209
675,375,4308.154115098765
550,450,4311.419968928819
475,500,4311.438061645918
375,575,4318.5644327187665
400,550,4341.106861742564
625,400,4343.697214388818
500,475,4366.947601325207
425,525,4376.718916268589
275,650,4383.264114789374
575,425,4385.77573090246
300,625,4393.808281691701
325,600,4408.81998588364
800,300,4408.830631676505
750,325,4409.059079291597
700,350,4421.503923576673
850,275,4423.760793496679
450,500,4426.577787935582
350,575,4428.841417072176
525,450,4433.559882849405
650,375,4444.027668401694
375,550,4454.509793566095
900,250,4458.043403824529
600,400,4475.029981396124
475,475,4486.379638412517
400,525,4489.915764727918
275,625,4500.593138013972
550,425,4513.280882746834
300,600,4518.2712697695015
950,225,4530.063802430814
325,575,4541.211897170927
425,500,4543.68405664319
500,450,4557.813077147591
725,325,4559.503816633916
675,350,4565.276464084996
775,300,4567.421193621957
350,550,4570.087676785438
625,375,4582.270224176288
825,275,4592.435051477428
375,525,4605.695044976006
450,475,4607.850340387978
575,400,4608.64223618393
250,625,4609.332654337765
275,600,4629.748041677764
875,250,4639.409079318923
525,425,4642.981275797839
300,575,4655.684104129649
400,500,4662.758611666657
475,450,4684.182148944587
325,550,4687.849629104856
650,350,4711.516859004198
700,325,4712.516901209211
925,225,4715.5740575313985
600,375,4722.885649261717
350,525,4727.0840282796535
750,300,4728.685953036274
425,475,4731.3620749005895
250,600,4743.258003602412
550,400,4744.537742990947
800,275,4763.8939303186
275,575,4772.266544846702
500,425,4774.880407072236
375,500,4783.80353857941
300,550,4807.805082098884
450,450,4812.670240230318
850,250,4823.672228380976
325,525,4850.756850829972
400,475,4856.917590936252
225,600,4858.80906366031
625,350,4860.2305624261235
575,375,4865.87905183245
675,325,4868.103900978927
525,400,4882.721137818928
250,575,4890.967959691502
725,300,4892.630201270923
350,500,4906.82118708348
475,425,4908.9823835875495
900,225,4916.24835940271
275,550,4929.963732027943
775,275,4938.141820896053
425,450,4943.280916805442
300,525,4976.724312293921
375,475,4984.519928536244
825,250,5010.835381220237
550,375,5011.256517204999
600,350,5011.42442827962
225,575,5011.797284594627
500,400,5023.197735851212
650,325,5026.272387075826
325,500,5032.357631267785
450,425,5045.291780634627
250,550,5054.3354958953505
700,300,5059.262101142698
400,450,5076.018063120376
950,200,5089.855929891317
275,525,5104.997461628667
350,475,5114.172340213175
750,275,5115.187248378043
875,225,5119.929575290247
200,575,5134.763617157206
525,375,5159.024881109116
300,500,5164.945766455373
575,350,5165.106397429769
475,400,5165.973365504018
225,550,5180.930472273267
425,425,5183.813519264287
625,325,5187.031496857514
800,250,5200.907062959915
375,450,5210.885791154298
675,300,5228.592068232345
250,525,5235.587551740308
325,475,5245.8782227406655
925,200,5279.8079312385335
725,275,5295.04198167983
275,500,5299.953205541722
500,375,5309.191535453472
200,550,5309.758906459901
450,400,5311.0542257367115
550,350,5321.285230892221
400,425,5324.552760649924
850,225,5326.625728171933
350,450,5347.888361684145
600,325,5350.391563605061
975,200,5363.861692987979
225,525,5368.5059992754595
300,475,5379.641058133747
775,250,5393.900486712535
650,300,5400.632250548268
250,500,5437.392722071242
425,400,5458.446763669496
475,375,5461.764262278389
375,425,5467.51481526439
700,275,5477.720291687865
525,350,5479.970282737301
325,450,5487.030116478984
200,525,5503.764349051471
900,200,5508.256673038434
575,325,5516.363803041208
275,475,5517.955406741225
825,225,5536.351657915533
625,300,5575.396091102556
225,500,5577.277231243028
750,250,5589.832478101621
400,400,5608.157569927362
350,425,5612.705065054423
450,375,5616.751092162171
300,450,5628.315420120889
500,350,5641.1713071733175
175,525,5641.374242672351
250,475,5662.976380484688
675,275,5663.238333168209
550,325,5684.960048345762
200,500,5719.619753885154
875,200,5739.826854977334
800,225,5749.127430877009
600,300,5752.897960500112
325,425,5760.1288970122305
375,400,5760.19328945292
275,450,5771.748610300993
425,375,5774.1601838441875
725,250,5788.722589027677
475,350,5804.898295079713
225,475,5810.572500170338
950,175,5834.318825752442
650,275,5851.613629775015
525,325,5856.192526609988
175,500,5864.4333848620745
300,425,5909.791646734772
350,400,5914.560545814044
250,450,5917.333955570865
575,300,5933.152848752905
400,375,5933.999722256884
200,475,5960.75846960619
775,225,5964.977047580197
450,350,5971.161335927017
850,200,5974.5430262107275
700,250,5990.592366740242
150,500,6011.731265458788
500,325,6030.073670734979
925,175,6033.124231428071
625,275,6042.864645223233
275,425,6061.69855072965
325,400,6071.265877279258
225,450,6072.453387378971
375,375,6096.277832529733
175,475,6113.549039821856
550,300,6116.176107277553
425,350,6139.970501589495
975,175,6153.776195701754
750,225,6183.927390445769
675,250,6195.464750824409
475,325,6206.615961673631
825,200,6212.435403365763
250,425,6215.854706374642
300,400,6230.3156831498045
200,450,6231.370942798916
600,275,6237.010426650647
350,375,6261.002507848375
150,475,6268.958981736497
900,175,6297.332795657764
525,300,6301.9832334804905
400,350,6311.335749041901
225,425,6372.265038568628
450,325,6385.831796669443
275,400,6391.7161790256705
175,450,6393.043117400081
650,250,6403.363575907859
725,225,6406.007365779901
325,375,6428.181549329173
575,275,6434.07030860186
800,200,6453.538331418123
375,350,6485.266839346814
500,300,6490.58969153446
200,425,6536.625527176065
250,400,6555.473359847375
150,450,6557.486548458843
875,175,6564.783066331375
425,325,6567.7333797810215
300,375,6597.822516308813
625,250,6614.313162033138
700,225,6631.247203708619
550,275,6634.063668029034
350,350,6661.773270694078
475,300,6682.010763946898
775,200,6697.889047107078
175,425,6708.247135032594
225,400,6721.592969699122
125,450,6724.717839672595
400,325,6752.332631518342
275,375,6769.932685655957
600,250,6828.337977945969
850,175,6835.520600729741
525,275,6837.009722307787
325,350,6840.864223558061
675,225,6859.6778871079705
950,150,6867.328698846639
450,300,6876.261429351341
150,425,6882.81196580831
200,400,6890.080477484417
375,325,6939.641114871425
250,375,6944.519018891567
750,200,6945.526683518209
300,350,7022.548516299391
500,275,7042.927363581248
575,250,7045.462365201029
125,425,7060.338740576051
175,400,7065.815271915588
425,300,7073.356262646425
925,150,7081.824147119937
650,225,7091.33068632879
825,175,7109.595004046809
225,375,7121.588136060298
350,325,7129.669975397805
