problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,seed,total,ratio,experiment,provenance,normal_exit
4,16,5228.163633018592,326.760227063662,0.13880130001052748,True,13,207,16,0,0,3927.1636330185897,186.0,1035.0,48.0,32.0,0,0,0,0,16,20,16,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,12,13912.142453928327,1159.3452044940273,1.066603600003873,True,31,536,273,261,12,9885.142453928289,504.0,2680.0,819.0,24.0,0,0,0,0,0,21,12,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,15,10641.983310367794,709.4655540245196,0.1289853999915067,True,31,343,15,0,0,8541.983310367797,310.0,1715.0,45.0,30.0,0,0,0,0,15,22,15,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,10,11913.43155546531,1191.3431555465309,0.45662409999931697,True,31,551,110,100,6,8286.431555465317,522.0,2755.0,330.0,20.0,0,0,0,0,4,23,10,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,12,9468.896473829815,789.0747061524845,0.10652900001150556,True,31,365,12,0,0,7252.896473829812,331.0,1825.0,36.0,24.0,0,0,0,0,12,24,12,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,13,12392.73649283859,953.2874225260455,0.5031516999879386,True,31,534,114,101,7,8855.736492838621,499.0,2670.0,342.0,26.0,0,0,0,0,6,25,13,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,16,5271.851513794936,329.4907196121835,0.12913890001073014,True,13,208,16,0,0,3965.851513794936,186.0,1040.0,48.0,32.0,0,0,0,0,16,26,16,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,10,12348.026432776554,1234.8026432776555,0.4485648999980185,True,31,552,159,149,6,8570.026432776578,521.0,2760.0,477.0,20.0,0,0,0,0,4,27,10,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,14,9691.61642832742,692.2583163091014,0.12874879999435507,True,31,344,14,0,0,7592.616428327419,309.0,1720.0,42.0,28.0,0,0,0,0,14,28,14,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,16,14253.710040179021,890.8568775111888,0.8990152000042144,True,30,500,302,286,12,10349.71004017905,466.0,2500.0,906.0,32.0,0,0,0,0,4,29,16,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,10,9665.467086809642,966.5467086809642,0.10355050000362098,True,31,434,10,0,0,7043.467086809645,402.0,2170.0,30.0,20.0,0,0,0,0,10,30,10,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,13,12201.434182756404,938.5718602120311,0.530694000000949,True,31,530,111,98,7,8693.434182756358,499.0,2650.0,333.0,26.0,0,0,0,0,6,31,13,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,16,5344.896214208345,334.05601338802154,0.13492080000287388,True,13,210,16,0,0,4026.8962142083433,188.0,1050.0,48.0,32.0,0,0,0,0,16,32,16,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,16,13139.320340688544,821.207521293034,0.9065427999885287,True,30,500,169,153,12,9634.320340688559,466.0,2500.0,507.0,32.0,0,0,0,0,4,33,16,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,10,9759.88672805601,975.988672805601,0.10087970001040958,True,31,436,10,0,0,7127.88672805601,402.0,2180.0,30.0,20.0,0,0,0,0,10,34,10,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,10,12716.573551710564,1271.6573551710565,0.45316420000744984,True,31,552,206,196,6,8796.57355171048,522.0,2760.0,618.0,20.0,0,0,0,0,4,35,10,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,12,9453.885878104618,787.8238231753849,0.10686329999589361,True,31,364,12,0,0,7242.885878104619,331.0,1820.0,36.0,24.0,0,0,0,0,12,36,12,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,11,12274.632824288366,1115.8757112989424,0.5141072999977041,True,31,542,156,145,7,8561.632824288386,513.0,2710.0,468.0,22.0,0,0,0,0,4,37,11,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,11,9486.331957507755,862.3938143188868,0.11005399998975918,True,31,396,11,0,0,7086.331957507757,365.0,1980.0,33.0,22.0,0,0,0,0,11,38,11,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
4,16,13808.936621951116,863.0585388719447,0.890477799999644,True,30,498,259,243,12,10042.936621951112,467.0,2490.0,777.0,32.0,0,0,0,0,4,39,16,1.0,boundary_outward_tangent,LOCAL_SYNTHETIC,True
