problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,seed,total,ratio,experiment,provenance,normal_exit
3,15,4216.77501930958,281.1183346206387,0.21353459999954794,True,7,116,15,0,0,3455.77501930958,106.0,580.0,45.0,30.0,358,15,3,5,15,100,15,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,12,4668.137401943217,389.01145016193476,0.17334090000076685,True,7,132,12,0,0,3825.1374019432155,123.0,660.0,36.0,24.0,301,12,5,16,12,101,12,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,13,3895.9112835035053,299.6854833464235,0.18253190000541508,True,7,116,13,0,0,3142.9112835035053,108.0,580.0,39.0,26.0,304,13,6,15,13,102,13,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,13,3444.087087245264,264.9297759419434,0.16954839999380056,True,7,103,13,0,0,2770.087087245264,94.0,515.0,39.0,26.0,314,13,0,0,12,103,13,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,14,4531.305820998405,323.66470149988606,0.19557530000747647,True,7,129,14,0,0,3696.305820998405,120.0,645.0,42.0,28.0,347,14,7,14,13,104,14,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,11,4603.839361573134,418.53085105210306,0.16578730000765063,True,7,121,11,0,0,3831.8393615731343,112.0,605.0,33.0,22.0,271,11,3,6,11,105,11,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,13,4135.790387510194,318.13772211616873,0.2086851000058232,True,7,111,13,0,0,3415.7903875101943,100.0,555.0,39.0,26.0,336,13,4,14,13,106,13,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,10,3750.8559233330516,375.08559233330516,0.13397780001105275,True,7,112,10,0,0,3035.855923333051,105.0,560.0,30.0,20.0,215,10,2,3,10,107,10,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,10,4316.1494854193525,431.61494854193523,0.14073430000280496,True,7,132,10,0,0,3482.149485419351,124.0,660.0,30.0,20.0,245,10,5,14,10,108,10,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,13,3471.434038705559,267.0333875927353,0.18311800000083167,True,7,115,13,0,0,2724.43403870556,107.0,575.0,39.0,26.0,295,13,1,6,13,109,13,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,14,3773.2451331500924,269.5175095107209,0.19151180000335444,True,7,117,14,0,0,3009.245133150092,109.0,585.0,42.0,28.0,315,14,2,0,14,110,14,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,13,4075.4749799091373,313.4980753776259,0.21509180001157802,True,7,121,13,0,0,3295.474979909137,110.0,605.0,39.0,26.0,359,13,3,12,13,111,13,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,11,3210.8278048205702,291.89343680187,0.12465929999598302,True,7,119,11,0,0,2447.82780482057,113.0,595.0,33.0,22.0,212,11,1,0,11,112,11,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,12,3681.3914912145356,306.78262426787796,0.15843630000017583,True,7,108,12,0,0,2981.3914912145347,100.0,540.0,36.0,24.0,279,12,1,3,12,113,12,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,11,3603.4830139712803,327.58936490648006,0.13577300000179093,True,7,99,11,0,0,2960.4830139712803,93.0,495.0,33.0,22.0,234,11,0,0,11,114,11,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,14,4692.809874931437,335.2007053522455,0.2260966999892844,True,7,122,14,0,0,3904.809874931437,108.0,610.0,42.0,28.0,422,14,7,25,14,115,14,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,11,3641.1471291920448,331.013375381095,0.17394079999940004,True,7,123,11,0,0,2859.1471291920443,112.0,615.0,33.0,22.0,304,11,3,8,11,116,11,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,10,3452.0395378148264,345.20395378148265,0.1241232000029413,True,7,120,10,0,0,2689.0395378148264,113.0,600.0,30.0,20.0,202,10,2,0,10,117,10,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,12,3354.6695363764447,279.55579469803706,0.15664539999852423,True,7,114,12,0,0,2619.669536376445,105.0,570.0,36.0,24.0,270,12,1,0,12,118,12,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
3,12,4107.971590738954,342.3309658949128,0.17106809999677353,True,7,119,12,0,0,3341.9715907389536,111.0,595.0,36.0,24.0,282,12,2,7,11,119,12,1.0,q3_minus_r1000,LOCAL_SYNTHETIC,True
