problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,seed,total,ratio,experiment,provenance,normal_exit
4,11,11636.276504781044,1057.8433186164586,0.5276022999896668,True,31,353,512,501,11,7990.27650478105,323.0,1765.0,1536.0,22.0,0,0,0,0,0,20260910,11,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,10,12002.509318996099,1200.25093189961,0.5020303000055719,True,31,358,490,480,10,8393.509318996068,329.0,1790.0,1470.0,20.0,0,0,0,0,0,20260911,10,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,16,13615.831190118339,850.9894493823962,0.8411964000115404,True,27,233,754,738,15,9946.831190118335,210.0,1165.0,2262.0,32.0,0,0,0,0,1,20260912,16,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,10,11812.509486120127,1181.2509486120127,0.4541414999985136,True,31,351,468,458,9,8312.509486120129,321.0,1755.0,1404.0,20.0,0,0,0,0,1,20260913,10,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,14,13311.898194223639,950.8498710159741,0.7490630999964196,True,31,274,714,700,12,9523.898194223611,248.0,1370.0,2142.0,28.0,0,0,0,0,2,20260914,14,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,13,11581.53399675812,890.8872305198554,0.46812710000085644,True,31,273,482,469,12,8499.533996758159,245.0,1365.0,1446.0,26.0,0,0,0,0,1,20260915,13,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,14,12045.327547041745,860.3805390744103,0.6898216999979923,True,31,264,502,488,14,8956.327547041761,235.0,1320.0,1506.0,28.0,0,0,0,0,0,20260916,14,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,13,12011.589251308382,923.9684039467986,0.5454509999981383,True,31,285,464,451,12,8913.589251308429,255.0,1425.0,1392.0,26.0,0,0,0,0,1,20260917,13,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,15,12519.258378888982,834.6172252592655,0.750257400010014,True,31,209,546,531,15,9625.258378888959,181.0,1045.0,1638.0,30.0,0,0,0,0,0,20260918,15,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
4,11,10305.493391066771,936.8630355515247,0.48357739999482874,True,31,344,274,263,10,7425.493391066774,316.0,1720.0,822.0,22.0,0,0,0,0,1,20260919,11,1.0,q4_optical_only,LOCAL_SYNTHETIC,True
