problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,seed,total,ratio,experiment,provenance,normal_exit
4,10,9626.510877986106,962.6510877986105,0.10874609999882523,True,31,376,10,0,0,7358.510877986106,338.0,1880.0,30.0,20.0,0,0,0,0,10,200,10,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,12,10018.356090521798,834.8630075434831,0.45471099999849685,True,31,310,20,8,2,8122.356090521802,262.0,1550.0,60.0,24.0,0,0,0,0,10,201,12,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,11,9710.958670499285,882.8144245908442,0.2913163000048371,True,31,346,16,5,1,7606.958670499287,304.0,1730.0,48.0,22.0,0,0,0,0,10,202,11,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,12,10098.029384390444,841.5024486992037,0.3086524999962421,True,31,319,55,43,1,8036.029384390451,278.0,1595.0,165.0,24.0,0,0,0,0,11,203,12,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,15,9943.489462620488,662.8992975080325,0.15762650000397116,True,31,233,15,0,0,8517.489462620486,186.0,1165.0,45.0,30.0,0,0,0,0,15,204,15,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,13,10506.967965986605,808.2283050758926,0.41501869999046903,True,31,332,18,5,2,8483.96796598661,283.0,1660.0,54.0,26.0,0,0,0,0,11,205,13,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,13,9328.78095710017,717.5985351615516,0.12949189999199007,True,31,306,13,0,0,7465.78095710017,268.0,1530.0,39.0,26.0,0,0,0,0,13,206,13,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,10,10067.136562644715,1006.7136562644715,0.2547595999931218,True,31,363,23,13,1,7840.136562644714,323.0,1815.0,69.0,20.0,0,0,0,0,9,207,10,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,16,5465.97545249438,341.62346578089875,0.31623680000484455,True,10,142,21,5,1,4544.97545249438,116.0,710.0,63.0,32.0,0,0,0,0,15,208,16,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,14,9891.194596270087,706.5138997335777,0.43804809999710415,True,31,312,28,14,2,7947.194596270088,272.0,1560.0,84.0,28.0,0,0,0,0,12,209,14,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,11,9483.19087027361,862.1082609339645,0.11300510000728536,True,31,346,11,0,0,7390.190870273609,308.0,1730.0,33.0,22.0,0,0,0,0,11,210,11,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,11,10473.89311777518,952.1721016159255,0.2912326999939978,True,31,347,15,4,1,8371.89311777518,300.0,1735.0,45.0,22.0,0,0,0,0,10,211,11,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,10,10490.244224788672,1049.024422478867,0.27400169998873025,True,31,367,23,13,1,8242.244224788676,324.0,1835.0,69.0,20.0,0,0,0,0,9,212,10,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,11,9378.353376550222,852.5775796863837,0.11586309999984223,True,31,343,11,0,0,7303.3533765502225,305.0,1715.0,33.0,22.0,0,0,0,0,11,213,11,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,10,10013.215535290967,1001.3215535290967,0.4438789999985602,True,31,376,16,6,2,7733.215535290969,332.0,1880.0,48.0,20.0,0,0,0,0,8,214,10,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,16,8368.245153404523,523.0153220877827,0.4874469000060344,True,25,232,34,18,2,6879.245153404526,195.0,1160.0,102.0,32.0,0,0,0,0,14,215,16,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,16,6108.7191045433765,381.79494403396103,0.45184639999934006,True,11,142,62,46,2,5065.719104543377,115.0,710.0,186.0,32.0,0,0,0,0,14,216,16,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,15,9898.607951071715,659.9071967381144,0.1522698000044329,True,31,263,15,0,0,8285.607951071717,223.0,1315.0,45.0,30.0,0,0,0,0,15,217,15,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,14,9444.283788870625,674.5916992050446,0.29656709999835584,True,31,300,19,5,1,7596.283788870623,263.0,1500.0,57.0,28.0,0,0,0,0,13,218,14,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
4,11,9911.988959447957,901.0899054043598,0.12805040000239387,True,31,355,11,0,0,7766.988959447958,315.0,1775.0,33.0,22.0,0,0,0,0,11,219,11,1.0,q4_spacing_950,LOCAL_SYNTHETIC,True
