candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
37,15,14,True,0,,1,0,0,28.0,431.72260711617406,269,1345.0,direct40,4379.116499626438,True,True,0,45.0,0,0.30953079999017064,8,1800000,25,247.0,14,6044.116499626437
37,15,14,True,0,,1,0,0,28.0,431.72260711617406,269,1345.0,direct80,4379.116499626438,True,True,0,45.0,0,0.307403400001931,8,1800000,25,247.0,14,6044.116499626437
37,15,14,True,0,,1,0,0,28.0,431.72260711617406,269,1345.0,direct120,4379.116499626438,True,True,0,45.0,0,0.3123364000057336,8,1800000,25,247.0,14,6044.116499626437
37,17,14,True,0,,3,0,0,28.0,431.89863310812467,268,1340.0,optical,4382.580863513746,True,True,0,51.0,0,0.30590330000268295,7,1800000,25,245.0,14,6046.5808635137455
71,15,14,True,0,,1,0,0,28.0,431.79557436388075,252,1260.0,direct40,4486.13804109433,True,True,0,45.0,1,0.30982000000949483,8,1800001,25,226.0,14,6045.13804109433
71,15,14,True,0,,1,0,0,28.0,431.79557436388075,252,1260.0,direct80,4486.13804109433,True,True,0,45.0,1,0.30663340000319295,8,1800001,25,226.0,14,6045.13804109433
71,15,14,True,0,,1,0,0,28.0,431.79557436388075,252,1260.0,direct120,4486.13804109433,True,True,0,45.0,1,0.30945210000209045,8,1800001,25,226.0,14,6045.13804109433
71,19,14,True,0,,5,0,0,28.0,433.55998765020325,251,1255.0,optical,4506.839827102845,True,True,0,57.0,1,0.31025930000760127,7,1800001,25,223.0,14,6069.839827102845
99,18,14,True,0,,4,1,0,28.0,477.1853345924042,268,1340.0,direct40,5021.594684293657,True,True,0,54.0,2,0.4853055999992648,9,1800002,25,237.0,14,6680.594684293659
70,18,14,True,0,,4,1,0,28.0,476.4341969557827,266,1330.0,direct80,5023.078757380956,True,True,0,54.0,2,0.4533720000035828,8,1800002,25,235.0,14,6670.0787573809575
70,18,14,True,0,,4,1,0,28.0,476.4341969557827,266,1330.0,direct120,5023.078757380956,True,True,0,54.0,2,0.4539710999961244,8,1800002,25,235.0,14,6670.0787573809575
70,20,14,True,0,,6,1,0,28.0,477.1003944038184,265,1325.0,optical,5032.405521653456,True,True,0,60.0,2,0.4494340000092052,7,1800002,25,234.0,14,6679.405521653458
65,18,16,True,0,,2,1,0,32.0,399.8263983424014,264,1320.0,direct40,4755.22237347842,True,True,0,54.0,0,0.47613309998996556,6,1800003,25,236.0,16,6397.222373478422
65,18,16,True,0,,2,1,0,32.0,399.8263983424014,264,1320.0,direct80,4755.22237347842,True,True,0,54.0,0,0.474386300003971,6,1800003,25,236.0,16,6397.222373478422
65,18,16,True,0,,2,1,0,32.0,399.8263983424014,264,1320.0,direct120,4755.22237347842,True,True,0,54.0,0,0.5078532000043197,6,1800003,25,236.0,16,6397.222373478422
54,25,16,True,0,,9,1,0,32.0,403.81793714241775,261,1305.0,optical,4816.086994278683,True,True,0,75.0,0,0.4616662000044016,4,1800003,25,233.0,16,6461.086994278684
56,17,16,True,0,,1,0,0,32.0,328.299231892151,205,1025.0,direct40,3960.787710274417,True,True,0,51.0,0,0.3158538999996381,7,1800004,19,184.0,16,5252.787710274416
26,18,16,True,0,,2,0,0,32.0,327.5800192293088,204,1020.0,direct80,3951.280307668942,True,True,0,54.0,0,0.2878245000028983,7,1800004,19,184.0,16,5241.280307668941
26,18,16,True,0,,2,0,0,32.0,327.5800192293088,204,1020.0,direct120,3951.280307668942,True,True,0,54.0,0,0.28254780000133906,7,1800004,19,184.0,16,5241.280307668941
26,21,16,True,0,,5,0,0,32.0,328.077762931027,202,1010.0,optical,3963.244206896432,True,True,0,63.0,0,0.28029770001012366,5,1800004,19,181.0,16,5249.244206896432
110,16,16,True,0,,0,0,0,32.0,402.9689662619696,273,1365.0,direct40,4758.503460191513,True,True,0,48.0,0,0.35392130000400357,10,1800005,21,244.0,16,6447.503460191514
