candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
68,14,14,True,0,,0,0,0,28.0,434.4268310963918,276,1380.0,priced,4375.975635349488,True,True,0,42.0,3,0.4901835999917239,14,1800000,25,256.0,14,6081.975635349486
74,14,14,True,0,,0,0,0,28.0,432.3408020487555,271,1355.0,sparse,4379.771228682578,True,True,0,42.0,4,0.3950597000075504,14,1800000,25,248.0,14,6052.771228682577
99,19,14,True,0,,5,1,0,28.0,529.4019167526765,265,1325.0,innerjoint,5766.626834537471,True,True,0,57.0,1,0.2607799999968847,13,1800000,25,235.0,14,7411.626834537471
178,14,14,True,0,,0,0,0,28.0,460.1627822590731,288,1440.0,priced,4673.278951627022,True,True,0,42.0,5,0.6100507000082871,14,1800001,25,259.0,14,6442.278951627023
110,14,14,True,0,,0,0,0,28.0,437.3081206398044,261,1305.0,sparse,4512.313688957262,True,True,0,42.0,6,0.41304240000317805,14,1800001,25,235.0,14,6122.313688957262
220,14,14,True,0,,0,0,0,28.0,496.93065631921115,245,1225.0,innerjoint,5449.029188468956,True,True,0,42.0,4,0.37830090000352357,14,1800001,25,213.0,14,6957.029188468956
100,20,14,True,0,,6,2,0,28.0,507.03096281324304,273,1365.0,priced,5402.4334793854005,True,True,0,60.0,6,0.8173851999890758,12,1800002,25,243.0,14,7098.433479385402
130,17,14,True,0,,3,1,0,28.0,480.96639209255983,273,1365.0,sparse,5046.529489295836,True,True,0,51.0,5,0.5708545999950729,13,1800002,25,243.0,14,6733.529489295837
127,17,14,True,0,,3,1,0,28.0,543.5265870871036,277,1385.0,innerjoint,5895.37221921945,True,True,0,51.0,2,0.423301699993317,13,1800002,25,250.0,14,7609.37221921945
103,16,16,True,0,,0,1,0,32.0,402.21005177085055,257,1285.0,priced,4841.360828333611,True,True,0,48.0,2,0.6956657000118867,15,1800003,22,229.0,16,6435.360828333609
140,16,16,True,0,,0,1,0,32.0,405.6353321704069,274,1370.0,sparse,4792.1653147265115,True,True,0,48.0,1,0.5715501999948174,15,1800003,25,248.0,16,6490.165314726511
122,16,16,True,0,,0,1,0,32.0,279.09670355095705,175,875.0,innerjoint,3354.547256815312,True,True,0,48.0,3,0.45952150000084657,15,1800003,12,156.0,16,4465.547256815313
150,16,16,True,0,,0,0,0,32.0,456.0758485273875,285,1425.0,priced,5544.213576438199,True,True,0,48.0,3,0.5349516999995103,16,1800004,23,248.0,16,7297.2135764382
130,16,16,True,0,,0,0,0,32.0,394.2909237477766,244,1220.0,sparse,4790.654779964425,True,True,0,48.0,2,0.39063850000093225,16,1800004,25,218.0,16,6308.654779964426
181,16,16,True,0,,0,0,0,32.0,260.60374364243233,154,770.0,innerjoint,3187.6598982789174,True,True,0,48.0,4,0.3492599000019254,16,1800004,9,132.0,16,4169.659898278917
187,16,16,True,0,,0,0,0,32.0,403.8901157091623,277,1385.0,priced,4752.2418513465955,True,True,0,48.0,3,0.5483434000052512,16,1800005,24,245.0,16,6462.241851346596
148,16,16,True,0,,0,0,0,32.0,407.2660289522253,279,1395.0,sparse,4792.256463235606,True,True,0,48.0,3,0.42378070000268053,16,1800005,21,249.0,16,6516.256463235605
146,47,16,True,0,,31,1,0,32.0,501.7188868948358,257,1285.0,innerjoint,6347.502190317374,True,True,0,141.0,5,0.533518099997309,15,1800005,23,222.0,16,8027.502190317373
142,14,10,True,0,,4,2,0,20.0,715.0690167711641,374,1870.0,priced,4876.690167711642,True,True,0,42.0,3,0.587622699997155,8,1800006,25,342.0,10,7150.690167711641
85,14,10,True,0,,4,1,0,20.0,688.2984976469146,338,1690.0,sparse,4819.984976469145,True,True,0,42.0,1,0.4258395999931963,9,1800006,25,311.0,10,6882.984976469146
85,25,10,True,0,,15,3,0,20.0,787.2350007681488,322,1610.0,innerjoint,5879.35000768149,True,True,0,75.0,3,0.5198320000054082,7,1800006,25,288.0,10,7872.350007681488
