candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
161,37,14,True,0,,23,1,0,28.0,617.604036215986,308,1540.0,reference,6700.456507023804,True,True,0,111.0,3,4,0.4338696000049822,13,1800000,31,267.0,14,8646.456507023804
161,14,14,True,0,,0,0,0,28.0,572.3234093100983,267,1335.0,radial,6375.527730341377,True,True,0,42.0,3,4,0.3019101999962004,14,1800000,25,232.0,14,8012.527730341377
103,21,14,True,0,,7,1,0,28.0,546.742624243421,307,1535.0,tour,5752.396739407891,True,True,0,63.0,4,4,0.44729730000835843,13,1800000,25,276.0,14,7654.3967394078945
23,14,14,True,0,,0,0,0,28.0,475.4167989844227,339,1695.0,joint,4570.835185781919,True,True,0,42.0,2,,0.23951579999993555,14,1800000,25,320.0,14,6655.835185781918
4,14,14,True,0,,0,0,0,28.0,542.9267247552995,375,1875.0,batch,5303.974146574194,True,True,0,42.0,1,,0.24598979999427684,14,1800000,25,352.0,14,7600.974146574193
169,14,14,True,0,,0,0,0,28.0,632.173978565317,284,1420.0,reference,7126.435699914438,True,True,0,42.0,2,4,0.31345109999529086,14,1800001,31,234.0,14,8850.435699914438
169,14,14,True,0,,0,0,0,28.0,607.844480374681,248,1240.0,radial,6995.822725245536,True,True,0,42.0,2,4,0.29955270000209566,14,1800001,25,204.0,14,8509.822725245534
100,14,14,True,0,,0,0,0,28.0,608.2377170571763,284,1420.0,tour,6781.328038800469,True,True,0,42.0,7,4,0.34125959999801125,14,1800001,25,244.0,14,8515.328038800468
26,29,14,True,0,,15,1,0,28.0,475.9327987802838,353,1765.0,joint,4452.059182923973,True,True,0,87.0,4,,0.5485726000042632,13,1800001,25,331.0,14,6663.059182923973
0,14,14,True,0,,0,0,0,28.0,500.9550361931356,332,1660.0,batch,4973.370506703898,True,True,0,42.0,0,,0.2266995000099996,14,1800001,25,310.0,14,7013.370506703898
137,21,14,True,0,,7,2,0,28.0,659.7004410033171,293,1465.0,reference,7434.80617404644,True,True,0,63.0,6,4,0.6112434999959078,12,1800002,31,245.0,14,9235.80617404644
137,21,14,True,0,,7,2,0,28.0,643.5327179592241,257,1285.0,radial,7418.458051429139,True,True,0,63.0,6,4,0.597017699998105,12,1800002,25,215.0,14,9009.458051429137
88,21,14,True,0,,7,2,0,28.0,591.4253913683094,263,1315.0,tour,6650.9554791563305,True,True,0,63.0,5,4,0.6114031999895815,12,1800002,25,223.0,14,8279.955479156331
34,17,14,True,0,,3,1,0,28.0,492.92388483069146,329,1645.0,joint,4872.934387629681,True,True,0,51.0,1,,0.42169299999659415,13,1800002,25,304.0,14,6900.934387629681
4,17,14,True,0,,3,1,0,28.0,546.0855353526795,354,1770.0,batch,5465.1974949375135,True,True,0,51.0,1,,0.3165046999929473,13,1800002,25,331.0,14,7645.197494937513
251,16,16,True,0,,0,1,0,32.0,310.64481314478064,130,650.0,reference,4139.317010316488,True,True,0,48.0,1,4,0.5386941000033403,15,1800003,9,101.0,16,4970.31701031649
251,16,16,True,0,,0,1,0,32.0,310.64481314478064,130,650.0,radial,4139.317010316488,True,True,0,48.0,1,4,0.5372638999979245,15,1800003,9,101.0,16,4970.31701031649
175,18,16,True,0,,2,2,0,32.0,382.14817573035543,171,855.0,tour,5037.370811685685,True,True,0,54.0,3,4,0.5856987000006484,14,1800003,14,136.0,16,6114.370811685687
58,16,16,True,0,,0,0,0,32.0,370.54443154049613,277,1385.0,joint,4206.710904647936,True,True,0,48.0,0,,0.31507549999514595,16,1800003,22,257.0,16,5928.710904647938
24,16,16,True,0,,0,0,0,32.0,439.11218316415346,289,1445.0,batch,5230.794930626455,True,True,0,48.0,0,,0.24759500000800472,16,1800003,25,270.0,16,7025.794930626455
151,23,16,True,0,,7,1,0,32.0,296.66929761030497,150,750.0,reference,3767.708761764881,True,True,0,69.0,2,4,0.44778070000757,15,1800004,8,128.0,16,4746.7087617648795
151,23,16,True,0,,7,1,0,32.0,296.66929761030497,150,750.0,radial,3767.708761764881,True,True,0,69.0,2,4,0.45010309999634046,15,1800004,8,128.0,16,4746.7087617648795
143,17,16,True,0,,1,1,0,32.0,482.62489108453263,233,1165.0,tour,6279.998257352522,True,True,0,51.0,3,4,0.49921909999102354,15,1800004,20,194.0,16,7721.998257352522
63,16,16,True,0,,0,0,0,32.0,423.39186127819755,313,1565.0,joint,4837.269780451161,True,True,0,48.0,5,,0.41593279999506194,16,1800004,25,292.0,16,6774.269780451161
2,16,16,True,0,,0,0,0,32.0,502.43474278643134,394,1970.0,batch,5617.9558845829,True,True,0,48.0,1,,0.2356584999943152,16,1800004,25,371.0,16,8038.9558845829015
146,47,16,True,0,,31,1,0,32.0,542.2664925832894,263,1315.0,reference,6972.2638813326275,True,True,0,141.0,4,4,0.4577537000004668,15,1800005,30,216.0,16,8676.26388133263
146,47,16,True,0,,31,1,0,32.0,390.66523337878107,188,940.0,radial,4981.643734060496,True,True,0,141.0,4,4,0.4460599000012735,15,1800005,15,156.0,16,6250.643734060497
148,53,16,True,0,,37,2,0,32.0,454.01705911861325,218,1090.0,tour,5799.272945897813,True,True,0,159.0,3,4,0.6718564000038896,14,1800005,19,184.0,16,7264.272945897812
122,16,16,True,0,,0,0,0,32.0,480.70229166088916,390,1950.0,joint,5298.236666574227,True,True,0,48.0,3,,0.4346841999940807,16,1800005,25,363.0,16,7691.236666574227
29,16,16,True,0,,0,0,0,32.0,541.3811235091624,402,2010.0,batch,6192.097976146598,True,True,0,48.0,2,,0.25363319998723455,16,1800005,25,380.0,16,8662.097976146599
144,25,10,True,0,,15,3,0,20.0,899.6564049559374,382,1910.0,reference,6653.564049559378,True,True,0,75.0,0,4,0.5469632000022102,7,1800006,31,338.0,10,8996.564049559374
144,25,10,True,0,,15,3,0,20.0,849.0795615531379,322,1610.0,radial,6501.795615531381,True,True,0,75.0,0,4,0.5302491999900667,7,1800006,25,284.0,10,8490.795615531379
158,14,10,True,0,,4,2,0,20.0,750.553272827112,343,1715.0,tour,5423.532728271121,True,True,0,42.0,0,4,0.4483979999931762,8,1800006,25,305.0,10,7505.53272827112
109,14,10,True,0,,4,1,0,20.0,758.3761341597489,402,2010.0,joint,5138.761341597487,True,True,0,42.0,2,,0.4534846999886213,9,1800006,25,373.0,10,7583.761341597488
24,45,10,True,0,,35,1,0,20.0,882.4527302293985,442,2210.0,batch,6043.527302293981,True,True,0,135.0,0,,0.3291603999969084,9,1800006,25,416.0,10,8824.527302293985
165,15,15,True,0,,0,0,0,30.0,611.2441846185096,258,1290.0,reference,7593.662769277644,True,True,0,45.0,3,4,0.3218510000006063,15,1800007,31,210.0,15,9168.662769277644
165,15,15,True,0,,0,0,0,30.0,590.9366529739198,228,1140.0,radial,7463.049794608796,True,True,0,45.0,3,4,0.3119818999985,15,1800007,25,186.0,15,8864.049794608796
175,15,15,True,0,,0,0,0,30.0,556.8015364673392,267,1335.0,tour,6716.02304701009,True,True,0,45.0,4,4,0.4136193999875104,15,1800007,25,226.0,15,8352.023047010089
98,15,15,True,0,,0,0,0,30.0,417.47078029105614,318,1590.0,joint,4299.061704365846,True,True,0,45.0,2,,0.3973738000058802,15,1800007,25,298.0,15,6262.061704365842
37,15,15,True,0,,0,0,0,30.0,481.81680969645436,330,1650.0,batch,5191.252145446814,True,True,0,45.0,0,,0.2797565999935614,15,1800007,25,311.0,15,7227.252145446815
179,14,10,True,0,,4,1,0,20.0,921.57655063466,370,1850.0,reference,6982.765506346601,True,True,0,42.0,3,4,0.45701980000012554,9,1800008,31,321.0,10,9215.765506346599
179,14,10,True,0,,4,1,0,20.0,870.9997072318605,310,1550.0,radial,6830.997072318604,True,True,0,42.0,3,4,0.4492997000052128,9,1800008,25,267.0,10,8709.997072318605
162,14,10,True,0,,4,1,0,20.0,786.061895385372,324,1620.0,tour,5899.61895385372,True,True,0,42.0,3,4,0.5040473000117345,9,1800008,25,279.0,10,7860.61895385372
67,10,10,True,0,,0,0,0,20.0,628.7362179564467,328,1640.0,joint,4293.362179564466,True,True,0,30.0,1,,0.20832469999731984,10,1800008,25,304.0,10,6287.362179564467
0,10,10,True,0,,0,0,0,20.0,680.7573400762693,344,1720.0,batch,4715.573400762695,True,True,0,30.0,0,,0.16112459999567363,10,1800008,25,322.0,10,6807.573400762693
157,10,10,True,0,,0,0,0,20.0,796.3863410181806,368,1840.0,reference,5746.863410181806,True,True,0,30.0,3,4,0.266728200003854,10,1800009,31,327.0,10,7963.863410181806
157,10,10,True,0,,0,0,0,20.0,745.8094976153809,308,1540.0,radial,5595.094976153808,True,True,0,30.0,3,4,0.25961500000266824,10,1800009,25,273.0,10,7458.0949761538095
114,10,10,True,0,,0,0,0,20.0,738.517618411254,365,1825.0,tour,5178.17618411254,True,True,0,30.0,3,4,0.2773544000083348,10,1800009,25,332.0,10,7385.17618411254
5,10,10,True,0,,0,0,0,20.0,690.8861974038037,376,1880.0,joint,4624.861974038036,True,True,0,30.0,2,,0.21320660000492353,10,1800009,25,354.0,10,6908.861974038037
27,10,10,True,0,,0,0,0,20.0,807.9737369815671,386,1930.0,batch,5737.737369815671,True,True,0,30.0,0,,0.19806640000024345,10,1800009,25,362.0,10,8079.737369815671
188,50,15,True,0,,35,3,0,30.0,598.4468558652113,272,1360.0,reference,7208.702837978171,True,True,0,150.0,2,4,0.7587270999938482,12,1800010,31,228.0,15,8976.70283797817
188,50,15,True,0,,35,3,0,30.0,576.7289602633449,242,1210.0,radial,7056.934403950176,True,True,0,150.0,2,4,0.7408450000075391,12,1800010,25,204.0,15,8650.934403950174
161,21,15,True,0,,6,1,0,30.0,572.3864393218686,299,1495.0,tour,6737.796589828028,True,True,0,63.0,2,4,0.39089270000113174,14,1800010,25,260.0,15,8585.796589828029
96,18,15,True,0,,3,1,0,30.0,461.0010679820694,337,1685.0,joint,4833.01601973104,True,True,0,54.0,2,,0.4910271999979159,14,1800010,25,313.0,15,6915.016019731041
28,15,15,True,0,,0,0,0,30.0,548.8970118052945,384,1920.0,batch,5877.455177079418,True,True,0,45.0,2,,0.27601850000792183,15,1800010,25,361.0,15,8233.455177079417
41,11,11,True,0,,0,0,0,22.0,837.4701821218204,323,1615.0,reference,7265.172003340023,True,True,0,33.0,3,4,0.1949397999997018,11,1800011,31,277.0,11,9212.172003340023
41,11,11,True,0,,0,0,0,22.0,794.763960846548,269,1345.0,radial,7113.403569312028,True,True,0,33.0,3,4,0.17963610000151675,11,1800011,25,229.0,11,8742.403569312028
62,20,11,True,0,,9,1,0,22.0,700.0020666291143,270,1350.0,tour,6039.022732920257,True,True,0,60.0,2,4,0.40920480000204407,10,1800011,25,229.0,11,7700.022732920258
89,11,11,True,0,,0,0,0,22.0,583.6715528933892,324,1620.0,joint,4442.387081827281,True,True,0,33.0,2,,0.3296235000016168,11,1800011,25,303.0,11,6420.387081827281
25,11,11,True,0,,0,0,0,22.0,625.6371780999357,328,1640.0,batch,4881.008959099292,True,True,0,33.0,1,,0.20783579999988433,11,1800011,25,306.0,11,6882.008959099293
212,18,14,True,0,,4,1,0,28.0,643.4371907963352,294,1470.0,reference,7212.120671148692,True,True,0,54.0,0,4,0.3309906000067713,13,1800012,31,244.0,14,9008.120671148694
212,18,14,True,0,,4,1,0,28.0,617.596588365764,258,1290.0,radial,7060.352237120695,True,True,0,54.0,0,4,0.32306989999779034,13,1800012,25,214.0,14,8646.352237120696
210,14,14,True,0,,0,0,0,28.0,580.1868238863583,288,1440.0,tour,6368.615534409014,True,True,0,42.0,2,4,0.41601999998965766,14,1800012,25,244.0,14,8122.615534409016
55,14,14,True,0,,0,0,0,28.0,472.5686259163659,345,1725.0,joint,4498.9607628291205,True,True,0,42.0,2,,0.31963930001074914,14,1800012,25,322.0,14,6615.960762829122
