candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
44,14,14,True,0,,0,0,0,28.0,424.04361800385715,269,1345.0,multitour,4275.610652054001,True,True,0,42.0,1,0.21927950000099372,11,1800000,25,246.0,14,5936.610652054
119,29,14,True,0,,15,1,0,28.0,429.02382495957875,237,1185.0,multitour,4500.333549434102,True,True,0,87.0,1,0.43020780000369996,7,1800001,25,206.0,14,6006.333549434103
86,18,14,True,0,,4,1,0,28.0,469.3800988518513,282,1410.0,multitour,4828.321383925919,True,True,0,54.0,2,0.3942737000033958,8,1800002,25,251.0,14,6571.321383925918
29,31,16,True,0,,15,2,0,32.0,380.49836884433495,231,1155.0,multitour,4597.97390150936,True,True,0,93.0,1,0.5264208000007784,8,1800003,22,210.0,16,6087.973901509359
135,17,16,True,0,,1,0,0,32.0,364.10121856625574,253,1265.0,multitour,4253.619497060092,True,True,0,51.0,1,0.2837272999895504,9,1800004,20,224.0,16,5825.619497060092
153,18,16,True,0,,2,0,0,32.0,406.24346935681154,259,1295.0,multitour,4890.8955097089865,True,True,0,54.0,0,0.2964118999952916,13,1800005,25,228.0,16,6499.895509708985
111,14,10,True,0,,4,1,0,20.0,674.1325215454245,348,1740.0,multitour,4624.325215454243,True,True,0,42.0,1,0.36539730000367854,7,1800006,25,315.0,10,6741.325215454245
40,24,15,True,0,,9,1,0,30.0,433.60589269640366,307,1535.0,multitour,4582.088390446055,True,True,0,72.0,0,0.34384819999104366,8,1800007,25,285.0,15,6504.088390446055
15,10,10,True,0,,0,0,0,20.0,593.9201421997478,311,1555.0,multitour,4048.2014219974785,True,True,0,30.0,1,0.1341446000005817,7,1800008,25,286.0,10,5939.201421997478
27,10,10,True,0,,0,0,0,20.0,640.5836835817529,334,1670.0,multitour,4373.836835817528,True,True,0,30.0,0,0.16767899999103975,5,1800009,25,312.0,10,6405.8368358175285
80,27,15,True,0,,12,2,0,30.0,446.90823356560423,274,1370.0,multitour,4976.623503484064,True,True,0,81.0,1,0.6228352000034647,9,1800010,25,246.0,15,6703.623503484064
30,11,11,True,0,,0,0,0,22.0,540.1930628108674,266,1330.0,multitour,4314.123690919542,True,True,0,33.0,0,0.17701270000543445,3,1800011,25,243.0,11,5942.123690919541
31,15,14,True,0,,1,0,0,28.0,439.28065002630655,258,1290.0,multitour,4557.929100368291,True,True,0,45.0,1,0.2054741999891121,8,1800012,25,229.0,14,6149.929100368292
54,15,14,True,0,,1,0,0,28.0,411.2959085980644,249,1245.0,multitour,4212.142720372901,True,True,0,45.0,0,0.20684329999494366,10,1800013,25,228.0,14,5758.142720372902
41,30,11,True,0,,19,2,0,22.0,651.3205659553261,352,1760.0,multitour,4970.526225508585,True,True,0,90.0,1,0.5107631999999285,6,1800014,25,322.0,11,7164.526225508586
75,18,15,True,0,,3,1,0,30.0,417.4845613023295,244,1220.0,multitour,4741.268419534942,True,True,0,54.0,1,0.24845470000582282,9,1800015,25,217.0,15,6262.268419534942
117,52,14,True,0,,38,1,0,28.0,521.941035909092,302,1510.0,multitour,5342.174502727286,True,True,0,156.0,1,0.482007300000987,12,1800016,25,271.0,14,7307.174502727287
28,42,15,True,0,,27,2,0,30.0,443.00886308118896,269,1345.0,multitour,4901.132946217835,True,True,0,126.0,0,0.5372930000012275,8,1800017,25,243.0,15,6645.132946217835
58,13,11,True,0,,2,0,0,22.0,623.6599317421474,372,1860.0,multitour,4595.2592491636215,True,True,0,39.0,1,0.17960470000980422,9,1800018,25,344.0,11,6860.259249163621
81,15,13,True,0,,2,0,0,26.0,522.7872972463508,330,1650.0,multitour,4775.234864202563,True,True,0,45.0,0,0.2683792000025278,10,1800019,25,300.0,13,6796.234864202561
78,17,15,True,0,,2,0,0,30.0,421.35483335453324,294,1470.0,multitour,4502.322500318,True,True,0,51.0,0,0.23640809999778867,9,1800020,25,267.0,15,6320.322500317999
40,14,14,True,0,,0,0,0,28.0,444.5758306025414,294,1470.0,multitour,4413.061628435578,True,True,0,42.0,0,0.1834822999953758,5,1800021,25,271.0,14,6224.061628435579
29,22,11,True,0,,11,1,0,22.0,594.0230753812704,311,1555.0,multitour,4606.25382919398,True,True,0,66.0,0,0.31396610000228975,3,1800022,25,285.0,11,6534.2538291939745
33,17,11,True,0,,6,1,0,22.0,593.3333334839435,339,1695.0,multitour,4443.666668323378,True,True,0,51.0,1,0.3497122999979183,8,1800023,25,315.0,11,6526.666668323379
