candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
23,14,14,True,0,,0,0,0,28.0,475.4167989844227,339,1695.0,merge,4570.835185781919,True,True,0,42.0,2,0.24438409999129362,14,1800000,25,320.0,14,6655.835185781918
95,14,14,True,0,,0,0,0,28.0,465.77595868944263,308,1540.0,select,4625.863421652199,True,True,0,42.0,2,0.2802421999949729,14,1800000,25,285.0,14,6520.863421652197
68,14,14,True,0,,0,0,0,28.0,434.4268310963918,276,1380.0,eager,4375.975635349488,True,True,0,42.0,3,0.39001030000508763,14,1800000,25,256.0,14,6081.975635349486
95,14,14,True,0,,0,0,0,28.0,465.77595868944263,308,1540.0,patient,4625.863421652199,True,True,0,42.0,2,0.2812705999967875,14,1800000,25,285.0,14,6520.863421652197
26,29,14,True,0,,15,1,0,28.0,475.9327987802838,353,1765.0,merge,4452.059182923973,True,True,0,87.0,4,0.5458617000113009,13,1800001,25,331.0,14,6663.059182923973
36,29,14,True,0,,15,1,0,28.0,444.1846504303784,278,1390.0,select,4456.585106025296,True,True,0,87.0,6,0.5720202999946196,13,1800001,25,257.0,14,6218.585106025297
105,14,14,True,0,,0,0,0,28.0,436.7060785807817,262,1310.0,eager,4497.885100130943,True,True,0,42.0,5,0.41468680000980385,14,1800001,25,236.0,14,6113.885100130944
88,14,14,True,0,,0,0,0,28.0,435.8946046630498,287,1435.0,patient,4332.524465282696,True,True,0,42.0,3,0.381965400010813,14,1800001,25,265.0,14,6102.524465282697
34,17,14,True,0,,3,1,0,28.0,492.92388483069146,329,1645.0,merge,4872.934387629681,True,True,0,51.0,1,0.42830130000947975,13,1800002,25,304.0,14,6900.934387629681
34,17,14,True,0,,3,1,0,28.0,474.2610776564893,285,1425.0,select,4872.655087190852,True,True,0,51.0,1,0.4302760999999009,13,1800002,25,263.0,14,6639.65508719085
130,17,14,True,0,,3,1,0,28.0,481.8233065965372,275,1375.0,eager,5046.52629235152,True,True,0,51.0,5,0.5813318000000436,13,1800002,25,245.0,14,6745.52629235152
25,17,14,True,0,,3,1,0,28.0,505.2708779207763,286,1430.0,patient,5299.792290890868,True,True,0,51.0,1,0.3785611999919638,13,1800002,25,265.0,14,7073.792290890868
58,16,16,True,0,,0,0,0,32.0,370.54443154049613,277,1385.0,merge,4206.710904647936,True,True,0,48.0,0,0.3200026999984402,16,1800003,22,257.0,16,5928.710904647938
60,16,16,True,0,,0,0,0,32.0,362.93657050302,241,1205.0,select,4299.985128048318,True,True,0,48.0,1,0.3213557999988552,16,1800003,22,222.0,16,5806.98512804832
140,16,16,True,0,,0,1,0,32.0,406.2900457803137,276,1380.0,eager,4791.64073248502,True,True,0,48.0,1,0.5946984000038356,15,1800003,25,249.0,16,6500.640732485019
37,16,16,True,0,,0,0,0,32.0,365.85543642423096,196,980.0,patient,4611.686982787695,True,True,0,48.0,1,0.3343142999947304,16,1800003,24,182.0,16,5853.686982787695
63,16,16,True,0,,0,0,0,32.0,423.3581685571985,313,1565.0,merge,4836.730696915176,True,True,0,48.0,5,0.4181991000077687,16,1800004,25,292.0,16,6773.730696915176
87,16,16,True,0,,0,0,0,32.0,401.44899501355127,250,1250.0,select,4863.183920216821,True,True,0,48.0,5,0.41339349999907427,16,1800004,25,230.0,16,6423.18392021682
130,16,16,True,0,,0,0,0,32.0,394.41640456951296,245,1225.0,eager,4786.662473112206,True,True,0,48.0,2,0.4058018999930937,16,1800004,25,219.0,16,6310.662473112207
84,16,16,True,0,,0,0,0,32.0,397.724179230096,251,1255.0,patient,4797.586867681538,True,True,0,48.0,5,0.3888170000136597,16,1800004,25,231.0,16,6363.586867681536
122,16,16,True,0,,0,0,0,32.0,480.70229166088916,390,1950.0,merge,5298.236666574227,True,True,0,48.0,3,0.43742040000506677,16,1800005,25,363.0,16,7691.236666574227
138,16,16,True,0,,0,0,0,32.0,454.7279624065387,319,1595.0,select,5311.64739850462,True,True,0,48.0,6,0.46533370000543073,16,1800005,25,289.0,16,7275.64739850462
150,16,16,True,0,,0,0,0,32.0,408.5664864444724,283,1415.0,eager,4790.063783111558,True,True,0,48.0,3,0.44481730001280084,16,1800005,21,252.0,16,6537.063783111558
123,16,16,True,0,,0,0,0,32.0,465.9898658968186,354,1770.0,patient,5276.837854349098,True,True,0,48.0,4,0.3848074999987148,16,1800005,25,329.0,16,7455.837854349098
109,14,10,True,0,,4,1,0,20.0,758.3761341597489,402,2010.0,merge,5138.761341597487,True,True,0,42.0,2,0.46263059999910183,9,1800006,25,373.0,10,7583.761341597488
109,14,10,True,0,,4,1,0,20.0,743.4761341597488,377,1885.0,select,5138.761341597487,True,True,0,42.0,2,0.45276600000215694,9,1800006,25,349.0,10,7434.761341597487
85,14,10,True,0,,4,1,0,20.0,688.2984976469146,338,1690.0,eager,4819.984976469145,True,True,0,42.0,1,0.4222427000058815,9,1800006,25,311.0,10,6882.984976469146
62,14,10,True,0,,4,2,0,20.0,741.110224825683,375,1875.0,patient,5127.10224825683,True,True,0,42.0,1,0.37664309999672696,8,1800006,25,347.0,10,7411.10224825683
98,15,15,True,0,,0,0,0,30.0,417.47078029105614,318,1590.0,merge,4299.061704365846,True,True,0,45.0,2,0.40415139999822713,15,1800007,25,298.0,15,6262.061704365842
98,15,15,True,0,,0,0,0,30.0,388.74293284311375,246,1230.0,select,4299.143992646709,True,True,0,45.0,2,0.389458999998169,15,1800007,25,227.0,15,5831.1439926467065
93,15,15,True,0,,0,0,0,30.0,425.31039120826887,269,1345.0,eager,4714.655868124032,True,True,0,45.0,2,0.399543999999878,15,1800007,25,245.0,15,6379.655868124033
83,15,15,True,0,,0,0,0,30.0,427.90814323994135,281,1405.0,patient,4676.622148599119,True,True,0,45.0,4,0.35087290000228677,15,1800007,25,262.0,15,6418.62214859912
67,10,10,True,0,,0,0,0,20.0,628.7362179564467,328,1640.0,merge,4293.362179564466,True,True,0,30.0,1,0.21266999999352265,10,1800008,25,304.0,10,6287.362179564467
67,10,10,True,0,,0,0,0,20.0,618.5362179564466,311,1555.0,select,4293.362179564466,True,True,0,30.0,1,0.20867620001081377,10,1800008,25,287.0,10,6185.362179564467
58,28,10,True,0,,18,2,0,20.0,653.9962989120647,327,1635.0,eager,4500.962989120648,True,True,0,84.0,0,0.5275886000017636,8,1800008,25,300.0,10,6539.962989120647
55,10,10,True,0,,0,0,0,20.0,634.3702009898414,312,1560.0,patient,4446.702009898411,True,True,0,30.0,1,0.19933709999895655,10,1800008,25,287.0,10,6343.702009898413
5,10,10,True,0,,0,0,0,20.0,690.8861974038037,376,1880.0,merge,4624.861974038036,True,True,0,30.0,2,0.21510549999948125,10,1800009,25,354.0,10,6908.861974038037
23,10,10,True,0,,0,0,0,20.0,667.5131470383989,335,1675.0,select,4639.131470383988,True,True,0,30.0,3,0.22051509999437258,10,1800009,25,311.0,10,6675.131470383989
87,10,10,True,0,,0,0,0,20.0,673.8809340638311,375,1875.0,eager,4462.809340638311,True,True,0,30.0,1,0.23405659999116324,10,1800009,25,351.0,10,6738.809340638311
23,10,10,True,0,,0,0,0,20.0,667.5131470383989,335,1675.0,patient,4639.131470383988,True,True,0,30.0,3,0.2135878999979468,10,1800009,25,311.0,10,6675.131470383989
96,18,15,True,0,,3,1,0,30.0,460.36888775763305,337,1685.0,merge,4823.533316364495,True,True,0,54.0,2,0.5048776000039652,14,1800010,25,313.0,15,6905.5333163644955
118,18,15,True,0,,3,1,0,30.0,444.15423851736136,307,1535.0,select,4760.313577760419,True,True,0,54.0,1,0.4872540000069421,14,1800010,25,283.0,15,6662.31357776042
161,15,15,True,0,,0,0,0,30.0,440.9525700154422,311,1555.0,eager,4702.288550231633,True,True,0,45.0,2,0.41628669999772683,15,1800010,25,282.0,15,6614.288550231633
89,18,15,True,0,,3,1,0,30.0,504.47634775511517,324,1620.0,patient,5563.145216326727,True,True,0,54.0,5,0.5488471999997273,14,1800010,25,300.0,15,7567.145216326728
89,11,11,True,0,,0,0,0,22.0,583.6715528933892,324,1620.0,merge,4442.387081827281,True,True,0,33.0,2,0.33034919999772683,11,1800011,25,303.0,11,6420.387081827281
89,11,11,True,0,,0,0,0,22.0,556.8533710752073,275,1375.0,select,4442.387081827281,True,True,0,33.0,2,0.3126107999996748,11,1800011,25,253.0,11,6125.387081827281
37,20,11,True,0,,9,1,0,22.0,576.0639679574739,312,1560.0,eager,4405.703647532214,True,True,0,60.0,2,0.4224052999925334,10,1800011,25,289.0,11,6336.703647532213
22,11,11,True,0,,0,0,0,22.0,574.5102741738957,290,1450.0,patient,4547.613015912852,True,True,0,33.0,1,0.24020839999138843,11,1800011,25,267.0,11,6319.6130159128525
55,14,14,True,0,,0,0,0,28.0,472.5686259163659,345,1725.0,merge,4498.9607628291205,True,True,0,42.0,2,0.32155340000463184,14,1800012,25,322.0,14,6615.960762829122
68,14,14,True,0,,0,0,0,28.0,457.68306260961606,309,1545.0,select,4506.562876534623,True,True,0,42.0,3,0.33340400000452064,14,1800012,25,286.0,14,6407.562876534625
