kind,seed,ok,error,cleared,total,normal_exit,mean_time_s,max_step_time_error_s,measure,clear,failed_clear,fallback
ten,2000000,True,,10,10,True,677.5056021941675,0.0,348,10,0,0
ten,2000001,True,,10,10,True,751.0496992863489,0.0,404,26,16,2
ten,2000002,True,,10,10,True,672.0100493818584,0.0,372,12,2,1
ten,2000003,True,,10,10,True,679.9824708047138,0.0,372,13,3,1
ten,2000004,True,,10,10,True,714.9385746669634,4.547473508864641e-13,386,34,24,1
ten,2000005,True,,10,10,True,712.7990851415575,0.0,391,21,11,2
ten,2000006,True,,10,10,True,679.452840028276,0.0,390,14,4,1
ten,2000007,True,,10,10,True,679.1016936863045,0.0,384,11,1,1
ten,2000008,True,,10,10,True,673.268474059998,0.0,366,21,11,2
ten,2000009,True,,10,10,True,704.105109067387,4.547473508864641e-13,394,10,0,0
sixteen,2000000,True,,16,16,True,461.54393411851976,0.0,280,49,33,3
sixteen,2000001,True,,16,16,True,475.9848064582541,0.0,372,60,44,4
sixteen,2000002,True,,16,16,True,375.9810062049289,2.842170943040401e-14,247,22,6,2
sixteen,2000003,True,,16,16,True,432.0020035885069,0.0,318,27,11,2
sixteen,2000004,True,,16,16,True,426.6421130737756,0.0,330,16,0,0
sixteen,2000005,True,,16,16,True,407.9580804256388,0.0,287,16,0,1
sixteen,2000006,True,,16,16,True,429.87764435814375,0.0,296,18,2,2
sixteen,2000007,True,,16,16,True,441.586361725195,0.0,275,67,51,2
sixteen,2000008,True,,16,16,True,488.87049281048184,0.0,326,67,51,3
sixteen,2000009,True,,16,16,True,421.3444448699124,4.547473508864641e-13,242,29,13,3
plus,2000000,True,,10,10,True,676.7462719087946,0.0,349,10,0,0
plus,2000001,True,,10,10,True,736.3173020397277,4.547473508864641e-13,357,65,55,2
plus,2000002,True,,10,10,True,708.5354347345312,0.0,373,47,37,1
plus,2000003,True,,10,10,True,698.8615122709667,0.0,373,43,33,1
plus,2000004,True,,10,10,True,718.8761862574262,0.0,388,35,25,1
plus,2000005,True,,10,10,True,736.7595838200115,0.0,393,40,30,2
plus,2000006,True,,10,10,True,687.7645253098176,0.0,385,46,36,1
plus,2000007,True,,10,10,True,681.342901595108,0.0,385,12,2,1
plus,2000008,True,,10,10,True,675.7571727811202,0.0,367,24,14,2
plus,2000009,True,,10,10,True,715.1119359174025,9.094947017729282e-13,397,11,1,0
minus,2000000,True,,10,10,True,682.3094614096187,0.0,351,10,0,0
minus,2000001,True,,10,10,True,762.0117699526879,5.684341886080802e-14,405,42,32,2
minus,2000002,True,,10,10,True,707.3690159575241,0.0,372,46,36,1
minus,2000003,True,,10,10,True,683.7617565769326,0.0,375,13,3,1
minus,2000004,True,,10,10,True,724.6870022903374,0.0,390,37,27,1
minus,2000005,True,,10,10,True,708.6620480961097,0.0,389,19,9,2
minus,2000006,True,,10,10,True,664.9454758712016,2.842170943040401e-14,386,12,2,1
minus,2000007,True,,10,10,True,675.8872770194023,0.0,385,12,2,1
minus,2000008,True,,10,10,True,707.463416264398,0.0,367,60,50,2
minus,2000009,True,,10,10,True,697.2865409734785,0.0,387,11,1,0
outward,2000000,True,,10,10,True,865.8493502721633,0.0,412,103,93,6
outward,2000001,True,,10,10,True,878.135944477635,0.0,428,99,89,6
outward,2000002,True,,10,10,True,868.1597942448195,0.0,412,101,91,6
outward,2000003,True,,10,10,True,845.5339524237212,0.0,417,102,92,6
outward,2000004,True,,10,10,True,847.2658360574417,0.0,413,96,86,6
outward,2000005,True,,10,10,True,839.8254048003504,0.0,404,103,93,6
outward,2000006,True,,10,10,True,874.0692131076728,0.0,421,98,88,6
outward,2000007,True,,10,10,True,879.8471231841752,0.0,421,100,90,6
outward,2000008,True,,10,10,True,855.7690910774129,0.0,417,100,90,6
outward,2000009,True,,10,10,True,878.2393520913389,0.0,430,98,88,6
tangent,2000000,True,,10,10,True,802.1199451641023,0.0,415,27,17,2
tangent,2000001,True,,10,10,True,742.7193113284065,0.0,391,22,12,1
tangent,2000002,True,,10,10,True,793.6465657937044,0.0,398,26,16,1
tangent,2000003,True,,10,10,True,645.1430085737267,0.0,387,12,2,1
tangent,2000004,True,,10,10,True,653.1275301838209,0.0,385,19,9,1
tangent,2000005,True,,10,10,True,644.0190155982734,0.0,369,25,15,1
tangent,2000006,True,,10,10,True,640.2720027742778,0.0,374,18,8,2
tangent,2000007,True,,10,10,True,767.8391742352529,0.0,405,15,5,1
tangent,2000008,True,,10,10,True,767.9098829246844,0.0,403,23,13,2
tangent,2000009,True,,10,10,True,790.4783642871874,1.1368683772161603e-13,409,20,10,1
